,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.55248,craigslist
1,100,0.9198113207547169,0.9,0.9166666666666666,0.9285714285714286,,1.0,,0.9375,,,craigslist
2,200,0.8191489361702128,0.5,0.8888888888888888,0.8888888888888888,,0.6666666666666666,,0.9,,,craigslist
3,300,0.8134328358208955,0.75,0.7,0.7,0.6666666666666666,0.8888888888888888,0.9,0.9090909090909091,1.0,1.51776,craigslist
4,400,0.7724137931034483,0.7,0.8888888888888888,0.5,0.6,0.6666666666666666,0.9166666666666666,1.0,1.0,,craigslist
5,500,0.8491620111731844,,0.6923076923076923,,0.875,,,,,,craigslist
6,600,,,,,,,,,,1.51776,craigslist
7,700,,0.6470588235294118,,0.6666666666666666,,0.6818181818181818,0.7727272727272727,0.8333333333333334,0.7857142857142857,,craigslist
8,800,0.8516746411483254,0.6666666666666666,0.7857142857142857,0.7777777777777778,0.8571428571428571,0.7272727272727273,0.9090909090909091,0.9166666666666666,,1.59216,craigslist
9,900,0.7804878048780488,0.8181818181818182,0.8888888888888888,0.8461538461538461,,,,0.6,,,craigslist
10,1000,0.75,0.75,0.7777777777777778,,,,,0.45454545454545453,0.6428571428571429,,craigslist
11,1100,0.7714285714285715,1.0,0.9166666666666666,,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.36363636363636365,0.36363636363636365,1.59216,craigslist
12,1200,0.6811594202898551,0.9090909090909091,,1.0,0.9166666666666666,0.8,0.8181818181818182,0.2222222222222222,0.36363636363636365,,craigslist
13,1300,0.6776315789473685,,,0.8,0.75,0.6923076923076923,,,0.2,,craigslist
14,1400,0.6494252873563219,,0.8571428571428571,0.7272727272727273,0.8181818181818182,0.8,,,0.2727272727272727,1.2077099999999998,craigslist
15,1500,0.6176470588235294,0.8461538461538461,0.7272727272727273,1.0,0.6923076923076923,,0.7142857142857143,0.25,0.16666666666666666,,craigslist
16,1600,0.6379310344827587,,,,,,0.7272727272727273,0.11764705882352941,,,craigslist
17,1700,0.40336134453781514,,,,,0.5454545454545454,0.625,0.18181818181818182,,1.2077099999999998,craigslist
18,1800,0.6646341463414634,0.6666666666666666,0.6111111111111112,0.55,0.5,,0.8888888888888888,0.2727272727272727,0.18181818181818182,,craigslist
