,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.07004,facebook
1,100,,1.0,,,,1.0,1.0,1.0,1.0,,facebook
2,200,,0.9166666666666666,,,,0.8888888888888888,0.8333333333333334,1.0,,,facebook
3,300,0.9411764705882353,0.42857142857142855,0.9230769230769231,0.9166666666666666,0.9090909090909091,0.8333333333333334,0.9,1.0,,1.07004,facebook
4,400,0.7619047619047619,0.8333333333333334,0.5454545454545454,0.7142857142857143,0.7,0.6923076923076923,0.6666666666666666,1.0,0.9166666666666666,,facebook
5,500,0.7777777777777778,0.9166666666666666,0.7777777777777778,0.7272727272727273,0.5454545454545454,,,,1.0,,facebook
6,600,0.9096774193548387,,1.0,0.9166666666666666,0.9285714285714286,,,,0.7777777777777778,1.07486,facebook
7,700,0.9344262295081968,,0.75,0.8333333333333334,0.7777777777777778,,0.8,1.0,0.8181818181818182,,facebook
8,800,0.7941176470588235,0.9166666666666666,,,,,0.7692307692307693,1.0,,1.07486,facebook
9,900,0.8489583333333334,,,,,0.8461538461538461,,,,,facebook
10,1000,0.9127906976744186,,0.8461538461538461,1.0,0.9285714285714286,1.0,,,0.9230769230769231,,facebook
11,1100,0.9333333333333333,0.8461538461538461,,,,0.9090909090909091,0.8,0.4666666666666667,0.2857142857142857,,facebook
12,1200,0.7284768211920529,0.8333333333333334,,,,0.8,0.6666666666666666,0.13043478260869565,0.25,1.07486,facebook
13,1300,0.700507614213198,0.875,,0.8333333333333334,0.8461538461538461,0.8,0.8181818181818182,0.25925925925925924,0.3333333333333333,,facebook
14,1400,0.7074829931972789,0.75,,0.8888888888888888,0.8,0.7692307692307693,0.8333333333333334,,0.5,1.07486,facebook
15,1500,0.6793478260869565,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.875,0.7777777777777778,0.8181818181818182,,0.25,,facebook
16,1600,0.6761904761904762,0.8125,0.8461538461538461,0.7272727272727273,0.7,0.6363636363636364,0.7777777777777778,0.18181818181818182,0.1,,facebook
17,1700,0.6232876712328768,,,0.8333333333333334,0.7,,0.75,0.18181818181818182,0.15384615384615385,1.07004,facebook
18,1800,0.6130952380952381,,,0.7272727272727273,0.7272727272727273,,0.7,0.18181818181818182,,,facebook
19,1900,0.59375,0.7777777777777778,0.9,0.7,0.6666666666666666,0.46153846153846156,,0.45454545454545453,,1.07004,facebook
20,2000,0.6171428571428571,0.7692307692307693,0.7,0.7272727272727273,0.8333333333333334,0.6,,0.26666666666666666,0.16666666666666666,,facebook
21,2100,0.5813953488372093,0.7,0.75,0.7272727272727273,0.6363636363636364,0.7692307692307693,0.7692307692307693,,0.15384615384615385,,facebook
22,2200,0.5875,0.8181818181818182,0.625,,0.8461538461538461,0.7,0.6363636363636364,,0.16666666666666666,1.07486,facebook
23,2300,0.6265060240963856,0.7692307692307693,0.8181818181818182,,0.8181818181818182,,0.9,0.2,0.2222222222222222,,facebook
24,2400,0.6259842519868659,0.7777777777777778,0.75,0.5882352941176471,,,0.8,0.30303030303030304,0.1,,facebook
25,2500,0.6239999999814033,,0.75,,,0.6666666666666666,0.6363636363636364,,0.2222222222222222,1.07486,facebook
26,2600,0.6510067114093959,,0.6428571428571429,,0.75,0.6666666666666666,0.8,,0.3076923076923077,,facebook
27,2700,0.6347305389221557,0.6923076923076923,0.6923076923076923,0.75,0.8,0.7272727272727273,0.9090909090909091,0.35714285714285715,,1.07486,facebook
28,2800,0.6229508196721312,0.7777777777777778,0.8888888888888888,0.8,0.6666666666666666,0.8181818181818182,0.8333333333333334,0.09090909090909091,,,facebook
29,2900,0.6581196581196581,0.8333333333333334,0.7777777777777778,0.8,0.8,,0.7272727272727273,0.125,0.1,,facebook
30,3000,0.6240601503759399,0.7692307692307693,0.8181818181818182,0.8571428571428571,0.8181818181818182,,0.8888888888888888,0.3333333333333333,0.15384615384615385,1.07486,facebook
31,3100,0.6368159203980099,0.8571428571428571,0.8181818181818182,,0.6666666666666666,0.7272727272727273,,0.3,0.14285714285714285,,facebook
32,3200,0.6159420289855072,0.875,,,0.5,0.8333333333333334,,0.09090909090909091,0.1111111111111111,,facebook
33,3300,0.618421052631579,0.8,,0.75,0.75,0.7,0.8461538461538461,0.2727272727272727,0.18181818181818182,1.07486,facebook
34,3400,0.6451612903225806,1.0,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.6,0.8888888888888888,0.2727272727272727,0.09090909090909091,,facebook
35,3500,0.6075949367088608,,0.7692307692307693,0.6666666666666666,0.6923076923076923,0.75,,0.16666666666666666,0.09090909090909091,,facebook
36,3600,0.6267605633802817,,0.8461538461538461,0.8,0.6666666666666666,0.8,,0.2727272727272727,0.2222222222222222,1.07486,facebook
37,3700,0.6408450704225352,0.75,0.8,0.9090909090909091,0.8888888888888888,,0.8461538461538461,0.3333333333333333,0.2,,facebook
38,3800,0.6351351351351351,0.7692307692307693,0.875,,,,0.7272727272727273,0.14285714285714285,0.1,1.07486,facebook
39,3900,0.5958549222797928,0.8,0.75,,,0.7142857142857143,0.7,0.125,,,facebook
40,4000,0.6291390728476821,0.9,0.8181818181818182,0.8181818181818182,0.7,0.75,0.8333333333333334,0.2727272727272727,,,facebook
41,4100,0.6666666666666666,0.8181818181818182,0.6363636363636364,0.8888888888888888,0.75,0.7272727272727273,1.0,0.5,0.4,1.07486,facebook
42,4200,0.6774193548387096,,0.8,0.8,0.7692307692307693,0.5555555555555556,0.7,0.4,0.6923076923076923,,facebook
