,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0.0,,,,,,,,,
1,100.0,0.96,1.0,0.9375,1.0,1.0,1.0,0.9333333333333333,1.0,1.0
2,200.0,0.9447852760736196,0.7,0.8181818181818182,0.8461538461538461,0.8333333333333334,0.9,,1.0,
3,300.0,0.7843137254901961,,,0.6666666666666666,0.75,0.6428571428571429,,1.0,
4,400.0,0.8789808917197452,,,,,,0.8888888888888888,,0.9444444444444444
5,500.0,0.9265536723163842,,0.9230769230769231,,,,,,
6,600.0,0.9298245614035088,,0.5625,0.8333333333333334,,,,0.9375,
7,700.0,0.6939655172413793,0.7222222222222222,,,,,0.6428571428571429,,0.9
8,800.0,0.9117647058823529,,,,,,,,
9,900.0,0.9436619718309859,,,0.9375,,,,0.6153846153846154,
10,1000.0,0.7916666666666666,0.9090909090909091,,0.7777777777777778,0.8571428571428571,0.75,0.8,0.375,
11,1100.0,0.7073170731707317,0.8181818181818182,0.7333333333333333,,0.7333333333333333,0.6428571428571429,0.8181818181818182,0.2,0.625
12,1200.0,0.6890243902439024,0.8888888888888888,0.7777777777777778,,0.8,0.8181818181818182,0.8888888888888888,0.36363636363636365,0.36363636363636365
13,1300.0,0.6917808219178082,0.8181818181818182,0.8181818181818182,0.7692307692307693,,0.75,0.8,0.2222222222222222,0.2727272727272727
14,1400.0,0.6829268292682927,0.8333333333333334,0.7777777777777778,0.9230769230769231,,0.75,,,0.2
15,1500.0,0.5977011494252874,0.9090909090909091,,,,,,,
16,1600.0,0.6595744680851063,,,,,,,0.10526315789473684,
17,1700.0,0.6046511627906976,,,0.4782608695652174,,0.47368421052631576,,,0.13636363636363635
18,1800.0,0.36153846153846153,0.5789473684210527,0.5652173913043478,0.6363636363636364,,0.6666666666666666,0.375,,0.1111111111111111
19,1900.0,0.6129032258064516,0.8,0.6923076923076923,0.625,,0.8333333333333334,0.7692307692307693,0.18181818181818182,0.0
20,2000.0,0.6081081081081081,0.8181818181818182,,0.8,,0.9090909090909091,0.8181818181818182,0.3,
21,2100.0,0.6739130434782609,0.9,,0.6666666666666666,0.75,,0.75,0.375,
22,2200.0,0.6855345911949685,0.8,0.9166666666666666,0.8888888888888888,0.8461538461538461,,0.9,0.21428571428571427,0.3333333333333333
23,2300.0,0.6625,,0.8461538461538461,0.6666666666666666,0.8,0.7692307692307693,0.6666666666666666,0.3,0.16666666666666666
24,2400.0,0.6206896551724138,,,0.8181818181818182,0.75,0.7,0.7777777777777778,0.3076923076923077,0.2
25,2500.0,0.6258064516129033,0.7692307692307693,,0.75,0.6363636363636364,0.6666666666666666,0.8181818181818182,,0.0
26,2600.0,0.6305732484076433,0.7,0.8461538461538461,0.8461538461538461,,0.7777777777777778,0.8333333333333334,,0.1
27,2700.0,0.6287425149700598,,0.6,,,0.625,,0.125,
28,2800.0,0.5276381909547738,,0.7777777777777778,,0.7222222222222222,,,0.25,
29,2900.0,0.6739130434782609,0.8461538461538461,0.8,0.7272727272727273,0.9,,0.8333333333333334,0.09090909090909091,0.2
30,3000.0,0.6258503401360545,0.9230769230769231,0.8888888888888888,0.75,0.6666666666666666,0.7333333333333333,0.8888888888888888,0.36363636363636365,0.3076923076923077
31,3100.0,0.6649746192893401,0.7692307692307693,0.8181818181818182,0.8181818181818182,0.7777777777777778,0.7,0.7,0.2222222222222222,0.0
32,3200.0,0.6551724137931034,,0.875,0.8888888888888888,0.6666666666666666,0.6,0.8666666666666667,0.2,0.42857142857142855
33,3300.0,0.6275862068965518,,0.8181818181818182,0.5454545454545454,0.8333333333333334,0.7777777777777778,,0.2,
34,3400.0,0.6187050359712231,0.8,,0.8181818181818182,0.8461538461538461,,,0.18181818181818182,
35,3500.0,0.6126760563380281,0.8888888888888888,,0.6,,,0.6666666666666666,,0.21428571428571427
36,3600.0,0.5988372093023255,0.8,0.7142857142857143,0.7,,0.8461538461538461,0.75,,0.2727272727272727
