,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.34416,fc
1,100,0.9019607843137255,0.8888888888888888,0.9230769230769231,0.8666666666666667,0.9230769230769231,0.7692307692307693,0.9285714285714286,,0.9736842105263158,,fc
2,200,0.8923076923076924,0.7777777777777778,0.9,0.6666666666666666,0.7777777777777778,0.6428571428571429,0.8333333333333334,,0.8846153846153846,1.34416,fc
3,300,0.7655172413793103,0.6363636363636364,0.5555555555555556,0.6923076923076923,0.75,0.8888888888888888,0.5555555555555556,,,,fc
4,400,0.7777777777777778,0.8181818181818182,0.9,,,0.9230769230769231,,,,,fc
5,500,0.9315068493150684,0.8333333333333334,,,,0.8888888888888888,,1.0,0.75,1.0934,fc
6,600,0.8582089552238806,,,0.8333333333333334,0.8,0.7272727272727273,0.9230769230769231,0.6153846153846154,0.16666666666666666,,fc
7,700,0.7112676056338029,,0.8823529411764706,0.8333333333333334,0.8333333333333334,,0.8,0.1111111111111111,,,fc
8,800,0.66875,0.8461538461538461,,0.8,0.8181818181818182,,0.75,,,1.0934,fc
9,900,0.6736111111111112,0.7368421052631579,,0.6,0.5714285714285714,0.6,0.7333333333333333,,0.23809523809523808,,fc
10,1000,0.5267857142857143,1.0,0.6428571428571429,,0.9,,0.7777777777777778,0.35294117647058826,0.2,0.70218,fc
11,1100,0.7111111111111111,,0.8333333333333334,,0.8181818181818182,,,,0.25,,fc
12,1200,0.6710526315789473,,0.75,0.75,0.75,0.9166666666666666,,,0.0,,fc
13,1300,0.6424581005586593,0.8,0.8333333333333334,0.8461538461538461,,0.8333333333333334,0.84,0.1111111111111111,0.125,0.70218,fc
14,1400,0.6573426573426573,0.8461538461538461,0.7777777777777778,0.8333333333333334,,0.75,0.7777777777777778,,0.3,,fc
15,1500,0.6535433070866141,0.7307692307692307,0.8,0.7,0.7272727272727273,0.9090909090909091,0.7272727272727273,,0.2222222222222222,,fc
16,1600,0.6352201257861635,,0.8888888888888888,0.7272727272727273,0.8461538461538461,0.75,0.8,0.18181818181818182,0.38461538461538464,0.5489,fc
17,1700,0.6451612903225806,,,0.7777777777777778,0.7,0.7,0.9,0.21428571428571427,0.2727272727272727,,fc
18,1800,0.6728395061728395,0.6428571428571429,,0.8181818181818182,0.75,0.8181818181818182,0.7,0.375,,,fc
19,1900,0.6214689265536724,0.6428571428571429,0.84,,0.7272727272727273,0.6666666666666666,0.8888888888888888,0.2,,0.5489,fc
20,2000,0.6521739130434783,,0.9090909090909091,,0.75,,,0.3333333333333333,0.0,,fc
21,2100,0.6164383561643836,,,0.7692307692307693,0.7272727272727273,,,0.0,0.2,0.4940100000000001,fc
22,2200,0.6411764705882353,0.9230769230769231,,0.8461538461538461,0.8888888888888888,0.7,0.8571428571428571,0.0,0.1111111111111111,,fc
23,2300,0.6492537313432836,0.75,0.9230769230769231,,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.3,0.0,,fc
24,2400,0.6333333333333333,0.6363636363636364,0.75,,,0.9,0.75,0.1111111111111111,0.1,0.4940100000000001,fc
25,2500,0.6171428571428571,0.8888888888888888,0.6923076923076923,0.7333333333333333,,0.8,0.8,0.25,0.21428571428571427,,fc
26,2600,0.6333333333333333,0.8333333333333334,0.8181818181818182,0.7272727272727273,,0.7272727272727273,0.6923076923076923,0.1,0.1111111111111111,,fc
27,2700,0.625,0.7692307692307693,0.8181818181818182,0.75,,0.5714285714285714,0.9166666666666666,0.25,0.09090909090909091,0.6287400000000001,fc
28,2800,0.6206896551724138,,0.375,,0.6923076923076923,,0.8333333333333334,0.2727272727272727,0.23076923076923078,,fc
29,2900,0.609271523178808,,,,0.6923076923076923,,,0.4166666666666667,0.14285714285714285,0.6287400000000001,fc
30,3000,0.49019607843137253,0.6,,0.5,0.7272727272727273,0.75,,,0.0,,fc
31,3100,0.6277777777777778,0.9,0.7857142857142857,0.8181818181818182,0.8181818181818182,0.7,0.7272727272727273,,,,fc
32,3200,0.6231884057971014,0.8888888888888888,0.6923076923076923,0.8888888888888888,0.8461538461538461,0.7777777777777778,0.7333333333333333,0.2777777777777778,,0.65736,fc
33,3300,0.6521739130434783,0.8461538461538461,,0.6666666666666666,0.7,0.5454545454545454,0.9090909090909091,0.3333333333333333,0.26666666666666666,,fc
34,3400,0.6305732484076433,0.8181818181818182,,0.6363636363636364,0.875,0.7272727272727273,0.8461538461538461,0.125,0.0,,fc
35,3500,0.6040268456375839,,0.7692307692307693,0.6923076923076923,0.7,0.6666666666666666,,,0.2,0.65736,fc
36,3600,0.6232876712328768,,0.8,0.7,0.8888888888888888,0.7272727272727273,,,0.1,,fc
37,3700,0.6111111111111112,0.8666666666666667,0.8,0.7692307692307693,0.7,0.7272727272727273,0.9,0.09090909090909091,,,fc
38,3800,0.6643835616438356,0.8888888888888888,0.7857142857142857,,0.6666666666666666,0.75,0.75,0.16666666666666666,,0.47405,fc
39,3900,0.6351351351351351,0.7777777777777778,0.8333333333333334,,0.8461538461538461,0.7,0.8,0.125,0.09090909090909091,,fc
40,4000,0.6027397260273972,0.9090909090909091,0.7,0.8333333333333334,0.6,0.9,0.8333333333333334,0.23076923076923078,0.36363636363636365,0.47405,fc
41,4100,0.6510067114093959,0.7777777777777778,,0.7692307692307693,0.8888888888888888,0.6666666666666666,0.875,0.2,0.25,,fc
42,4200,0.6138613861386139,0.7,,0.75,0.6666666666666666,0.7,0.6666666666666666,0.23076923076923078,0.08333333333333333,,fc
43,4300,0.6170212765957447,0.7777777777777778,0.8333333333333334,0.75,0.8888888888888888,0.7,0.8888888888888888,,0.1,0.4890200000000001,fc
44,4400,0.6428571428571429,0.9090909090909091,0.8181818181818182,0.8333333333333334,0.6666666666666666,0.8181818181818182,0.7777777777777778,,0.23076923076923078,,fc
45,4500,0.6720430107526881,0.9,0.8,0.8181818181818182,0.8181818181818182,0.6923076923076923,0.875,0.30303030303030304,0.0,,fc
46,4600,0.6602564102564102,0.75,0.9,0.7272727272727273,,0.5,0.75,0.27586206896551724,0.3333333333333333,0.4890200000000001,fc
47,4700,0.6190476190476191,0.6,0.8333333333333334,0.8888888888888888,,,0.8,0.42857142857142855,0.0,,fc
48,4800,0.6158940397350994,0.9090909090909091,0.8,,0.5714285714285714,,0.9090909090909091,0.2,,,fc
49,4900,0.6524822695035462,0.9,0.8181818181818182,,0.8,0.8181818181818182,0.75,0.3333333333333333,,0.46407,fc
50,5000,0.6304347826086957,0.6363636363636364,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.9090909090909091,0.6666666666666666,0.2,,,fc
51,5100,0.5934065934065934,,0.75,0.5555555555555556,0.9,0.6666666666666666,0.7142857142857143,,,0.46407,fc
52,5200,0.5985401459854015,,0.9090909090909091,0.8,0.6666666666666666,0.8181818181818182,0.8181818181818182,,0.18181818181818182,,fc
53,5300,0.6349206349206349,0.8461538461538461,,0.75,0.8,0.9,0.8888888888888888,0.21428571428571427,0.0,,fc
54,5400,0.671957671957672,0.8846153846153846,,0.8181818181818182,,0.8181818181818182,0.875,0.125,0.2,0.47904,fc
55,5500,0.6585365853658537,,0.8571428571428571,0.7,,0.8888888888888888,0.9,0.09090909090909091,0.0,,fc
56,5600,0.6547619047619048,,0.8181818181818182,0.75,0.75,0.9,0.8181818181818182,0.2,0.18181818181818182,0.47904,fc
57,5700,0.6666666666666666,,0.8333333333333334,0.8,0.7272727272727273,0.5833333333333334,0.8,0.2222222222222222,0.0,,fc
58,5800,0.603448275862069,,0.9,0.45454545454545453,0.6363636363636364,,0.8,,0.3333333333333333,,fc
59,5900,0.6131386861313869,0.8461538461538461,0.7272727272727273,,0.8888888888888888,,0.7,,0.0,0.46906000000000003,fc
60,6000,0.5833333333333334,0.6923076923076923,,,,0.6363636363636364,,0.0,0.3,,fc
61,6100,0.631578947368421,0.8461538461538461,,0.6363636363636364,,0.7,,0.3,0.25,,fc
62,6200,0.6051282051282051,0.7,0.8148148148148148,0.7,0.6944444444444444,0.7777777777777778,0.75,0.2,0.0,0.46906000000000003,fc
63,6300,0.6486486486486487,0.75,,0.8461538461538461,0.78125,0.75,0.8888888888888888,0.08333333333333333,0.16666666666666666,,fc
64,6400,0.6165413533834586,0.8,,0.875,,0.875,0.8181818181818182,0.09090909090909091,,,fc
65,6500,0.6328125,0.75,0.8333333333333334,0.8181818181818182,,0.6666666666666666,0.8333333333333334,0.2,,0.5139699999999999,fc
66,6600,0.5961538461538461,0.7,0.8461538461538461,0.75,0.6428571428571429,0.8333333333333334,0.6666666666666666,0.0,,,fc
67,6700,0.6022727272727273,0.8181818181818182,0.7272727272727273,0.8333333333333334,0.7692307692307693,0.7777777777777778,,0.09090909090909091,,0.5139699999999999,fc
68,6800,0.6388888888888888,,0.8,0.9,0.6666666666666666,0.8,,0.1111111111111111,0.09090909090909091,,fc
69,6900,0.6458333333333334,,0.6666666666666666,0.6363636363636364,,0.5555555555555556,0.8461538461538461,0.45454545454545453,0.2857142857142857,,fc
70,7000,0.5755813953488372,0.6923076923076923,0.7272727272727273,0.7,,0.6363636363636364,0.6666666666666666,0.1,0.1,0.52894,fc
71,7100,0.585,0.9090909090909091,0.6363636363636364,0.9090909090909091,0.6666666666666666,0.7,0.8181818181818182,,,,fc
72,7200,0.6328125,0.7777777777777778,0.7777777777777778,0.9,0.8181818181818182,0.8,,,,,fc
73,7300,0.6453900709219859,0.7777777777777778,0.8,0.7777777777777778,0.6666666666666666,0.7272727272727273,,0.09090909090909091,0.09090909090909091,0.52894,fc
74,7400,0.6419753086419753,0.9285714285714286,0.9090909090909091,,0.8,0.6666666666666666,0.8620689655172413,0.25,0.08333333333333333,,fc
75,7500,0.6547619047619048,0.8888888888888888,0.7142857142857143,,0.7777777777777778,0.7272727272727273,,0.18181818181818182,0.18181818181818182,0.5938100000000001,fc
76,7600,0.6058394160583942,0.7,0.8333333333333334,0.7857142857142857,0.7272727272727273,0.8181818181818182,,0.2727272727272727,0.0,,fc
77,7700,0.6197183098591549,0.75,0.8181818181818182,0.8333333333333334,0.75,0.9,0.6363636363636364,0.0,0.1111111111111111,,fc
78,7800,0.5786163522012578,0.7777777777777778,,0.7692307692307693,0.8181818181818182,,0.8461538461538461,,,0.5938100000000001,fc
79,7900,0.6666666666666666,,,,,,,,,,fc
80,8000,,,,,,,,,,,fc
