,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,2.0853900000000003,google
1,100,0.9137055837563451,,1.0,0.8823529411764706,0.8461538461538461,0.9166666666666666,0.9285714285714286,,0.8666666666666667,,google
2,200,0.8685714285714285,,,,0.8888888888888888,0.8,,,,,google
3,300,0.9607843137254902,0.8,,,,0.8571428571428571,,,,2.11497,google
4,400,0.9014084507042254,0.9230769230769231,0.9285714285714286,0.75,,0.75,0.8421052631578947,,0.9583333333333334,,google
5,500,0.8050847457627118,0.7142857142857143,0.8,,,0.7,,1.0,,2.11497,google
6,600,0.9175257731958762,,,,,,,,,,google
7,700,0.9636363636363636,,,0.9166666666666666,0.9285714285714286,,0.9230769230769231,,0.9375,,google
8,800,0.7662337662337663,0.9444444444444444,0.9230769230769231,0.9090909090909091,0.9333333333333333,0.6363636363636364,0.7,1.0,0.5,1.7856,google
9,900,0.7325581395348837,,0.6666666666666666,0.7272727272727273,,0.75,0.9,0.5833333333333334,0.2222222222222222,,google
10,1000,0.639344262295082,,0.7272727272727273,0.6153846153846154,,0.7272727272727273,0.75,0.4,,,google
11,1100,0.5916230366492147,0.8,0.8333333333333334,0.7272727272727273,0.8461538461538461,0.6666666666666666,,0.18181818181818182,,1.7856,google
12,1200,0.5555555555555556,0.75,,0.6666666666666666,0.7272727272727273,0.5,,0.16666666666666666,0.15384615384615385,,google
13,1300,0.6,0.7333333333333333,,,0.7272727272727273,,0.6923076923076923,0.25,0.18181818181818182,,google
14,1400,0.6363636363636364,,0.7272727272727273,,0.6666666666666666,,0.8181818181818182,,,1.25496,google
15,1500,0.42718446601941745,,0.5333333333333333,0.6111111111111112,,0.5,0.7142857142857143,,,,google
16,1600,0.6183206106870229,0.6,0.9,0.8,,0.7692307692307693,0.8,0.13333333333333333,0.25,1.25496,google
17,1700,0.6512820512820513,0.9,0.8181818181818182,0.9166666666666666,0.6666666666666666,,0.7777777777777778,0.2727272727272727,0.07692307692307693,,google
18,1800,0.6318681318681318,0.75,,,0.6666666666666666,,1.0,0.18181818181818182,,,google
19,1900,0.5634920634920635,0.9090909090909091,,,,0.6923076923076923,0.7692307692307693,,,1.21014,google
20,2000,0.6709677419354839,0.8181818181818182,0.6923076923076923,0.7272727272727273,,0.7692307692307693,0.8181818181818182,,0.125,,google
21,2100,0.6380368098159509,0.8888888888888888,0.9090909090909091,0.8333333333333334,0.7142857142857143,0.8181818181818182,0.875,0.36363636363636365,0.0,,google
22,2200,0.6086956521739131,,0.6666666666666666,0.7692307692307693,0.8,0.7142857142857143,0.8181818181818182,0.18181818181818182,0.09090909090909091,1.21014,google
23,2300,0.6323529411764706,,0.7272727272727273,0.7777777777777778,0.7586206896551724,,,0.15384615384615385,0.09090909090909091,,google
24,2400,0.5846153846153846,0.7,,,,,,,,,google
25,2500,0.6341463414634146,,,,,0.4375,0.6190476190476191,,,1.18026,google
26,2600,0.3963963963963964,,0.5714285714285714,0.35294117647058826,0.4117647058823529,0.8,0.7692307692307693,,0.0,,google
27,2700,0.6386554621848739,0.5,0.5555555555555556,0.75,0.7777777777777778,,,,0.1111111111111111,1.18026,google
28,2800,0.644927536231884,0.9166666666666666,0.8333333333333334,0.7777777777777778,0.8461538461538461,,,0.25,0.0,,google
29,2900,0.6357142857142857,0.9,0.6666666666666666,0.9090909090909091,0.7272727272727273,0.7692307692307693,0.8181818181818182,0.2,0.2,,google
30,3000,0.6258992805923729,0.8,0.7,0.8461538461538461,,0.5454545454545454,0.8571428571428571,0.09090909090909091,0.18181818181818182,1.16034,google
