,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0,,,,,,,,,
1,100,0.9532710280373832,1.0,0.9333333333333333,,0.7857142857142857,,,0.9230769230769231,
2,200,0.8703703703703703,,,,,,,,
3,300,0.6875,,,0.6842105263157895,,0.625,,,
4,400,0.7261904761904762,0.6842105263157895,0.625,,0.75,,,,
5,500,0.9455445544554455,0.9230769230769231,0.9285714285714286,,,,0.8947368421052632,,1.0
6,600,0.9245283018867925,0.75,0.8333333333333334,0.9166666666666666,,0.7857142857142857,,1.0,
7,700,0.835820895522388,0.9,,,0.875,,,0.9285714285714286,
8,800,0.8981481481481481,0.8571428571428571,,,0.9,,0.8823529411764706,0.8888888888888888,0.9375
9,900,0.8088235294117647,0.8333333333333334,0.8181818181818182,0.9166666666666666,0.75,0.8333333333333334,0.7777777777777778,0.45454545454545453,0.5
10,1000,0.697986577181208,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.875,0.6666666666666666,0.8,,0.25
11,1100,0.6967741935483871,0.9,0.9090909090909091,0.8888888888888888,,0.8181818181818182,0.7777777777777778,,0.2
12,1200,0.6153846153846154,,,0.7692307692307693,,0.5,,0.08333333333333333,0.1111111111111111
13,1300,0.631578947368421,,,,,,,,
14,1400,0.5925925925925926,0.5294117647058824,0.5238095238095238,,,,0.7142857142857143,,
15,1500,0.3888888888888889,0.9090909090909091,0.8333333333333334,0.5,0.6,0.47619047619047616,0.8,0.15789473684210525,0.125
16,1600,0.6666666666666666,0.5454545454545454,,0.9090909090909091,0.7,0.8333333333333334,,0.16666666666666666,0.2222222222222222
17,1700,0.5783132530120482,,,0.5833333333333334,0.8181818181818182,0.45454545454545453,,0.23076923076923078,0.09090909090909091
18,1800,0.5673758865248227,,0.7142857142857143,,0.6923076923076923,0.5454545454545454,0.5833333333333334,,0.18181818181818182
19,1900,0.5773195876288659,0.7333333333333333,0.7272727272727273,,0.7,0.75,0.8333333333333334,,0.1
20,2000,0.6405228758169934,0.9166666666666666,0.7692307692307693,0.6666666666666666,0.75,0.5,0.6666666666666666,,
21,2100,0.6133333333333333,0.8181818181818182,,0.9090909090909091,,,0.75,,
22,2200,0.625,0.7777777777777778,,0.7857142857142857,,,,0.16666666666666666,0.16666666666666666
23,2300,0.5637583892617449,,0.8,,0.5833333333333334,,,,0.18181818181818182
24,2400,0.5562913907284768,,,,,,,,
25,2500,,,,0.5,,,,0.17391304347826086,
26,2600,,0.52,0.75,,0.6923076923076923,,0.7272727272727273,0.36363636363636365,0.07142857142857142
27,2700,0.5961538461538461,0.9,0.7272727272727273,,0.8181818181818182,0.6666666666666666,0.9090909090909091,0.0,0.2222222222222222
28,2800,0.6351351351351351,0.7692307692307693,0.7272727272727273,0.75,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.1111111111111111,
29,2900,0.628140703517588,0.7777777777777778,0.5833333333333334,0.8461538461538461,0.9,0.8,0.9166666666666666,0.3,
30,3000,0.6209150326797386,,0.875,0.8461538461538461,0.75,0.6666666666666666,,,0.18181818181818182
31,3100,0.6666666666666666,,0.75,0.5454545454545454,,0.7,,,0.1111111111111111
32,3200,0.5885714285714285,0.9090909090909091,0.9,,,0.75,0.9230769230769231,0.18181818181818182,0.08333333333333333
33,3300,0.559322033898305,0.6923076923076923,0.6363636363636364,,0.7058823529411765,0.46153846153846156,,0.23076923076923078,
34,3400,0.5705521472392638,,,0.6923076923076923,,,,,
35,3500,0.6134453781512605,,,,,,,,
36,3600,0.35964912280701755,0.5333333333333333,0.47058823529411764,,0.5217391304347826,,,0.11764705882352941,
37,3700,0.6422764227642277,0.7272727272727273,0.6153846153846154,0.9090909090909091,0.6666666666666666,,0.8,0.1111111111111111,0.3333333333333333
38,3800,0.5823529411764706,1.0,0.7777777777777778,0.8571428571428571,0.6,0.5714285714285714,0.8333333333333334,0.1,0.09090909090909091
39,3900,0.6174863387978142,,0.5833333333333334,0.6428571428571429,,0.6,0.7142857142857143,0.1,0.2857142857142857
40,4000,0.5845070422535211,,,,,0.8181818181818182,,0.18181818181818182,0.23076923076923078
41,4100,0.6,0.7857142857142857,,,0.8333333333333334,0.7272727272727273,,0.3076923076923077,0.1
42,4200,0.5976331360946746,0.8888888888888888,0.6363636363636364,0.7272727272727273,0.5833333333333334,0.8888888888888888,0.8,0.16666666666666666,0.1111111111111111
43,4300,0.5891891891891892,0.7272727272727273,0.8333333333333334,0.6363636363636364,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.2,0.2222222222222222
44,4400,0.6688741721854304,0.9,0.8333333333333334,,0.8888888888888888,,0.9090909090909091,,
45,4500,0.6862745098039216,,,,,,,,
46,4600,0.5625,,,0.7777777777777778,,0.5263157894736842,,0.11764705882352941,0.2777777777777778
47,4700,0.4392523364485981,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.7692307692307693,0.9090909090909091,0.875,0.3333333333333333,0.1
48,4800,0.6036866359447005,0.8571428571428571,0.6666666666666666,,0.625,0.6666666666666666,0.7142857142857143,0.36363636363636365,
49,4900,0.6173913043478261,0.8333333333333334,0.5,,0.7857142857142857,0.6,0.8461538461538461,,
50,5000,0.5833333333333334,0.8181818181818182,,0.5714285714285714,0.6,0.7272727272727273,0.8461538461538461,,0.23076923076923078
51,5100,0.6129032258064516,0.8333333333333334,,0.8461538461538461,0.6666666666666666,0.7,0.8,0.14285714285714285,0.1
52,5200,0.6377952755905512,,0.8571428571428571,0.7692307692307693,0.9,0.6666666666666666,0.7777777777777778,,0.3
53,5300,0.6402877697841727,,0.8,0.9090909090909091,0.7272727272727273,,,,0.09090909090909091
54,5400,0.6228571428571429,0.6666666666666666,0.8461538461538461,0.7272727272727273,0.7,,,0.16666666666666666,0.125
55,5500,0.6153846153846154,0.75,0.8888888888888888,,0.7777777777777778,0.75,0.8,0.23076923076923078,0.0
56,5600,0.6143790849673203,0.8,0.7692307692307693,,0.9166666666666666,0.6923076923076923,0.7857142857142857,0.2222222222222222,0.0
57,5700,0.6309523809523809,0.9,0.8181818181818182,0.7692307692307693,0.8333333333333334,0.7777777777777778,0.7,0.09090909090909091,0.15384615384615385
58,5800,0.639344262295082,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8181818181818182,0.9166666666666666,0.1,0.125
59,5900,0.6736111111111112,0.75,,0.7857142857142857,,0.6923076923076923,0.7,,
60,6000,0.6041666666666666,0.9166666666666666,,0.7777777777777778,,0.8,0.7,,
61,6100,0.6237113402061856,0.8181818181818182,,0.9,0.7777777777777778,,0.8888888888888888,0.16666666666666666,
62,6200,0.6376811594202898,0.8,,0.7692307692307693,0.75,,0.7777777777777778,0.18181818181818182,
