,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0,,,,,,,,,
1,100,0.9333333333333333,,0.9230769230769231,,0.8666666666666667,,1.0,0.9285714285714286,0.9285714285714286
2,200,0.864406779661017,,0.7777777777777778,,0.8,,0.9,1.0,1.0
3,300,0.8142857142857143,0.7692307692307693,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.7857142857142857,0.75,1.0,0.9090909090909091
4,400,0.7727272727272727,0.5555555555555556,0.6363636363636364,0.9,0.5454545454545454,,0.9,,1.0
5,500,0.7672955974842768,0.7272727272727273,,0.2222222222222222,,,,,
6,600,0.7852760736196319,,,,,0.8,,0.9411764705882353,
7,700,0.8590308370044053,,0.8,,0.7857142857142857,0.8,0.9,,
8,800,0.84251968503937,0.8125,,0.7777777777777778,0.6923076923076923,0.75,0.8333333333333334,,
9,900,0.8776978417266187,0.8571428571428571,,0.9333333333333333,,,,0.9230769230769231,0.9230769230769231
10,1000,0.967741935483871,,0.9285714285714286,,,,,1.0,
11,1100,0.8838709677419355,,,,0.9090909090909091,0.9333333333333333,0.8333333333333334,,
12,1200,0.8412698412698413,,,,0.8,0.75,0.9285714285714286,,0.7857142857142857
13,1300,0.9027777777777778,,0.9285714285714286,,,,0.8,0.8,0.8333333333333334
14,1400,0.76,0.7368421052631579,0.9090909090909091,0.9047619047619048,,,0.8333333333333334,0.5833333333333334,0.4444444444444444
15,1500,0.7721518987341772,0.9090909090909091,,1.0,0.75,0.8333333333333334,,,0.1111111111111111
16,1600,0.6447368421052632,,,0.8181818181818182,0.6363636363636364,0.9230769230769231,,,
17,1700,0.5813953488372093,,0.4444444444444444,,,,,0.15789473684210525,
18,1800,0.40145985401459855,0.6190476190476191,0.7142857142857143,,,,,,0.15789473684210525
19,1900,0.6031746031746031,0.875,0.6,0.47368421052631576,0.9166666666666666,0.4375,0.6923076923076923,,0.09090909090909091
20,2000,0.6022727272727273,,,0.75,0.6666666666666666,0.8,0.6923076923076923,0.35714285714285715,0.4
21,2100,0.5842696629213483,,,0.6363636363636364,0.7,0.6,0.75,0.3076923076923077,0.09090909090909091
22,2200,0.6729559748427673,0.7857142857142857,0.7857142857142857,,0.6428571428571429,0.8,,0.3,0.36363636363636365
23,2300,0.6363636363636364,0.7333333333333333,0.7272727272727273,,0.8181818181818182,0.75,,0.125,0.2222222222222222
24,2400,0.6458333333333334,,0.7692307692307693,0.7857142857142857,0.8,0.7,0.8461538461538461,0.4166666666666667,0.1111111111111111
25,2500,0.6403940886699507,,0.7,0.8333333333333334,,0.75,0.8333333333333334,,0.2
26,2600,0.6413793103448275,0.75,,,,0.625,0.7777777777777778,,
27,2700,,0.8461538461538461,,,0.7272727272727273,0.7272727272727273,,,
28,2800,,,0.55,0.7272727272727273,0.5625,0.6363636363636364,,,0.058823529411764705
29,2900,0.45768025078369906,,,0.4,,,0.75,0.2,0.14285714285714285
30,3000,0.5955056179775281,0.8181818181818182,,,,,0.9,0.0,0.15384615384615385
31,3100,0.5967741935483871,0.7692307692307693,0.75,,0.6153846153846154,0.6428571428571429,0.75,,0.2727272727272727
32,3200,0.6466666666666666,0.8181818181818182,0.9,0.75,0.75,0.7272727272727273,,,0.18181818181818182
33,3300,0.610062893081761,0.8888888888888888,0.6666666666666666,0.8181818181818182,0.9166666666666666,0.7272727272727273,,0.16666666666666666,0.25
34,3400,0.6298701298701299,,,0.8888888888888888,0.5,0.5555555555555556,0.8461538461538461,0.18181818181818182,0.1
35,3500,0.6296296296296297,,,0.7692307692307693,0.875,0.5555555555555556,0.6666666666666666,0.125,
36,3600,0.5705521472392638,0.7857142857142857,0.75,,0.8181818181818182,0.8,0.7857142857142857,0.08333333333333333,
37,3700,0.5827338129496403,0.7692307692307693,,,,,,,0.09090909090909091
38,3800,0.6382978723404256,,,0.6923076923076923,,,,,
39,3900,,,0.5,,0.45454545454545453,,,0.23809523809523808,
40,4000,,0.4090909090909091,0.75,,0.7272727272727273,,,0.3,0.07692307692307693
41,4100,0.6174863387978142,0.7777777777777778,0.8888888888888888,0.7142857142857143,,0.8,0.7857142857142857,0.2,0.1111111111111111
42,4200,0.6258064516129033,,,0.6666666666666666,,0.8333333333333334,0.8,,
43,4300,0.643312101910828,,,0.8333333333333334,0.75,0.4444444444444444,0.7272727272727273,,
44,4400,0.5348837209302325,,0.6,0.8571428571428571,0.8888888888888888,0.5,0.7692307692307693,0.07692307692307693,0.0
45,4500,0.625,,0.8,0.6666666666666666,0.8,0.7272727272727273,,0.18181818181818182,0.1111111111111111
46,4600,0.5722543352601156,0.7692307692307693,0.8181818181818182,,0.7142857142857143,0.6363636363636364,,0.35714285714285715,0.14285714285714285
47,4700,0.7579617834394905,0.7272727272727273,0.6666666666666666,,0.75,0.7692307692307693,0.8461538461538461,,
48,4800,0.6037735849056604,0.9090909090909091,,0.8125,0.6363636363636364,,,,
49,4900,0.6153846153846154,0.75,,,0.6923076923076923,,,0.29411764705882354,0.125
50,5000,0.49099099099099097,0.6153846153846154,0.8,,0.6,0.5714285714285714,0.75,0.2,
51,5100,0.6076555023923444,,0.8,0.6666666666666666,0.8,0.6363636363636364,0.8,0.2222222222222222,
52,5200,0.6354166666666666,,0.7777777777777778,0.7777777777777778,0.7,0.6666666666666666,0.75,0.1111111111111111,0.0
53,5300,0.6259541984732825,0.8,0.8,0.75,,,0.8,0.2,0.16666666666666666
54,5400,0.6356589147286822,0.9090909090909091,0.6363636363636364,0.7857142857142857,,,0.7777777777777778,0.2222222222222222,0.2
55,5500,0.6138613861386139,0.7,0.7777777777777778,0.8888888888888888,0.7105263157894737,0.7692307692307693,0.7272727272727273,0.16666666666666666,0.1111111111111111
