,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,2.00244,instagram
1,100,0.9444444444444444,0.9375,1.0,1.0,1.0,0.9285714285714286,0.9473684210526315,0.8421052631578947,0.9333333333333333,,instagram
2,200,0.9183673469387755,0.8,0.7272727272727273,0.7333333333333333,0.75,0.6923076923076923,0.6363636363636364,0.8571428571428571,,,instagram
3,300,0.7513227513227513,,0.6666666666666666,0.9166666666666666,0.5555555555555556,0.7272727272727273,,,,2.00244,instagram
4,400,0.7159090909090909,,,,0.6,,,,0.8461538461538461,,instagram
5,500,,0.7857142857142857,,,,,,1.0,1.0,1.99665,instagram
6,600,,,0.8333333333333334,0.9285714285714286,,0.9285714285714286,,0.9411764705882353,,,instagram
7,700,0.9146341463414634,,0.8,0.7333333333333333,0.7333333333333333,0.9333333333333333,0.9411764705882353,,,,instagram
8,800,0.7989690721649485,0.8,,,0.9,,0.75,,0.8125,1.99665,instagram
9,900,0.825,0.7,,,,,,0.9285714285714286,1.0,,instagram
10,1000,0.8835616438356164,0.7333333333333333,0.9090909090909091,0.8,,0.9166666666666666,,0.9285714285714286,1.0,2.00651,instagram
11,1100,0.8701298701298701,,0.8571428571428571,0.8,0.8461538461538461,1.0,0.8823529411764706,0.7,,,instagram
12,1200,0.8840579710144928,,,0.8181818181818182,,,,,,,instagram
13,1300,0.8333333333333334,0.8181818181818182,,0.75,,,,,0.38461538461538464,2.00651,instagram
14,1400,0.704225352112676,0.8,0.9166666666666666,0.8181818181818182,0.9,0.8333333333333334,0.7692307692307693,0.36363636363636365,0.7,,instagram
15,1500,0.7077922077922078,0.6923076923076923,0.8181818181818182,0.7692307692307693,0.6923076923076923,0.7272727272727273,0.7,0.25,0.2222222222222222,,instagram
16,1600,0.6536585365853659,0.7777777777777778,0.7777777777777778,,0.9090909090909091,0.8888888888888888,0.8181818181818182,0.3076923076923077,0.09090909090909091,1.6236000000000002,instagram
17,1700,0.6687898089171974,0.8,0.7272727272727273,,,0.8461538461538461,0.8,0.2,0.26666666666666666,,instagram
18,1800,0.6129032258064516,0.8181818181818182,,0.6666666666666666,,0.7272727272727273,,0.2,,1.6236000000000002,instagram
19,1900,0.6,0.5833333333333334,,0.7692307692307693,0.6,0.6153846153846154,,0.3,,,instagram
20,2000,0.6164383561643836,0.9,0.7272727272727273,0.8,0.875,0.6363636363636364,0.6666666666666666,0.36363636363636365,0.2727272727272727,,instagram
21,2100,0.6213592233009708,,0.7,0.6363636363636364,0.8181818181818182,0.6363636363636364,0.9166666666666666,0.38461538461538464,0.18181818181818182,1.42352,instagram
22,2200,0.6714285714285714,,0.6153846153846154,0.9090909090909091,0.6363636363636364,0.6,0.9166666666666666,0.2727272727272727,0.4166666666666667,,instagram
23,2300,0.6267605633802817,0.8181818181818182,,0.8181818181818182,0.8,0.8888888888888888,0.6666666666666666,0.2222222222222222,0.1111111111111111,,instagram
24,2400,0.6940298507462687,0.9,,,,,0.8,,0.1,1.42352,instagram
25,2500,0.6171428571428571,0.8333333333333334,0.7272727272727273,,,,,,0.18181818181818182,,instagram
