,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0,,,,,,,,,
1,100,0.93717277486911,0.7894736842105263,1.0,,0.9523809523809523,0.9090909090909091,0.9333333333333333,1.0,0.9333333333333333
2,200,0.8285714285714286,,0.75,,1.0,0.8888888888888888,0.6363636363636364,1.0,0.9
3,300,0.8356164383561644,,0.6363636363636364,0.9285714285714286,0.625,0.6666666666666666,,1.0,
4,400,0.8245614035087719,0.7857142857142857,,,0.9166666666666666,,,,
5,500,0.9637305699481865,1.0,,,,,1.0,,1.0
6,600,0.8284023668639053,0.8181818181818182,0.9333333333333333,0.9230769230769231,,0.9230769230769231,0.6923076923076923,0.9285714285714286,1.0
7,700,0.9428571428571428,,0.8181818181818182,0.7272727272727273,0.9375,0.8333333333333334,,0.9166666666666666,
8,800,0.90625,,,,0.9090909090909091,,,,
9,900,0.9193548387096774,,,,,,,,0.9166666666666666
10,1000,0.9375,,0.9230769230769231,0.9375,,0.9375,,0.9285714285714286,0.9375
11,1100,0.9139784946236559,1.0,0.9166666666666666,,0.8333333333333334,,0.7777777777777778,1.0,0.42857142857142855
12,1200,0.6818181818181818,0.75,0.8181818181818182,,0.8333333333333334,,0.9090909090909091,0.5833333333333334,0.45454545454545453
13,1300,0.6772486772486772,0.625,0.8,0.9166666666666666,,0.75,0.4444444444444444,0.25,0.45454545454545453
14,1400,0.5895953757225434,0.7692307692307693,0.5833333333333334,0.7857142857142857,,0.75,0.8181818181818182,0.3076923076923077,
15,1500,0.6507936507936508,,,0.6363636363636364,,0.6666666666666666,,,
16,1600,0.6118421052631579,,,,,,,,0.18181818181818182
17,1700,0.6120218579234973,0.7692307692307693,0.7142857142857143,,0.7692307692307693,,0.75,0.23076923076923078,0.1
18,1800,0.5894039735099338,0.7272727272727273,0.8461538461538461,0.8181818181818182,0.7142857142857143,0.6153846153846154,0.7333333333333333,0.15384615384615385,0.45454545454545453
19,1900,0.6375838926174496,0.7,0.7,0.6666666666666666,0.8,0.6666666666666666,0.8333333333333334,0.25,0.09090909090909091
20,2000,0.6510416666666666,0.8888888888888888,0.8888888888888888,0.9230769230769231,0.7272727272727273,0.8181818181818182,0.9,0.25,0.18181818181818182
21,2100,0.6518518518518519,0.8461538461538461,0.6,0.6,0.8181818181818182,0.75,,0.16666666666666666,
22,2200,0.6222222222222222,0.75,1.0,0.7,0.6666666666666666,0.7272727272727273,,0.1111111111111111,
23,2300,0.5960264900662252,0.75,,0.7,0.7,,0.7857142857142857,,0.3333333333333333
24,2400,0.6474820143884892,0.9166666666666666,,0.8181818181818182,0.8181818181818182,,0.6,,0.1
