,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,2.00736,linkedin
1,100,0.967032967032967,,1.0,,0.9375,,1.0,1.0,,,linkedin
2,200,0.8275862068965517,,0.8125,,0.8181818181818182,,0.8333333333333334,1.0,,2.00736,linkedin
3,300,0.8742857142857143,,0.8461538461538461,,,0.8,,,0.9090909090909091,,linkedin
4,400,0.8509316770186336,,,,,0.8666666666666667,,,0.9230769230769231,,linkedin
5,500,0.9705882352941176,0.9230769230769231,,0.875,0.9411764705882353,0.9230769230769231,1.0,1.0,1.0,2.0114400000000003,linkedin
6,600,0.8604651162790697,,0.6923076923076923,0.9090909090909091,,,,,,,linkedin
7,700,0.8709677419354839,,0.8666666666666667,,,,,,,,linkedin
8,800,0.937984496124031,0.9375,,,,,0.9166666666666666,1.0,0.9285714285714286,2.0114400000000003,linkedin
9,900,0.9483870967741935,,,,,,,,,,linkedin
10,1000,0.9,,,,,,,,,,linkedin
11,1100,0.7326732673267327,0.9047619047619048,0.782608695652174,0.8,,,0.6842105263157895,0.7,0.7,2.0114400000000003,linkedin
12,1200,0.7315436241610739,0.9090909090909091,0.8181818181818182,0.7777777777777778,0.75,,0.8333333333333334,0.5,0.4444444444444444,,linkedin
13,1300,0.6946564885496184,0.75,,0.7272727272727273,0.7272727272727273,,0.8,0.2,,2.0114400000000003,linkedin
14,1400,0.6466666666666666,0.7777777777777778,,0.8333333333333334,0.6666666666666666,0.8,0.7,0.45454545454545453,,,linkedin
15,1500,0.6584158415841584,,0.75,0.7,0.75,,,,0.18518518518518517,,linkedin
16,1600,0.6380368098159509,,0.75,0.9,0.75,,,,0.1111111111111111,1.8426200000000001,linkedin
17,1700,0.6381578947368421,0.9090909090909091,0.7272727272727273,0.75,,0.75,0.8888888888888888,0.18181818181818182,,,linkedin
18,1800,0.6066350710900474,0.9166666666666666,0.5,,,0.6,0.8461538461538461,0.23076923076923078,,1.8426200000000001,linkedin
19,1900,0.6301369863013698,0.7272727272727273,,,0.6923076923076923,,0.7692307692307693,0.5,0.18181818181818182,,linkedin
20,2000,0.646551724137931,0.8,,,,,,,,,linkedin
21,2100,0.3302752293577982,,0.47368421052631576,,,0.45,,,,1.9019,linkedin
22,2200,0.7,,0.7272727272727273,0.47368421052631576,0.8,0.5454545454545454,0.6363636363636364,0.42857142857142855,0.1590909090909091,,linkedin
23,2300,0.58125,0.7272727272727273,,0.75,1.0,0.6666666666666666,0.6666666666666666,0.18181818181818182,0.11538461538461539,,linkedin
24,2400,0.6139240506329114,0.75,,0.8571428571428571,0.7272727272727273,,0.6363636363636364,0.1111111111111111,0.3333333333333333,1.9019,linkedin
25,2500,0.6458333333333334,0.8666666666666667,,0.875,0.7,,0.7857142857142857,0.3,0.18181818181818182,,linkedin
26,2600,0.6557377049180327,0.9166666666666666,,0.75,,0.8181818181818182,,0.21428571428571427,,,linkedin
27,2700,0.6190476190476191,0.75,0.7142857142857143,0.75,,0.7692307692307693,,0.2,,1.7721,linkedin
28,2800,0.6074074074074074,,0.8461538461538461,,0.6363636363636364,0.75,0.7857142857142857,0.125,0.1,,linkedin
29,2900,0.6536312849162011,,0.9090909090909091,,0.8333333333333334,0.8,0.7857142857142857,,,1.7721,linkedin
30,3000,0.65,0.8571428571428571,0.7777777777777778,0.6428571428571429,0.75,,,,,,linkedin
31,3100,0.6462585034013606,,,,,,,0.18181818181818182,0.0,,linkedin
32,3200,,,,,,,,,,1.6879500000000005,linkedin
33,3300,,0.8333333333333334,0.7272727272727273,0.7272727272727273,0.7692307692307693,,,,,,linkedin
34,3400,0.6521739130434783,0.8181818181818182,0.8181818181818182,0.75,0.6363636363636364,0.75,0.8275862068965517,0.2727272727272727,0.12903225806451613,,linkedin
35,3500,0.6339869281045751,0.8333333333333334,,0.8,,0.7272727272727273,,0.18181818181818182,0.06896551724137931,1.6879500000000005,linkedin
36,3600,0.6157894736842106,1.0,,0.7,,0.7692307692307693,,0.16666666666666666,,,linkedin
37,3700,0.5957446808510638,0.8461538461538461,0.6666666666666666,0.9090909090909091,0.8181818181818182,0.4166666666666667,0.75,0.1111111111111111,,1.7028,linkedin
38,3800,0.6375,0.7,0.8888888888888888,0.8,0.75,0.7,0.9090909090909091,0.18181818181818182,0.23076923076923078,,linkedin
39,3900,0.639344262295082,1.0,0.6666666666666666,0.6666666666666666,0.7692307692307693,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.1,,linkedin
40,4000,0.6344086021505376,0.8181818181818182,0.7692307692307693,,,,0.7272727272727273,0.2,0.3333333333333333,1.7028,linkedin
41,4100,0.5496688741721855,,,,,,,,,,linkedin
42,4200,,,,0.5625,0.6086956521739131,0.65,,,,,linkedin
43,4300,,0.7272727272727273,0.5294117647058824,0.6,0.8181818181818182,,0.6470588235294118,0.2,0.5294117647058824,1.76715,linkedin
44,4400,0.6593406593406593,0.75,0.6923076923076923,0.8461538461538461,,,0.8333333333333334,0.16666666666666666,0.18181818181818182,,linkedin
45,4500,0.593939393939394,,0.8,0.8,,0.6,0.6923076923076923,,0.1,,linkedin
46,4600,0.6321243523316062,,0.6,0.8,0.7272727272727273,0.8181818181818182,,,0.2222222222222222,1.76715,linkedin
47,4700,0.6461538461538462,0.9285714285714286,,,0.6363636363636364,0.75,,,0.23076923076923078,,linkedin
48,4800,0.6458333333333334,0.75,,,0.7,0.8333333333333334,0.8461538461538461,,,1.7226,linkedin
49,4900,0.6397849462365591,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7272727272727273,0.8181818181818182,0.1,,,linkedin
50,5000,0.6341463414634146,0.7857142857142857,0.7857142857142857,0.8333333333333334,0.7,0.8181818181818182,0.9090909090909091,0.2222222222222222,,,linkedin
51,5100,0.655367231638418,0.875,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.5,0.8,0.25,,1.7226,linkedin
52,5200,0.6428571428571429,0.8333333333333334,0.8181818181818182,0.6363636363636364,0.7272727272727273,,0.8181818181818182,0.3333333333333333,0.0,,linkedin
53,5300,0.6461538461538462,,0.7,0.8,0.9090909090909091,,0.9090909090909091,0.2222222222222222,0.25,,linkedin
54,5400,0.6370370370370371,,0.9,0.8181818181818182,0.5555555555555556,0.7142857142857143,0.9230769230769231,0.2222222222222222,0.15384615384615385,1.6632000000000002,linkedin
55,5500,0.6174496644295302,0.8461538461538461,0.75,0.7,0.8888888888888888,0.625,0.7777777777777778,0.3333333333333333,0.125,,linkedin
56,5600,0.653179190751445,0.8333333333333334,,0.6,,0.6666666666666666,0.8181818181818182,0.2727272727272727,0.25,1.6632000000000002,linkedin
57,5700,0.6377551020408163,0.7,,,,0.8461538461538461,,0.25,0.2,,linkedin
58,5800,0.64,0.7777777777777778,0.8571428571428571,,0.9166666666666666,0.8,,0.1111111111111111,0.18181818181818182,,linkedin
59,5900,0.6428571428571429,0.8333333333333334,0.9230769230769231,0.7142857142857143,0.8181818181818182,,0.8333333333333334,,0.0,1.64176,linkedin
60,6000,0.6170212765957447,0.8333333333333334,0.7777777777777778,0.8,0.6363636363636364,,0.7692307692307693,,0.25,,linkedin
61,6100,0.6121212121212121,,,,,0.6428571428571429,,,,,linkedin
62,6200,0.5741935483870968,,,,,0.5454545454545454,,,,1.64176,linkedin
