,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.4346299999999998,microsoft
1,100,,0.7142857142857143,0.875,,0.8333333333333334,0.7692307692307693,0.8947368421052632,0.8333333333333334,0.9411764705882353,,microsoft
2,200,,0.3333333333333333,0.8181818181818182,,0.8461538461538461,0.75,,1.0,1.0,,microsoft
3,300,0.8580645161290322,,,0.9230769230769231,0.7142857142857143,0.8888888888888888,,1.0,1.0,1.4346299999999998,microsoft
4,400,0.823170731707317,,,,,,0.9333333333333333,,1.0,,microsoft
5,500,0.9011627906976745,0.8666666666666667,0.9230769230769231,,,,,,,1.4346299999999998,microsoft
6,600,0.9555555555555556,0.7272727272727273,0.9285714285714286,0.9333333333333333,0.8571428571428571,1.0,,0.8461538461538461,,,microsoft
7,700,0.8846153846153846,0.8,0.9166666666666666,0.8571428571428571,,0.6153846153846154,0.7857142857142857,1.0,1.0,,microsoft
8,800,0.8333333333333334,0.9,,0.5833333333333334,,0.8888888888888888,0.8,0.8461538461538461,0.9090909090909091,1.4346299999999998,microsoft
9,900,0.8011049723756906,,,,0.7647058823529411,0.7857142857142857,0.7692307692307693,,0.875,,microsoft
10,1000,0.7961783439490446,,0.8461538461538461,,,,0.7777777777777778,,0.8333333333333334,,microsoft
11,1100,0.8387096774193549,,,0.7692307692307693,,,,0.8125,0.8125,1.0168,microsoft
12,1200,0.8225806451612904,,,0.6842105263157895,0.6363636363636364,,,1.0,,,microsoft
13,1300,0.6199095022624435,0.9375,0.65,,,,0.8461538461538461,,,,microsoft
14,1400,0.896774193548387,1.0,,,,0.8571428571428571,0.8666666666666667,,0.9230769230769231,1.0168,microsoft
15,1500,0.9387755102040817,0.9090909090909091,,0.9285714285714286,0.8125,,,0.8181818181818182,0.9,,microsoft
16,1600,0.9029126213592233,0.7857142857142857,0.8666666666666667,0.8666666666666667,0.8461538461538461,,,0.4444444444444444,0.5454545454545454,0.7604099999999999,microsoft
17,1700,0.8195876288659794,,0.8,,0.8888888888888888,,0.7333333333333333,0.45454545454545453,0.2222222222222222,,microsoft
18,1800,0.6752577319587629,,0.9,,,,0.7777777777777778,0.2222222222222222,0.36363636363636365,,microsoft
19,1900,0.6909090909090909,0.8,0.75,0.9090909090909091,,0.75,0.8888888888888888,0.25,,0.7604099999999999,microsoft
20,2000,0.6758620689655173,0.6923076923076923,,0.6666666666666666,0.7692307692307693,0.8333333333333334,0.6666666666666666,0.3333333333333333,,,microsoft
21,2100,0.6490066225165563,,,0.7692307692307693,0.8,0.9,,,0.21428571428571427,0.56274,microsoft
22,2200,0.6,,0.6666666666666666,,,,,,,,microsoft
23,2300,0.4618834080717489,0.8,,,,,0.6923076923076923,0.125,,,microsoft
24,2400,0.6136363636363636,0.75,,0.75,0.75,0.75,0.8333333333333334,0.23076923076923078,0.29411764705882354,,microsoft
25,2500,0.5882352941176471,0.8181818181818182,0.6923076923076923,0.6428571428571429,0.7777777777777778,0.6363636363636364,0.6666666666666666,0.2222222222222222,0.18181818181818182,0.56274,microsoft
26,2600,0.627906976744186,0.8,0.6923076923076923,0.8181818181818182,0.7777777777777778,0.7,0.7272727272727273,0.2727272727272727,0.3333333333333333,,microsoft
27,2700,0.6470588235294118,,0.75,0.9,,0.8333333333333334,0.9,0.125,,0.81508,microsoft
28,2800,0.6438356164383562,,0.8,0.7,,,,0.2222222222222222,,,microsoft
29,2900,0.6643356643356644,0.9166666666666666,0.8461538461538461,0.8,0.6363636363636364,,,0.4,,,microsoft
30,3000,0.6391752577319587,0.8888888888888888,0.875,0.8181818181818182,0.5384615384615384,0.5,0.7333333333333333,0.2,,0.81508,microsoft
31,3100,0.6422764227642277,0.9166666666666666,0.6666666666666666,0.625,0.7272727272727273,0.7272727272727273,,,0.3,,microsoft
32,3200,0.6023391812865497,0.5384615384615384,,,,,,,0.2,0.6972000000000002,microsoft
33,3300,0.5338345864661654,0.8181818181818182,,,,,0.75,0.34146341463414637,0.5,,microsoft
34,3400,0.5526315789473685,0.7777777777777778,0.6153846153846154,0.5294117647058824,0.5625,0.5,0.7692307692307693,0.2222222222222222,,,microsoft
35,3500,0.6477987421383647,,0.8333333333333334,0.8181818181818182,0.8461538461538461,0.9,0.8,,,0.6972000000000002,microsoft
36,3600,0.6564885496183206,,0.9090909090909091,0.8,0.6666666666666666,0.75,0.8181818181818182,,0.1,,microsoft
37,3700,0.6369426751592356,0.7272727272727273,0.6923076923076923,,,0.8333333333333334,0.8,0.1,0.2,,microsoft
38,3800,0.6258503401360545,0.9166666666666666,0.8181818181818182,,,0.8,,0.18181818181818182,0.1111111111111111,0.6424200000000001,microsoft
39,3900,0.6666666666666666,0.7272727272727273,0.75,0.8571428571428571,0.7,,,0.3076923076923077,0.3076923076923077,,microsoft
40,4000,0.6195652173913043,0.9,,0.7,0.6428571428571429,,0.9166666666666666,0.25,0.18181818181818182,0.6424200000000001,microsoft
41,4100,0.6666666666666666,0.7142857142857143,,0.7857142857142857,0.75,0.8,0.8333333333333334,,0.3076923076923077,,microsoft
42,4200,0.6770833333333334,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.8,0.625,0.75,,0.2,,microsoft
43,4300,0.6504065040650406,0.8181818181818182,0.8333333333333334,0.75,0.7,0.5833333333333334,0.7272727272727273,0.23076923076923078,,0.92752,microsoft
44,4400,0.6344827586206897,0.9166666666666666,0.8333333333333334,0.9090909090909091,0.6363636363636364,0.8666666666666667,1.0,0.5555555555555556,,,microsoft
45,4500,0.7085714285714285,0.7,0.8181818181818182,0.8333333333333334,0.9230769230769231,0.75,0.75,0.38461538461538464,0.4,,microsoft
46,4600,0.7294117647058823,0.9230769230769231,0.8333333333333334,0.75,0.7272727272727273,,,0.125,0.125,0.92752,microsoft
47,4700,0.6341463414634146,,,,,,,0.3,0.2857142857142857,,microsoft
48,4800,0.5263157894736842,,,,,0.5333333333333333,0.8333333333333334,0.3076923076923077,0.18181818181818182,,microsoft
49,4900,0.6121212121212121,,0.7692307692307693,,0.4,0.7692307692307693,0.6923076923076923,0.4,,0.55776,microsoft
50,5000,0.6167664670658682,,0.8,,0.8,0.6153846153846154,,,,,microsoft
51,5100,0.6,0.8,0.8181818181818182,0.6363636363636364,0.42857142857142855,0.7,,,0.2222222222222222,0.55776,microsoft
52,5200,0.6335403726708074,,0.8,0.625,0.7333333333333333,,0.7333333333333333,0.21428571428571427,0.08333333333333333,,microsoft
53,5300,0.5882352941176471,,,0.5833333333333334,,,0.625,0.4117647058823529,,,microsoft
54,5400,,0.8888888888888888,,,,0.5294117647058824,0.8,0.2222222222222222,,0.53286,microsoft
55,5500,,0.7272727272727273,0.8,,0.9,0.6666666666666666,0.8333333333333334,,0.3333333333333333,,microsoft
56,5600,0.6556603773584906,0.8181818181818182,0.7777777777777778,0.75,0.6363636363636364,,0.875,,0.0,,microsoft
57,5700,0.631578947368421,0.8,0.8,0.8181818181818182,0.8,,,0.16666666666666666,0.21428571428571427,0.53286,microsoft
58,5800,0.6206896551724138,0.8333333333333334,0.8,0.6363636363636364,0.8181818181818182,0.8,,0.2,0.09090909090909091,,microsoft
59,5900,0.6274509803921569,0.8,,0.7272727272727273,0.9,0.5,0.8181818181818182,0.3076923076923077,,,microsoft
60,6000,0.6352201257861635,0.9,,0.7,0.8181818181818182,0.75,0.6153846153846154,0.18181818181818182,,0.5776800000000001,microsoft
61,6100,0.6453900709219859,0.7777777777777778,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.7777777777777778,0.8571428571428571,,0.08333333333333333,,microsoft
62,6200,0.6175438596327054,,0.8333333333333334,0.7272727272727273,,0.8,0.8,,0.3,0.5776800000000001,microsoft
63,6300,0.6624472574050818,,0.8,0.8,,0.75,,0.4166666666666667,0.46153846153846156,,microsoft
64,6400,0.6866666666666666,0.5714285714285714,0.8,,0.7692307692307693,,,0.29411764705882354,0.2857142857142857,,microsoft
65,6500,0.5,0.8181818181818182,0.6,,0.5384615384615384,,0.8,,0.125,0.60258,microsoft
