,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0,,,,,,,,,
1,100,0.9545454545454546,,,1.0,0.8823529411764706,,,1.0,1.0
2,200,0.9558823529411765,,,1.0,0.75,,,,0.9090909090909091
3,300,0.8418367346938775,,,,,,,,
4,400,0.7573529411764706,,,,,,,,
5,500,0.8863636363636364,,0.9444444444444444,0.8421052631578947,0.8823529411764706,0.8125,0.8571428571428571,,1.0
6,600,0.9038461538461539,0.8888888888888888,,,0.9,,1.0,1.0,1.0
7,700,0.9407894736842105,0.9090909090909091,,,0.8181818181818182,,,0.9230769230769231,0.9090909090909091
8,800,0.8571428571428571,0.7333333333333333,,0.8461538461538461,0.6,0.7333333333333333,,0.9230769230769231,1.0
9,900,0.810126582278481,0.5454545454545454,,0.7333333333333333,,0.7692307692307693,0.875,1.0,1.0
10,1000,0.7735849056603774,0.75,0.5833333333333334,0.875,,0.9,0.7692307692307693,1.0,
11,1100,0.8535031847133758,,0.8461538461538461,0.8888888888888888,0.8571428571428571,0.7272727272727273,0.9090909090909091,,
12,1200,0.8658536585365854,,0.8333333333333334,,0.9230769230769231,,,,
13,1300,0.9024390243902439,,,,,,,,
14,1400,0.9466666666666667,,,,,,,,1.0
15,1500,,,1.0,,,,,0.5714285714285714,0.5714285714285714
16,1600,,0.7619047619047619,0.5625,0.6956521739130435,0.7727272727272727,0.7368421052631579,0.625,0.3333333333333333,
17,1700,0.6632653061224489,0.8571428571428571,,0.8,0.8,0.8,0.9166666666666666,0.4166666666666667,
18,1800,0.6987179487179487,0.7272727272727273,,,0.6,0.7272727272727273,0.7,,0.3076923076923077
19,1900,0.6036585365853658,0.75,0.7272727272727273,,0.7777777777777778,,0.7,,0.4166666666666667
20,2000,0.6235955056179775,0.7692307692307693,0.6363636363636364,0.8333333333333334,0.8181818181818182,,0.8333333333333334,0.35714285714285715,0.18181818181818182
21,2100,0.6534090909090909,,0.8,0.8333333333333334,0.6666666666666666,,,0.46153846153846156,0.4166666666666667
22,2200,0.6328125,,0.7857142857142857,0.8181818181818182,0.6,,,0.3,0.36363636363636365
23,2300,0.7195767195767195,0.8,0.7,0.6923076923076923,0.7272727272727273,0.8181818181818182,0.8461538461538461,0.25,
24,2400,0.6068965517241379,0.9090909090909091,0.6363636363636364,0.75,0.8888888888888888,0.5833333333333334,0.6666666666666666,,
25,2500,0.660377358490566,,,0.7,,0.7,0.6666666666666666,,0.2727272727272727
26,2600,0.6012658227848101,,,,,,,0.25,0.3125
27,2700,0.47641509433962265,0.6470588235294118,0.5333333333333333,,0.7142857142857143,,,0.16666666666666666,0.3333333333333333
28,2800,0.673469387755102,0.8181818181818182,0.8181818181818182,0.8,0.6666666666666666,0.5555555555555556,0.8461538461538461,0.3,0.2727272727272727
29,2900,0.6342857142857142,0.8,0.7272727272727273,0.6923076923076923,0.9090909090909091,,,0.1111111111111111,
30,3000,0.6598639455782312,,0.8181818181818182,0.8461538461538461,0.7777777777777778,,,0.25,
31,3100,0.6181818181818182,,,0.8888888888888888,0.7777777777777778,0.7142857142857143,0.7692307692307693,0.3333333333333333,0.1
32,3200,0.6820512820512821,0.9166666666666666,,0.8,0.7,0.75,0.8888888888888888,,0.3333333333333333
33,3300,0.72,0.8571428571428571,,,0.75,,0.9,,0.2
34,3400,0.6343283582089553,0.8,,,0.6363636363636364,,0.8333333333333334,0.35714285714285715,0.16666666666666666
35,3500,0.5747126436781609,,0.6666666666666666,0.6363636363636364,,0.6666666666666666,0.7777777777777778,,
36,3600,0.6619718309859155,,,,,,,,
37,3700,0.5918367346938775,,,,0.47619047619047616,,,0.25806451612903225,0.2222222222222222
38,3800,0.3557692307692308,,0.5555555555555556,0.5294117647058824,0.8333333333333334,0.4444444444444444,0.55,,0.2857142857142857
39,3900,0.6544117647058824,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.8,0.5833333333333334,0.8333333333333334,,0.16666666666666666
40,4000,0.6229508196721312,0.6666666666666666,0.8181818181818182,0.5555555555555556,,0.5555555555555556,0.7272727272727273,0.26666666666666666,0.2727272727272727
41,4100,0.5703703703703704,0.8,0.75,0.6153846153846154,,0.5555555555555556,,0.4444444444444444,
42,4200,0.5796178343949044,0.7272727272727273,,,0.8333333333333334,0.5384615384615384,,0.2727272727272727,
43,4300,0.6375838926174496,0.7272727272727273,,,0.5714285714285714,,0.8,,0.2
44,4400,0.5862068965517241,0.8888888888888888,0.7142857142857143,0.6428571428571429,0.9090909090909091,,0.7,,0.5
45,4500,0.7076923076923077,0.75,0.9,0.9,0.9090909090909091,0.8,0.9090909090909091,0.42857142857142855,0.1111111111111111
46,4600,0.6904761904761905,,0.8181818181818182,,0.38461538461538464,0.6153846153846154,0.8461538461538461,0.2,0.1
47,4700,0.608,,0.7777777777777778,,,,,0.3076923076923077,0.3
48,4800,0.5454545454545454,0.7777777777777778,0.7058823529411765,0.6111111111111112,,,,0.2222222222222222,0.2222222222222222
49,4900,0.6209677419354839,0.7692307692307693,,0.9,0.9166666666666666,0.7272727272727273,0.8,0.3333333333333333,0.2222222222222222
50,5000,0.6602564102564102,0.8888888888888888,,0.5714285714285714,0.6666666666666666,0.7,0.7272727272727273,0.36363636363636365,0.3333333333333333
51,5100,0.625,0.8,0.75,0.6363636363636364,0.8461538461538461,0.8,0.75,,0.35714285714285715
52,5200,0.6741573033707865,0.9,0.8,0.7777777777777778,0.8333333333333334,0.8181818181818182,0.9,,0.1111111111111111
53,5300,0.6698113207547169,,0.7272727272727273,0.6923076923076923,,0.8333333333333334,,0.2222222222222222,0.18181818181818182
54,5400,0.6475409836065574,,0.9090909090909091,0.8,,0.6363636363636364,,0.1,0.2222222222222222
55,5500,0.6604938271604939,0.8181818181818182,0.7692307692307693,0.7777777777777778,0.8333333333333334,0.7,0.7,0.4,0.2
56,5600,0.6458333333333334,0.8333333333333334,0.9090909090909091,,0.6363636363636364,,0.75,0.25,
57,5700,0.5987261146496815,0.6666666666666666,,,0.7272727272727273,,0.75,0.3333333333333333,
58,5800,0.5942857142857143,0.6923076923076923,,0.5454545454545454,0.8333333333333334,0.6,0.6666666666666666,,0.18181818181818182
59,5900,0.6260162601626016,0.9230769230769231,0.8,0.8,0.6666666666666666,0.8181818181818182,0.8181818181818182,,0.1111111111111111
60,6000,0.6547619047619048,0.7272727272727273,0.7272727272727273,0.7857142857142857,0.8181818181818182,0.4166666666666667,0.8461538461538461,0.3,0.2
61,6100,0.6145251396648045,,0.8181818181818182,0.8333333333333334,0.5,0.8,0.8,0.4,0.4
62,6200,0.6643835616438356,,0.8,,0.8181818181818182,,0.8,0.2727272727272727,0.16666666666666666
63,6300,0.6518987341772152,0.8,,,0.8181818181818182,,0.8181818181818182,0.2727272727272727,0.16666666666666666
64,6400,0.5984848484848485,0.8571428571428571,,0.75,0.6666666666666666,0.6363636363636364,0.8888888888888888,0.125,0.3
65,6500,0.6506849315068494,0.9,0.6666666666666666,0.7272727272727273,,0.8571428571428571,0.8,0.16666666666666666,
66,6600,0.6444444444444445,0.8,0.8333333333333334,0.8,,0.8,,,
67,6700,0.62,,,0.8,0.6190476190476191,,,,0.17647058823529413
68,6800,0.5681818181818182,,,,0.7272727272727273,,0.625,0.25,0.1111111111111111
69,6900,0.4444444444444444,0.75,0.65,,,0.42857142857142855,0.8181818181818182,0.2222222222222222,
70,7000,0.6923076923076923,0.8181818181818182,0.875,,,0.8571428571428571,0.7142857142857143,0.3076923076923077,
71,7100,0.5845410628019324,0.7692307692307693,0.8181818181818182,,0.8571428571428571,0.6875,0.5,0.46153846153846156,0.18181818181818182
72,7200,0.631578947368421,0.8888888888888888,0.8181818181818182,0.7692307692307693,,0.7272727272727273,0.8461538461538461,,0.4
73,7300,0.6707317073170732,,0.75,0.5555555555555556,,0.6,0.7272727272727273,,0.45454545454545453
74,7400,0.6533333333333333,,0.8181818181818182,0.8181818181818182,0.8333333333333334,0.8333333333333334,,0.46153846153846156,0.46153846153846156
75,7500,0.717391304347826,0.8181818181818182,,,0.6896551724137931,0.7777777777777778,,0.45454545454545453,0.5
76,7600,0.7241379310344828,0.8181818181818182,,,,0.5555555555555556,0.8461538461538461,,
77,7700,0.6644736842105263,0.9166666666666666,0.8,0.7333333333333333,,,0.8461538461538461,,
78,7800,0.6923076923076923,0.8181818181818182,0.6363636363636364,0.9,,,,0.2777777777777778,0.3333333333333333
79,7900,0.6785714285714286,0.7333333333333333,,,,,,0.36363636363636365,0.4166666666666667
80,8000,0.49038461538461536,0.8,,,,,0.631578947368421,,
