,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0,,,,,,,,,
1,100,0.9893617021276596,,0.9375,0.9285714285714286,0.9166666666666666,0.9375,1.0,1.0,0.9411764705882353
2,200,0.8680555555555556,,0.6666666666666666,,0.8181818181818182,,0.9090909090909091,0.8888888888888888,1.0
3,300,0.7816901408450704,0.5833333333333334,,,0.9090909090909091,,0.8333333333333334,0.9310344827586207,0.9090909090909091
4,400,0.7573529411764706,0.6363636363636364,,0.8181818181818182,0.5454545454545454,0.6153846153846154,0.8181818181818182,,
5,500,0.7528089887640449,0.6666666666666666,,,,,,,
6,600,0.7456140350877193,,,,,,,,0.7368421052631579
7,700,0.5078740157480315,,0.4666666666666667,0.4666666666666667,0.4117647058823529,0.375,0.6111111111111112,,0.2727272727272727
8,800,0.6076923076923076,0.75,0.7777777777777778,0.7272727272727273,0.75,0.625,0.75,0.3333333333333333,
9,900,0.6231884057971014,0.7777777777777778,0.7272727272727273,,,0.8333333333333334,,0.4166666666666667,
10,1000,0.6486486486486487,0.9090909090909091,1.0,,,0.8461538461538461,,0.4444444444444444,0.6153846153846154
11,1100,0.8732394366197183,0.9,0.7692307692307693,0.7857142857142857,0.8333333333333334,,0.8666666666666667,0.7692307692307693,0.6428571428571429
12,1200,0.7320261437908496,0.8333333333333334,,0.9090909090909091,0.9166666666666666,,,1.0,0.8181818181818182
13,1300,0.8685714285714285,0.8181818181818182,,1.0,0.8888888888888888,0.7692307692307693,,1.0,1.0
14,1400,0.8620689655172413,0.7777777777777778,0.9,0.9166666666666666,0.5454545454545454,1.0,0.8,0.8888888888888888,
15,1500,0.7916666666666666,,0.8333333333333334,0.5454545454545454,0.6,0.6363636363636364,0.8181818181818182,0.9,
16,1600,0.7899159663865546,,0.7,,0.8888888888888888,0.7,0.9,,0.9411764705882353
17,1700,0.8070175438596491,0.7857142857142857,,,,,,,
18,1800,0.8556701030927835,,,,,,,,
19,1900,0.948905109489051,,,,,,0.9230769230769231,,
20,2000,0.9387755102040817,,,,,,,,
21,2100,,,,,,,,1.0,0.9333333333333333
22,2200,,0.9285714285714286,0.9545454545454546,0.8888888888888888,,,,0.5714285714285714,0.7
23,2300,0.97,0.9090909090909091,0.7,,0.7857142857142857,0.9333333333333333,,0.5555555555555556,0.5
24,2400,0.7652582159624414,0.8333333333333334,0.9166666666666666,,0.8888888888888888,0.8,0.9090909090909091,0.6363636363636364,0.36363636363636365
25,2500,0.7421052631578947,0.8,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.7,0.9,0.3,0.25
26,2600,0.7086614173228346,,,0.8,0.5555555555555556,0.75,0.9090909090909091,0.4444444444444444,0.3333333333333333
27,2700,0.6787878787878788,,,0.7272727272727273,0.8181818181818182,0.6153846153846154,0.8888888888888888,0.5,
28,2800,0.7019230769230769,0.8333333333333334,0.7692307692307693,0.8181818181818182,0.9090909090909091,,0.8461538461538461,,
29,2900,0.725925925925926,0.8181818181818182,0.8333333333333334,0.8181818181818182,,,0.8333333333333334,,0.2222222222222222
30,3000,0.6554054054054054,0.8181818181818182,0.6363636363636364,0.9166666666666666,,0.8333333333333334,0.9166666666666666,0.2,0.2727272727272727
31,3100,0.6692307692307692,0.8333333333333334,0.9,0.8125,0.7857142857142857,0.7777777777777778,0.6666666666666666,0.36363636363636365,0.4666666666666667
32,3200,0.6558441558441559,0.8181818181818182,0.8461538461538461,0.875,0.8461538461538461,0.6363636363636364,0.7777777777777778,0.3,0.5454545454545454
33,3300,0.7025316455696202,0.9,0.8181818181818182,0.7777777777777778,0.7,0.7272727272727273,0.8888888888888888,0.5,0.4
34,3400,0.7417218543046358,0.8461538461538461,0.7777777777777778,0.9,0.75,0.8181818181818182,,0.25,0.36363636363636365
35,3500,0.6861702127659575,0.9166666666666666,0.6363636363636364,,0.7,0.7,,,
36,3600,0.6795580110497238,,,,,0.7777777777777778,0.8666666666666667,,
37,3700,0.6447368421052632,,,,,0.5454545454545454,0.7142857142857143,0.35714285714285715,0.4166666666666667
38,3800,0.5833333333333334,0.8235294117647058,0.6666666666666666,,0.6666666666666666,,,0.3333333333333333,0.4166666666666667
39,3900,0.6703296703296703,,0.7857142857142857,,0.8181818181818182,,,0.6923076923076923,0.7272727272727273
40,4000,0.7379679144385026,,0.8,,0.9230769230769231,0.8333333333333334,0.9285714285714286,0.1,
41,4100,0.7857142857142857,0.7857142857142857,0.8333333333333334,0.9090909090909091,0.7777777777777778,0.8333333333333334,0.8666666666666667,,
42,4200,0.7103448275862069,0.8,0.8888888888888888,0.7272727272727273,0.8333333333333334,,,,0.2222222222222222
43,4300,0.6730769230769231,0.9090909090909091,0.6363636363636364,0.7692307692307693,0.625,,,,0.42857142857142855
44,4400,0.6410256410256411,0.75,,0.8461538461538461,0.9090909090909091,0.7692307692307693,0.6666666666666666,,0.1
45,4500,0.6700507614213198,,,0.7777777777777778,0.7777777777777778,0.7142857142857143,0.8333333333333334,0.3333333333333333,0.375
46,4600,0.6589595375722543,,0.7692307692307693,0.5,,0.7692307692307693,0.8181818181818182,0.3,0.36363636363636365
47,4700,0.6949152542372882,0.8666666666666667,0.8333333333333334,,,0.8461538461538461,0.7272727272727273,0.25,0.2727272727272727
48,4800,0.6352941176470588,0.625,0.9166666666666666,,0.8333333333333334,,,0.2727272727272727,0.3
49,4900,0.649746192893401,0.8125,0.8181818181818182,0.7692307692307693,0.8181818181818182,,,0.375,0.4
50,5000,0.7086092715231788,,0.8888888888888888,0.75,0.7777777777777778,0.7857142857142857,,,
51,5100,0.7615384615384615,,0.75,,0.8,0.9166666666666666,,,
52,5200,0.6590909090909091,0.7272727272727273,,,0.5,0.6666666666666666,0.8333333333333334,0.4166666666666667,0.6666666666666666
53,5300,0.6878612716763006,0.8461538461538461,,0.8333333333333334,0.7692307692307693,0.6923076923076923,0.7,0.5384615384615384,0.8333333333333334
54,5400,0.7433628318584071,0.8333333333333334,0.7333333333333333,0.7,0.8,,0.7272727272727273,0.3,0.3
55,5500,0.6170212765957447,0.7692307692307693,0.8,0.7692307692307693,,,0.75,0.38461538461538464,0.2727272727272727
56,5600,0.6788321167883211,,0.7,0.8461538461538461,,0.8461538461538461,0.75,,0.36363636363636365
57,5700,0.6783216783216783,,0.7272727272727273,0.8571428571428571,0.9,0.875,,,0.5
58,5800,0.6903225806451613,0.7272727272727273,0.9090909090909091,0.6666666666666666,0.7857142857142857,0.8333333333333334,,0.2727272727272727,
59,5900,0.6919191919191919,0.8888888888888888,0.8,0.9166666666666666,0.6923076923076923,0.8181818181818182,0.8181818181818182,0.25,
60,6000,0.624113475177305,0.8333333333333334,0.75,0.75,0.6666666666666666,0.7272727272727273,0.8333333333333334,0.16666666666666666,0.35714285714285715
