,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.31705,netflix
1,100,0.8445378151260504,0.7368421052631579,1.0,0.8,0.9444444444444444,0.8888888888888888,,,1.0,,netflix
2,200,0.76,0.9166666666666666,0.5384615384615384,0.8181818181818182,0.4,0.7272727272727273,,,0.75,,netflix
3,300,0.7711864406779662,0.7272727272727273,0.5,0.7777777777777778,0.9230769230769231,0.625,0.8,1.0,0.9166666666666666,1.6665599999999998,netflix
4,400,0.7482014388489209,0.5454545454545454,0.6666666666666666,0.5,0.8571428571428571,0.7777777777777778,0.5833333333333334,1.0,0.875,,netflix
5,500,0.6863905325443787,0.8888888888888888,0.36363636363636365,,0.625,0.46153846153846156,0.7272727272727273,1.0,0.9230769230769231,,netflix
6,600,0.7195121951219512,,0.8181818181818182,,0.6,0.2857142857142857,0.5,1.0,0.8888888888888888,1.6665599999999998,netflix
7,700,0.631578947368421,,,0.9166666666666666,0.6363636363636364,0.7777777777777778,0.8181818181818182,0.6153846153846154,,,netflix
8,800,0.6442953020134228,0.7333333333333333,,0.5833333333333334,,0.5555555555555556,0.9,,,1.4114799999999998,netflix
9,900,0.6601941747572816,0.7692307692307693,0.7272727272727273,0.9230769230769231,,0.6,0.7777777777777778,,0.3125,,netflix
10,1000,0.6938775510204082,,0.8,0.8333333333333334,0.8387096774193549,0.8333333333333334,0.8,0.32432432432432434,0.2727272727272727,,netflix
11,1100,0.5925925925925926,,0.7777777777777778,,,,0.7692307692307693,,0.3,1.4114799999999998,netflix
12,1200,0.5912162162010133,0.8333333333333334,0.75,,,,0.7272727272727273,,0.2222222222222222,,netflix
13,1300,0.6289062500186411,0.8333333333333334,0.6923076923076923,0.8181818181818182,0.4,0.7142857142857143,0.8,0.15384615384615385,0.0,,netflix
14,1400,0.6666666666666666,1.0,0.875,,0.9,0.8,,0.09090909090909091,0.3076923076923077,1.6665599999999998,netflix
15,1500,0.872093023255814,0.9230769230769231,0.9285714285714286,,0.9166666666666666,0.7777777777777778,,,0.7692307692307693,,netflix
