,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0,,,,,,,,,
1,100,0.8979591836734694,0.9333333333333333,0.9375,0.9333333333333333,1.0,0.875,0.9333333333333333,1.0,1.0
2,200,0.9651741293532339,0.9,0.8181818181818182,0.9166666666666666,0.9166666666666666,0.7777777777777778,0.8,,0.9166666666666666
3,300,0.8304093567251462,0.8333333333333334,0.7777777777777778,0.5555555555555556,0.875,0.7,0.7,,0.8181818181818182
4,400,0.7843137254901961,0.8181818181818182,0.7,0.625,0.7777777777777778,0.7777777777777778,0.8,1.0,0.9583333333333334
5,500,0.8175675675675675,0.42857142857142855,0.7777777777777778,0.6,0.7272727272727273,0.5454545454545454,,1.0,
6,600,0.751412429378531,0.8181818181818182,0.7777777777777778,,0.7272727272727273,0.8181818181818182,,1.0,
7,700,0.6836158192090396,,0.9,,,,0.7692307692307693,0.5625,0.3333333333333333
8,800,0.6645569620253164,,,0.6428571428571429,,,0.8,0.5,
9,900,0.7659574468085106,0.8181818181818182,,,0.875,0.9090909090909091,,0.2857142857142857,
10,1000,0.44274809160305345,0.5882352941176471,0.5263157894736842,,0.5333333333333333,,,,0.9333333333333333
11,1100,0.8260869565217391,,0.8333333333333334,0.8461538461538461,0.7857142857142857,,0.7692307692307693,,
12,1200,0.8533333333333334,,,0.7142857142857143,0.7777777777777778,0.9285714285714286,0.8571428571428571,0.8666666666666667,
13,1300,0.7901234567901234,0.6153846153846154,,0.7142857142857143,,0.8,,1.0,0.9411764705882353
14,1400,0.9270833333333334,1.0,0.9285714285714286,,,0.9166666666666666,,1.0,0.8461538461538461
15,1500,0.8970588235294118,0.7777777777777778,0.7272727272727273,,0.9090909090909091,,0.9230769230769231,1.0,
16,1600,0.8639455782312925,0.9090909090909091,0.75,0.7272727272727273,0.8181818181818182,,0.7272727272727273,,
17,1700,0.8453038674033149,0.9,0.8461538461538461,0.9230769230769231,0.8333333333333334,0.8333333333333334,0.8181818181818182,,0.3333333333333333
18,1800,0.7272727272727273,0.8,,0.9166666666666666,0.8888888888888888,0.75,,0.5,0.5
19,1900,0.7302631578947368,,,,,,,,
20,2000,0.5984848484848485,,,,,,,,
21,2100,0.3617021276595745,,,0.47368421052631576,,0.75,,0.3157894736842105,0.08333333333333333
22,2200,0.5866666666666667,,0.75,0.6363636363636364,,0.6363636363636364,0.7692307692307693,0.21428571428571427,0.2
23,2300,0.5769230769230769,0.875,0.9,,0.6,0.6,0.75,0.25,0.2
24,2400,0.6554054054054054,0.8181818181818182,0.7777777777777778,,0.7777777777777778,1.0,0.7777777777777778,0.2727272727272727,0.3333333333333333
25,2500,0.639751552795031,0.5555555555555556,0.7272727272727273,0.8461538461538461,0.7142857142857143,0.8181818181818182,0.8181818181818182,0.1,0.1111111111111111
26,2600,0.6329787234042553,0.8461538461538461,0.7,0.7272727272727273,0.8,0.7,0.7777777777777778,0.375,0.2727272727272727
27,2700,0.6473988439306358,0.8,0.8,0.4444444444444444,0.875,0.7692307692307693,0.75,0.3,0.2
28,2800,0.6363636363636364,0.9,0.8333333333333334,0.8333333333333334,0.5,0.7777777777777778,0.8333333333333334,0.18181818181818182,0.09090909090909091
29,2900,0.624,,0.8888888888888888,0.8181818181818182,,,,,0.25
30,3000,0.6324786324786325,,0.8181818181818182,0.8888888888888888,,,,,0.5454545454545454
31,3100,0.6666666666666666,0.7105263157894737,,,0.75,0.6470588235294118,0.5714285714285714,0.3333333333333333,
32,3200,0.5795454545454546,,,,0.7333333333333333,0.7142857142857143,0.8181818181818182,0.7142857142857143,
33,3300,0.7428571428571429,,0.6,0.5333333333333333,0.7777777777777778,0.5384615384615384,,0.6666666666666666,0.1111111111111111
34,3400,0.6460176991150443,0.7272727272727273,0.8333333333333334,,0.6666666666666666,0.6666666666666666,,0.125,0.2
35,3500,0.6233766233766234,0.75,0.8,,0.8333333333333334,0.7777777777777778,0.8571428571428571,0.18181818181818182,0.08333333333333333
36,3600,0.611764705882353,0.7272727272727273,0.8,0.7142857142857143,,0.7,0.7692307692307693,0.2727272727272727,0.2222222222222222
37,3700,0.6257668711656442,0.8571428571428571,0.8888888888888888,0.8181818181818182,,,0.8888888888888888,0.16666666666666666,0.15384615384615385
38,3800,0.6223404255319149,0.6666666666666666,0.5454545454545454,0.625,0.75,,0.9230769230769231,0.3,0.375
39,3900,0.6335877862595419,0.7777777777777778,0.8,0.8181818181818182,0.6923076923076923,0.8333333333333334,0.875,,
40,4000,0.6758620689655173,,,0.7272727272727273,0.8,0.6666666666666666,0.7777777777777778,,
41,4100,0.6228571428571429,,,,,,,0.3333333333333333,
42,4200,,,0.3157894736842105,,,,,,
43,4300,,,0.7142857142857143,0.75,0.6153846153846154,0.5454545454545454,0.9090909090909091,,0.16666666666666666
44,4400,0.6064516129032258,0.7692307692307693,,0.7272727272727273,0.8888888888888888,0.9,0.8333333333333334,0.18181818181818182,0.08333333333333333
45,4500,0.6076923076923076,0.75,,0.8,0.6363636363636364,0.6363636363636364,0.9,0.0,0.0
46,4600,0.63125,1.0,0.7777777777777778,0.8,0.875,0.7272727272727273,0.7,0.3,0.23076923076923078
47,4700,0.6392405063291139,0.75,0.8181818181818182,0.75,0.8181818181818182,0.5454545454545454,0.8333333333333334,0.15384615384615385,
48,4800,0.6130952380952381,,0.8,0.875,,,,0.4166666666666667,
49,4900,0.6181818181818182,,0.5454545454545454,,,,,,0.0
50,5000,0.5487179487179488,0.8181818181818182,0.6875,,0.4,0.6666666666666666,0.8333333333333334,,0.36363636363636365
51,5100,0.592814371257485,0.8,0.8888888888888888,0.8571428571428571,0.7,0.625,0.8666666666666667,0.07692307692307693,1.0
52,5200,0.7266187050359713,0.7142857142857143,,0.6666666666666666,0.8,0.8,0.5384615384615384,0.7142857142857143,0.625
53,5300,0.6807228915662651,0.8,,0.7272727272727273,0.7272727272727273,0.8,,0.5,0.09090909090909091
54,5400,0.6709677419354839,0.625,0.75,0.8181818181818182,0.8333333333333334,,,0.1,0.0
55,5500,0.6049382716049383,0.8181818181818182,0.7,,0.8,,0.8571428571428571,,0.1
56,5600,0.6158940397350994,0.6666666666666666,0.5,,0.5,0.6666666666666666,0.7647058823529411,,
57,5700,0.5214723926380368,0.8,,,,0.7692307692307693,0.8333333333333334,0.15384615384615385,
58,5800,0.6408450704225352,0.5555555555555556,,,,0.5384615384615384,0.8181818181818182,0.2,0.3333333333333333
59,5900,0.5163043478260869,0.7857142857142857,0.6875,0.75,0.5454545454545454,0.7272727272727273,0.7692307692307693,0.3333333333333333,0.09090909090909091
60,6000,0.6346153846153846,,0.8571428571428571,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.8181818181818182,0.2,
61,6100,0.5961538461538461,,0.75,0.75,0.8,0.7,,,
62,6200,0.5806451612903226,0.75,0.6923076923076923,0.7272727272727273,0.7142857142857143,0.7,,,
63,6300,0.6312849162011173,0.7,,0.75,,,0.7333333333333333,0.15384615384615385,
64,6400,0.6211180124223602,0.6666666666666666,,,,,0.8333333333333334,0.09090909090909091,0.16666666666666666
65,6500,0.6204819277108434,0.9166666666666666,0.6666666666666666,,0.9166666666666666,0.7272727272727273,0.5,0.14285714285714285,0.08333333333333333
66,6600,0.6130952380952381,0.9,0.9,0.75,0.8275862068965517,0.6666666666666666,0.8,0.2727272727272727,0.0
67,6700,0.6209150326797386,0.7857142857142857,0.6923076923076923,0.7272727272727273,0.8695652173913043,0.6666666666666666,0.9,0.16666666666666666,0.16666666666666666
68,6800,0.5853658536585366,0.8,0.6923076923076923,0.75,,0.5,,0.25,
69,6900,0.5833333333333334,0.8,0.6666666666666666,0.75,,0.5454545454545454,,0.2857142857142857,
70,7000,0.5900621118012422,0.7272727272727273,0.75,,0.7777777777777778,,0.8,0.1111111111111111,0.23076923076923078
71,7100,0.6217948717948718,,,,0.6,,,,
72,7200,0.626984126984127,,,,,0.5833333333333334,,,
73,7300,0.30578512396694213,,,,,,0.5454545454545454,,0.3
74,7400,0.5714285714285714,0.6086956521739131,0.48148148148148145,0.5833333333333334,0.7777777777777778,,0.7857142857142857,,0.1111111111111111
75,7500,0.6071428571428571,0.8333333333333334,,0.7692307692307693,0.8333333333333334,0.8181818181818182,0.8888888888888888,0.0,0.08333333333333333
76,7600,0.6417112299465241,0.7777777777777778,,0.7272727272727273,0.7272727272727273,0.7,0.8181818181818182,0.125,0.0
77,7700,0.6256983240223464,0.9,0.8181818181818182,0.8,0.8461538461538461,0.8461538461538461,,0.25925925925925924,0.35714285714285715
78,7800,0.6458333333333334,0.6666666666666666,0.7142857142857143,0.7777777777777778,,0.7,,,0.0
