,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.25476,paypal
1,100,,,,,,,,,1.0,,paypal
2,200,,,,,,,,,0.8888888888888888,1.4099799999999998,paypal
3,300,0.8253968253968254,0.875,0.6666666666666666,0.8,0.7692307692307693,0.8181818181818182,0.8,1.0,,,paypal
4,400,0.7711864406779662,0.7777777777777778,,,,,0.46153846153846156,,,,paypal
5,500,0.47058823529411764,0.38461538461538464,,,,,0.6,,0.6666666666666666,1.4099799999999998,paypal
6,600,0.7712418300653595,0.7,0.5294117647058824,0.5333333333333333,0.35714285714285715,,,1.0,0.8,,paypal
7,700,0.7650273224043715,0.7777777777777778,0.6923076923076923,0.7142857142857143,0.8888888888888888,,,0.9166666666666666,0.5,,paypal
8,800,0.6516129032258065,0.8571428571428571,0.8888888888888888,0.9090909090909091,0.8571428571428571,0.8181818181818182,0.75,0.125,0.2,0.68586,paypal
9,900,0.5885714285714285,0.7272727272727273,0.6666666666666666,0.7777777777777778,0.75,0.7692307692307693,0.8,0.1111111111111111,0.1,,paypal
10,1000,0.723404255319149,,0.8181818181818182,0.7272727272727273,0.9166666666666666,0.6666666666666666,1.0,0.2727272727272727,0.6428571428571429,,paypal
11,1100,0.8819875776397516,,0.8888888888888888,0.8461538461538461,,,0.8181818181818182,0.75,1.0,0.68586,paypal
12,1200,0.825,0.8333333333333334,,,,,0.7692307692307693,0.8181818181818182,0.9,,paypal
13,1300,0.8902439024390244,0.9166666666666666,,,0.9090909090909091,0.7857142857142857,,,,1.0494,paypal
14,1400,,,,,,,,,,,paypal
15,1500,,,,,,,0.5294117647058824,,0.7142857142857143,,paypal
16,1600,0.5947955390334573,0.5789473684210527,0.5294117647058824,0.55,0.5,,0.8181818181818182,,,1.0494,paypal
17,1700,0.7664670658682635,0.8333333333333334,0.6923076923076923,0.8181818181818182,0.8,,0.9,0.9,,,paypal
18,1800,0.7388059701492538,,,0.9,0.8888888888888888,0.7333333333333333,0.7692307692307693,0.3333333333333333,0.45454545454545453,,paypal
19,1900,0.6889952153110048,,,0.9166666666666666,0.8333333333333334,0.7272727272727273,0.8888888888888888,0.4444444444444444,0.2222222222222222,1.36561,paypal
20,2000,0.7185185185185186,0.7,0.9117647058823529,,0.8,0.7777777777777778,0.8181818181818182,0.42857142857142855,0.36363636363636365,,paypal
21,2100,0.6783216783216783,0.8333333333333334,,,0.75,0.8,0.8,,0.0,,paypal
22,2200,0.6555555555555556,0.8888888888888888,,0.75,0.8888888888888888,0.8333333333333334,,,0.1,1.36561,paypal
23,2300,0.610738255033557,0.8,0.8461538461538461,0.9166666666666666,0.7692307692307693,,,0.18181818181818182,0.0,,paypal
24,2400,0.6242424242424243,0.875,0.75,0.6923076923076923,0.7,,,0.25,0.2,0.7057399999999999,paypal
25,2500,0.5329341317365269,0.7,,,,0.8461538461538461,,,,,paypal
26,2600,0.4020618556701031,0.631578947368421,,,,,0.6875,,,,paypal
27,2700,0.6587301587301587,0.6666666666666666,0.5555555555555556,0.6,0.5294117647058824,,0.8181818181818182,0.09090909090909091,0.0,0.7057399999999999,paypal
28,2800,0.6693548387096774,,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.7272727272727273,0.3,0.2727272727272727,,paypal
29,2900,0.6549707602339181,,0.8461538461538461,0.7777777777777778,0.8181818181818182,0.7272727272727273,,,0.2222222222222222,0.4940100000000001,paypal
30,3000,0.5935483870967742,0.7857142857142857,,0.8333333333333334,,,,,0.2,,paypal
31,3100,0.5714285714285714,0.7272727272727273,,0.7777777777777778,,,0.875,0.21428571428571427,0.23076923076923078,,paypal
32,3200,0.5974025974025974,0.8,0.7407407407407407,0.6363636363636364,0.6875,0.5625,0.8461538461538461,0.3333333333333333,0.09090909090909091,0.4940100000000001,paypal
33,3300,0.6178343949044586,0.8181818181818182,0.7,,0.7857142857142857,0.6363636363636364,,0.1,,,paypal
34,3400,0.643312101910828,0.8,,,0.6666666666666666,0.6666666666666666,,,,,paypal
35,3500,0.5714285714285714,,,0.8333333333333334,,0.7777777777777778,0.9090909090909091,,,0.6474000000000001,paypal
36,3600,0.6190476190476191,,0.6363636363636364,,,,0.5882352941176471,0.16666666666666666,,,paypal
37,3700,0.429042904290429,0.5555555555555556,0.5263157894736842,,0.5789473684210527,,0.7692307692307693,0.17647058823529413,0.1111111111111111,,paypal
38,3800,0.6370370370370371,0.625,0.8,0.47058823529411764,0.5,0.4375,,0.2,0.45454545454545453,0.6474000000000001,paypal
39,3900,0.5725190839694656,0.6363636363636364,,0.7777777777777778,0.6,0.5555555555555556,,,0.21428571428571427,,paypal
40,4000,0.5833333333333334,,,0.75,0.6363636363636364,0.6153846153846154,0.6,,,0.47405,paypal
41,4100,0.5586206896551724,,0.6666666666666666,,,,0.8333333333333334,0.07692307692307693,,,paypal
42,4200,0.6140350877192983,0.5454545454545454,0.5833333333333334,,,,0.7,0.2,0.15384615384615385,,paypal
43,4300,0.5636363636363636,0.8181818181818182,0.6363636363636364,0.8,0.75,0.6666666666666666,0.9,0.16666666666666666,0.07692307692307693,0.47405,paypal
44,4400,0.5857988165680473,0.7857142857142857,0.8,0.6,0.6923076923076923,0.7272727272727273,0.8181818181818182,0.1111111111111111,,,paypal
45,4500,0.6266666666666667,0.8571428571428571,0.7272727272727273,0.8,0.8,0.5833333333333334,,0.23076923076923078,,,paypal
46,4600,0.5833333333333334,,,0.7,0.7777777777777778,0.6666666666666666,,,0.0,0.7107100000000001,paypal
47,4700,0.5469613259668509,,,0.6,0.6363636363636364,0.5,0.75,,0.25,,paypal
48,4800,0.5220125786163522,0.6666666666666666,0.75,0.5454545454545454,,0.7,0.6666666666666666,0.16666666666666666,0.18181818181818182,0.7107100000000001,paypal
49,4900,0.6607142857142857,0.75,0.7692307692307693,0.6,,0.6153846153846154,0.875,0.35714285714285715,0.1,,paypal
50,5000,0.620253164556962,,0.75,0.6923076923076923,0.8571428571428571,,0.8,0.2,0.38461538461538464,,paypal
51,5100,0.6850828729281768,,0.5454545454545454,0.7272727272727273,0.75,,0.7857142857142857,,1.0,0.5029800000000001,paypal
52,5200,0.7062146892655368,0.7142857142857143,0.8333333333333334,0.7272727272727273,0.5384615384615384,0.8571428571428571,0.6,,0.625,,paypal
53,5300,0.6491228070175439,0.5555555555555556,0.6666666666666666,0.8,0.7272727272727273,0.6,0.7,0.8181818181818182,0.16666666666666666,,paypal
54,5400,0.6222222222222222,0.8181818181818182,,,0.9090909090909091,0.7777777777777778,0.7777777777777778,0.4166666666666667,0.09090909090909091,0.5029800000000001,paypal
