,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.43754,stackoverflow
1,100,0.9789473684210527,1.0,0.9375,1.0,0.9230769230769231,0.9375,0.9333333333333333,1.0,1.0,,stackoverflow
2,200,0.9041095890410958,0.7777777777777778,0.6666666666666666,0.8518518518518519,0.8888888888888888,0.8333333333333334,0.6363636363636364,1.0,0.9,1.43754,stackoverflow
3,300,0.8,0.6666666666666666,0.7142857142857143,,0.7,0.625,,1.0,0.9166666666666666,,stackoverflow
4,400,0.8187919463087249,0.75,,,0.6363636363636364,,,0.8333333333333334,,,stackoverflow
5,500,0.8659217877094972,1.0,,0.9090909090909091,0.9285714285714286,,0.9285714285714286,1.0,,1.42766,stackoverflow
6,600,0.8740157480314961,0.8888888888888888,0.9090909090909091,0.8333333333333334,0.8181818181818182,0.9090909090909091,0.8333333333333334,1.0,0.7777777777777778,,stackoverflow
7,700,0.9182389937106918,0.9090909090909091,0.8461538461538461,0.8181818181818182,0.9090909090909091,0.9166666666666666,0.8461538461538461,,1.0,,stackoverflow
8,800,0.861878453038674,,,,,0.8461538461538461,,,0.8666666666666667,1.42766,stackoverflow
9,900,0.9166666666666666,,,,,,,1.0,,,stackoverflow
10,1000,0.8142857142857143,0.8888888888888888,0.7692307692307693,0.9375,0.8461538461538461,,0.7692307692307693,0.9285714285714286,,0.8796899999999999,stackoverflow
11,1100,0.8444444444444444,0.9,0.8571428571428571,0.8666666666666667,0.875,0.7692307692307693,0.8181818181818182,0.9166666666666666,1.0,,stackoverflow
12,1200,0.9342105263157895,0.9285714285714286,0.9166666666666666,1.0,1.0,0.9230769230769231,0.9090909090909091,0.5454545454545454,0.9166666666666666,,stackoverflow
13,1300,0.9146341463414634,0.8461538461538461,,,0.8,0.7857142857142857,,,0.6,0.8796899999999999,stackoverflow
14,1400,0.7142857142857143,,,,,0.8181818181818182,,,,,stackoverflow
15,1500,0.7586206896551724,,0.8333333333333334,0.9090909090909091,,0.6666666666666666,0.8181818181818182,0.2,,,stackoverflow
16,1600,0.6373626373626373,0.9,0.8181818181818182,0.8333333333333334,0.7777777777777778,,0.8181818181818182,0.16666666666666666,0.1,0.8598099999999999,stackoverflow
17,1700,0.627906976744186,0.7272727272727273,0.8181818181818182,0.8888888888888888,0.7272727272727273,,0.8181818181818182,0.15384615384615385,0.09090909090909091,,stackoverflow
18,1800,0.625,0.75,0.8888888888888888,0.8888888888888888,0.9090909090909091,0.6363636363636364,0.75,0.4166666666666667,0.0,,stackoverflow
19,1900,0.6190476190476191,0.8888888888888888,0.8181818181818182,0.9090909090909091,0.6,0.9,0.9090909090909091,0.8181818181818182,0.35714285714285715,0.8598099999999999,stackoverflow
20,2000,0.7847222222222222,0.75,0.7272727272727273,1.0,0.8181818181818182,0.6,0.75,0.8,0.8333333333333334,,stackoverflow
21,2100,0.7052023121387283,0.5,0.6363636363636364,0.7692307692307693,0.5454545454545454,0.8,0.5,0.9,0.875,0.8647799999999999,stackoverflow
22,2200,0.7160493827160493,0.25,0.7777777777777778,0.625,1.0,0.6363636363636364,0.6666666666666666,0.8888888888888888,0.9,,stackoverflow
23,2300,0.7449664429530202,0.42857142857142855,0.6153846153846154,0.75,0.875,0.7142857142857143,0.8571428571428571,1.0,1.0,,stackoverflow
24,2400,0.71875,0.5833333333333334,0.2,0.6153846153846154,0.8888888888888888,0.7777777777777778,0.75,0.75,0.7777777777777778,0.8647799999999999,stackoverflow
25,2500,0.7457627118644068,0.6,0.7142857142857143,0.5652173913043478,1.0,0.7777777777777778,0.6363636363636364,0.9285714285714286,0.8888888888888888,,stackoverflow
26,2600,0.7294938917788056,0.5,0.6666666666666666,,0.6666666666666666,0.7142857142857143,0.8888888888888888,0.8888888888888888,0.7777777777777778,,stackoverflow
27,2700,0.71762208070183,0.7,0.6666666666666666,,0.5,0.9166666666666666,0.8518518518518519,0.8181818181818182,0.875,0.98208,stackoverflow
28,2800,0.7245508982035929,0.6,0.5,,0.5555555555555556,1.0,0.7037037037037037,0.875,0.8846153846153846,,stackoverflow
29,2900,0.7239263803680982,0.7272727272727273,0.5454545454545454,,0.6363636363636364,0.5833333333333334,0.625,0.8888888888888888,0.8,0.98208,stackoverflow
30,3000,0.6885245901639344,0.5555555555555556,0.7,0.6666666666666666,1.0,0.45454545454545453,0.75,0.8275862068965517,0.8181818181818182,,stackoverflow
31,3100,0.7102272727272727,0.5555555555555556,0.375,0.5555555555555556,1.0,0.6363636363636364,0.6666666666666666,,,,stackoverflow
32,3200,0.7183908045977011,0.4642857142857143,0.6666666666666666,0.7666666666666667,1.0,1.0,0.75,,,,stackoverflow
33,3300,0.7803030303030303,0.5769230769230769,0.5555555555555556,0.5416666666666666,0.6666666666666666,,0.8888888888888888,1.0,0.8846153846153846,1.03168,stackoverflow
34,3400,0.7402597402597403,0.42857142857142855,0.6363636363636364,1.0,0.625,,0.8181818181818182,0.8181818181818182,0.8571428571428571,,stackoverflow
35,3500,0.7396449704142012,0.125,0.9,0.7,0.5294117647058824,0.8333333333333334,0.75,0.9,0.8,1.03168,stackoverflow
36,3600,0.7401129943502824,,,0.375,,,1.0,0.9166666666666666,0.8571428571428571,,stackoverflow
37,3700,0.717948717948718,,,0.5454545454545454,,,0.7272727272727273,0.7777777777777778,0.8695652173913043,,stackoverflow
38,3800,0.6870229007633588,0.6428571428571429,0.3333333333333333,,1.0,0.7777777777777778,,0.9,0.88,0.8796899999999999,stackoverflow
39,3900,0.7235294117647059,0.6666666666666666,0.8,,1.0,0.4444444444444444,,0.7777777777777778,0.8888888888888888,,stackoverflow
40,4000,0.7210884353741497,0.375,0.8,0.5882352941176471,1.0,0.45454545454545453,0.7307692307692307,0.7307692307692307,0.8333333333333334,0.8796899999999999,stackoverflow
