,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.13584,vimeo
1,100,0.9545454545454546,,0.8461538461538461,0.9375,,0.9285714285714286,,1.0,0.9333333333333333,,vimeo
2,200,0.90625,,0.8181818181818182,0.6363636363636364,,0.7857142857142857,,1.0,0.9090909090909091,,vimeo
3,300,0.8144329896907216,0.8181818181818182,0.75,0.8333333333333334,0.9285714285714286,0.875,0.9285714285714286,0.8888888888888888,0.9230769230769231,1.4326,vimeo
4,400,0.7962962962962963,0.8181818181818182,0.5,0.7777777777777778,0.8,0.75,0.7272727272727273,1.0,1.0,,vimeo
5,500,0.7730496453900709,0.7692307692307693,0.7272727272727273,0.5555555555555556,0.75,0.8333333333333334,0.75,0.8181818181818182,,1.4326,vimeo
6,600,0.7070063694267515,,0.8181818181818182,1.0,0.6,0.8181818181818182,0.6923076923076923,,,,vimeo
7,700,0.75,,,0.8333333333333334,0.7777777777777778,,0.7777777777777778,,,,vimeo
8,800,0.6575342465753424,0.9230769230769231,,,,,,,,0.6623399999999999,vimeo
9,900,0.39655172413793105,,0.5625,,,0.47058823529411764,,,0.10526315789473684,,vimeo
10,1000,0.6888888888888889,,,0.8888888888888888,0.6111111111111112,,0.6,0.15789473684210525,,,vimeo
11,1100,0.8435754189944135,0.55,,0.7777777777777778,,,,0.9285714285714286,,0.6623399999999999,vimeo
12,1200,0.9477124183006536,0.9230769230769231,0.8333333333333334,0.875,,0.9285714285714286,,,1.0,,vimeo
13,1300,0.8113207547169812,1.0,0.7272727272727273,0.7142857142857143,0.9230769230769231,,0.8461538461538461,,,1.4355,vimeo
14,1400,0.8413461538461539,,0.8888888888888888,,0.75,,0.9,1.0,,,vimeo
15,1500,0.893491124260355,,0.9166666666666666,,0.8888888888888888,0.9,0.9,0.9166666666666666,0.9230769230769231,,vimeo
16,1600,0.9103448275862069,0.9090909090909091,0.8181818181818182,0.8571428571428571,0.875,0.8333333333333334,0.9166666666666666,0.9090909090909091,1.0,1.4355,vimeo
17,1700,0.8333333333333334,0.9,,0.7777777777777778,0.7,0.8333333333333334,,1.0,0.9230769230769231,,vimeo
18,1800,0.861878453038674,0.8181818181818182,,,0.8181818181818182,,,,,,vimeo
19,1900,,,,,,,,,,1.4355,vimeo
20,2000,,,,0.75,,0.75,,,0.8823529411764706,,vimeo
21,2100,0.7410071942446043,,0.6956521739130435,0.9375,,,0.7368421052631579,,1.0,,vimeo
22,2200,0.9509803921568627,,,1.0,,,,1.0,,1.4355,vimeo
23,2300,0.9166666666666666,1.0,,0.8888888888888888,0.8333333333333334,0.8888888888888888,,,,,vimeo
24,2400,0.9,0.8461538461538461,0.8157894736842105,0.6363636363636364,0.9230769230769231,0.8181818181818182,0.9444444444444444,,0.9166666666666666,0.8764799999999999,vimeo
25,2500,0.7160493827160493,0.9090909090909091,0.75,0.7857142857142857,,,0.8,0.36363636363636365,0.16666666666666666,,vimeo
26,2600,0.6328502415458938,,,0.7777777777777778,,,0.8333333333333334,0.1,0.16666666666666666,,vimeo
27,2700,0.6344086021505376,,,0.9,0.8571428571428571,0.6666666666666666,0.625,0.3333333333333333,,0.8764799999999999,vimeo
28,2800,0.8181818181818182,0.8125,0.9166666666666666,0.6666666666666666,0.6153846153846154,0.9166666666666666,,0.6666666666666666,,,vimeo
29,2900,0.6688311688311688,0.7777777777777778,,,,,,,,,vimeo
30,3000,,,,,,,,,,1.0188499999999998,vimeo
31,3100,,,0.7,0.9,,0.5555555555555556,,0.4,0.6470588235294118,,vimeo
32,3200,0.6809815950920245,0.7777777777777778,,0.6363636363636364,,0.7692307692307693,0.6666666666666666,,0.2,1.0188499999999998,vimeo
33,3300,0.5964912280701754,,,,0.7,0.6,0.7272727272727273,,0.23076923076923078,,vimeo
