,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0,,,,,,,,,
1,100,0.9649122807017544,0.9333333333333333,,0.9333333333333333,0.9375,1.0,1.0,0.9375,1.0
2,200,0.9298245614035088,0.8461538461538461,,0.75,,,0.8181818181818182,1.0,1.0
3,300,0.8417721518987342,,1.0,,,,,,
4,400,0.7530120481927711,,,,,0.8333333333333334,,,
5,500,0.4807692307692308,0.4444444444444444,,,,0.5555555555555556,0.5,1.0,0.6666666666666666
6,600,0.6946564885496184,,0.47368421052631576,,0.75,,,0.45454545454545453,
7,700,0.7046979865771812,,,0.7857142857142857,0.8,,,0.3333333333333333,
8,800,0.6595744680851063,0.8461538461538461,,0.7,0.9090909090909091,0.5714285714285714,0.8181818181818182,0.4,0.3076923076923077
9,900,0.6593406593406593,0.7272727272727273,0.75,0.8,0.9090909090909091,0.7272727272727273,0.75,,0.2
10,1000,0.762962962962963,0.9166666666666666,0.7,,,0.8333333333333334,0.8333333333333334,,
11,1100,0.9027777777777778,,0.8888888888888888,,,,0.9230769230769231,0.8823529411764706,
12,1200,0.9285714285714286,,,0.8823529411764706,0.8333333333333334,,,1.0,0.875
13,1300,0.8294117647058824,,,,,0.75,,,0.9166666666666666
14,1400,0.8291139240506329,,0.75,,,0.6923076923076923,0.875,,
15,1500,0.9344262295081968,0.9285714285714286,,,,,,,
16,1600,0.717741935483871,0.7857142857142857,,,,,,,0.8823529411764706
17,1700,0.8636363636363636,,0.7894736842105263,1.0,0.8888888888888888,0.6842105263157895,0.8333333333333334,,
18,1800,0.9836065573770492,,,,0.8,,,,
19,1900,0.9545454545454546,,,,1.0,,,1.0,0.9411764705882353
20,2000,0.9281437125748503,,0.8888888888888888,0.9166666666666666,,1.0,0.9375,,
21,2100,0.9227467811158798,0.8888888888888888,,,,,,,
22,2200,0.9692307692307692,,,,,,,,
23,2300,,,,,,,,,
24,2400,,,,,,,,,
25,2500,0.9886363636363636,,,,,,,,
26,2600,,,,,,,,,
27,2700,,,,,,,,,
28,2800,,,,,,,,,
29,2900,,,,,,,,,
30,3000,,,,,,,,,
31,3100,,,,,,,,,
32,3200,,,,,,,,,
33,3300,,,,,,,,,
34,3400,,,,,,,,,
35,3500,,,,,,,,,
36,3600,,,,,,,,,
37,3700,0.9577464788732394,,,,,,,,
38,3800,0.9565217391304348,,,,,,,,
39,3900,,,,,,,,,
40,4000,,,,,0.9333333333333333,,,1.0,
41,4100,0.9489795918367347,0.8888888888888888,0.9411764705882353,,,0.96875,0.9333333333333333,0.7692307692307693,
42,4200,0.8636363636363636,0.75,0.9166666666666666,1.0,,,0.9230769230769231,0.8181818181818182,0.8461538461538461
43,4300,0.8671875,0.75,0.8,0.8,0.9,,1.0,0.8888888888888888,0.9
44,4400,0.8145695364238411,0.8,0.5,0.8,0.8888888888888888,0.9166666666666666,0.8181818181818182,0.8333333333333334,0.8333333333333334
45,4500,0.86,0.8571428571428571,0.7,0.875,1.0,0.8214285714285714,0.9166666666666666,1.0,1.0
46,4600,0.9166666666666666,0.8181818181818182,0.8181818181818182,0.8888888888888888,0.9166666666666666,,,0.8,0.9
47,4700,0.8580246913580247,0.8181818181818182,1.0,0.8888888888888888,1.0,,,0.8333333333333334,0.9
48,4800,0.8803418803418803,0.8,,0.9,0.8333333333333334,0.9,0.9,0.625,0.7
49,4900,0.6928104575163399,0.6363636363636364,,0.8181818181818182,0.6923076923076923,0.9166666666666666,0.8,0.25,0.2727272727272727
50,5000,0.6357615894039735,,0.8,,0.8888888888888888,0.375,0.9090909090909091,,
51,5100,0.7843137254901961,,0.8,,,0.9166666666666666,,,
52,5200,0.9201680672268907,1.0,0.9375,0.9285714285714286,,,,1.0,0.9285714285714286
53,5300,0.8896103896103896,0.9090909090909091,,0.8,0.9,,0.9090909090909091,0.8181818181818182,0.9
54,5400,0.9393939393939394,0.9166666666666666,,0.9090909090909091,0.7272727272727273,0.9230769230769231,1.0,0.9,0.8666666666666667
55,5500,0.8410596026490066,0.8461538461538461,0.8823529411764706,0.9090909090909091,0.7272727272727273,1.0,0.7777777777777778,0.5,0.6666666666666666
56,5600,0.7687861271676301,,,0.9,0.9,0.9090909090909091,1.0,0.5,0.5384615384615384
57,5700,0.8023255813953488,,,0.7857142857142857,0.6666666666666666,0.9090909090909091,0.9285714285714286,0.8,
58,5800,0.7862068965517242,0.8461538461538461,0.8333333333333334,,0.7272727272727273,0.9,1.0,0.8888888888888888,
59,5900,0.8795811518324608,0.8181818181818182,0.6363636363636364,,,1.0,,0.9,1.0
60,6000,0.9032258064516129,0.9090909090909091,0.7777777777777778,0.8461538461538461,,1.0,,1.0,0.9
61,6100,0.9370629370629371,0.9166666666666666,0.8888888888888888,0.9090909090909091,0.8571428571428571,1.0,,0.9090909090909091,1.0
62,6200,0.9060402684563759,0.875,0.75,0.7,0.8571428571428571,1.0,,1.0,0.9166666666666666
63,6300,0.8585858585858586,0.6666666666666666,0.9,0.6,0.7272727272727273,,1.0,0.8461538461538461,1.0
64,6400,0.8320610687022901,0.8888888888888888,0.7777777777777778,0.7692307692307693,0.7777777777777778,,1.0,0.8888888888888888,0.9230769230769231
65,6500,0.9124087591240876,0.9166666666666666,0.75,0.8181818181818182,0.8333333333333334,1.0,0.9166666666666666,,0.9166666666666666
66,6600,0.9209039548022598,0.9,0.9090909090909091,,0.9090909090909091,1.0,1.0,,
67,6700,0.7974683544303798,,0.8888888888888888,,,0.9090909090909091,0.8181818181818182,,
68,6800,0.6324786324786325,,,0.5789473684210527,,,0.8125,,0.9333333333333333
69,6900,0.8947368421052632,0.9166666666666666,,,0.8181818181818182,,,0.5625,0.9333333333333333
70,7000,0.7947019867549668,0.8888888888888888,0.8888888888888888,,0.7272727272727273,0.9,,0.7692307692307693,1.0
71,7100,0.8209876543209876,0.8181818181818182,0.7,0.75,0.7692307692307693,0.5555555555555556,0.8333333333333334,1.0,1.0
72,7200,0.825503355704698,,0.8181818181818182,0.6,0.7,0.7272727272727273,0.8333333333333334,0.7777777777777778,
73,7300,0.7553956834532374,,0.75,0.75,0.75,0.7,0.6666666666666666,0.625,
74,7400,0.7391304347826086,0.8571428571428571,0.6666666666666666,0.6666666666666666,,0.875,0.8333333333333334,0.4444444444444444,0.9166666666666666
75,7500,0.7862595419847328,0.6363636363636364,0.7,0.7692307692307693,,0.75,,0.6363636363636364,1.0
76,7600,0.7391304347826086,0.8181818181818182,,,0.7,0.6,,0.375,1.0
77,7700,0.8068965517241379,0.9090909090909091,,,0.8181818181818182,0.6923076923076923,,0.8333333333333334,
78,7800,0.757396449704142,,0.7857142857142857,0.6428571428571429,0.4,,,,
79,7900,0.6411483253588517,,0.7777777777777778,0.8,,,0.6428571428571429,,0.9285714285714286
80,8000,0.8,0.75,0.7692307692307693,,,0.5625,0.7,0.6923076923076923,1.0
