,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.4256,wellsfargo
1,100,0.9433962264150944,,0.875,1.0,1.0,0.8823529411764706,0.9375,0.9333333333333333,0.9333333333333333,,wellsfargo
2,200,0.877906976744186,,0.6363636363636364,0.8333333333333334,0.9090909090909091,0.75,0.9090909090909091,1.0,0.8888888888888888,1.4256,wellsfargo
3,300,0.8653846153846154,0.7272727272727273,,,,,,,,,wellsfargo
4,400,0.8863636363636364,,,,,,,,,,wellsfargo
5,500,0.6420454545454546,,0.5263157894736842,0.6842105263157895,0.5294117647058824,0.631578947368421,0.5789473684210527,1.0,0.625,0.98903,wellsfargo
6,600,0.6927083333333334,0.6470588235294118,0.6666666666666666,0.7,0.8461538461538461,,,0.7777777777777778,0.5,,wellsfargo
7,700,0.6933333333333334,,,0.8,0.875,,,0.1111111111111111,0.1111111111111111,,wellsfargo
8,800,0.6666666666666666,,,0.9,0.5454545454545454,0.6428571428571429,0.7142857142857143,0.3,0.25,0.98903,wellsfargo
9,900,0.5989304812834224,0.8235294117647058,0.8,,0.875,0.8333333333333334,0.75,0.1111111111111111,0.0,,wellsfargo
10,1000,0.6736842105263158,0.7692307692307693,0.8,,0.75,0.6363636363636364,0.8333333333333334,0.3333333333333333,0.4444444444444444,,wellsfargo
11,1100,0.6136363636363636,,0.7272727272727273,0.7941176470588235,0.9,0.7777777777777778,0.7777777777777778,0.21428571428571427,0.3,1.1457600000000001,wellsfargo
12,1200,0.7012195121951219,,0.8181818181818182,0.9583333333333334,0.7777777777777778,,0.8181818181818182,0.1,0.25,,wellsfargo
13,1300,0.6744186046511628,0.8333333333333334,0.9166666666666666,0.8,,,0.8,0.4166666666666667,,1.1457600000000001,wellsfargo
14,1400,0.6706586826347305,,,,,,,,,,wellsfargo
15,1500,0.6456692913385826,,,,,,,,,,wellsfargo
16,1600,0.37606837606837606,,0.5,0.4375,,0.5,0.47058823529411764,0.21052631578947367,,1.3959,wellsfargo
17,1700,0.7111111111111111,,0.8333333333333334,0.8,0.5555555555555556,0.5833333333333334,,0.9166666666666666,0.625,,wellsfargo
18,1800,0.7410071942446043,,0.9,0.9090909090909091,0.7142857142857143,,,,,,wellsfargo
