,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0,,,,,,,,,
1,100,0.9317073170731708,,,,0.9090909090909091,,0.9,0.9285714285714286,0.9333333333333333
2,200,0.9538461538461539,,,,0.9090909090909091,,1.0,1.0,1.0
3,300,0.9370629370629371,0.8666666666666667,0.9166666666666666,0.9285714285714286,1.0,0.9230769230769231,,,
4,400,0.9536423841059603,,0.8888888888888888,0.9285714285714286,0.875,0.9230769230769231,,,
5,500,0.8951048951048951,,0.9090909090909091,0.9,0.9166666666666666,,0.9090909090909091,1.0,1.0
6,600,0.8176100628930818,0.8333333333333334,0.7777777777777778,0.8888888888888888,,,0.7272727272727273,0.9,0.9166666666666666
7,700,0.8153846153846154,0.6,0.8181818181818182,0.8888888888888888,,0.6153846153846154,0.8333333333333334,1.0,0.8461538461538461
8,800,0.8201058201058201,0.7272727272727273,0.7777777777777778,,0.8333333333333334,0.7692307692307693,0.625,0.8,0.6
9,900,0.7098445595854922,0.8181818181818182,0.8181818181818182,,0.8461538461538461,0.8461538461538461,0.6923076923076923,0.2727272727272727,
10,1000,0.6708860759493671,0.9230769230769231,0.8333333333333334,0.6666666666666666,0.8,0.7142857142857143,,0.36363636363636365,
11,1100,0.7058823529411765,,,0.8461538461538461,0.8,0.5555555555555556,,,0.3333333333333333
12,1200,0.7058823529411765,,,0.8571428571428571,0.9,0.75,0.7857142857142857,,0.25
13,1300,0.6778523489932886,0.9090909090909091,0.8461538461538461,0.8888888888888888,0.7857142857142857,0.7777777777777778,0.8571428571428571,0.2727272727272727,0.0
14,1400,0.6178010471204188,0.8461538461538461,0.9166666666666666,0.7272727272727273,0.7272727272727273,,0.8,0.2,0.23076923076923078
15,1500,0.6118421052631579,0.9090909090909091,0.75,0.8181818181818182,0.8,,0.7777777777777778,0.1,
16,1600,0.7181208053691275,0.8,0.8,0.6363636363636364,0.7777777777777778,0.6363636363636364,0.8181818181818182,0.46153846153846156,
17,1700,0.6526946107784432,0.6363636363636364,0.8888888888888888,,0.8181818181818182,0.75,0.8888888888888888,0.2,0.3333333333333333
18,1800,0.6357615894039735,0.7,0.8181818181818182,,0.8,0.5555555555555556,0.7272727272727273,0.3,0.2
19,1900,0.6227544910179641,0.8888888888888888,0.9,0.75,,0.8461538461538461,0.7777777777777778,0.2222222222222222,0.2
20,2000,0.5496688741721855,,,0.5833333333333334,,,0.8571428571428571,0.0,0.1111111111111111
21,2100,0.6413793103448275,,,0.9090909090909091,0.6153846153846154,,0.9230769230769231,0.2222222222222222,0.16666666666666666
22,2200,0.6241610738255033,0.8888888888888888,0.6923076923076923,0.75,0.9090909090909091,0.8,0.6666666666666666,0.125,0.3076923076923077
23,2300,0.6374269005847953,0.9166666666666666,0.6363636363636364,,0.6666666666666666,0.7142857142857143,0.8,0.25,0.18181818181818182
24,2400,0.6232876712328768,0.8,0.7857142857142857,,,0.7,,0.25,
25,2500,0.6445783132530121,,0.8,0.9090909090909091,,0.9,,0.1,
26,2600,0.5614035087719298,,0.6153846153846154,0.6666666666666666,0.7857142857142857,0.75,0.8571428571428571,0.08333333333333333,0.2727272727272727
27,2700,0.5874125874125874,0.6666666666666666,,,0.7272727272727273,0.6153846153846154,0.7692307692307693,,
28,2800,,,,,,,,,
29,2900,,,,,,,,,
30,3000,,,,,,,,,
31,3100,,,,,,,,,
32,3200,,,,,,,,,
33,3300,,,,,,,,,
34,3400,,,,,,,,,
35,3500,,,,,,,,,
36,3600,,,,,,,,,
37,3700,,,,,,,,,
38,3800,0.60431654676259,,0.875,,,,,0.42857142857142855,0.2222222222222222
39,3900,0.621301775147929,0.7857142857142857,,,0.6666666666666666,0.5454545454545454,0.7857142857142857,0.125,0.23076923076923078
40,4000,0.6475409836065574,0.75,,0.6666666666666666,0.8,0.8,0.8,0.1111111111111111,0.2222222222222222
41,4100,0.6,0.7692307692307693,0.9090909090909091,0.7272727272727273,,0.7777777777777778,,0.2,0.0
42,4200,0.6595744680851063,0.8181818181818182,0.6363636363636364,0.9090909090909091,,0.7272727272727273,,0.25,0.3
