,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0.0,,,,,,,,,,1.3844400000000003,wikipedia
1,100.0,0.925,0.9411764705882353,0.9166666666666666,1.0,0.9,,0.9230769230769231,0.7692307692307693,1.0,,wikipedia
2,200.0,0.875,0.8888888888888888,,,,,0.7272727272727273,,1.0,1.5953700000000002,wikipedia
3,300.0,0.8894472361809045,0.8888888888888888,,,,0.8666666666666667,0.9090909090909091,,,,wikipedia
4,400.0,0.9175824175824175,0.8181818181818182,0.8571428571428571,0.9285714285714286,0.9090909090909091,0.9230769230769231,,0.9333333333333333,,,wikipedia
5,500.0,0.8648648648648649,,0.75,0.9090909090909091,0.9285714285714286,0.9166666666666666,,1.0,1.0,1.5953700000000002,wikipedia
6,600.0,0.732824427480916,,0.6923076923076923,0.5833333333333334,,0.625,,1.0,0.9230769230769231,,wikipedia
7,700.0,0.7682119205298014,0.7692307692307693,,0.8181818181818182,,,,1.0,0.8888888888888888,,wikipedia
8,800.0,0.8181818181818182,0.7692307692307693,,0.7272727272727273,0.7857142857142857,,0.6363636363636364,0.7272727272727273,1.0,1.58046,wikipedia
9,900.0,0.7191780821917808,0.7777777777777778,0.8333333333333334,,,0.8461538461538461,0.8333333333333334,0.8333333333333334,1.0,,wikipedia
10,1000.0,0.6729559748427673,0.6666666666666666,0.6666666666666666,,,0.8571428571428571,0.6923076923076923,0.3333333333333333,,,wikipedia
11,1100.0,0.6962962962962963,0.6666666666666666,0.9,0.8333333333333334,0.7692307692307693,0.8571428571428571,0.7272727272727273,0.2,,1.58046,wikipedia
12,1200.0,0.69375,0.75,0.7692307692307693,0.8333333333333334,0.8181818181818182,0.8888888888888888,,,0.2727272727272727,,wikipedia
13,1300.0,0.6615384615384615,0.75,,0.8333333333333334,0.7,0.8181818181818182,,,0.4,0.745,wikipedia
14,1400.0,0.6344827586206897,,,,0.75,0.9166666666666666,0.7142857142857143,0.36363636363636365,0.1,,wikipedia
15,1500.0,0.5485714285714286,,0.6666666666666666,,,0.6428571428571429,0.8888888888888888,0.15384615384615385,,,wikipedia
16,1600.0,0.6285714285714286,0.7692307692307693,0.75,0.6,,,0.7692307692307693,0.38461538461538464,,0.745,wikipedia
17,1700.0,0.6089743589743589,0.7777777777777778,0.75,0.7333333333333333,0.6,,0.8,0.2727272727272727,0.25,,wikipedia
18,1800.0,0.6418918918918919,,,,,0.6666666666666666,,,,,wikipedia
19,1900.0,,,,,,,,,,0.51,wikipedia
20,2000.0,,,,,,,,,,,wikipedia
21,2100.0,,,,,,,,,,0.51,wikipedia
22,2200.0,,,,,,,,,,,wikipedia
23,2300.0,,,,,0.1896551724137931,,,,,,wikipedia
24,2400.0,0.6549295774647887,,,0.21052631578947367,0.8,0.16071428571428573,,0.11864406779661017,,0.515,wikipedia
25,2500.0,0.6277372262773723,0.7692307692307693,0.8333333333333334,,,0.8,0.8571428571428571,,0.14285714285714285,,wikipedia
26,2600.0,0.572972972972973,0.7272727272727273,1.0,,,0.6,0.6428571428571429,,0.1111111111111111,,wikipedia
27,2700.0,0.6231884057971014,0.7333333333333333,0.5714285714285714,0.7272727272727273,0.7272727272727273,,0.8888888888888888,0.3333333333333333,0.08333333333333333,0.515,wikipedia
28,2800.0,0.647887323943662,,0.7272727272727273,0.8181818181818182,0.6666666666666666,,,0.4444444444444444,0.3,,wikipedia
29,2900.0,0.6571428571428571,,,0.6363636363636364,0.8461538461538461,0.7857142857142857,,0.2,0.1111111111111111,0.53,wikipedia
30,3000.0,0.6111111111111112,0.8461538461538461,,0.75,0.8,0.8181818181818182,0.9,0.2222222222222222,0.0,,wikipedia
31,3100.0,0.6321243523316062,0.8,0.7692307692307693,0.5555555555555556,0.8888888888888888,0.7272727272727273,0.7333333333333333,0.2857142857142857,0.1,,wikipedia
32,3200.0,0.6546762589928058,0.8181818181818182,0.9,0.8181818181818182,0.8333333333333334,0.6363636363636364,0.7857142857142857,0.1111111111111111,,0.53,wikipedia
33,3300.0,0.7111111111111111,,0.9090909090909091,,,,,0.2222222222222222,,,wikipedia
34,3400.0,0.3283582089552239,,0.3333333333333333,,,,,,,,wikipedia
35,3500.0,0.5588235294117647,0.5217391304347826,,0.45454545454545453,0.5263157894736842,0.42105263157894735,0.47368421052631576,,,0.495,wikipedia
36,3600.0,0.6417910447761194,0.8181818181818182,,,0.6,0.8181818181818182,,0.3076923076923077,0.1,,wikipedia
37,3700.0,0.6060606060606061,0.75,0.75,,0.8,0.8181818181818182,,0.16666666666666666,0.15384615384615385,,wikipedia
38,3800.0,0.6319018404907976,0.7,,0.6666666666666666,0.6363636363636364,0.7777777777777778,0.8333333333333334,,,0.495,wikipedia
39,3900.0,0.648,,,,0.7777777777777778,0.75,0.7692307692307693,,,,wikipedia
40,4000.0,0.6268656716417911,,0.9166666666666666,,0.8,0.7,0.8181818181818182,0.08333333333333333,0.2,0.475,wikipedia
41,4100.0,0.6069364161849711,0.75,0.8461538461538461,0.8888888888888888,0.5454545454545454,0.8333333333333334,0.625,0.2222222222222222,0.0,,wikipedia
42,4200.0,0.6325301204819277,0.8333333333333334,0.8333333333333334,0.8,0.7142857142857143,,0.7777777777777778,0.16666666666666666,0.2,,wikipedia
43,4300.0,0.6666666666666666,0.8333333333333334,,,,,,,,0.475,wikipedia
44,4400.0,0.5178571428571429,,,,,,,,,,wikipedia
45,4500.0,0.32075471698113206,,0.3888888888888889,0.5,0.47368421052631576,,0.5294117647058824,0.16666666666666666,0.13043478260869565,,wikipedia
46,4600.0,0.5987654320987654,0.5789473684210527,0.75,,,0.4117647058823529,0.8181818181818182,0.25,,0.535,wikipedia
47,4700.0,0.6011560693641619,0.7272727272727273,,,,0.7692307692307693,0.875,,,,wikipedia
48,4800.0,0.6416184971098265,0.8666666666666667,,0.8,0.6923076923076923,0.7,0.8181818181818182,,0.0,,wikipedia
49,4900.0,0.6575342465753424,0.8,0.7857142857142857,0.8181818181818182,0.75,0.6666666666666666,0.8888888888888888,0.18181818181818182,0.2,0.535,wikipedia
50,5000.0,0.6187050359712231,0.7272727272727273,0.8181818181818182,0.8888888888888888,0.7,0.8,0.7692307692307693,0.15384615384615385,0.18181818181818182,,wikipedia
51,5100.0,0.6098901098901099,0.7777777777777778,0.8,0.8,,0.7272727272727273,0.8888888888888888,0.23076923076923078,0.2,0.5650000000000001,wikipedia
52,5200.0,0.6158940397350994,0.8181818181818182,0.8333333333333334,0.5,,0.8333333333333334,,0.2,0.08333333333333333,,wikipedia
53,5300.0,0.6274509803921569,0.8888888888888888,0.6428571428571429,0.75,0.7142857142857143,0.7,,,0.25,,wikipedia
54,5400.0,0.5828571428571429,,0.7777777777777778,0.6,0.6,0.7777777777777778,0.7692307692307693,,0.2,0.5650000000000001,wikipedia
55,5500.0,0.6486486486486487,,0.8333333333333334,0.7777777777777778,0.5454545454545454,0.8,0.7857142857142857,0.3076923076923077,0.1,,wikipedia
56,5600.0,0.5944055944055944,0.9090909090909091,0.8888888888888888,0.8181818181818182,0.8181818181818182,0.5,0.8333333333333334,0.0,0.09090909090909091,,wikipedia
57,5700.0,0.6687116564417178,0.6428571428571429,0.8,,0.6923076923076923,,0.9,0.2857142857142857,0.125,0.5650000000000001,wikipedia
58,5800.0,0.7439024390243902,0.9230769230769231,0.8888888888888888,,0.7142857142857143,,,,0.8,,wikipedia
59,5900.0,0.6212121212121212,,,0.8181818181818182,,0.7272727272727273,,,0.2222222222222222,0.5650000000000001,wikipedia
60,6000.0,0.5797872340425532,,,0.6875,,0.6923076923076923,0.75,0.3333333333333333,0.2,,wikipedia
61,6100.0,0.66,0.8333333333333334,0.6923076923076923,0.9,0.84,0.8181818181818182,0.7272727272727273,0.09090909090909091,0.18181818181818182,,wikipedia
62,6200.0,0.6428571428571429,0.8620689655172413,0.8,0.8333333333333334,0.6666666666666666,0.6363636363636364,0.8,0.3076923076923077,0.18181818181818182,0.555,wikipedia
63,6300.0,0.6567164179104478,,0.8181818181818182,,,0.8333333333333334,0.8333333333333334,0.1111111111111111,,,wikipedia
64,6400.0,0.6089743589743589,,0.8461538461538461,,,,,,,,wikipedia
65,6500.0,0.40082644628099173,0.75,,,0.6363636363636364,,,,0.2,0.555,wikipedia
66,6600.0,0.6495726495726496,0.6,,,,0.631578947368421,0.4375,0.16666666666666666,0.058823529411764705,,wikipedia
67,6700.0,0.6631578947368421,0.9,0.7692307692307693,0.7272727272727273,,0.8,0.7777777777777778,0.15384615384615385,0.1111111111111111,0.535,wikipedia
68,6800.0,0.5792682926829268,0.6666666666666666,0.7333333333333333,0.9230769230769231,0.75,,0.8181818181818182,,0.18181818181818182,,wikipedia
69,6900.0,0.6216216216216216,0.75,,0.7692307692307693,0.6923076923076923,,0.6923076923076923,,,,wikipedia
70,7000.0,0.6241610738255033,0.9,,,0.7777777777777778,0.6666666666666666,0.8,0.3333333333333333,,0.535,wikipedia
71,7100.0,0.6203208556149733,0.9,0.7692307692307693,,0.7,0.8181818181818182,0.8,0.0,0.1,,wikipedia
72,7200.0,0.5894039735099338,,0.7857142857142857,0.6923076923076923,0.7,0.7272727272727273,,0.1,0.1,,wikipedia
73,7300.0,0.5827814569536424,,0.8,0.7272727272727273,0.7272727272727273,0.6428571428571429,,0.15384615384615385,0.3333333333333333,0.47595,wikipedia
74,7400.0,0.6621621621621622,0.7857142857142857,,0.7272727272727273,,0.7,0.6923076923076923,0.18181818181818182,0.0,,wikipedia
75,7500.0,0.6712328767123288,0.8888888888888888,,0.8,,0.8,0.875,0.18181818181818182,0.1111111111111111,,wikipedia
76,7600.0,0.6268656716417911,0.8181818181818182,0.6666666666666666,0.8181818181818182,,,0.8,0.2727272727272727,0.36363636363636365,0.47595,wikipedia
77,7700.0,0.6223404255319149,0.6923076923076923,0.7857142857142857,,,,0.8888888888888888,0.1,0.18181818181818182,,wikipedia
