,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.44045,worldpress
1,100,0.9471153846153846,1.0,0.9285714285714286,0.9166666666666666,0.9166666666666666,0.9285714285714286,0.8666666666666667,,0.9411764705882353,,worldpress
2,200,0.806722689126919,0.75,0.8181818181818182,0.9166666666666666,0.7692307692307693,0.8888888888888888,0.5714285714285714,,1.0,1.44045,worldpress
3,300,0.7607655501838946,0.5555555555555556,,,,0.8,0.6363636363636364,1.0,0.8888888888888888,,worldpress
4,400,0.7342657342657343,0.9,,,,0.5555555555555556,,1.0,0.9166666666666666,,worldpress
5,500,0.6984924623115578,,,0.6923076923076923,0.36363636363636365,0.7,,,0.3333333333333333,1.3392000000000002,worldpress
6,600,0.6323529411764706,,,0.6666666666666666,0.7142857142857143,,0.9090909090909091,,,,worldpress
7,700,0.84472049689441,,0.8461538461538461,0.8,0.7,,0.75,0.5,,,worldpress
8,800,0.851063829787234,,0.9166666666666666,0.8235294117647058,0.8571428571428571,0.8571428571428571,,0.9,0.8235294117647058,1.3392000000000002,worldpress
9,900,0.6935483870967742,,,,,,,,0.2727272727272727,,worldpress
10,1000,0.675,,,,,,0.4444444444444444,,0.25,1.2648,worldpress
11,1100,0.391304347826087,0.5555555555555556,,0.65,,0.4,0.75,,0.3,,worldpress
12,1200,0.6545454545454545,0.8181818181818182,0.4090909090909091,0.7,,0.8181818181818182,0.6363636363636364,0.23529411764705882,0.1111111111111111,,worldpress
13,1300,0.6132596685082873,,0.8571428571428571,,,0.7272727272727273,,0.36363636363636365,0.2222222222222222,1.2648,worldpress
14,1400,0.6206896551724138,,0.8461538461538461,,,0.7692307692307693,,0.09090909090909091,,,worldpress
15,1500,0.8260869565217391,0.9090909090909091,,0.75,0.7272727272727273,,0.8571428571428571,0.3333333333333333,,,worldpress
16,1600,0.8457446808510638,0.75,,0.9230769230769231,0.8181818181818182,,0.75,0.9090909090909091,0.8333333333333334,0.9641799999999999,worldpress
17,1700,0.8516483516483516,0.8571428571428571,0.8571428571428571,0.875,0.8461538461538461,0.9090909090909091,,0.8333333333333334,0.9,,worldpress
