,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0,,,,,,,,,
1,100,0.9305555555555556,0.9333333333333333,0.9375,,,0.9090909090909091,0.9285714285714286,0.9285714285714286,1.0
2,200,0.8758169934640523,0.8181818181818182,0.75,,,0.7777777777777778,0.6666666666666666,1.0,0.9090909090909091
3,300,0.8136645962732919,0.7272727272727273,0.8888888888888888,0.7272727272727273,1.0,0.42857142857142855,,,
4,400,0.7642857142857142,0.75,1.0,0.5833333333333334,0.7,0.6,,,
5,500,0.75,,0.4375,,,0.375,0.42105263157894735,0.9545454545454546,0.6111111111111112
6,600,0.45934959349593496,,0.8888888888888888,,,0.6,0.8461538461538461,0.2727272727272727,0.3333333333333333
7,700,0.6692307692307692,0.9090909090909091,,0.8181818181818182,0.3333333333333333,0.7857142857142857,1.0,0.8461538461538461,0.6923076923076923
8,800,0.85,0.9090909090909091,,0.9,0.8461538461538461,,0.7777777777777778,,
9,900,0.8353658536585366,0.7857142857142857,0.7692307692307693,0.8,0.9,,0.8,,
10,1000,0.6853146853146853,0.8333333333333334,0.9166666666666666,0.7,0.7692307692307693,,0.8,0.25,
11,1100,0.635,,0.625,0.8333333333333334,,,0.8888888888888888,0.375,
12,1200,0.6413793103448275,,0.7,0.875,,0.6666666666666666,0.9,0.1111111111111111,0.09090909090909091
13,1300,0.6549295774647887,0.7692307692307693,0.7142857142857143,0.875,0.9090909090909091,0.8,0.7,,0.4444444444444444
14,1400,0.69375,0.9,0.8181818181818182,,0.7,0.75,,,0.6666666666666666
15,1500,0.8874172185430463,,,,0.8,,,0.9230769230769231,
16,1600,0.6912442396313364,,,0.7333333333333333,0.875,,0.6666666666666666,0.8666666666666667,
17,1700,0.8529411764705882,0.9090909090909091,0.8461538461538461,,0.6666666666666666,0.9090909090909091,0.9,,0.7692307692307693
18,1800,0.868421052631579,0.8181818181818182,0.9090909090909091,,0.8888888888888888,,1.0,,1.0
19,1900,0.9848484848484849,,0.8181818181818182,0.9375,,,0.9,1.0,
20,2000,0.8793103448275862,,,0.8666666666666667,,0.8571428571428571,,1.0,
21,2100,0.8793103448275862,0.9333333333333333,,0.8,1.0,0.8571428571428571,,0.4,0.6666666666666666
22,2200,0.7039473684210527,0.9,0.8,,0.9,0.8,0.75,0.5,0.36363636363636365
