,time[ms],time_0,csv_load_0,time_1,csv_load_1,time_2,csv_load_2,time_3,csv_load_3,time_4,csv_load_4,time_5,csv_load_5,time_6,csv_load_6,time_7,csv_load_7,time_8,csv_load_8
0,0,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1,100,100,0.914572864321608,100.0,0.7647058823529411,100.0,1.0,100.0,0.9333333333333332,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,
2,200,200,0.9185185185185184,200.0,0.8,200.0,,200.0,,200.0,0.6,200.0,0.8461538461538461,200.0,0.75,200.0,,200.0,
3,300,300,0.8015564202335417,300.0,0.5,300.0,,300.0,,300.0,0.6,300.0,,300.0,0.8888888888888888,300.0,,300.0,1.0
4,400,400,0.7578475336321764,400.0,,400.0,0.8823529411764706,400.0,0.7857142857142857,400.0,0.8333333333333334,400.0,,400.0,,400.0,,400.0,1.0
5,500,500,0.891566265060241,500.0,,500.0,,500.0,0.9285714285714286,500.0,,500.0,,500.0,,500.0,,500.0,1.0
6,600,600,0.9333333333333332,600.0,0.75,600.0,,600.0,,600.0,,600.0,1.0,600.0,0.8064516129032258,600.0,1.0,600.0,1.0
7,700,700,0.8409090909090909,700.0,,700.0,0.7,700.0,,700.0,0.8666666666666667,700.0,,700.0,,700.0,,700.0,
8,800,800,0.7355371900826446,800.0,,800.0,0.9166666666666666,800.0,0.9285714285714286,800.0,0.8888888888888888,800.0,,800.0,,800.0,,800.0,
9,900,900,0.8809523809523809,900.0,0.9230769230769232,900.0,,900.0,,900.0,0.9090909090909092,900.0,0.875,900.0,0.8571428571428571,900.0,0.9333333333333332,900.0,1.0
10,1000,1000,0.775,1000.0,,1000.0,,1000.0,,1000.0,0.8181818181818182,1000.0,,1000.0,0.9,1000.0,1.0,1000.0,0.9285714285714286
11,1100,1100,0.8726114649681529,1100.0,,1100.0,0.9166666666666666,1100.0,0.8181818181818182,1100.0,0.8333333333333334,1100.0,,1100.0,,1100.0,,1100.0,
12,1200,1200,0.9402985074626866,1200.0,0.8571428571428571,1200.0,0.9166666666666666,1200.0,,1200.0,0.9166666666666666,1200.0,0.9166666666666666,1200.0,,1200.0,,1200.0,
13,1300,1300,0.8245614035087719,1300.0,0.9,1300.0,0.9090909090909092,1300.0,,1300.0,,1300.0,0.8666666666666667,1300.0,0.9230769230769232,1300.0,,1300.0,0.5833333333333334
14,1400,1400,0.7288135593220338,1400.0,0.8181818181818182,1400.0,0.7272727272727273,1400.0,0.9285714285714286,1400.0,,1400.0,,1400.0,,1400.0,,1400.0,0.9375
