,time[ms],time_0,csv_load_0,time_1,csv_load_1
0,0,0,,0.0,
1,100,100,0.914572864321608,100.0,0.7647058823529411
2,200,200,0.9185185185185184,200.0,0.8
3,300,300,0.8015564202335417,300.0,0.5
4,400,400,0.7578475336321764,400.0,
5,500,500,0.891566265060241,500.0,
6,600,600,0.9333333333333332,600.0,0.75
7,700,700,0.8409090909090909,700.0,
8,800,800,0.7355371900826446,800.0,
9,900,900,0.8809523809523809,900.0,0.9230769230769232
10,1000,1000,0.775,1000.0,
11,1100,1100,0.8726114649681529,1100.0,
12,1200,1200,0.9402985074626866,1200.0,0.8571428571428571
13,1300,1300,0.8245614035087719,1300.0,0.9
14,1400,1400,0.7288135593220338,1400.0,0.8181818181818182
15,1500,1500,0.7419354838709677,1500.0,
16,1600,1600,0.7979274611398963,1600.0,
17,1700,1700,0.8387096774193549,1700.0,0.8333333333333334
18,1800,1800,0.8292682926829268,1800.0,0.9090909090909092
19,1900,1900,0.7241379310344828,1900.0,0.9090909090909092
20,2000,2000,0.8260869565217391,2000.0,0.7272727272727273
21,2100,2100,0.8389261744966443,2100.0,0.5714285714285714
22,2200,2200,0.6632124352331606,2200.0,0.9
23,2300,2300,0.6838709677419355,2300.0,0.7777777777777778
24,2400,2400,0.609375,2400.0,
25,2500,2500,0.6615384615384615,2500.0,
26,2600,2600,0.6125,2600.0,0.9230769230769232
27,2700,2700,0.6455696202531646,2700.0,0.75
28,2800,2800,0.8839779005524862,2800.0,0.9090909090909092
29,2900,2900,0.7150837988826816,2900.0,0.9
30,3000,3000,0.6542553191489362,3000.0,0.8181818181818182
31,3100,3100,0.6736111111111112,3100.0,
32,3200,3200,0.7751479289940828,3200.0,
33,3300,3300,0.6910569105691057,3300.0,0.9090909090909092
34,3400,3400,0.6451612903225806,3400.0,
35,3500,3500,0.5660377358490566,3500.0,
36,3600,3600,0.6620689655172414,3600.0,0.9090909090909092
37,3700,3700,0.6953642384105961,3700.0,0.7
38,3800,3800,0.6585365853658537,3800.0,0.8
39,3900,3900,0.5,3900.0,0.875
40,4000,4000,0.6338797814207651,4000.0,0.8181818181818182
41,4100,4100,0.6319018404907976,4100.0,0.6666666666666666
42,4200,4200,0.7215189873417721,4200.0,
