,time[ms],cpu,sitename,Pmodel
0,0,4,amazon,
1,100,4,amazon,1.07532506
2,200,4,amazon,1.075491824
3,300,4,amazon,1.075491824
4,400,4,amazon,1.075394545
5,500,4,amazon,
6,600,4,amazon,
7,700,4,amazon,1.0753806479999999
8,800,4,amazon,1.0753713833333334
9,900,4,amazon,1.075362960909091
10,1000,4,amazon,1.0754008618181818
11,1100,4,amazon,1.075394545
12,1200,4,amazon,1.0753598025
13,1300,4,amazon,
14,1400,4,amazon,
15,1500,4,amazon,1.0754212699999999
16,1600,4,amazon,
17,1700,4,amazon,
18,1800,4,amazon,1.0753806479999999
19,1900,4,amazon,1.075394545
20,2000,4,amazon,1.075366751
21,2100,4,amazon,1.075362960909091
22,2200,4,amazon,
23,2300,4,amazon,
24,2400,4,amazon,1.075366751
25,2500,4,amazon,1.0754008618181818
26,2600,4,amazon,1.0753713833333334
27,2700,4,amazon,1.0754008618181818
28,2800,4,amazon,1.0754084419999999
29,2900,4,amazon,1.0754212699999999
30,3000,4,amazon,
31,3100,4,amazon,
32,3200,4,amazon,
33,3300,4,amazon,
34,3400,4,amazon,1.075436236
35,3500,4,amazon,1.0754387627272726
36,3600,4,amazon,1.07548140125
37,3700,4,amazon,1.0754292875
38,3800,4,amazon,
39,3900,4,amazon,
40,4000,4,amazon,1.0754739564285714
41,4100,4,amazon,
42,4200,4,amazon,
43,4300,4,amazon,1.07546403
44,4400,4,amazon,1.0754084419999999
45,4500,4,amazon,1.0754084419999999
46,4600,4,amazon,1.0754084419999999
47,4700,4,amazon,1.0755145645454545
48,4800,4,amazon,1.0754084419999999
49,4900,4,amazon,1.07548541
50,5000,4,amazon,1.0754766636363635
51,5100,4,amazon,1.075450133
52,5200,4,amazon,
53,5300,4,amazon,
54,5400,4,amazon,1.0754292875
55,5500,4,amazon,1.0753846185714284
56,5600,4,amazon,1.075491824
57,5700,4,amazon,1.0754387627272726
58,5800,4,amazon,1.0754084419999999
59,5900,4,amazon,
60,6000,4,amazon,
61,6100,4,amazon,1.07545334
62,6200,4,amazon,1.0754008618181818
63,6300,4,amazon,1.0753713833333334
64,6400,4,amazon,1.0754441771428571
65,6500,4,amazon,1.0754292875
66,6600,4,amazon,1.0754008618181818
67,6700,4,amazon,1.07546403
68,6800,4,amazon,1.0754387627272726
69,6900,4,amazon,1.0754084419999999
70,7000,4,amazon,1.07546403
71,7100,4,amazon,1.075450133
72,7200,4,amazon,1.0754177066666666
73,7300,4,amazon,1.075450133
74,7400,4,amazon,1.0755682574999998
75,7500,4,amazon,1.0754008618181818
76,7600,4,amazon,
