,time[ms],cpu,sitename,Pmodel
0,0,0,apple,
1,100,0,apple,1.0753621186666666
2,200,0,apple,1.0753294485263156
3,300,0,apple,1.075332926226415
4,400,0,apple,1.0753370287081339
5,500,0,apple,1.0753613130434783
6,600,0,apple,1.0753482216666665
7,700,0,apple,1.0753688240331492
8,800,0,apple,1.0753742605590062
9,900,0,apple,1.0754004051807229
10,1000,0,apple,1.0753965302857142
11,1100,0,apple,1.0754338191304347
12,1200,0,apple,1.0754384134101382
13,1300,0,apple,1.0753467489595374
14,1400,0,apple,1.0753674999401197
15,1500,0,apple,1.0753929290697675
16,1600,0,apple,1.0753834274
17,1700,0,apple,1.0754065251724136
18,1800,0,apple,1.0754710843147208
19,1900,0,apple,1.0754741985365852
20,2000,0,apple,1.0754543344186045
21,2100,0,apple,1.075466866122449
22,2200,0,apple,1.0756001346391753
23,2300,0,apple,1.0754599426470588
24,2400,0,apple,1.0754686623333334
25,2500,0,apple,1.0754884436486485
26,2600,0,apple,1.0754723682
27,2700,0,apple,1.075488599281768
28,2800,0,apple,1.0754755237593985
29,2900,0,apple,1.0754790324431818
30,3000,0,apple,1.0754791354347826
31,3100,0,apple,1.0754948019285713
32,3200,0,apple,1.0754674195121952
33,3300,0,apple,1.075583831724138
34,3400,0,apple,1.07546403
35,3500,0,apple,1.0754739564285714
36,3600,0,apple,1.0754624234104047
37,3700,0,apple,1.0754817331847133
38,3800,0,apple,1.0754827375
39,3900,0,apple,1.07548140125
40,4000,0,apple,1.075464806368715
41,4100,0,apple,1.0754817708510638
42,4200,0,apple,1.0754709784999998
43,4300,0,apple,1.0754547653333333
44,4400,0,apple,1.0754997816182572
45,4500,0,apple,1.0754887780821918
46,4600,0,apple,1.0755093463043477
47,4700,0,apple,1.0754650908396945
48,4800,0,apple,1.0754658348051946
49,4900,0,apple,1.0754852144512195
50,5000,0,apple,1.075467687105263
51,5100,0,apple,1.0754708327272726
52,5200,0,apple,1.0754810815337423
53,5300,0,apple,1.07546403
54,5400,0,apple,1.075466218503937
55,5500,0,apple,1.0755126695
56,5600,0,apple,1.0754959247540983
57,5700,0,apple,1.0755121610731706
58,5800,0,apple,1.0755008382702702
59,5900,0,apple,1.0754609417777776
60,6000,0,apple,1.0754742698947368
61,6100,0,apple,1.0754960999999998
62,6200,0,apple,1.0754804301863354
63,6300,0,apple,1.0754630715862068
64,6400,0,apple,1.0755438905882353
65,6500,0,apple,1.0754905509923665
66,6600,0,apple,1.0754688220689654
67,6700,0,apple,1.075467261860465
68,6800,0,apple,1.075481717090909
69,6900,0,apple,1.0754669868085105
70,7000,0,apple,1.075472900425532
71,7100,0,apple,1.0754739564285714
72,7200,0,apple,1.0754734886910995
73,7300,0,apple,1.075478814042553
74,7400,0,apple,1.0754817510067114
75,7500,0,apple,1.075483405625
76,7600,0,apple,1.07545513592
77,7700,0,apple,1.0754825593333333
78,7800,0,apple,1.0754692883243242
79,7900,0,apple,1.0754679172727273
80,8000,0,apple,1.0754772169343065
81,0,0,apple,
82,100,0,apple,1.0753358888311688
83,200,0,apple,1.0753641453125
84,300,0,apple,1.0753298520689654
85,400,0,apple,1.0753462588135592
86,500,0,apple,1.0753631774857142
87,600,0,apple,1.0753606257819905
88,700,0,apple,1.0753639715999999
89,800,0,apple,1.075470234017857
90,900,0,apple,1.0753621186666666
91,1000,0,apple,1.075404839074074
92,1100,0,apple,1.0754089834415583
93,1200,0,apple,1.0753782825531915
94,1300,0,apple,1.0753541988709676
95,1400,0,apple,
96,1500,0,apple,
97,1600,0,apple,1.0753613961926605
98,1700,0,apple,1.0754164375342465
99,1800,0,apple,
100,1900,0,apple,
101,2000,0,apple,1.07551423061674
102,2100,0,apple,1.0754766636363635
103,2200,0,apple,1.0754803794117647
104,2300,0,apple,1.0754952776923077
105,2400,0,apple,1.0755019309090907
106,2500,0,apple,1.0754622368387097
107,2600,0,apple,1.0754683728124999
108,2700,0,apple,1.0754793708441557
109,2800,0,apple,1.0754850066037736
110,2900,0,apple,1.0754871916666666
111,3000,0,apple,1.075592206213592
112,3100,0,apple,1.0754758572340426
113,3200,0,apple,1.075476270880829
114,3300,0,apple,1.07546403
115,3400,0,apple,1.0754817510067114
116,3500,0,apple,1.0754957633070865
117,3600,0,apple,1.0754830469473684
118,3700,0,apple,1.075465197815126
119,3800,0,apple,1.0754659468275862
120,3900,0,apple,1.0754752372580645
121,4000,0,apple,1.0755306594520548
122,4100,0,apple,1.0754509196226414
123,4200,0,apple,1.0754678373972602
124,4300,0,apple,1.0754453763087248
125,4400,0,apple,1.0754729958064515
126,4500,0,apple,1.0754668094
127,4600,0,apple,1.0754682412121213
128,4700,0,apple,1.0754799927702703
129,4800,0,apple,1.0754611347916665
130,4900,0,apple,1.0754672431791907
131,5000,0,apple,1.0754810263309351
132,5100,0,apple,1.0754601153521126
133,5200,0,apple,1.075484618148148
134,5300,0,apple,1.0754769146357614
135,5400,0,apple,1.0754791903636363
136,5500,0,apple,1.0754678373972602
137,5600,0,apple,1.0754539729605264
138,5700,0,apple,1.0754596182539682
139,5800,0,apple,1.07546403
140,5900,0,apple,1.0754856266891892
141,6000,0,apple,1.075492432627737
142,6100,0,apple,1.0755498455760368
143,6200,0,apple,1.0754805179661016
144,6300,0,apple,1.0754870250359712
145,6400,0,apple,1.075477344491018
146,6500,0,apple,1.0754670510869564
147,6600,0,apple,1.0754729958064515
148,6700,0,apple,1.0754891829411763
149,6800,0,apple,1.07551397234375
150,6900,0,apple,1.0754650908396945
151,7000,0,apple,1.0755143320245397
152,7100,0,apple,1.0754846769714286
153,7200,0,apple,1.0754791903636363
154,7300,0,apple,1.0754511025581395
155,7400,0,apple,1.0754801893023256
156,7500,0,apple,1.075490755
157,7600,0,apple,1.0754860887301587
158,7700,0,apple,1.075479579090909
159,7800,0,apple,1.0754824945454544
160,7900,0,apple,1.0754909026519337
161,8000,0,apple,1.0754840256834532
162,0,0,apple,
163,100,0,apple,1.0753453970731706
164,200,0,apple,1.075339949642857
165,300,0,apple,1.07532506
166,400,0,apple,1.0753394362068964
167,500,0,apple,1.0753354308955223
168,600,0,apple,1.0753540430481283
169,700,0,apple,1.0753623952238804
170,800,0,apple,1.07541058
171,900,0,apple,1.0754465884210527
172,1000,0,apple,1.0753802798675496
173,1100,0,apple,1.0753804720886075
174,1200,0,apple,1.0753793154109588
175,1300,0,apple,1.07537717375
176,1400,0,apple,1.0753674576271186
177,1500,0,apple,1.0753608462660944
178,1600,0,apple,1.0753780774566473
179,1700,0,apple,1.0753878820547944
180,1800,0,apple,
181,1900,0,apple,
182,2000,0,apple,1.0755002830434781
183,2100,0,apple,1.075455159574468
184,2200,0,apple,1.0755079624516128
185,2300,0,apple,1.0754793708441557
186,2400,0,apple,1.0754807415822785
187,2500,0,apple,1.0754690289208635
188,2600,0,apple,1.0754668431578944
189,2700,0,apple,1.0755008995918367
190,2800,0,apple,1.075479471111111
191,2900,0,apple,1.075472900425532
192,3000,0,apple,1.0755741231168832
193,3100,0,apple,1.0754764040410958
194,3200,0,apple,1.0754704299342104
195,3300,0,apple,1.0754735841874998
196,3400,0,apple,1.0754686623333334
197,3500,0,apple,1.0754592707534245
198,3600,0,apple,1.075470306064516
199,3700,0,apple,1.0754825100531915
200,3800,0,apple,1.0754898848837209
201,3900,0,apple,1.075469375
202,4000,0,apple,1.0754766636363635
203,4100,0,apple,1.0755424233333333
204,4200,0,apple,1.0754822946285714
205,4300,0,apple,1.0754734083435582
206,4400,0,apple,1.075412690764331
207,4500,0,apple,1.075464757591623
208,4600,0,apple,1.0754799927702703
209,4700,0,apple,1.0754824945454544
210,4800,0,apple,1.0754823374251496
211,4900,0,apple,1.075484658359375
212,5000,0,apple,1.075459547096774
213,5100,0,apple,1.075481065032258
214,5200,0,apple,1.0754726616770185
215,5300,0,apple,1.0754690443814432
216,5400,0,apple,1.0754688220689654
217,5500,0,apple,1.0754803230344827
218,5600,0,apple,1.0754889321387282
219,5700,0,apple,1.0754737667515923
220,5800,0,apple,1.0754753415116278
221,5900,0,apple,1.0754785238036808
222,6000,0,apple,1.0754949122222222
223,6100,0,apple,1.075515774148936
224,6200,0,apple,1.0754878262328766
225,6300,0,apple,1.0754785060416665
226,6400,0,apple,1.0754790777070062
227,6500,0,apple,1.0755019309090907
228,6600,0,apple,1.075481096491228
229,6700,0,apple,1.0754772652380953
230,6800,0,apple,1.0754889487586206
231,6900,0,apple,1.0754716657142855
232,7000,0,apple,1.07546403
233,7100,0,apple,1.07546403
234,7200,0,apple,1.0755681233590733
235,7300,0,apple,1.0754803794117647
236,7400,0,apple,1.0754706929452054
237,7500,0,apple,1.0754648931677018
238,7600,0,apple,1.0754892972727272
239,7700,0,apple,1.075464926580645
240,7800,0,apple,1.0754790777070062
241,7900,0,apple,1.0754774477931033
242,8000,0,apple,1.075482014352941
243,0,0,apple,
244,100,0,apple,1.0753458111764704
245,200,0,apple,1.0753373946153846
246,300,0,apple,1.0753316776190476
247,400,0,apple,1.075340038802395
248,500,0,apple,1.07536631671875
249,600,0,apple,1.0753707070802918
250,700,0,apple,1.0753795580392156
251,800,0,apple,1.0753849908125
252,900,0,apple,1.0753604837254902
253,1000,0,apple,1.0753841741044776
254,1100,0,apple,1.0753821369642858
255,1200,0,apple,1.0753923870807454
256,1300,0,apple,1.0753543168421051
257,1400,0,apple,1.0753598025
258,1500,0,apple,1.075388562847682
259,1600,0,apple,1.075398980212766
260,1700,0,apple,1.0754060596571429
261,1800,0,apple,1.075436236
262,1900,0,apple,1.075476114347826
263,2000,0,apple,1.07547976245283
264,2100,0,apple,1.0754889487586206
265,2200,0,apple,1.0754607981395348
266,2300,0,apple,1.0754734886910995
267,2400,0,apple,1.075467687105263
268,2500,0,apple,1.0754706929452054
269,2600,0,apple,1.0754663854237287
270,2700,0,apple,1.0754720475
271,2800,0,apple,1.075474572551724
272,2900,0,apple,1.0754803230344827
273,3000,0,apple,1.0754899914285714
274,3100,0,apple,1.0754805179661016
275,3200,0,apple,1.0754664260344826
276,3300,0,apple,1.075464981849315
277,3400,0,apple,1.07548791546875
278,3500,0,apple,1.075484328988764
279,3600,0,apple,1.0754669868085105
