,time[ms],cpu,sitename,Pmodel
0,0,7,ask,
1,100,7,ask,1.075362960909091
2,200,7,ask,
3,300,7,ask,
4,400,7,ask,
5,500,7,ask,
6,600,7,ask,1.075349584117647
7,700,7,ask,1.0754292875
8,800,7,ask,
9,900,7,ask,
10,1000,7,ask,1.0756377424999999
11,1100,7,ask,1.07561369
12,1200,7,ask,1.0756956466666665
13,1300,7,ask,
14,1400,7,ask,
15,1500,7,ask,1.075704069090909
16,1600,7,ask,1.0756956466666665
17,1700,7,ask,1.075672485
18,1800,7,ask,
19,1900,7,ask,
20,2000,7,ask,1.0756282672727273
21,2100,7,ask,1.07568985625
22,2200,7,ask,1.075666168181818
23,2300,7,ask,1.0756956466666665
24,2400,7,ask,1.0756493233333333
25,2500,7,ask,
26,2600,7,ask,
27,2700,7,ask,1.0756956466666665
28,2800,7,ask,1.075666168181818
29,2900,7,ask,1.0757002789999999
30,3000,7,ask,1.075658588
31,3100,7,ask,1.0756778299999998
32,3200,7,ask,1.0757002789999999
33,3300,7,ask,1.0756493233333333
34,3400,7,ask,
35,3500,7,ask,
36,3600,7,ask,
37,3700,7,ask,
38,3800,7,ask,1.075658588
39,3900,7,ask,1.075704069090909
40,4000,7,ask,1.0757002789999999
41,4100,7,ask,1.0756377424999999
42,4200,7,ask,1.0756282672727273
43,4300,7,ask,
44,4400,7,ask,
45,4500,7,ask,1.0755495499999999
46,4600,7,ask,1.075658588
47,4700,7,ask,
48,4800,7,ask,
49,4900,7,ask,1.075658588
50,5000,7,ask,1.075666168181818
51,5100,7,ask,1.0756824114285715
52,5200,7,ask,
53,5300,7,ask,
54,5400,7,ask,1.0756956466666665
55,5500,7,ask,1.0755903663636364
56,5600,7,ask,1.075616897
57,5700,7,ask,1.0757072275
58,5800,7,ask,
59,5900,7,ask,
60,6000,7,ask,1.0757098999999999
61,6100,7,ask,1.0756377424999999
62,6200,7,ask,1.07574197
63,6300,7,ask,
64,6400,7,ask,
65,6500,7,ask,1.0755930735714285
66,6600,7,ask,1.075666168181818
67,6700,7,ask,1.07574197
68,6800,7,ask,
69,6900,7,ask,
70,7000,7,ask,1.075658588
71,7100,7,ask,1.075616897
72,7200,7,ask,1.0757072275
73,7300,7,ask,1.0755903663636364
74,7400,7,ask,1.075672485
75,7500,7,ask,1.075616897
76,7600,7,ask,
77,7700,7,ask,
78,7800,7,ask,1.0756761421052632
79,7900,7,ask,1.0757072275
80,0,7,ask,
81,100,7,ask,1.07535713
82,200,7,ask,1.0754008618181818
83,300,7,ask,
84,400,7,ask,
85,500,7,ask,
86,600,7,ask,
87,700,7,ask,
88,800,7,ask,
89,900,7,ask,1.07561369
90,1000,7,ask,1.0755903663636364
91,1100,7,ask,1.075616897
92,1200,7,ask,1.0756029999999999
93,1300,7,ask,
94,1400,7,ask,
95,1500,7,ask,1.0756307939999998
96,1600,7,ask,
97,1700,7,ask,
98,1800,7,ask,1.075714176
99,1900,7,ask,1.075658588
100,2000,7,ask,1.075672485
101,2100,7,ask,1.0756493233333333
102,2200,7,ask,1.075658588
103,2300,7,ask,1.075672485
104,2400,7,ask,1.0756956466666665
105,2500,7,ask,1.075666168181818
106,2600,7,ask,
107,2700,7,ask,
108,2800,7,ask,1.0756761421052632
109,2900,7,ask,
110,3000,7,ask,
111,3100,7,ask,1.0756377424999999
112,3200,7,ask,1.075658588
113,3300,7,ask,1.0756493233333333
114,3400,7,ask,1.0755903663636364
115,3500,7,ask,1.07574197
116,3600,7,ask,1.075616897
117,3700,7,ask,1.0756956466666665
118,3800,7,ask,
119,3900,7,ask,
120,4000,7,ask,1.075672485
121,4100,7,ask,1.075666168181818
122,4200,7,ask,
123,4300,7,ask,
124,4400,7,ask,1.0755903663636364
125,4500,7,ask,1.075575206
