,time[ms],time_0,csv_load_0,time_1,csv_load_1,time_2,csv_load_2,time_3,csv_load_3,time_4,csv_load_4,time_5,csv_load_5,time_6,csv_load_6,time_7,csv_load_7,time_8,csv_load_8
0,0,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1,100,100,0.9183006535725328,100.0,,100.0,,100.0,0.8333333333333334,100.0,1.0,100.0,0.9411764705882352,100.0,0.8823529411764706,100.0,1.0,100.0,0.9285714285714286
2,200,200,0.9206349206619978,200.0,,200.0,,200.0,,200.0,0.75,200.0,,200.0,0.6363636363636364,200.0,0.9090909090909092,200.0,0.9090909090909092
3,300,300,0.9298245614035088,300.0,0.8181818181818182,300.0,0.9090909090909092,300.0,,300.0,,300.0,,300.0,0.8333333333333334,300.0,1.0,300.0,
4,400,400,0.9895287958115184,400.0,0.3076923076923077,400.0,0.8333333333333334,400.0,0.7,400.0,,400.0,0.9166666666666666,400.0,,400.0,,400.0,
5,500,500,1.0,500.0,0.75,500.0,,500.0,0.9333333333333332,500.0,0.9333333333333332,500.0,1.0,500.0,,500.0,,500.0,1.0
6,600,600,0.9448275862068966,600.0,0.7,600.0,,600.0,,600.0,0.9,600.0,,600.0,0.9375,600.0,,600.0,0.6666666666666666
7,700,700,0.8389261744966443,700.0,0.9230769230769232,700.0,0.8181818181818182,700.0,,700.0,0.8461538461538461,700.0,,700.0,0.9090909090909092,700.0,,700.0,
8,800,800,0.5423728813559322,800.0,1.0,800.0,,800.0,0.8888888888888888,800.0,0.8,800.0,0.7,800.0,,800.0,0.4117647058823529,800.0,
9,900,900,0.6086956521739131,900.0,0.75,900.0,,900.0,0.8571428571428571,900.0,0.8333333333333334,900.0,,900.0,,900.0,,900.0,
10,1000,1000,0.6851851851851852,1000.0,0.9285714285714286,1000.0,0.6666666666666666,1000.0,0.875,1000.0,,1000.0,,1000.0,1.0,1000.0,,1000.0,
11,1100,1100,0.7076023391812866,1100.0,0.8181818181818182,1100.0,0.8461538461538461,1100.0,0.8333333333333334,1100.0,,1100.0,0.8461538461538461,1100.0,0.8571428571428571,1100.0,0.6923076923076923,1100.0,0.2777777777777778
12,1200,1200,0.6554621848739496,1200.0,0.8,1200.0,0.8571428571428571,1200.0,0.9090909090909092,1200.0,0.8,1200.0,0.9090909090909092,1200.0,0.9,1200.0,0.3636363636363637,1200.0,0.5384615384615384
13,1300,1300,0.6838235294117647,1300.0,,1300.0,,1300.0,0.9166666666666666,1300.0,0.7,1300.0,0.8181818181818182,1300.0,0.8333333333333334,1300.0,0.4166666666666667,1300.0,0.18181818181818185
14,1400,1400,0.6419558359475829,1400.0,,1400.0,,1400.0,,1400.0,0.8333333333333334,1400.0,0.8,1400.0,0.9166666666666666,1400.0,0.2222222222222222,1400.0,0.15384615384615385
