,time[ms],cpu_load,cpu_scaling_freq,cpu,sitename
0,0,,1996.0,8,bing
1,100,0.9285714285714286,1536.0,8,bing
2,200,0.9090909090909092,1996.0,8,bing
3,300,,,8,bing
4,400,,1996.0,8,bing
5,500,1.0,1996.0,8,bing
6,600,0.6666666666666666,1996.0,8,bing
7,700,,,8,bing
8,800,,1996.0,8,bing
9,900,,,8,bing
10,1000,,1996.0,8,bing
11,1100,0.2777777777777778,1996.0,8,bing
12,1200,0.5384615384615384,1996.0,8,bing
13,1300,0.18181818181818185,1747.0,8,bing
14,1400,0.15384615384615385,825.0,8,bing
15,1500,0.2,1747.0,8,bing
16,1600,,,8,bing
17,1700,,825.0,8,bing
18,1800,0.2307692307692308,1536.0,8,bing
19,1900,0.15384615384615385,1363.0,8,bing
20,2000,,,8,bing
21,2100,,1536.0,8,bing
22,2200,0.0,825.0,8,bing
23,2300,0.16666666666666666,1996.0,8,bing
24,2400,,,8,bing
25,2500,,1536.0,8,bing
26,2600,0.26666666666666666,1536.0,8,bing
27,2700,0.18181818181818185,1536.0,8,bing
28,2800,0.3,1996.0,8,bing
29,2900,0.0,1536.0,8,bing
30,3000,,,8,bing
31,3100,,1132.0,8,bing
32,3200,0.14285714285714285,1363.0,8,bing
33,3300,,,8,bing
34,3400,,1747.0,8,bing
35,3500,0.16666666666666666,1996.0,8,bing
36,3600,0.07692307692307693,1363.0,8,bing
37,3700,0.2,979.0,8,bing
38,3800,0.0,1996.0,8,bing
39,3900,0.1,1363.0,8,bing
40,4000,,,8,bing
41,4100,,1843.0,8,bing
42,4200,,,8,bing
43,4300,,1996.0,8,bing
44,4400,0.36666666666666653,1996.0,8,bing
45,4500,,,8,bing
46,4600,,1363.0,8,bing
47,4700,0.16666666666666666,825.0,8,bing
48,4800,0.0,1363.0,8,bing
49,4900,0.2,1996.0,8,bing
50,5000,0.16666666666666666,1996.0,8,bing
51,5100,,,8,bing
52,5200,,1843.0,8,bing
53,5300,0.18181818181818185,1536.0,8,bing
54,5400,0.07692307692307693,1996.0,8,bing
55,5500,0.3,1363.0,8,bing
56,5600,0.2,1996.0,8,bing
57,5700,0.0,1996.0,8,bing
58,5800,0.2,825.0,8,bing
59,5900,,,8,bing
60,6000,,1996.0,8,bing
61,6100,0.2857142857142857,1996.0,8,bing
62,6200,0.125,1536.0,8,bing
63,6300,0.18181818181818185,1747.0,8,bing
64,6400,,,8,bing
65,6500,,825.0,8,bing
66,6600,0.21428571428571427,1996.0,8,bing
67,6700,0.09090909090909093,1747.0,8,bing
68,6800,0.25,1747.0,8,bing
69,6900,,,8,bing
70,7000,,825.0,8,bing
71,7100,0.0,1996.0,8,bing
72,7200,0.18181818181818185,1996.0,8,bing
73,7300,0.3636363636363637,1996.0,8,bing
74,7400,0.09090909090909093,1843.0,8,bing
75,7500,0.2727272727272727,1747.0,8,bing
76,7600,,,8,bing
77,7700,,1536.0,8,bing
78,7800,0.16666666666666666,825.0,8,bing
79,7900,0.09090909090909093,1536.0,8,bing
80,8000,0.2727272727272727,825.0,8,bing
0,0,,1996.0,8,bing
1,100,0.9411764705882352,1996.0,8,bing
2,200,1.0,1996.0,8,bing
3,300,,,8,bing
4,400,,1996.0,8,bing
5,500,0.9523809523809524,1996.0,8,bing
6,600,0.3333333333333333,1996.0,8,bing
7,700,0.6,1996.0,8,bing
8,800,0.375,1536.0,8,bing
9,900,0.6,1996.0,8,bing
10,1000,,,8,bing
11,1100,,1996.0,8,bing
12,1200,0.5384615384615384,1536.0,8,bing
13,1300,0.3636363636363637,1747.0,8,bing
14,1400,,,8,bing
15,1500,,825.0,8,bing
16,1600,0.125,1536.0,8,bing
17,1700,0.1,1536.0,8,bing
18,1800,0.15384615384615385,1996.0,8,bing
19,1900,0.25,1363.0,8,bing
20,2000,0.3333333333333333,1747.0,8,bing
21,2100,0.09090909090909093,825.0,8,bing
22,2200,,,8,bing
23,2300,,825.0,8,bing
24,2400,0.18181818181818185,1996.0,8,bing
25,2500,,,8,bing
26,2600,,1996.0,8,bing
27,2700,0.14285714285714285,1132.0,8,bing
28,2800,0.1,1843.0,8,bing
29,2900,,,8,bing
30,3000,,1536.0,8,bing
31,3100,0.15384615384615385,1843.0,8,bing
32,3200,0.18181818181818185,1843.0,8,bing
33,3300,0.2857142857142857,1996.0,8,bing
34,3400,0.1111111111111111,1363.0,8,bing
35,3500,,,8,bing
36,3600,,825.0,8,bing
37,3700,0.05555555555555555,1996.0,8,bing
38,3800,0.09090909090909093,979.0,8,bing
39,3900,0.4545454545454545,825.0,8,bing
40,4000,0.0,1996.0,8,bing
41,4100,0.0,1363.0,8,bing
42,4200,0.09090909090909093,1843.0,8,bing
43,4300,0.2727272727272727,825.0,8,bing
44,4400,0.0,825.0,8,bing
45,4500,0.3333333333333333,825.0,8,bing
46,4600,0.1,1996.0,8,bing
47,4700,,,8,bing
48,4800,,1996.0,8,bing
49,4900,,,8,bing
50,5000,,1536.0,8,bing
51,5100,0.1,1996.0,8,bing
52,5200,0.26666666666666666,1747.0,8,bing
53,5300,0.16666666666666666,979.0,8,bing
54,5400,0.3,1996.0,8,bing
55,5500,0.3,1996.0,8,bing
56,5600,,,8,bing
57,5700,,979.0,8,bing
58,5800,0.3333333333333333,1747.0,8,bing
59,5900,0.09090909090909093,825.0,8,bing
60,6000,0.2,1996.0,8,bing
61,6100,,,8,bing
62,6200,,825.0,8,bing
63,6300,0.16666666666666666,1996.0,8,bing
64,6400,0.15384615384615385,1996.0,8,bing
65,6500,0.18181818181818185,1996.0,8,bing
66,6600,,,8,bing
67,6700,,1996.0,8,bing
68,6800,0.14285714285714285,1747.0,8,bing
69,6900,0.125,1536.0,8,bing
70,7000,0.1,1996.0,8,bing
71,7100,,,8,bing
72,7200,,1996.0,8,bing
73,7300,0.06666666666666668,1363.0,8,bing
74,7400,0.2727272727272727,1996.0,8,bing
75,7500,,,8,bing
76,7600,,1996.0,8,bing
77,7700,0.15384615384615385,1363.0,8,bing
78,7800,,,8,bing
79,7900,,1747.0,8,bing
80,8000,0.1111111111111111,1996.0,8,bing
0,0,,1996.0,8,bing
1,100,,,8,bing
2,200,,1996.0,8,bing
3,300,,,8,bing
4,400,,1996.0,8,bing
5,500,1.0,1996.0,8,bing
6,600,1.0,1996.0,8,bing
7,700,1.0,1996.0,8,bing
8,800,0.7777777777777778,1996.0,8,bing
9,900,,,8,bing
10,1000,,1996.0,8,bing
11,1100,0.2727272727272727,1363.0,8,bing
12,1200,,,8,bing
13,1300,,1996.0,8,bing
14,1400,0.05882352941176471,1536.0,8,bing
15,1500,0.2222222222222222,1536.0,8,bing
