,time[ms],cpu,sitename,Pmodel
0,0,3,bing,
1,100,3,bing,1.075394545
2,200,3,bing,
3,300,3,bing,
4,400,3,bing,1.075450133
5,500,3,bing,1.075352854
6,600,3,bing,
7,700,3,bing,
8,800,3,bing,1.0753713833333334
9,900,3,bing,1.0753846185714284
10,1000,3,bing,1.07537717375
11,1100,3,bing,1.075394545
12,1200,3,bing,1.075362960909091
13,1300,3,bing,1.0753598025
14,1400,3,bing,
15,1500,3,bing,
16,1600,3,bing,1.07545334
17,1700,3,bing,1.0755212529411764
18,1800,3,bing,1.0753713833333334
19,1900,3,bing,
20,2000,3,bing,
21,2100,3,bing,1.0754441771428571
22,2200,3,bing,1.075366751
23,2300,3,bing,1.07546403
24,2400,3,bing,1.075362960909091
25,2500,3,bing,1.075366751
26,2600,3,bing,
27,2700,3,bing,
28,2800,3,bing,1.0755607047826086
29,2900,3,bing,1.075450133
30,3000,3,bing,1.0754177066666666
31,3100,3,bing,
32,3200,3,bing,
33,3300,3,bing,1.0753892
34,3400,3,bing,
35,3500,3,bing,
36,3600,3,bing,1.0754441771428571
37,3700,3,bing,
38,3800,3,bing,
39,3900,3,bing,1.0755037357142856
40,4000,3,bing,1.075450133
41,4100,3,bing,1.075491824
42,4200,3,bing,1.0754008618181818
43,4300,3,bing,1.0754177066666666
44,4400,3,bing,1.0754143978571429
45,4500,3,bing,
46,4600,3,bing,
47,4700,3,bing,1.075394545
48,4800,3,bing,
49,4900,3,bing,
50,5000,3,bing,1.0753598025
51,5100,3,bing,
52,5200,3,bing,
53,5300,3,bing,1.0754441771428571
54,5400,3,bing,1.0754292875
55,5500,3,bing,1.075491824
56,5600,3,bing,1.0754212699999999
57,5700,3,bing,1.07537717375
58,5800,3,bing,1.0754008618181818
59,5900,3,bing,1.0754292875
60,6000,3,bing,1.075450133
61,6100,3,bing,1.0754292875
62,6200,3,bing,
63,6300,3,bing,
64,6400,3,bing,1.075394545
65,6500,3,bing,1.0754177066666666
66,6600,3,bing,1.0754008618181818
67,6700,3,bing,1.075394545
68,6800,3,bing,1.0753846185714284
69,6900,3,bing,1.075547412
70,7000,3,bing,1.07532506
71,7100,3,bing,1.0755103533333332
72,7200,3,bing,1.0753713833333334
73,7300,3,bing,1.075394545
74,7400,3,bing,
75,7500,3,bing,
76,7600,3,bing,1.0754212699999999
77,7700,3,bing,1.0754292875
78,7800,3,bing,
79,7900,3,bing,
80,8000,3,bing,1.0755960515
81,8100,3,bing,1.075436236
82,0,3,bing,
83,100,3,bing,1.0753598025
84,200,3,bing,
85,300,3,bing,
86,400,3,bing,
87,500,3,bing,
88,600,3,bing,1.0753875965
89,700,3,bing,1.0754441771428571
90,800,3,bing,
91,900,3,bing,
92,1000,3,bing,1.0754143978571429
93,1100,3,bing,1.075366751
94,1200,3,bing,1.0753892
95,1300,3,bing,1.0754008618181818
96,1400,3,bing,1.075394545
97,1500,3,bing,
98,1600,3,bing,
99,1700,3,bing,
100,1800,3,bing,
101,1900,3,bing,1.0754143978571429
102,2000,3,bing,
103,2100,3,bing,
104,2200,3,bing,1.0754084419999999
105,2300,3,bing,1.0754084419999999
