,time[ms],time_0,csv_load_0,time_1,csv_load_1,time_2,csv_load_2,time_3,csv_load_3,time_4,csv_load_4,time_5,csv_load_5,time_6,csv_load_6,time_7,csv_load_7,time_8,csv_load_8
0,0,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,
1,100,100,0.9567567567567568,100,0.9333333333333332,100,1.0,100,0.8666666666666667,100,0.9333333333333332,100.0,,100.0,0.8666666666666667,100.0,,100.0,1.0
2,200,200,0.9774011299435028,200,,200,1.0,200,0.9090909090909092,200,0.9230769230769232,200.0,,200.0,0.7272727272727273,200.0,,200.0,
3,300,300,0.9069767441860463,300,,300,,300,,300,,300.0,0.8,300.0,0.7272727272727273,300.0,1.0,300.0,
4,400,400,0.8853503184713376,400,,400,,400,,400,,400.0,1.0,400.0,0.7,400.0,1.0,400.0,1.0
5,500,500,0.875,500,,500,,500,0.9166666666666666,500,0.9230769230769232,500.0,,500.0,0.6153846153846154,500.0,,500.0,1.0
6,600,600,0.9310344827586208,600,0.8,600,0.7,600,0.9285714285714286,600,0.8333333333333334,600.0,,600.0,,600.0,,600.0,0.8461538461538461
7,700,700,0.8666666666666667,700,0.8,700,0.7,700,,700,0.9,700.0,0.75,700.0,,700.0,1.0,700.0,0.7272727272727273
8,800,800,0.7647058823529411,800,,800,0.875,800,,800,0.8333333333333334,800.0,0.9166666666666666,800.0,0.8181818181818182,800.0,0.8333333333333334,800.0,1.0
9,900,900,0.7916666666666666,900,,900,,900,0.75,900,0.9,900.0,0.7272727272727273,900.0,0.6666666666666666,900.0,0.9166666666666666,900.0,
10,1000,1000,0.8920454545454546,1000,0.9285714285714286,1000,,1000,0.9166666666666666,1000,,1000.0,,1000.0,0.8571428571428571,1000.0,0.8181818181818182,1000.0,
11,1100,1100,0.7698412698412699,1100,0.75,1100,0.9285714285714286,1100,0.625,1100,,1100.0,,1100.0,0.8333333333333334,1100.0,,1100.0,
12,1200,1200,0.7923497267759563,1200,,1200,0.8461538461538461,1200,,1200,0.8333333333333334,1200.0,0.6818181818181818,1200.0,,1200.0,,1200.0,
13,1300,1300,0.8931297709923665,1300,,1300,,1300,,1300,0.8181818181818182,1300.0,,1300.0,,1300.0,,1300.0,0.9230769230769232
14,1400,1400,0.8181818181818182,1400,,1400,,1400,0.8461538461538461,1400,0.8571428571428571,1400.0,,1400.0,0.9166666666666666,1400.0,,1400.0,1.0
15,1500,1500,0.8527607361963192,1500,,1500,0.7058823529411765,1500,0.75,1500,0.8181818181818182,1500.0,0.9090909090909092,1500.0,0.8,1500.0,1.0,1500.0,1.0
16,1600,1600,0.8136645962732919,1600,0.9166666666666666,1600,0.7,1600,0.8461538461538461,1600,0.9230769230769232,1600.0,0.7272727272727273,1600.0,0.8461538461538461,1600.0,0.9090909090909092,1600.0,0.5555555555555556
17,1700,1700,0.6870748299319728,1700,0.7777777777777778,1700,0.7,1700,0.8181818181818182,1700,,1700.0,0.8333333333333334,1700.0,0.8,1700.0,,1700.0,
18,1800,1800,0.7555555555555555,1800,,1800,,1800,,1800,,1800.0,0.7,1800.0,0.8,1800.0,,1800.0,
19,1900,1900,0.4642857142857143,1900,,1900,,1900,,1900,,1900.0,0.9,1900.0,0.8888888888888888,1900.0,0.3636363636363637,1900.0,0.09090909090909093
20,2000,2000,0.6226415094339622,2000,0.5555555555555556,2000,0.7857142857142857,2000,0.75,2000,,2000.0,,2000.0,0.9,2000.0,0.18181818181818185,2000.0,0.25
21,2100,2100,0.6209150326797386,2100,0.75,2100,0.7857142857142857,2100,,2100,0.7272727272727273,2100.0,,2100.0,0.7777777777777778,2100.0,0.09090909090909093,2100.0,
22,2200,2200,0.648,2200,,2200,0.8461538461538461,2200,,2200,0.8,2200.0,0.6666666666666666,2200.0,0.8181818181818182,2200.0,,2200.0,
23,2300,2300,0.5842105263157895,2300,,2300,,2300,0.7333333333333333,2300,0.8,2300.0,0.5,2300.0,0.8333333333333334,2300.0,,2300.0,0.18181818181818185
24,2400,2400,0.5911949685534591,2400,0.8666666666666667,2400,,2400,,2400,0.6,2400.0,,2400.0,0.8,2400.0,0.4117647058823529,2400.0,0.2307692307692308
25,2500,2500,0.5666666666666667,2500,,2500,,2500,,2500,0.6666666666666666,2500.0,,2500.0,,2500.0,0.4444444444444444,2500.0,0.1
