,time[ms],cpu,sitename,Pmodel
0,0,7,chase,
1,100,7,chase,
2,200,7,chase,
3,300,7,chase,1.07532506
4,400,7,chase,1.07532506
5,500,7,chase,
6,600,7,chase,
7,700,7,chase,1.07532506
8,800,7,chase,1.075394545
9,900,7,chase,1.0753598025
10,1000,7,chase,1.0754008618181818
11,1100,7,chase,
12,1200,7,chase,
13,1300,7,chase,
14,1400,7,chase,
15,1500,7,chase,1.07532506
16,1600,7,chase,1.075362960909091
17,1700,7,chase,
18,1800,7,chase,
19,1900,7,chase,1.0755903663636364
20,2000,7,chase,1.075666168181818
21,2100,7,chase,1.075704069090909
22,2200,7,chase,
23,2300,7,chase,
24,2400,7,chase,1.0755703011764706
25,2500,7,chase,1.0755566766666667
26,2600,7,chase,1.075658588
27,2700,7,chase,1.0757002789999999
28,2800,7,chase,1.0755632942857143
29,2900,7,chase,1.0755682574999998
30,3000,7,chase,1.0755856287499999
31,3100,7,chase,
32,3200,7,chase,
33,3300,7,chase,1.0755335149999998
34,3400,7,chase,1.0755566766666667
35,3500,7,chase,1.0755930735714285
36,3600,7,chase,1.0755335149999998
37,3700,7,chase,1.0756029999999999
38,3800,7,chase,
39,3900,7,chase,
40,4000,7,chase,1.0755903663636364
41,4100,7,chase,1.0755682574999998
42,4200,7,chase,1.0756029999999999
43,4300,7,chase,
44,4400,7,chase,
45,4500,7,chase,1.0755831471428572
46,4600,7,chase,1.075575206
47,4700,7,chase,
48,4800,7,chase,
49,4900,7,chase,1.0756307939999998
50,5000,7,chase,1.0756956466666665
51,5100,7,chase,1.075616897
52,5200,7,chase,1.07574197
53,5300,7,chase,1.0756282672727273
54,5400,7,chase,1.07564576
55,5500,7,chase,
56,5600,7,chase,
57,5700,7,chase,1.0757072275
58,5800,7,chase,1.07568985625
59,5900,7,chase,1.0756377424999999
60,6000,7,chase,1.0757002789999999
61,6100,7,chase,1.0756377424999999
62,6200,7,chase,1.0756956466666665
63,6300,7,chase,
64,6400,7,chase,
65,6500,7,chase,1.0757072275
66,6600,7,chase,1.0756778299999998
67,6700,7,chase,
68,6800,7,chase,
69,6900,7,chase,1.0755335149999998
70,7000,7,chase,1.0756778299999998
71,7100,7,chase,1.075575206
72,7200,7,chase,1.0756228528571428
73,7300,7,chase,1.075704069090909
