,time[ms],time_0,csv_load_0,time_1,csv_load_1,time_2,csv_load_2,time_3,csv_load_3,time_4,csv_load_4,time_5,csv_load_5,time_6,csv_load_6,time_7,csv_load_7,time_8,csv_load_8
0,0,0,,0,,0.0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,
1,100,100,0.984375,100,0.9,100.0,0.7857142857142857,100,0.8947368421052632,100.0,0.9230769230769232,100.0,0.9375,100.0,,100.0,0.9375,100.0,0.9
2,200,200,0.9076923076923076,200,0.5,200.0,0.6,200,0.7777777777777778,200.0,0.8,200.0,0.8333333333333334,200.0,,200.0,0.8888888888888888,200.0,0.8888888888888888
3,300,300,0.6224489795918368,300,0.75,300.0,0.8,300,0.7777777777777778,300.0,0.5454545454545454,300.0,0.6666666666666666,300.0,0.75,300.0,0.9230769230769232,300.0,1.0
4,400,400,0.8204225352112492,400,0.7,400.0,1.0,400,0.8571428571428571,400.0,0.75,400.0,0.8571428571428571,400.0,0.8181818181818182,400.0,1.0,400.0,1.0
5,500,500,0.7272727272727586,500,,500.0,,500,,500.0,0.7,500.0,,500.0,0.75,500.0,0.9,500.0,
6,600,600,0.75,600,,600.0,,600,,600.0,,600.0,,600.0,0.8181818181818182,600.0,,600.0,
7,700,700,0.7866666666666666,700,0.6470588235294118,700.0,0.9285714285714286,700,0.8571428571428571,700.0,,700.0,,700.0,0.8,700.0,,700.0,1.0
8,800,800,0.8518518518518519,800,0.6666666666666666,800.0,,800,,800.0,0.8333333333333334,800.0,,800.0,0.9,800.0,1.0,800.0,0.9166666666666666
9,900,900,0.8194444444444444,900,0.8181818181818182,900.0,,900,,900.0,0.7777777777777778,900.0,0.6111111111111112,900.0,0.7142857142857143,900.0,,900.0,0.8333333333333334
10,1000,1000,0.7460317460317459,1000,0.75,1000.0,0.9285714285714286,1000,0.7692307692307693,1000.0,0.8,1000.0,0.7272727272727273,1000.0,0.9090909090909092,1000.0,,1000.0,
11,1100,1100,0.7333333333333333,1100,1.0,1100.0,0.7272727272727273,1100,0.7,1100.0,0.9090909090909092,1100.0,0.8181818181818182,1100.0,0.8888888888888888,1100.0,0.5,1100.0,
12,1200,1200,0.6942675159235668,1200,0.9090909090909092,1200.0,0.8461538461538461,1200,0.7777777777777778,1200.0,,1200.0,0.6,1200.0,0.8181818181818182,1200.0,0.4166666666666667,1200.0,0.375
13,1300,1300,0.7291666666666666,1300,,1300.0,0.75,1300,0.8,1300.0,,1300.0,0.6363636363636364,1300.0,0.9,1300.0,0.25,1300.0,0.3636363636363637
14,1400,1400,0.5,1400,,1400.0,0.8181818181818182,1400,0.8181818181818182,1400.0,0.8333333333333334,1400.0,0.7272727272727273,1400.0,0.8461538461538461,1400.0,,1400.0,0.18181818181818185
