,time[ms],cpu_load,cpu_scaling_freq
0,0,,
1,100,0.984375,
2,200,0.9076923076923076,
3,300,0.6224489795918368,
4,400,0.8204225352112492,
5,500,0.7272727272727586,
6,600,0.75,
7,700,0.7866666666666666,
8,800,0.8518518518518519,
9,900,0.8194444444444444,
10,1000,0.7460317460317459,
11,1100,0.7333333333333333,
12,1200,0.6942675159235668,
13,1300,0.7291666666666666,
14,1400,0.5,
15,1500,0.6761363636363636,
16,1600,0.6148148148148148,
17,1700,0.6021505376344086,
18,1800,0.6413793103448275,
19,1900,0.6394557823129252,
20,2000,0.6390532544378699,
21,2100,0.6357615894039735,
22,2200,0.592814371257485,
23,2300,0.536144578313253,
24,2400,0.3173076923076923,
25,2500,0.5531914893617021,
26,2600,0.6322580645161291,
27,2700,0.6179775280898876,
28,2800,0.583941605839416,
29,2900,0.6612903225806451,
30,3000,0.6378378378378379,
31,3100,0.6382978723404256,
32,3200,0.5894039735099338,
33,3300,0.6083916083916084,
34,3400,0.6153846153846154,
35,3500,0.3860759493670886,
36,3600,0.6417910447761194,
37,3700,0.6369047619047619,
38,3800,0.6163522012578616,
39,3900,0.6859504132231405,
40,4000,0.6577181208053692,
41,4100,0.6666666666666666,
42,4200,0.6323529411764706,
43,4300,0.6777777777777778,
44,4400,0.6666666666666667,
45,4500,0.6136363636363636,
46,4600,0.4886877828054298,
47,4700,0.6394557823129252,
48,4800,0.6834532374100719,
49,4900,0.6592592592592592,
50,5000,0.6158536585365854,
51,5100,0.6589595375722543,
52,5200,0.7613636363636364,
53,5300,0.7425149700598802,
54,5400,0.6095890410958904,
55,5500,0.6518518518518519,
56,5600,0.6620689655172414,
57,5700,0.5939393939393941,
58,5800,0.631578947368421,
59,5900,0.6666666666666666,
60,6000,0.6056338028169014,
61,6100,0.6217948717948718,
62,6200,0.6493506493506493,
63,6300,0.6282722513089005,
64,6400,0.5923566878980892,
65,6500,0.673202614379085,
66,6600,0.5251141552511416,
67,6700,0.6571428571428571,
68,6800,0.6257668711656442,
69,6900,0.6380368098159509,
70,7000,0.6369426751592356,
71,7100,0.6277777777777778,
72,7200,0.6296296296296297,
73,7300,0.6444444444444445,
74,7400,0.6395348837209304,
75,7500,0.6554621848739496,
76,7600,0.6861313868613139,
77,7700,0.6410256410256411,
78,7800,0.6146341463414634,
79,7900,0.6312849162011173,
80,8000,0.652542372881356,
0,0,,
1,100,0.9266055045871558,
2,200,0.8905472636815921,
3,300,0.8446601941747572,
4,400,0.9072847682119204,
5,500,0.9056603773584906,
6,600,0.9411764705882352,
7,700,0.6666666666666666,
8,800,0.8524590163934426,
9,900,0.7769784172661871,
10,1000,0.7301587301587301,
11,1100,0.7042253521126759,
12,1200,0.7166666666666667,
13,1300,0.6216216216059564,
14,1400,0.6431535269908593,
15,1500,0.6240601503759399,
16,1600,0.635036496350365,
17,1700,0.6363636363636364,
