,time[ms],cpu,sitename,Pmodel
0,0,2,craigslist,
1,100,2,craigslist,1.0754143978571429
2,200,2,craigslist,1.075491824
3,300,2,craigslist,1.0754084419999999
4,400,2,craigslist,1.07532506
5,500,2,craigslist,
6,600,2,craigslist,
7,700,2,craigslist,1.0753548392857142
8,800,2,craigslist,
9,900,2,craigslist,
10,1000,2,craigslist,1.0753548392857142
11,1100,2,craigslist,1.0754387627272726
12,1200,2,craigslist,1.0753892
13,1300,2,craigslist,1.0754292875
14,1400,2,craigslist,1.0754008618181818
15,1500,2,craigslist,1.0754292875
16,1600,2,craigslist,1.075394545
17,1700,2,craigslist,
18,1800,2,craigslist,
19,1900,2,craigslist,1.0754292875
20,2000,2,craigslist,1.0754987725
21,2100,2,craigslist,1.075394545
22,2200,2,craigslist,
23,2300,2,craigslist,
24,2400,2,craigslist,1.0753846185714284
25,2500,2,craigslist,1.0753598025
26,2600,2,craigslist,1.075450133
27,2700,2,craigslist,1.0754084419999999
28,2800,2,craigslist,1.075366751
29,2900,2,craigslist,1.0754292875
30,3000,2,craigslist,1.0754292875
31,3100,2,craigslist,1.0754292875
32,3200,2,craigslist,
33,3300,2,craigslist,
34,3400,2,craigslist,1.0754008618181818
35,3500,2,craigslist,1.0754292875
36,3600,2,craigslist,1.0754292875
37,3700,2,craigslist,1.0754292875
38,3800,2,craigslist,1.0754292875
39,3900,2,craigslist,1.0754008618181818
40,4000,2,craigslist,
41,4100,2,craigslist,
42,4200,2,craigslist,1.07545334
43,4300,2,craigslist,1.075394545
44,4400,2,craigslist,1.0753892
45,4500,2,craigslist,
46,4600,2,craigslist,
47,4700,2,craigslist,
48,4800,2,craigslist,
49,4900,2,craigslist,
50,5000,2,craigslist,
51,5100,2,craigslist,
52,5200,2,craigslist,
53,5300,2,craigslist,
54,5400,2,craigslist,
55,5500,2,craigslist,
56,5600,2,craigslist,
57,5700,2,craigslist,
58,5800,2,craigslist,
59,5900,2,craigslist,
60,6000,2,craigslist,
61,6100,2,craigslist,
62,6200,2,craigslist,
63,6300,2,craigslist,
64,6400,2,craigslist,
65,6500,2,craigslist,
66,6600,2,craigslist,
67,6700,2,craigslist,
68,6800,2,craigslist,
69,6900,2,craigslist,1.07546403
70,7000,2,craigslist,1.0754008618181818
71,7100,2,craigslist,
72,7200,2,craigslist,
73,7300,2,craigslist,1.0754143978571429
74,7400,2,craigslist,1.0754292875
75,7500,2,craigslist,1.0754292875
76,7600,2,craigslist,1.075450133
77,7700,2,craigslist,
78,7800,2,craigslist,
79,7900,2,craigslist,1.0755103533333332
80,8000,2,craigslist,1.0754292875
81,0,2,craigslist,
82,100,2,craigslist,1.075362960909091
83,200,2,craigslist,1.0754008618181818
84,300,2,craigslist,1.0754387627272726
85,400,2,craigslist,
86,500,2,craigslist,
87,600,2,craigslist,1.0753892
88,700,2,craigslist,1.0754387627272726
89,800,2,craigslist,1.0753713833333334
90,900,2,craigslist,
91,1000,2,craigslist,
92,1100,2,craigslist,1.07546403
93,1200,2,craigslist,1.0754387627272726
94,1300,2,craigslist,1.0754177066666666
95,1400,2,craigslist,
96,1500,2,craigslist,
97,1600,2,craigslist,1.075394545
98,1700,2,craigslist,1.0754008618181818
99,1800,2,craigslist,1.0754008618181818
100,1900,2,craigslist,1.0754387627272726
101,2000,2,craigslist,
102,2100,2,craigslist,
103,2200,2,craigslist,1.0755103533333332
104,2300,2,craigslist,1.0754441771428571
105,2400,2,craigslist,
106,2500,2,craigslist,
107,2600,2,craigslist,1.0754143978571429
108,2700,2,craigslist,1.075450133
109,2800,2,craigslist,1.0754766636363635
110,2900,2,craigslist,1.0753713833333334
111,3000,2,craigslist,
112,3100,2,craigslist,
113,3200,2,craigslist,1.0755335149999998
114,3300,2,craigslist,1.07551748
115,3400,2,craigslist,1.0754212699999999
116,3500,2,craigslist,1.0754084419999999
117,3600,2,craigslist,1.0753713833333334
118,3700,2,craigslist,
119,3800,2,craigslist,
120,3900,2,craigslist,1.075491824
121,4000,2,craigslist,1.0754292875
122,4100,2,craigslist,1.075491824
123,4200,2,craigslist,1.0756193494117647
124,4300,2,craigslist,1.0754084419999999
125,4400,2,craigslist,1.075450133
126,4500,2,craigslist,1.0753713833333334
127,4600,2,craigslist,
128,4700,2,craigslist,
129,4800,2,craigslist,1.0754212699999999
130,4900,2,craigslist,1.075436236
131,5000,2,craigslist,1.0754008618181818
132,5100,2,craigslist,
133,5200,2,craigslist,
134,5300,2,craigslist,1.0754292875
135,5400,2,craigslist,1.075394545
136,5500,2,craigslist,1.0754177066666666
137,5600,2,craigslist,1.0753598025
138,5700,2,craigslist,1.0754084419999999
139,5800,2,craigslist,1.0753713833333334
140,5900,2,craigslist,1.07546403
141,6000,2,craigslist,
142,6100,2,craigslist,
143,6200,2,craigslist,
144,6300,2,craigslist,
145,6400,2,craigslist,1.0755126695
146,6500,2,craigslist,1.075366751
147,6600,2,craigslist,1.0754766636363635
148,6700,2,craigslist,1.0754441771428571
149,6800,2,craigslist,
150,6900,2,craigslist,
151,7000,2,craigslist,1.0753846185714284
152,7100,2,craigslist,1.07545334
153,7200,2,craigslist,1.075366751
154,7300,2,craigslist,1.075491824
155,7400,2,craigslist,1.075366751
156,7500,2,craigslist,1.0754212699999999
157,7600,2,craigslist,1.0754084419999999
158,7700,2,craigslist,1.0754084419999999
159,7800,2,craigslist,1.0754008618181818
160,7900,2,craigslist,1.0754084419999999
161,8000,2,craigslist,1.0753713833333334
162,0,2,craigslist,
163,100,2,craigslist,1.07532506
164,200,2,craigslist,1.0754177066666666
165,300,2,craigslist,1.07546403
166,400,2,craigslist,
167,500,2,craigslist,
168,600,2,craigslist,
169,700,2,craigslist,
170,800,2,craigslist,
171,900,2,craigslist,
172,1000,2,craigslist,1.0754387627272726
173,1100,2,craigslist,1.0754084419999999
174,1200,2,craigslist,1.07545334
175,1300,2,craigslist,1.0754387627272726
176,1400,2,craigslist,1.075450133
177,1500,2,craigslist,
178,1600,2,craigslist,
179,1700,2,craigslist,1.0754143978571429
180,1800,2,craigslist,
181,1900,2,craigslist,
182,2000,2,craigslist,1.0755225436842104
183,2100,2,craigslist,1.075450133
184,2200,2,craigslist,1.0753713833333334
185,2300,2,craigslist,1.075394545
186,2400,2,craigslist,1.07532506
187,2500,2,craigslist,1.075394545
188,2600,2,craigslist,1.0754292875
189,2700,2,craigslist,1.075450133
190,2800,2,craigslist,
191,2900,2,craigslist,
192,3000,2,craigslist,
193,3100,2,craigslist,
194,3200,2,craigslist,1.0754084419999999
195,3300,2,craigslist,1.0753846185714284
196,3400,2,craigslist,1.0753892
197,3500,2,craigslist,
198,3600,2,craigslist,
199,3700,2,craigslist,1.0754739564285714
200,3800,2,craigslist,1.0754292875
201,3900,2,craigslist,
202,4000,2,craigslist,
203,4100,2,craigslist,
204,4200,2,craigslist,
205,4300,2,craigslist,1.0754292875
206,4400,2,craigslist,1.075366751
207,4500,2,craigslist,1.07546403
208,4600,2,craigslist,1.0754292875
209,4700,2,craigslist,1.075450133
210,4800,2,craigslist,1.0753892
211,4900,2,craigslist,
212,5000,2,craigslist,
213,5100,2,craigslist,1.0754292875
214,5200,2,craigslist,1.075362960909091
215,5300,2,craigslist,1.0754008618181818
216,5400,2,craigslist,1.07535713
217,5500,2,craigslist,
218,5600,2,craigslist,
219,5700,2,craigslist,1.0753846185714284
220,5800,2,craigslist,1.0754008618181818
221,5900,2,craigslist,1.07546403
222,6000,2,craigslist,1.075362960909091
223,6100,2,craigslist,1.0754739564285714
224,6200,2,craigslist,1.075366751
225,6300,2,craigslist,1.0754008618181818
226,6400,2,craigslist,1.075366751
227,6500,2,craigslist,1.0754008618181818
228,6600,2,craigslist,1.07537717375
229,6700,2,craigslist,1.0754987725
230,6800,2,craigslist,
231,6900,2,craigslist,
232,7000,2,craigslist,
233,7100,2,craigslist,
234,7200,2,craigslist,1.0755126695
235,7300,2,craigslist,
236,7400,2,craigslist,
237,7500,2,craigslist,1.075491824
238,7600,2,craigslist,1.0753713833333334
239,7700,2,craigslist,1.075362960909091
240,7800,2,craigslist,1.0754177066666666
241,7900,2,craigslist,1.0754292875
242,8000,2,craigslist,1.0754084419999999
243,0,2,craigslist,
244,100,2,craigslist,1.0753892
245,200,2,craigslist,1.0754292875
246,300,2,craigslist,1.0755632942857143
247,400,2,craigslist,1.075491824
248,500,2,craigslist,1.0755566766666667
249,600,2,craigslist,
250,700,2,craigslist,
251,800,2,craigslist,1.075394545
252,900,2,craigslist,1.0753713833333334
253,1000,2,craigslist,1.0753892
254,1100,2,craigslist,1.075362960909091
255,1200,2,craigslist,1.0753892
256,1300,2,craigslist,1.0753713833333334
257,1400,2,craigslist,
258,1500,2,craigslist,
259,1600,2,craigslist,1.0754292875
260,1700,2,craigslist,1.0754212699999999
261,1800,2,craigslist,1.0754441771428571
262,1900,2,craigslist,1.07546403
263,2000,2,craigslist,1.0753846185714284
264,2100,2,craigslist,1.07548541
265,2200,2,craigslist,1.0754177066666666
266,2300,2,craigslist,
267,2400,2,craigslist,
268,2500,2,craigslist,1.0754008618181818
269,2600,2,craigslist,1.075450133
270,2700,2,craigslist,1.0754387627272726
271,2800,2,craigslist,1.07548140125
272,2900,2,craigslist,1.075362960909091
273,3000,2,craigslist,1.075366751
