,time[ms],cpu,sitename,Pmodel
0,0,7,facebook,
1,100,7,facebook,1.0753511168749998
2,200,7,facebook,1.07532506
3,300,7,facebook,1.07532506
4,400,7,facebook,
5,500,7,facebook,
6,600,7,facebook,1.075349584117647
7,700,7,facebook,
8,800,7,facebook,
9,900,7,facebook,1.07546403
10,1000,7,facebook,1.0755930735714285
11,1100,7,facebook,
12,1200,7,facebook,
13,1300,7,facebook,1.075666168181818
14,1400,7,facebook,1.0754987725
15,1500,7,facebook,1.0757002789999999
16,1600,7,facebook,1.075672485
17,1700,7,facebook,
18,1800,7,facebook,
19,1900,7,facebook,1.075704069090909
20,2000,7,facebook,1.0755856287499999
21,2100,7,facebook,1.0755903663636364
22,2200,7,facebook,1.0756228528571428
23,2300,7,facebook,1.0756493233333333
24,2400,7,facebook,1.0756493233333333
25,2500,7,facebook,1.0755682574999998
26,2600,7,facebook,1.0756029999999999
27,2700,7,facebook,
28,2800,7,facebook,
29,2900,7,facebook,1.0756377424999999
30,3000,7,facebook,1.0756282672727273
31,3100,7,facebook,1.0756377424999999
32,3200,7,facebook,
33,3300,7,facebook,
34,3400,7,facebook,1.075658588
35,3500,7,facebook,1.075666168181818
36,3600,7,facebook,1.07574197
37,3700,7,facebook,1.075672485
38,3800,7,facebook,
39,3900,7,facebook,
40,4000,7,facebook,1.0755703011764706
41,4100,7,facebook,1.0757002789999999
42,4200,7,facebook,1.0757002789999999
43,4300,7,facebook,
44,4400,7,facebook,
45,4500,7,facebook,1.0756778299999998
46,4600,7,facebook,1.075616897
47,4700,7,facebook,1.075672485
48,4800,7,facebook,1.075672485
49,4900,7,facebook,1.0756956466666665
50,5000,7,facebook,
51,5100,7,facebook,
52,5200,7,facebook,
53,5300,7,facebook,
54,5400,7,facebook,
55,5500,7,facebook,
56,5600,7,facebook,
57,5700,7,facebook,
58,5800,7,facebook,
59,5900,7,facebook,
60,6000,7,facebook,
61,6100,7,facebook,
62,6200,7,facebook,
63,6300,7,facebook,
64,6400,7,facebook,
65,6500,7,facebook,
66,6600,7,facebook,
67,6700,7,facebook,
68,6800,7,facebook,
69,6900,7,facebook,
70,7000,7,facebook,
71,7100,7,facebook,
72,7200,7,facebook,
73,7300,7,facebook,
74,7400,7,facebook,
75,7500,7,facebook,
76,7600,7,facebook,
77,7700,7,facebook,1.0756778299999998
78,7800,7,facebook,1.075666168181818
79,7900,7,facebook,1.0756956466666665
80,0,7,facebook,
81,100,7,facebook,
82,200,7,facebook,
83,300,7,facebook,1.075366751
84,400,7,facebook,1.0753511168749998
85,500,7,facebook,1.07532506
86,600,7,facebook,
87,700,7,facebook,
88,800,7,facebook,1.0754408683333332
89,900,7,facebook,
90,1000,7,facebook,
91,1100,7,facebook,1.0756377424999999
92,1200,7,facebook,
93,1300,7,facebook,
94,1400,7,facebook,1.075658588
95,1500,7,facebook,1.0756282672727273
96,1600,7,facebook,1.0756377424999999
97,1700,7,facebook,1.07574197
98,1800,7,facebook,
99,1900,7,facebook,
100,2000,7,facebook,1.0755632942857143
101,2100,7,facebook,1.0756956466666665
102,2200,7,facebook,1.0756377424999999
103,2300,7,facebook,1.0756193494117647
104,2400,7,facebook,
105,2500,7,facebook,
106,2600,7,facebook,1.0756493233333333
107,2700,7,facebook,1.0757002789999999
108,2800,7,facebook,1.0756377424999999
109,2900,7,facebook,1.075666168181818
110,3000,7,facebook,1.07574197
111,3100,7,facebook,1.07561369
112,3200,7,facebook,
113,3300,7,facebook,
114,3400,7,facebook,
115,3500,7,facebook,
116,3600,7,facebook,1.075672485
117,3700,7,facebook,1.075491824
118,3800,7,facebook,1.075672485
119,3900,7,facebook,1.0756377424999999
120,4000,7,facebook,1.0756778299999998
121,4100,7,facebook,
122,4200,7,facebook,
123,4300,7,facebook,1.0755495499999999
124,4400,7,facebook,1.0756193494117647
125,4500,7,facebook,
126,4600,7,facebook,
127,4700,7,facebook,1.0757002789999999
128,4800,7,facebook,1.07558162
129,4900,7,facebook,1.07574197
130,5000,7,facebook,
131,5100,7,facebook,
132,5200,7,facebook,1.0756282672727273
133,5300,7,facebook,1.075666168181818
134,5400,7,facebook,1.075672485
135,5500,7,facebook,1.075666168181818
136,5600,7,facebook,1.075666168181818
137,5700,7,facebook,
138,5800,7,facebook,
139,5900,7,facebook,1.0757072275
140,6000,7,facebook,1.075704069090909
141,6100,7,facebook,1.075616897
142,6200,7,facebook,1.075575206
143,6300,7,facebook,
144,6400,7,facebook,
145,6500,7,facebook,1.0756824114285715
146,6600,7,facebook,1.0756029999999999
147,6700,7,facebook,1.0756778299999998
148,6800,7,facebook,
149,6900,7,facebook,
150,7000,7,facebook,1.07574197
151,7100,7,facebook,1.0756377424999999
152,7200,7,facebook,1.0756282672727273
153,7300,7,facebook,1.075658588
154,7400,7,facebook,
155,7500,7,facebook,
156,7600,7,facebook,1.0756956466666665
157,7700,7,facebook,1.075616897
158,7800,7,facebook,1.0756377424999999
159,7900,7,facebook,1.0756029999999999
160,0,7,facebook,
161,100,7,facebook,
162,200,7,facebook,
163,300,7,facebook,1.07532506
164,400,7,facebook,1.07532506
165,500,7,facebook,1.07532506
166,600,7,facebook,1.0753548392857142
167,700,7,facebook,
168,800,7,facebook,
169,900,7,facebook,1.0753806479999999
170,1000,7,facebook,1.0755037357142856
171,1100,7,facebook,1.0756029999999999
172,1200,7,facebook,1.0755903663636364
173,1300,7,facebook,1.0756377424999999
174,1400,7,facebook,1.0756377424999999
175,1500,7,facebook,1.075616897
176,1600,7,facebook,1.075616897
177,1700,7,facebook,1.075666168181818
178,1800,7,facebook,
179,1900,7,facebook,
180,2000,7,facebook,1.0755930735714285
181,2100,7,facebook,1.075658588
182,2200,7,facebook,1.0756493233333333
183,2300,7,facebook,1.075704069090909
184,2400,7,facebook,1.0756029999999999
185,2500,7,facebook,1.075666168181818
186,2600,7,facebook,
187,2700,7,facebook,
188,2800,7,facebook,1.0756413365517241
189,2900,7,facebook,1.0755856287499999
190,3000,7,facebook,1.0756493233333333
191,3100,7,facebook,1.0756029999999999
192,3200,7,facebook,1.0756282672727273
193,3300,7,facebook,
194,3400,7,facebook,
195,3500,7,facebook,1.0756824114285715
196,3600,7,facebook,1.075658588
197,3700,7,facebook,
198,3800,7,facebook,
199,3900,7,facebook,1.0757098999999999
200,4000,7,facebook,1.075666168181818
201,4100,7,facebook,1.0756029999999999
202,4200,7,facebook,1.0756557127586206
203,4300,7,facebook,
204,4400,7,facebook,
205,4500,7,facebook,1.07558162
206,4600,7,facebook,1.075666168181818
207,4700,7,facebook,
208,4800,7,facebook,
209,4900,7,facebook,1.075672485
210,5000,7,facebook,1.0756228528571428
211,5100,7,facebook,1.07574197
212,5200,7,facebook,1.0756029999999999
213,5300,7,facebook,1.0757002789999999
214,5400,7,facebook,1.075666168181818
215,5500,7,facebook,1.0756493233333333
216,5600,7,facebook,1.075658588
217,5700,7,facebook,1.075666168181818
218,5800,7,facebook,1.07574197
219,5900,7,facebook,
220,6000,7,facebook,
221,6100,7,facebook,1.0756493233333333
222,6200,7,facebook,1.0756377424999999
223,6300,7,facebook,1.0756377424999999
224,6400,7,facebook,1.075658588
225,6500,7,facebook,1.0756493233333333
226,6600,7,facebook,1.07561369
227,6700,7,facebook,
228,6800,7,facebook,
229,6900,7,facebook,1.0756377424999999
230,7000,7,facebook,1.0755903663636364
231,7100,7,facebook,1.0756377424999999
232,7200,7,facebook,1.0755856287499999
233,7300,7,facebook,1.0756493233333333
234,7400,7,facebook,1.0757098999999999
