time[ms],cpu_load,cpu_scaling_freq,cpu,sitename,w
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
0,,,0,fc,1.0
0,,,0,fc,1.0745248
100,0.9047619047619048,,0,fc,
100,0.9814814814814816,,0,fc,
100,0.8305084745762712,,0,fc,
100,0.9367816091954024,,0,fc,
100,0.927927927927928,,0,fc,
100,0.9411764705882352,,0,fc,
100,0.9295774647887324,,0,fc,
100,0.8852459016393442,,0,fc,
100,0.9452054794520548,,0,fc,
