,time[ms],cpu,sitename,Pmodel
0,0,1,fc,
1,100,1,fc,1.0753806479999999
2,200,1,fc,
3,300,1,fc,
4,400,1,fc,1.0754987725
5,500,1,fc,1.0753598025
6,600,1,fc,1.07537717375
7,700,1,fc,1.0753598025
8,800,1,fc,1.0754084419999999
9,900,1,fc,1.07537717375
10,1000,1,fc,
11,1100,1,fc,
12,1200,1,fc,1.0755444863157895
13,1300,1,fc,1.0754008618181818
14,1400,1,fc,1.075362960909091
15,1500,1,fc,1.075366751
16,1600,1,fc,
17,1700,1,fc,
18,1800,1,fc,1.0753846185714284
19,1900,1,fc,1.0754008618181818
20,2000,1,fc,1.0754008618181818
21,2100,1,fc,
22,2200,1,fc,
23,2300,1,fc,1.075460274054054
24,2400,1,fc,
25,2500,1,fc,
26,2600,1,fc,1.075362960909091
27,2700,1,fc,1.0754212699999999
28,2800,1,fc,1.0754084419999999
29,2900,1,fc,1.0754084419999999
30,3000,1,fc,1.0753846185714284
31,3100,1,fc,
32,3200,1,fc,
33,3300,1,fc,1.075491824
34,3400,1,fc,1.07546403
35,3500,1,fc,1.075450133
36,3600,1,fc,
37,3700,1,fc,
38,3800,1,fc,1.0754292875
39,3900,1,fc,1.07546403
40,4000,1,fc,1.07537717375
41,4100,1,fc,1.075450133
42,4200,1,fc,
43,4300,1,fc,
44,4400,1,fc,
45,4500,1,fc,1.0754751476
46,4600,1,fc,1.0754084419999999
47,4700,1,fc,1.0754766636363635
48,4800,1,fc,
49,4900,1,fc,
50,5000,1,fc,1.075394545
51,5100,1,fc,1.075450133
52,5200,1,fc,1.0754177066666666
53,5300,1,fc,1.075491824
54,5400,1,fc,1.0754292875
55,5500,1,fc,1.0754387627272726
56,5600,1,fc,1.0753846185714284
57,5700,1,fc,1.0754292875
58,5800,1,fc,1.0754177066666666
59,5900,1,fc,
60,6000,1,fc,
61,6100,1,fc,1.0754292875
62,6200,1,fc,1.0754387627272726
63,6300,1,fc,1.0754008618181818
64,6400,1,fc,
65,6500,1,fc,
66,6600,1,fc,1.075394545
67,6700,1,fc,1.0754008618181818
68,6800,1,fc,1.0754987725
69,6900,1,fc,1.0754008618181818
70,7000,1,fc,1.075394545
71,7100,1,fc,1.0754008618181818
72,7200,1,fc,1.0754008618181818
73,7300,1,fc,
74,7400,1,fc,
75,7500,1,fc,
76,7600,1,fc,1.0755145645454545
77,7700,1,fc,1.075450133
78,7800,1,fc,1.075362960909091
79,7900,1,fc,1.075436236
80,8000,1,fc,1.0755335149999998
81,0,1,fc,
82,100,1,fc,1.075366751
83,200,1,fc,
84,300,1,fc,
85,400,1,fc,1.0754143978571429
86,500,1,fc,1.07545334
87,600,1,fc,
88,700,1,fc,
89,800,1,fc,1.0755225436842104
90,900,1,fc,
91,1000,1,fc,
92,1100,1,fc,1.0753598025
93,1200,1,fc,1.0754162590625
94,1300,1,fc,
95,1400,1,fc,
96,1500,1,fc,1.075394545
97,1600,1,fc,1.0754177066666666
98,1700,1,fc,
99,1800,1,fc,
100,1900,1,fc,1.0755225436842104
101,2000,1,fc,1.0754084419999999
102,2100,1,fc,1.0753892
103,2200,1,fc,1.07545334
104,2300,1,fc,1.0754084419999999
105,2400,1,fc,1.075450133
106,2500,1,fc,
107,2600,1,fc,
108,2700,1,fc,1.0754008618181818
109,2800,1,fc,1.0754441771428571
110,2900,1,fc,
111,3000,1,fc,
112,3100,1,fc,1.075366751
113,3200,1,fc,1.0754084419999999
114,3300,1,fc,1.07546403
115,3400,1,fc,1.075362960909091
116,3500,1,fc,1.0754084419999999
117,3600,1,fc,1.0754084419999999
118,3700,1,fc,1.075394545
119,3800,1,fc,
120,3900,1,fc,
121,4000,1,fc,1.0755335149999998
122,4100,1,fc,
123,4200,1,fc,
124,4300,1,fc,1.0754292875
125,4400,1,fc,1.0754292875
126,4500,1,fc,1.0753713833333334
127,4600,1,fc,
128,4700,1,fc,
129,4800,1,fc,
130,4900,1,fc,
131,5000,1,fc,1.0754766636363635
132,5100,1,fc,1.0754143978571429
133,5200,1,fc,1.0754292875
134,5300,1,fc,1.0754084419999999
135,5400,1,fc,1.075366751
136,5500,1,fc,
137,5600,1,fc,
138,5700,1,fc,1.0754143978571429
139,5800,1,fc,
140,5900,1,fc,
141,6000,1,fc,1.0754143978571429
142,6100,1,fc,1.07546403
143,6200,1,fc,1.0754177066666666
144,6300,1,fc,1.0754084419999999
145,6400,1,fc,1.0753598025
146,6500,1,fc,1.0754008618181818
147,6600,1,fc,1.075394545
148,6700,1,fc,
149,6800,1,fc,
150,6900,1,fc,1.0754212699999999
151,7000,1,fc,
152,7100,1,fc,
153,7200,1,fc,1.0754008618181818
154,7300,1,fc,1.0754143978571429
155,7400,1,fc,1.0753892
156,7500,1,fc,1.0754387627272726
157,7600,1,fc,1.0754084419999999
158,7700,1,fc,1.0754177066666666
159,7800,1,fc,
160,7900,1,fc,
161,8000,1,fc,1.075362960909091
162,8100,1,fc,1.0755006010526316
163,0,1,fc,
164,100,1,fc,1.075339949642857
165,200,1,fc,
166,300,1,fc,
167,400,1,fc,1.0754292875
168,500,1,fc,
169,600,1,fc,
170,700,1,fc,1.07546403
171,800,1,fc,1.0753846185714284
172,900,1,fc,1.0754084419999999
173,1000,1,fc,1.075366751
174,1100,1,fc,1.0753713833333334
175,1200,1,fc,1.07546403
176,1300,1,fc,1.075366751
177,1400,1,fc,
178,1500,1,fc,
179,1600,1,fc,
180,1700,1,fc,
181,1800,1,fc,1.0754143978571429
182,1900,1,fc,1.0754387627272726
183,2000,1,fc,1.0754008618181818
184,2100,1,fc,1.0754008618181818
185,2200,1,fc,1.075366751
186,2300,1,fc,1.0754387627272726
187,2400,1,fc,
188,2500,1,fc,
189,2600,1,fc,
190,2700,1,fc,
191,2800,1,fc,1.0754871916666666
192,2900,1,fc,1.0754008618181818
193,3000,1,fc,1.075366751
194,3100,1,fc,1.075366751
195,3200,1,fc,1.0754292875
196,3300,1,fc,1.0754387627272726
197,3400,1,fc,1.0754212699999999
198,3500,1,fc,1.07545334
199,3600,1,fc,
200,3700,1,fc,
201,3800,1,fc,1.0755543605
202,3900,1,fc,1.0754008618181818
203,4000,1,fc,1.0754084419999999
204,4100,1,fc,1.0753713833333334
205,4200,1,fc,1.0754212699999999
206,4300,1,fc,1.07546403
207,4400,1,fc,
208,4500,1,fc,
209,4600,1,fc,1.0754134954545453
210,4700,1,fc,
211,4800,1,fc,
212,4900,1,fc,1.0754177066666666
213,5000,1,fc,1.0754387627272726
214,5100,1,fc,1.075362960909091
215,5200,1,fc,1.075394545
216,5300,1,fc,1.0753846185714284
217,5400,1,fc,1.07532506
218,5500,1,fc,1.0754008618181818
219,5600,1,fc,1.075394545
220,5700,1,fc,1.0754008618181818
221,5800,1,fc,1.0754292875
222,5900,1,fc,
223,6000,1,fc,
224,6100,1,fc,1.0754008618181818
225,6200,1,fc,1.0754008618181818
226,6300,1,fc,1.0754008618181818
227,6400,1,fc,1.0754441771428571
228,6500,1,fc,1.075362960909091
229,6600,1,fc,1.0754177066666666
230,6700,1,fc,
231,6800,1,fc,
232,6900,1,fc,1.0755225436842104
233,7000,1,fc,1.0754177066666666
234,7100,1,fc,1.0754292875
235,7200,1,fc,1.075362960909091
236,7300,1,fc,1.0754084419999999
237,7400,1,fc,1.0754292875
238,7500,1,fc,1.075366751
239,7600,1,fc,1.0754292875
240,7700,1,fc,1.0753846185714284
241,7800,1,fc,
242,7900,1,fc,
243,8000,1,fc,1.0754967288235293
244,0,1,fc,
245,100,1,fc,1.075362960909091
246,200,1,fc,1.075366751
247,300,1,fc,1.0754008618181818
248,400,1,fc,1.0754212699999999
249,500,1,fc,1.0753713833333334
250,600,1,fc,1.075394545
251,700,1,fc,
252,800,1,fc,
253,900,1,fc,1.07535713
254,1000,1,fc,1.0754008618181818
255,1100,1,fc,1.0754008618181818
256,1200,1,fc,1.0754008618181818
257,1300,1,fc,1.0754008618181818
258,1400,1,fc,1.075394545
259,1500,1,fc,
260,1600,1,fc,
261,1700,1,fc,1.0753788548387095
262,1800,1,fc,
263,1900,1,fc,
264,2000,1,fc,1.0754084419999999
265,2100,1,fc,1.075394545
266,2200,1,fc,1.0754008618181818
267,2300,1,fc,1.0754084419999999
268,2400,1,fc,1.075491824
269,2500,1,fc,1.0753892
270,2600,1,fc,1.0753846185714284
271,2700,1,fc,1.0753713833333334
272,2800,1,fc,1.0754008618181818
273,2900,1,fc,1.0754177066666666
274,3000,1,fc,
275,3100,1,fc,
276,3200,1,fc,
277,3300,1,fc,
278,3400,1,fc,
279,3500,1,fc,
280,3600,1,fc,
281,3700,1,fc,
282,3800,1,fc,
283,3900,1,fc,
284,4000,1,fc,
285,4100,1,fc,
286,4200,1,fc,
287,4300,1,fc,
288,4400,1,fc,
289,4500,1,fc,
290,4600,1,fc,
291,4700,1,fc,
292,4800,1,fc,
293,4900,1,fc,
294,5000,1,fc,
295,5100,1,fc,
296,5200,1,fc,1.0756965248341233
297,5300,1,fc,1.0754084419999999
298,5400,1,fc,1.075362960909091
299,5500,1,fc,1.0754008618181818
300,5600,1,fc,1.0753598025
301,5700,1,fc,1.075394545
302,5800,1,fc,1.0754387627272726
303,5900,1,fc,1.07537717375
304,6000,1,fc,1.075362960909091
305,6100,1,fc,
306,6200,1,fc,
307,6300,1,fc,1.0754008618181818
308,6400,1,fc,1.07546403
309,6500,1,fc,
310,6600,1,fc,
311,6700,1,fc,1.075394545
312,6800,1,fc,1.07546403
313,6900,1,fc,1.0754177066666666
314,7000,1,fc,1.075362960909091
315,7100,1,fc,
316,7200,1,fc,
317,7300,1,fc,1.0754786584210525
318,7400,1,fc,1.0754084419999999
319,7500,1,fc,
320,7600,1,fc,
321,7700,1,fc,1.0754143978571429
322,7800,1,fc,1.0754387627272726
323,7900,1,fc,1.075362960909091
324,8000,1,fc,1.0754292875
325,0,1,fc,
326,100,1,fc,1.07535713
327,200,1,fc,1.07532506
328,300,1,fc,1.0754008618181818
329,400,1,fc,
330,500,1,fc,
331,600,1,fc,1.0754212699999999
332,700,1,fc,1.0754387627272726
333,800,1,fc,
334,900,1,fc,
335,1000,1,fc,
336,1100,1,fc,
337,1200,1,fc,1.075394545
338,1300,1,fc,
339,1400,1,fc,
340,1500,1,fc,1.0755335149999998
341,1600,1,fc,1.0754143978571429
342,1700,1,fc,1.0754766636363635
343,1800,1,fc,1.075450133
344,1900,1,fc,1.0753713833333334
345,2000,1,fc,
346,2100,1,fc,
347,2200,1,fc,1.0754212699999999
348,2300,1,fc,1.075362960909091
349,2400,1,fc,1.0755335149999998
350,2500,1,fc,
351,2600,1,fc,
352,2700,1,fc,1.0753697289285713
353,2800,1,fc,
354,2900,1,fc,
355,3000,1,fc,1.075362960909091
356,3100,1,fc,1.075394545
357,3200,1,fc,1.075491824
358,3300,1,fc,1.0753713833333334
359,3400,1,fc,
360,3500,1,fc,
361,3600,1,fc,1.0756103142105262
362,3700,1,fc,1.0754292875
363,3800,1,fc,1.075366751
364,3900,1,fc,1.0754143978571429
365,4000,1,fc,1.0754177066666666
366,4100,1,fc,
367,4200,1,fc,
368,4300,1,fc,1.075394545
369,4400,1,fc,1.0754766636363635
370,4500,1,fc,1.0754212699999999
371,4600,1,fc,
372,4700,1,fc,
373,4800,1,fc,1.0754292875
374,4900,1,fc,1.0754008618181818
375,5000,1,fc,1.07532506
376,5100,1,fc,1.0753713833333334
377,5200,1,fc,1.07545334
378,5300,1,fc,1.0754177066666666
379,5400,1,fc,1.0754292875
380,5500,1,fc,1.0754387627272726
381,5600,1,fc,1.0753892
382,5700,1,fc,
383,5800,1,fc,
384,5900,1,fc,1.0753846185714284
385,6000,1,fc,1.07546403
386,6100,1,fc,1.075362960909091
387,6200,1,fc,1.0754084419999999
