,time[ms],time_0,csv_load_0,time_1,csv_load_1,time_2,csv_load_2,time_3,csv_load_3,time_4,csv_load_4,time_5,csv_load_5,time_6,csv_load_6,time_7,csv_load_7,time_8,csv_load_8
0,0,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1,100,100,0.8387096774193549,100,,100,1.0,100.0,0.9285714285714286,100.0,0.8666666666666667,100.0,,100.0,0.8666666666666667,100.0,,100.0,0.9166666666666666
2,200,200,0.9162303664921466,200,,200,0.9230769230769232,200.0,,200.0,0.8,200.0,,200.0,0.8,200.0,,200.0,0.9
3,300,300,0.8417266187050358,300,0.75,300,,300.0,,300.0,0.9166666666666666,300.0,0.8333333333333334,300.0,,300.0,0.9,300.0,
4,400,400,0.9263803680981596,400,,400,,400.0,0.9285714285714286,400.0,,400.0,0.8,400.0,,400.0,0.9090909090909092,400.0,
5,500,500,0.9553072625698324,500,,500,,500.0,0.9166666666666666,500.0,,500.0,,500.0,0.9166666666666666,500.0,1.0,500.0,1.0
6,600,600,0.90625,600,0.9230769230769232,600,,600.0,0.625,600.0,0.8181818181818182,600.0,,600.0,0.8,600.0,,600.0,
7,700,700,0.8442622950819673,700,0.75,700,0.8666666666666667,700.0,0.9,700.0,0.8461538461538461,700.0,0.8333333333333334,700.0,0.75,700.0,,700.0,
8,800,800,0.7048458149779736,800,0.75,800,,800.0,0.9,800.0,0.75,800.0,,800.0,0.8461538461538461,800.0,1.0,800.0,0.8888888888888888
9,900,900,0.7286821705426356,900,0.8181818181818182,900,,900.0,,900.0,0.7272727272727273,900.0,,900.0,0.8461538461538461,900.0,0.4444444444444444,900.0,0.3333333333333333
10,1000,1000,0.7,1000,0.7692307692307693,1000,0.5,1000.0,,1000.0,,1000.0,0.6923076923076923,1000.0,,1000.0,0.3333333333333333,1000.0,0.2727272727272727
11,1100,1100,0.6666666666666666,1100,0.9,1100,0.8333333333333334,1100.0,0.631578947368421,1100.0,,1100.0,0.6923076923076923,1100.0,,1100.0,0.25,1100.0,0.16666666666666666
12,1200,1200,0.6592592592592592,1200,,1200,,1200.0,,1200.0,0.5833333333333334,1200.0,0.625,1200.0,0.7,1200.0,,1200.0,0.1
13,1300,1300,0.6351351351351351,1300,,1300,,1300.0,,1300.0,0.7692307692307693,1300.0,0.7777777777777778,1300.0,,1300.0,,1300.0,0.1
14,1400,1400,0.6338028169014085,1400,0.7222222222222222,1400,0.9166666666666666,1400.0,0.8571428571428571,1400.0,0.9090909090909092,1400.0,0.8,1400.0,,1400.0,0.25,1400.0,
