,time[ms],cpu,sitename,Pmodel
0,0,6,google,
1,100,6,google,1.0753806479999999
2,200,6,google,1.0754084419999999
3,300,6,google,
4,400,6,google,
5,500,6,google,1.0753598025
6,600,6,google,1.0754084419999999
7,700,6,google,1.0754292875
8,800,6,google,1.0753892
9,900,6,google,1.0753892
10,1000,6,google,
11,1100,6,google,
12,1200,6,google,1.075450133
13,1300,6,google,
14,1400,6,google,
15,1500,6,google,1.0754292875
16,1600,6,google,1.07546403
17,1700,6,google,1.07546403
18,1800,6,google,1.0754387627272726
19,1900,6,google,
20,2000,6,google,
21,2100,6,google,1.0754143978571429
22,2200,6,google,1.0754084419999999
23,2300,6,google,1.0754292875
24,2400,6,google,1.0754084419999999
25,2500,6,google,
26,2600,6,google,
27,2700,6,google,1.0754729958064515
28,2800,6,google,
29,2900,6,google,
30,3000,6,google,
31,3100,6,google,
32,3200,6,google,1.07545334
33,3300,6,google,1.0754292875
34,3400,6,google,1.0754766636363635
35,3500,6,google,1.0754387627272726
36,3600,6,google,
37,3700,6,google,
38,3800,6,google,1.075450133
39,3900,6,google,1.0754292875
40,4000,6,google,1.0754084419999999
41,4100,6,google,
42,4200,6,google,
43,4300,6,google,1.0754987725
44,4400,6,google,1.0753892
45,4500,6,google,
46,4600,6,google,
47,4700,6,google,1.0753892
48,4800,6,google,1.075394545
49,4900,6,google,1.0754387627272726
50,5000,6,google,1.0754292875
51,5100,6,google,1.0754084419999999
52,5200,6,google,1.0755335149999998
53,5300,6,google,1.07546403
54,5400,6,google,1.0754084419999999
55,5500,6,google,1.0754292875
56,5600,6,google,1.07546403
57,5700,6,google,
58,5800,6,google,
59,5900,6,google,1.0754766636363635
60,6000,6,google,1.0755335149999998
61,6100,6,google,1.07546403
62,6200,6,google,1.075491824
63,6300,6,google,1.0754387627272726
64,6400,6,google,1.07546403
65,6500,6,google,1.07546403
66,6600,6,google,
67,6700,6,google,
68,6800,6,google,1.07546403
69,6900,6,google,1.0755335149999998
70,7000,6,google,1.0755103533333332
71,7100,6,google,1.0754987725
72,7200,6,google,1.0754987725
73,7300,6,google,1.0754292875
74,7400,6,google,1.0755335149999998
75,7500,6,google,1.0755103533333332
76,7600,6,google,1.075491824
77,7700,6,google,1.07546403
78,7800,6,google,1.07546403
79,7900,6,google,1.075450133
