,time[ms],cpu_load,cpu_scaling_freq,cpu,sitename
0,0,,1708.0,3,instagram
1,100,,,3,instagram
2,200,,1708.0,3,instagram
3,300,0.6666666666666666,1708.0,3,instagram
4,400,0.7,1708.0,3,instagram
5,500,0.5,1708.0,3,instagram
6,600,0.7857142857142857,1708.0,3,instagram
7,700,0.9166666666666666,1708.0,3,instagram
8,800,,,3,instagram
9,900,,1708.0,3,instagram
10,1000,,,3,instagram
11,1100,,1708.0,3,instagram
12,1200,0.9166666666666666,1708.0,3,instagram
13,1300,0.75,1708.0,3,instagram
14,1400,0.75,1708.0,3,instagram
15,1500,0.7777777777777778,1708.0,3,instagram
16,1600,0.8181818181818182,1708.0,3,instagram
17,1700,0.8181818181818182,1708.0,3,instagram
18,1800,0.8181818181818182,1708.0,3,instagram
19,1900,0.6363636363636364,1708.0,3,instagram
20,2000,,,3,instagram
21,2100,,1708.0,3,instagram
22,2200,,,3,instagram
23,2300,,1708.0,3,instagram
24,2400,0.8181818181818182,1708.0,3,instagram
25,2500,1.0,1708.0,3,instagram
26,2600,0.75,1708.0,3,instagram
27,2700,0.6666666666666666,1708.0,3,instagram
28,2800,0.7,1708.0,3,instagram
29,2900,0.8333333333333334,1708.0,3,instagram
30,3000,,,3,instagram
31,3100,,1708.0,3,instagram
32,3200,,,3,instagram
33,3300,,1708.0,3,instagram
34,3400,0.8181818181818182,1708.0,3,instagram
35,3500,0.6363636363636364,1708.0,3,instagram
36,3600,0.7142857142857143,1708.0,3,instagram
37,3700,0.7272727272727273,1708.0,3,instagram
38,3800,0.7272727272727273,1708.0,3,instagram
39,3900,0.6923076923076923,1708.0,3,instagram
40,4000,0.7777777777777778,1708.0,3,instagram
41,4100,0.6666666666666666,1708.0,3,instagram
42,4200,,,3,instagram
43,4300,,1708.0,3,instagram
44,4400,0.6,1708.0,3,instagram
45,4500,0.75,1708.0,3,instagram
46,4600,0.8,1708.0,3,instagram
47,4700,0.875,1708.0,3,instagram
48,4800,0.5833333333333334,1708.0,3,instagram
49,4900,0.9090909090909092,1708.0,3,instagram
50,5000,0.7272727272727273,1708.0,3,instagram
51,5100,0.75,1708.0,3,instagram
52,5200,0.8888888888888888,1708.0,3,instagram
