,time[ms],cpu,sitename,Pmodel
0,0,3,instagram,
1,100,3,instagram,
2,200,3,instagram,
3,300,3,instagram,1.07546403
4,400,3,instagram,1.075450133
5,500,3,instagram,1.0755335149999998
6,600,3,instagram,1.0754143978571429
7,700,3,instagram,1.0753598025
8,800,3,instagram,
9,900,3,instagram,
10,1000,3,instagram,
11,1100,3,instagram,
12,1200,3,instagram,1.0753598025
13,1300,3,instagram,1.0754292875
14,1400,3,instagram,1.0754292875
15,1500,3,instagram,1.0754177066666666
16,1600,3,instagram,1.0754008618181818
17,1700,3,instagram,1.0754008618181818
18,1800,3,instagram,1.0754008618181818
19,1900,3,instagram,1.0754766636363635
20,2000,3,instagram,
21,2100,3,instagram,
22,2200,3,instagram,
23,2300,3,instagram,
24,2400,3,instagram,1.0754008618181818
25,2500,3,instagram,1.07532506
26,2600,3,instagram,1.0754292875
27,2700,3,instagram,1.07546403
28,2800,3,instagram,1.075450133
29,2900,3,instagram,1.075394545
30,3000,3,instagram,
31,3100,3,instagram,
32,3200,3,instagram,
33,3300,3,instagram,
34,3400,3,instagram,1.0754008618181818
35,3500,3,instagram,1.0754766636363635
36,3600,3,instagram,1.0754441771428571
37,3700,3,instagram,1.0754387627272726
38,3800,3,instagram,1.0754387627272726
39,3900,3,instagram,1.07545334
40,4000,3,instagram,1.0754177066666666
41,4100,3,instagram,1.07546403
42,4200,3,instagram,
43,4300,3,instagram,
44,4400,3,instagram,1.075491824
45,4500,3,instagram,1.0754292875
46,4600,3,instagram,1.0754084419999999
47,4700,3,instagram,1.07537717375
48,4800,3,instagram,1.0754987725
49,4900,3,instagram,1.075362960909091
50,5000,3,instagram,1.0754387627272726
51,5100,3,instagram,1.0754292875
52,5200,3,instagram,1.0753713833333334
53,5300,3,instagram,1.0754387627272726
54,5400,3,instagram,
55,5500,3,instagram,
56,5600,3,instagram,1.075450133
57,5700,3,instagram,
58,5800,3,instagram,
59,5900,3,instagram,1.0753806479999999
60,6000,3,instagram,1.07545334
61,6100,3,instagram,1.0754177066666666
62,6200,3,instagram,
63,6300,3,instagram,
64,6400,3,instagram,1.0754739564285714
65,6500,3,instagram,1.075450133
66,6600,3,instagram,1.0754292875
67,6700,3,instagram,1.0754008618181818
68,6800,3,instagram,1.07546403
69,6900,3,instagram,1.075491824
70,7000,3,instagram,1.0753892
71,7100,3,instagram,1.0754008618181818
72,7200,3,instagram,1.0754766636363635
73,7300,3,instagram,1.07532506
74,7400,3,instagram,1.07546403
75,7500,3,instagram,1.0753713833333334
76,7600,3,instagram,1.0753846185714284
77,7700,3,instagram,1.0754292875
78,7800,3,instagram,1.0754084419999999
79,7900,3,instagram,
80,8000,3,instagram,
81,0,3,instagram,
82,100,3,instagram,1.075394545
83,200,3,instagram,1.075362960909091
84,300,3,instagram,1.0754084419999999
85,400,3,instagram,1.0754177066666666
86,500,3,instagram,1.0755103533333332
87,600,3,instagram,1.0754143978571429
88,700,3,instagram,
89,800,3,instagram,
90,900,3,instagram,1.0754722047058822
91,1000,3,instagram,1.0754008618181818
92,1100,3,instagram,
93,1200,3,instagram,
94,1300,3,instagram,1.0753511168749998
95,1400,3,instagram,1.075362960909091
96,1500,3,instagram,1.0754212699999999
97,1600,3,instagram,1.0754008618181818
98,1700,3,instagram,
99,1800,3,instagram,
100,1900,3,instagram,
101,2000,3,instagram,1.0755508862499998
102,2100,3,instagram,1.07545334
103,2200,3,instagram,1.0754084419999999
104,2300,3,instagram,1.0754177066666666
105,2400,3,instagram,1.07546403
106,2500,3,instagram,1.0754084419999999
107,2600,3,instagram,1.0754292875
108,2700,3,instagram,1.07545334
109,2800,3,instagram,
110,2900,3,instagram,
111,3000,3,instagram,
112,3100,3,instagram,
113,3200,3,instagram,1.075366751
114,3300,3,instagram,1.0754766636363635
115,3400,3,instagram,1.0753548392857142
116,3500,3,instagram,1.0754177066666666
117,3600,3,instagram,1.0754008618181818
