,time[ms],time_0,csv_load_0,time_1,csv_load_1,time_2,csv_load_2,time_3,csv_load_3,time_4,csv_load_4,time_5,csv_load_5,time_6,csv_load_6,time_7,csv_load_7,time_8,csv_load_8
0,0,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1,100,100,0.9807692307692308,100,,100,,100.0,0.9444444444444444,100.0,,100.0,0.9090909090909092,100.0,0.8571428571428571,100.0,0.9444444444444444,100.0,1.0
2,200,200,0.940828402366864,200,,200,,200.0,0.7,200.0,,200.0,,200.0,0.8888888888888888,200.0,1.0,200.0,
3,300,300,0.8235294117647058,300,0.6923076923076923,300,0.8571428571428571,300.0,0.8181818181818182,300.0,0.9230769230769232,300.0,,300.0,0.75,300.0,1.0,300.0,
4,400,400,0.9402173913043478,400,0.9230769230769232,400,,400.0,0.75,400.0,0.6363636363636364,400.0,0.7,400.0,0.8181818181818182,400.0,,400.0,1.0
5,500,500,0.9594594594594594,500,0.8333333333333334,500,,500.0,,500.0,0.7272727272727273,500.0,,500.0,0.7777777777777778,500.0,,500.0,
6,600,600,0.9552238805970148,600,0.8181818181818182,600,0.875,600.0,,600.0,,600.0,,600.0,0.8181818181818182,600.0,0.875,600.0,
7,700,700,0.9565217391304348,700,0.9090909090909092,700,,700.0,0.8125,700.0,,700.0,0.7619047619047619,700.0,0.9166666666666666,700.0,,700.0,1.0
8,800,800,0.7179487179487181,800,,800,,800.0,,800.0,0.8666666666666667,800.0,,800.0,0.8333333333333334,800.0,,800.0,0.9230769230769232
9,900,900,0.9714285714285714,900,,900,,900.0,,900.0,,900.0,,900.0,,900.0,,900.0,
10,1000,1000,0.9230769230769232,1000,0.8,1000,,1000.0,0.8666666666666667,1000.0,,1000.0,1.0,1000.0,,1000.0,,1000.0,
11,1100,1100,0.8666666666666667,1100,,1100,0.7894736842105263,1100.0,,1100.0,,1100.0,0.9375,1100.0,0.7777777777777778,1100.0,0.9333333333333332,1100.0,1.0
12,1200,1200,0.7402597402597403,1200,,1200,,1200.0,,1200.0,,1200.0,,1200.0,0.9,1200.0,0.6666666666666666,1200.0,0.4444444444444444
13,1300,1300,0.7044025157232704,1300,0.6111111111111112,1300,,1300.0,0.6363636363636364,1300.0,0.8181818181818182,1300.0,,1300.0,,1300.0,0.3333333333333333,1300.0,0.2727272727272727
14,1400,1400,0.6739130434782609,1400,0.8461538461538461,1400,0.8181818181818182,1400.0,0.9,1400.0,0.9230769230769232,1400.0,0.75,1400.0,,1400.0,0.3333333333333333,1400.0,
15,1500,1500,0.574585635359116,1500,1.0,1500,0.75,1500.0,0.7777777777777778,1500.0,0.5555555555555556,1500.0,1.0,1500.0,0.9333333333333332,1500.0,0.25,1500.0,
16,1600,1600,0.578125,1600,0.8,1600,0.8181818181818182,1600.0,0.7692307692307693,1600.0,0.8181818181818182,1600.0,0.6666666666666666,1600.0,0.8888888888888888,1600.0,0.3,1600.0,0.15384615384615385
17,1700,1700,0.6111111111111112,1700,0.7,1700,0.8,1700.0,0.9166666666666666,1700.0,0.7272727272727273,1700.0,,1700.0,0.9166666666666666,1700.0,0.3333333333333333,1700.0,
18,1800,1800,0.5634517766497462,1800,0.7272727272727273,1800,,1800.0,,1800.0,0.8333333333333334,1800.0,,1800.0,0.6923076923076923,1800.0,0.4,1800.0,
19,1900,1900,0.5029239766081871,1900,,1900,,1900.0,,1900.0,0.9090909090909092,1900.0,0.8461538461538461,1900.0,0.75,1900.0,0.3333333333333333,1900.0,0.09090909090909093
20,2000,2000,0.639344262295082,2000,,2000,0.4761904761904762,2000.0,0.6363636363636364,2000.0,0.8888888888888888,2000.0,0.7692307692307693,2000.0,0.7272727272727273,2000.0,0.3636363636363637,2000.0,0.3636363636363637
21,2100,2100,0.5748502994011976,2100,0.8181818181818182,2100,0.8,2100.0,0.75,2100.0,,2100.0,0.7142857142857143,2100.0,0.7692307692307693,2100.0,0.25,2100.0,0.09090909090909093
22,2200,2200,0.6242038216560509,2200,,2200,0.8461538461538461,2200.0,0.8,2200.0,,2200.0,0.6666666666666666,2200.0,0.6666666666666666,2200.0,0.3333333333333333,2200.0,0.2727272727272727
23,2300,2300,0.6024096385542169,2300,,2300,0.9090909090909092,2300.0,1.0,2300.0,0.6666666666666666,2300.0,0.8,2300.0,0.7777777777777778,2300.0,,2300.0,0.2
24,2400,2400,0.6142857142857143,2400,0.4761904761904762,2400,0.8,2400.0,0.75,2400.0,0.8,2400.0,,2400.0,0.8181818181818182,2400.0,,2400.0,
