,time[ms],cpu,sitename,Pmodel
0,0,8,linkedin,
1,100,8,linkedin,1.07532506
2,200,8,linkedin,
3,300,8,linkedin,
4,400,8,linkedin,1.07532506
5,500,8,linkedin,
6,600,8,linkedin,
7,700,8,linkedin,1.07532506
8,800,8,linkedin,1.07535713
9,900,8,linkedin,
10,1000,8,linkedin,
11,1100,8,linkedin,1.07532506
12,1200,8,linkedin,1.0755566766666667
13,1300,8,linkedin,1.0756282672727273
14,1400,8,linkedin,
15,1500,8,linkedin,
16,1600,8,linkedin,1.0756778299999998
17,1700,8,linkedin,
18,1800,8,linkedin,
19,1900,8,linkedin,1.075704069090909
20,2000,8,linkedin,1.0755903663636364
21,2100,8,linkedin,1.075704069090909
22,2200,8,linkedin,1.0756282672727273
23,2300,8,linkedin,1.075658588
24,2400,8,linkedin,
25,2500,8,linkedin,
26,2600,8,linkedin,
27,2700,8,linkedin,
28,2800,8,linkedin,1.0756824114285715
29,2900,8,linkedin,
30,3000,8,linkedin,
31,3100,8,linkedin,1.0757072275
32,3200,8,linkedin,1.075704069090909
33,3300,8,linkedin,1.0756956466666665
34,3400,8,linkedin,1.07574197
35,3500,8,linkedin,1.075658588
36,3600,8,linkedin,1.07574197
37,3700,8,linkedin,
38,3800,8,linkedin,
39,3900,8,linkedin,1.0756956466666665
40,4000,8,linkedin,1.075672485
41,4100,8,linkedin,1.0755856287499999
42,4200,8,linkedin,1.0756956466666665
43,4300,8,linkedin,1.075672485
44,4400,8,linkedin,1.0756029999999999
45,4500,8,linkedin,1.075616897
46,4600,8,linkedin,1.0756282672727273
47,4700,8,linkedin,1.075658588
48,4800,8,linkedin,
49,4900,8,linkedin,
50,5000,8,linkedin,1.075666168181818
51,5100,8,linkedin,1.07574197
52,5200,8,linkedin,1.075658588
53,5300,8,linkedin,1.0755682574999998
54,5400,8,linkedin,1.07574197
55,5500,8,linkedin,1.0756282672727273
56,5600,8,linkedin,1.0757002789999999
57,5700,8,linkedin,1.0756377424999999
58,5800,8,linkedin,
59,5900,8,linkedin,
60,6000,8,linkedin,1.075686382
61,6100,8,linkedin,1.075686382
62,6200,8,linkedin,1.075575206
63,6300,8,linkedin,
64,6400,8,linkedin,
65,6500,8,linkedin,1.0756844651724138
66,6600,8,linkedin,
67,6700,8,linkedin,
68,6800,8,linkedin,1.07564576
69,6900,8,linkedin,1.0756493233333333
70,7000,8,linkedin,1.075715913125
71,7100,8,linkedin,
72,7200,8,linkedin,
