,time[ms],time_0,csv_load_0,time_1,csv_load_1,time_2,csv_load_2,time_3,csv_load_3,time_4,csv_load_4,time_5,csv_load_5,time_6,csv_load_6,time_7,csv_load_7,time_8,csv_load_8
0,0,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1,100,100,0.9666666666666668,100,0.9487179487179488,100,0.9285714285714286,100.0,1.0,100.0,0.9166666666666666,100.0,0.9230769230769232,100.0,0.9333333333333332,100.0,,100.0,1.0
2,200,200,0.9230769230769232,200,,200,0.8461538461538461,200.0,1.0,200.0,0.9230769230769232,200.0,,200.0,1.0,200.0,,200.0,
3,300,300,0.7744360902255639,300,,300,,300.0,0.8181818181818182,300.0,,300.0,,300.0,,300.0,,300.0,
4,400,400,0.8534031413612565,400,0.9,400,,400.0,1.0,400.0,,400.0,0.7692307692307693,400.0,,400.0,,400.0,0.9444444444444444
5,500,500,0.9512195121951221,500,0.8666666666666667,500,1.0,500.0,0.7777777777777778,500.0,1.0,500.0,,500.0,0.75,500.0,1.0,500.0,
6,600,600,0.9172413793103448,600,,600,0.8571428571428571,600.0,,600.0,0.9375,600.0,,600.0,1.0,600.0,,600.0,
7,700,700,0.9148936170212766,700,,700,0.5384615384615384,700.0,,700.0,,700.0,0.8571428571428571,700.0,0.9230769230769232,700.0,,700.0,1.0
8,800,800,0.84,800,0.6666666666666666,800,,800.0,0.4705882352941176,800.0,,800.0,0.8,800.0,,800.0,0.8461538461538461,800.0,1.0
9,900,900,0.59,900,0.5555555555555556,900,,900.0,0.8666666666666667,900.0,0.7272727272727273,900.0,0.7777777777777778,900.0,,900.0,0.9285714285714286,900.0,1.0
10,1000,1000,0.7905759162303665,1000,0.6923076923076923,1000,0.9090909090909092,1000.0,,1000.0,0.8181818181818182,1000.0,0.8181818181818182,1000.0,0.9166666666666666,1000.0,,1000.0,0.875
11,1100,1100,0.8367346938775511,1100,0.9,1100,0.7692307692307693,1100.0,,1100.0,0.8,1100.0,0.9230769230769232,1100.0,0.9166666666666666,1100.0,,1100.0,0.9166666666666666
12,1200,1200,0.8909090909090909,1200,0.8333333333333334,1200,,1200.0,0.9230769230769232,1200.0,,1200.0,,1200.0,0.8181818181818182,1200.0,0.9285714285714286,1200.0,
13,1300,1300,0.9438202247191012,1300,0.8181818181818182,1300,,1300.0,,1300.0,,1300.0,,1300.0,0.8181818181818182,1300.0,,1300.0,
14,1400,1400,0.9310344827586208,1400,,1400,0.8125,1400.0,,1400.0,0.8461538461538461,1400.0,0.7619047619047619,1400.0,0.8333333333333334,1400.0,,1400.0,1.0
15,1500,1500,0.890625,1500,,1500,0.8666666666666667,1500.0,0.8181818181818182,1500.0,0.6666666666666666,1500.0,,1500.0,,1500.0,0.6,1500.0,0.4444444444444444
16,1600,1600,0.7409638554216867,1600,0.9090909090909092,1600,,1600.0,0.7692307692307693,1600.0,0.8461538461538461,1600.0,,1600.0,,1600.0,0.4615384615384616,1600.0,0.2
17,1700,1700,0.6558441558441559,1700,,1700,,1700.0,0.75,1700.0,,1700.0,0.8,1700.0,0.9285714285714286,1700.0,,1700.0,0.4545454545454545
18,1800,1800,0.6690647482014388,1800,,1800,0.5714285714285714,1800.0,,1800.0,,1800.0,0.8181818181818182,1800.0,0.8888888888888888,1800.0,,1800.0,0.2
19,1900,1900,0.5305164319248826,1900,0.75,1900,0.8333333333333334,1900.0,,1900.0,0.9090909090909092,1900.0,0.7692307692307693,1900.0,0.9166666666666666,1900.0,0.17857142857142858,1900.0,
20,2000,2000,0.6797385620915033,2000,0.8,2000,,2000.0,0.8,2000.0,0.8,2000.0,,2000.0,0.75,2000.0,,2000.0,
21,2100,2100,0.6344827586206897,2100,0.7692307692307693,2100,,2100.0,0.7,2100.0,0.9166666666666666,2100.0,,2100.0,0.875,2100.0,,2100.0,0.2380952380952381
22,2200,2200,0.6766917293233082,2200,,2200,0.7272727272727273,2200.0,0.8,2200.0,0.7142857142857143,2200.0,0.7142857142857143,2200.0,0.9166666666666666,2200.0,0.18181818181818185,2200.0,0.2307692307692308
23,2300,2300,0.6666666666666666,2300,,2300,0.75,2300.0,0.8333333333333334,2300.0,,2300.0,0.7272727272727273,2300.0,,2300.0,0.4,2300.0,0.0
24,2400,2400,0.6505376344086021,2400,0.8,2400,0.6363636363636364,2400.0,0.9090909090909092,2400.0,,2400.0,,2400.0,,2400.0,,2400.0,
25,2500,2500,0.6141304347826086,2500,0.7777777777777778,2500,0.6363636363636364,2500.0,,2500.0,0.7272727272727273,2500.0,,2500.0,0.75,2500.0,,2500.0,
26,2600,2600,0.7258064516129032,2600,0.75,2600,0.7692307692307693,2600.0,,2600.0,0.8181818181818182,2600.0,,2600.0,0.7857142857142857,2600.0,0.35294117647058826,2600.0,0.16666666666666666
27,2700,2700,0.7368421052631579,2700,0.7777777777777778,2700,,2700.0,0.8333333333333334,2700.0,0.8181818181818182,2700.0,,2700.0,0.8181818181818182,2700.0,0.3333333333333333,2700.0,0.5454545454545454
28,2800,2800,0.6855670103092784,2800,,2800,,2800.0,,2800.0,0.8333333333333334,2800.0,,2800.0,0.8181818181818182,2800.0,0.2222222222222222,2800.0,0.2727272727272727
29,2900,2900,0.6704545454545454,2900,,2900,0.8,2900.0,,2900.0,0.5833333333333334,2900.0,,2900.0,0.6,2900.0,0.2727272727272727,2900.0,
