,time[ms],cpu,sitename,Pmodel
0,0,5,microsoft,
1,100,5,microsoft,1.07535713
2,200,5,microsoft,
3,300,5,microsoft,
4,400,5,microsoft,1.0754212699999999
5,500,5,microsoft,
6,600,5,microsoft,
7,700,5,microsoft,1.0753846185714284
8,800,5,microsoft,1.0754084419999999
9,900,5,microsoft,1.0754177066666666
10,1000,5,microsoft,1.0754008618181818
11,1100,5,microsoft,1.07535713
12,1200,5,microsoft,
13,1300,5,microsoft,
14,1400,5,microsoft,1.0754243242857142
15,1500,5,microsoft,
16,1600,5,microsoft,
17,1700,5,microsoft,1.0754084419999999
18,1800,5,microsoft,1.0754008618181818
19,1900,5,microsoft,1.0754212699999999
20,2000,5,microsoft,
21,2100,5,microsoft,
22,2200,5,microsoft,1.0754441771428571
23,2300,5,microsoft,1.0754387627272726
24,2400,5,microsoft,
25,2500,5,microsoft,
26,2600,5,microsoft,
27,2700,5,microsoft,
28,2800,5,microsoft,
29,2900,5,microsoft,
30,3000,5,microsoft,1.07545334
31,3100,5,microsoft,1.0754387627272726
32,3200,5,microsoft,1.0754177066666666
33,3300,5,microsoft,1.0754008618181818
34,3400,5,microsoft,
35,3500,5,microsoft,
36,3600,5,microsoft,1.075491824
37,3700,5,microsoft,1.0754292875
38,3800,5,microsoft,1.075450133
39,3900,5,microsoft,1.0755037357142856
40,4000,5,microsoft,1.075491824
41,4100,5,microsoft,1.0753892
42,4200,5,microsoft,1.0754177066666666
43,4300,5,microsoft,1.0754177066666666
44,4400,5,microsoft,1.075362960909091
45,4500,5,microsoft,1.075450133
46,4600,5,microsoft,
47,4700,5,microsoft,
48,4800,5,microsoft,1.075394545
49,4900,5,microsoft,1.0755145645454545
50,5000,5,microsoft,1.0754084419999999
51,5100,5,microsoft,1.075436236
52,5200,5,microsoft,1.0754292875
53,5300,5,microsoft,1.0754143978571429
54,5400,5,microsoft,
55,5500,5,microsoft,
56,5600,5,microsoft,1.0754177066666666
57,5700,5,microsoft,1.075450133
58,5800,5,microsoft,1.075394545
59,5900,5,microsoft,1.0754084419999999
60,6000,5,microsoft,1.0754387627272726
61,6100,5,microsoft,1.0754987725
62,6200,5,microsoft,
63,6300,5,microsoft,
64,6400,5,microsoft,1.0754460983870968
65,6500,5,microsoft,
66,6600,5,microsoft,
67,6700,5,microsoft,
68,6800,5,microsoft,
69,6900,5,microsoft,1.0754212699999999
70,7000,5,microsoft,1.0754084419999999
71,7100,5,microsoft,1.0754292875
72,7200,5,microsoft,1.0754212699999999
73,7300,5,microsoft,1.075362960909091
74,7400,5,microsoft,
75,7500,5,microsoft,
76,7600,5,microsoft,1.0754292875
77,7700,5,microsoft,
78,7800,5,microsoft,
79,7900,5,microsoft,1.075450133
80,8000,5,microsoft,1.07545334
81,0,5,microsoft,
82,100,5,microsoft,
83,200,5,microsoft,
84,300,5,microsoft,1.07532506
85,400,5,microsoft,
86,500,5,microsoft,
87,600,5,microsoft,1.0754198122727272
88,700,5,microsoft,1.075394545
89,800,5,microsoft,1.0754177066666666
90,900,5,microsoft,1.0754008618181818
91,1000,5,microsoft,1.0754766636363635
92,1100,5,microsoft,
93,1200,5,microsoft,
94,1300,5,microsoft,1.0754032306249999
95,1400,5,microsoft,1.07532506
96,1500,5,microsoft,
97,1600,5,microsoft,
98,1700,5,microsoft,1.0754347731578946
99,1800,5,microsoft,1.075450133
100,1900,5,microsoft,1.0755524654545454
101,2000,5,microsoft,1.07546403
102,2100,5,microsoft,1.075450133
103,2200,5,microsoft,
104,2300,5,microsoft,
105,2400,5,microsoft,1.075450133
106,2500,5,microsoft,1.0754008618181818
107,2600,5,microsoft,
108,2700,5,microsoft,
109,2800,5,microsoft,1.0755798383333333
110,2900,5,microsoft,1.075450133
111,3000,5,microsoft,1.0754143978571429
