,time[ms],time_0,csv_load_0,time_1,csv_load_1,time_2,csv_load_2,time_3,csv_load_3,time_4,csv_load_4,time_5,csv_load_5,time_6,csv_load_6,time_7,csv_load_7,time_8,csv_load_8
0,0,0,,0.0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1,100,100,0.9637305699481864,100.0,,100,0.7,100.0,,100.0,,100.0,0.9375,100.0,0.875,100.0,,100.0,1.0
2,200,200,0.8304093567251462,200.0,,200,0.8,200.0,,200.0,,200.0,0.75,200.0,0.7777777777777778,200.0,,200.0,0.9090909090909092
3,300,300,0.7790055248618785,300.0,0.8461538461538461,300,0.9,300.0,0.5714285714285714,300.0,0.9333333333333332,300.0,0.9090909090909092,300.0,0.9,300.0,,300.0,0.75
4,400,400,0.7770700636942676,400.0,0.75,400,0.7777777777777778,400.0,0.9,400.0,0.9,400.0,0.8888888888888888,400.0,0.5833333333333334,400.0,,400.0,0.8888888888888888
5,500,500,0.7701149425287356,500.0,0.7,500,0.7,500.0,0.7,500.0,0.8181818181818182,500.0,0.6,500.0,,500.0,1.0,500.0,0.8181818181818182
6,600,600,0.7314814814814815,600.0,0.8888888888888888,600,0.7272727272727273,600.0,,600.0,0.4166666666666667,600.0,0.7777777777777778,600.0,,600.0,1.0,600.0,0.8571428571428571
7,700,700,0.7384615384615385,700.0,0.8,700,,700.0,,700.0,0.6666666666666666,700.0,,700.0,0.7272727272727273,700.0,0.9166666666666666,700.0,0.4
8,800,800,0.6338028169014085,800.0,0.8666666666666667,800,,800.0,0.75,800.0,,800.0,,800.0,0.9090909090909092,800.0,0.7272727272727273,800.0,
9,900,900,0.6976744186046512,900.0,0.9166666666666666,900,0.8125,900.0,,900.0,,900.0,,900.0,0.7142857142857143,900.0,,900.0,
10,1000,1000,0.3391304347826087,1000.0,,1000,0.8888888888888888,1000.0,,1000.0,0.8571428571428571,1000.0,,1000.0,0.7777777777777778,1000.0,,1000.0,0.9090909090909092
11,1100,1100,0.6379310344827587,1100.0,,1100,,1100.0,0.9090909090909092,1100.0,0.9,1100.0,0.7692307692307693,1100.0,0.6,1100.0,1.0,1100.0,0.9166666666666666
12,1200,1200,0.6554054054054054,1200.0,0.7692307692307693,1200,,1200.0,0.7857142857142857,1200.0,0.875,1200.0,0.7272727272727273,1200.0,0.5454545454545454,1200.0,1.0,1200.0,0.9
13,1300,1300,0.6770186335403726,1300.0,0.8333333333333334,1300,0.631578947368421,1300.0,0.625,1300.0,0.8181818181818182,1300.0,0.7272727272727273,1300.0,0.75,1300.0,0.9230769230769232,1300.0,
14,1400,1400,0.6417910447761194,1400.0,0.8333333333333334,1400,0.7692307692307693,1400.0,0.8181818181818182,1400.0,0.8571428571428571,1400.0,,1400.0,0.5454545454545454,1400.0,,1400.0,
15,1500,1500,0.6818181818181818,1500.0,,1500,,1500.0,,1500.0,0.8888888888888888,1500.0,,1500.0,0.9166666666666666,1500.0,,1500.0,
16,1600,1600,0.6291390728476821,1600.0,,1600,,1600.0,,1600.0,0.6,1600.0,0.8421052631578947,1600.0,0.9166666666666666,1600.0,,1600.0,
17,1700,1700,0.7621621621621621,1700.0,,1700,0.9411764705882352,1700.0,0.5882352941176471,1700.0,,1700.0,,1700.0,,1700.0,0.9523809523809524,1700.0,1.0
18,1800,1800,0.8,1800.0,,1800,,1800.0,,1800.0,,1800.0,,1800.0,,1800.0,,1800.0,
19,1900,1900,0.8220858895705522,1900.0,0.9130434782608696,1900,,1900.0,,1900.0,,1900.0,,1900.0,0.9090909090909092,1900.0,,1900.0,
20,2000,2000,0.6460176991150443,2000.0,,2000,,2000.0,1.0,2000.0,,2000.0,,2000.0,0.7272727272727273,2000.0,0.5555555555555556,2000.0,0.5
21,2100,2100,0.7903225806451613,2100.0,,2100,,2100.0,,2100.0,,2100.0,0.8333333333333334,2100.0,1.0,2100.0,0.4444444444444444,2100.0,0.6363636363636364
22,2200,2200,0.8064516129032258,2200.0,0.7692307692307693,2200,,2200.0,,2200.0,,2200.0,0.5714285714285714,2200.0,0.75,2200.0,0.6363636363636364,2200.0,0.3
23,2300,2300,0.8536585365853658,2300.0,0.8181818181818182,2300,,2300.0,0.75,2300.0,0.9333333333333332,2300.0,0.7,2300.0,0.7777777777777778,2300.0,0.375,2300.0,0.3333333333333333
24,2400,2400,0.9333333333333332,2400.0,0.8461538461538461,2400,0.75,2400.0,0.8275862068965517,2400.0,,2400.0,0.7272727272727273,2400.0,0.9,2400.0,0.6,2400.0,0.3333333333333333
25,2500,2500,0.9746835443037974,2500.0,0.8,2500,0.8,2500.0,,2500.0,,2500.0,0.8,2500.0,1.0,2500.0,0.2727272727272727,2500.0,0.3
26,2600,2600,0.9506172839506172,2600.0,,2600,0.8333333333333334,2600.0,,2600.0,0.8571428571428571,2600.0,0.7777777777777778,2600.0,,2600.0,0.4,2600.0,0.3
27,2700,2700,0.9504504504504504,2700.0,,2700,0.8333333333333334,2700.0,,2700.0,0.8461538461538461,2700.0,,2700.0,,2700.0,0.125,2700.0,0.5
28,2800,2800,0.8125,2800.0,,2800,0.8,2800.0,,2800.0,0.7777777777777778,2800.0,,2800.0,0.9333333333333332,2800.0,0.5,2800.0,
29,2900,2900,0.6727272727272727,2900.0,,2900,1.0,2900.0,0.8461538461538461,2900.0,0.6666666666666666,2900.0,,2900.0,0.8888888888888888,2900.0,,2900.0,
30,3000,3000,0.8166666666666667,3000.0,,3000,,3000.0,0.8,3000.0,0.9090909090909092,3000.0,,3000.0,1.0,3000.0,,3000.0,0.35294117647058826
31,3100,3100,0.524,3100.0,0.2916666666666667,3100,,3100.0,,3100.0,0.7777777777777778,3100.0,0.5789473684210527,3100.0,,3100.0,0.4545454545454545,3100.0,0.2
32,3200,3200,0.7066666666666667,3200.0,,3200,0.6,3200.0,,3200.0,0.75,3200.0,0.5454545454545454,3200.0,,3200.0,0.5555555555555556,3200.0,0.3
33,3300,3300,0.6864406779661016,3300.0,,3300,,3300.0,0.8,3300.0,0.7272727272727273,3300.0,0.8461538461538461,3300.0,,3300.0,0.18181818181818185,3300.0,0.3333333333333333
34,3400,3400,0.7205882352941176,3400.0,0.7142857142857143,3400,,3400.0,0.9166666666666666,3400.0,0.9,3400.0,0.6666666666666666,3400.0,,3400.0,0.4444444444444444,3400.0,
35,3500,3500,0.7180851063829787,3500.0,0.8333333333333334,3500,0.8181818181818182,3500.0,0.6666666666666666,3500.0,0.8181818181818182,3500.0,0.5454545454545454,3500.0,0.8333333333333334,3500.0,0.3076923076923077,3500.0,
36,3600,3600,0.7,3600.0,0.8333333333333334,3600,0.7692307692307693,3600.0,0.9230769230769232,3600.0,0.6363636363636364,3600.0,,3600.0,0.9090909090909092,3600.0,,3600.0,0.35714285714285715
37,3700,3700,0.6787878787878788,3700.0,0.7272727272727273,3700,0.6666666666666666,3700.0,,3700.0,0.7777777777777778,3700.0,,3700.0,0.9090909090909092,3700.0,,3700.0,0.38461538461538464
38,3800,3800,0.7194244604316546,3800.0,,3800,0.8888888888888888,3800.0,,3800.0,,3800.0,0.8571428571428571,3800.0,0.7272727272727273,3800.0,0.38461538461538464,3800.0,
39,3900,3900,0.6645962732919255,3900.0,,3900,,3900.0,0.6111111111111112,3900.0,,3900.0,,3900.0,0.8181818181818182,3900.0,0.25,3900.0,
40,4000,4000,0.7006802721088435,4000.0,0.8571428571428571,4000,,4000.0,0.7777777777777778,4000.0,0.7741935483870968,4000.0,,4000.0,,4000.0,0.2727272727272727,4000.0,0.35714285714285715
41,4100,4100,0.6228571428571429,4100.0,0.6,4100,0.7857142857142857,4100.0,0.9,4100.0,0.7,4100.0,0.5294117647058824,4100.0,,4100.0,0.375,4100.0,0.3125
42,4200,4200,0.6898395721925134,4200.0,,4200,0.8333333333333334,4200.0,0.8333333333333334,4200.0,,4200.0,0.9090909090909092,4200.0,0.7142857142857143,4200.0,0.3,4200.0,0.3
43,4300,4300,0.6849315068493149,4300.0,,4300,0.9,4300.0,0.9,4300.0,,4300.0,,4300.0,0.9,4300.0,0.4,4300.0,0.4166666666666667
44,4400,4400,0.6931216931216931,4400.0,0.6153846153846154,4400,,4400.0,0.8461538461538461,4400.0,0.8,4400.0,,4400.0,0.8333333333333334,4400.0,,4400.0,
45,4500,4500,0.6694214876033058,4500.0,0.8461538461538461,4500,,4500.0,0.8,4500.0,0.8,4500.0,0.75,4500.0,0.9090909090909092,4500.0,,4500.0,
46,4600,4600,0.7204968944099379,4600.0,0.6666666666666666,4600,0.8181818181818182,4600.0,0.75,4600.0,0.5833333333333334,4600.0,0.9,4600.0,0.8461538461538461,4600.0,0.4615384615384616,4600.0,0.2727272727272727
47,4700,4700,0.6666666666666666,4700.0,,4700,0.78125,4700.0,,4700.0,0.7272727272727273,4700.0,0.8181818181818182,4700.0,,4700.0,,4700.0,0.6666666666666666
48,4800,4800,0.6842105263157895,4800.0,,4800,0.8076923076923077,4800.0,,4800.0,0.875,4800.0,0.7272727272727273,4800.0,,4800.0,,4800.0,0.2
49,4900,4900,0.6844660194174758,4900.0,0.7692307692307693,4900,0.9,4900.0,0.7142857142857143,4900.0,0.8571428571428571,4900.0,0.7692307692307693,4900.0,0.75,4900.0,0.25,4900.0,0.2
50,5000,5000,0.6466666666666666,5000.0,0.8181818181818182,5000,0.75,5000.0,0.875,5000.0,,5000.0,0.8181818181818182,5000.0,0.7857142857142857,5000.0,0.7272727272727273,5000.0,0.5454545454545454
51,5100,5100,0.6727272727272727,5100.0,0.8181818181818182,5100,,5100.0,0.75,5100.0,,5100.0,0.6,5100.0,0.8333333333333334,5100.0,0.8461538461538461,5100.0,0.7
52,5200,5200,0.6428571428571429,5200.0,0.9,5200,,5200.0,0.9,5200.0,0.5555555555555556,5200.0,,5200.0,,5200.0,0.4166666666666667,5200.0,
53,5300,5300,0.6733668341708543,5300.0,0.8333333333333334,5300,0.6923076923076923,5300.0,,5300.0,0.7,5300.0,,5300.0,,5300.0,,5300.0,
54,5400,5400,0.6932515337423313,5400.0,0.6363636363636364,5400,0.75,5400.0,,5400.0,0.8181818181818182,5400.0,0.6666666666666666,5400.0,0.75,5400.0,,5400.0,0.38461538461538464
55,5500,5500,0.7025316455696202,5500.0,0.8461538461538461,5500,0.6923076923076923,5500.0,0.6363636363636364,5500.0,0.6,5500.0,0.9,5500.0,0.6666666666666666,5500.0,0.4,5500.0,0.2
56,5600,5600,0.8206896551724138,5600.0,,5600,0.9166666666666666,5600.0,0.8461538461538461,5600.0,,5600.0,,5600.0,1.0,5600.0,0.25,5600.0,0.2727272727272727
57,5700,5700,0.7046979865771812,5700.0,,5700,0.9090909090909092,5700.0,0.8461538461538461,5700.0,,5700.0,,5700.0,0.8,5700.0,0.2727272727272727,5700.0,0.3
58,5800,5800,0.6870229007633588,5800.0,0.75,5800,,5800.0,0.9090909090909092,5800.0,0.7272727272727273,5800.0,0.7142857142857143,5800.0,0.8181818181818182,5800.0,0.5333333333333333,5800.0,0.4
59,5900,5900,0.7272727272727273,5900.0,0.8461538461538461,5900,,5900.0,,5900.0,0.7692307692307693,5900.0,0.8333333333333334,5900.0,0.875,5900.0,,5900.0,
60,6000,6000,0.8029197080291971,6000.0,0.8,6000,0.75,6000.0,,6000.0,0.9,6000.0,0.7272727272727273,6000.0,0.8,6000.0,,6000.0,
61,6100,6100,0.6796875,6100.0,,6100,0.8,6100.0,0.8333333333333334,6100.0,0.7777777777777778,6100.0,,6100.0,0.6666666666666666,6100.0,,6100.0,0.3125
62,6200,6200,0.575,6200.0,,6200,0.8333333333333334,6200.0,0.8888888888888888,6200.0,0.8888888888888888,6200.0,,6200.0,0.9230769230769232,6200.0,,6200.0,0.4444444444444444
63,6300,6300,0.6503496503496503,6300.0,0.7,6300,,6300.0,0.7,6300.0,0.7857142857142857,6300.0,0.7692307692307693,6300.0,0.8,6300.0,0.3,6300.0,0.3636363636363637
64,6400,6400,0.696551724137931,6400.0,,6400,,6400.0,0.6,6400.0,,6400.0,,6400.0,0.875,6400.0,0.3,6400.0,0.3
65,6500,6500,0.7066666666666667,6500.0,,6500,0.5625,6500.0,0.7777777777777778,6500.0,,6500.0,,6500.0,0.8181818181818182,6500.0,0.4,6500.0,0.2727272727272727
66,6600,6600,0.6746987951807228,6600.0,0.8666666666666667,6600,0.75,6600.0,0.8,6600.0,0.9230769230769232,6600.0,0.7142857142857143,6600.0,,6600.0,0.3636363636363637,6600.0,
67,6700,6700,0.6849315068493149,6700.0,0.8181818181818182,6700,0.9090909090909092,6700.0,0.8181818181818182,6700.0,0.7272727272727273,6700.0,0.6923076923076923,6700.0,,6700.0,0.3636363636363637,6700.0,
