,time[ms],cpu_load,cpu_scaling_freq,cpu,sitename
0,0,,1708.0,2,netflix
1,100,0.7,1708.0,2,netflix
2,200,0.8,1708.0,2,netflix
3,300,0.9,1708.0,2,netflix
4,400,0.7777777777777778,1708.0,2,netflix
5,500,0.7,1708.0,2,netflix
6,600,0.7272727272727273,1708.0,2,netflix
7,700,,,2,netflix
8,800,,1708.0,2,netflix
9,900,0.8125,1708.0,2,netflix
10,1000,0.8888888888888888,1708.0,2,netflix
11,1100,,,2,netflix
12,1200,,1708.0,2,netflix
13,1300,0.631578947368421,1708.0,2,netflix
14,1400,0.7692307692307693,1708.0,2,netflix
15,1500,,,2,netflix
16,1600,,1708.0,2,netflix
17,1700,0.9411764705882352,1708.0,2,netflix
18,1800,,,2,netflix
19,1900,,1708.0,2,netflix
20,2000,,,2,netflix
21,2100,,1708.0,2,netflix
22,2200,,,2,netflix
23,2300,,1708.0,2,netflix
24,2400,0.75,1708.0,2,netflix
25,2500,0.8,1708.0,2,netflix
26,2600,0.8333333333333334,1708.0,2,netflix
27,2700,0.8333333333333334,1708.0,2,netflix
28,2800,0.8,1708.0,2,netflix
29,2900,1.0,1708.0,2,netflix
30,3000,,,2,netflix
31,3100,,1708.0,2,netflix
32,3200,0.6,1708.0,2,netflix
33,3300,,,2,netflix
34,3400,,1708.0,2,netflix
35,3500,0.8181818181818182,1708.0,2,netflix
36,3600,0.7692307692307693,1708.0,2,netflix
37,3700,0.6666666666666666,1708.0,2,netflix
38,3800,0.8888888888888888,1708.0,2,netflix
39,3900,,,2,netflix
40,4000,,1708.0,2,netflix
41,4100,0.7857142857142857,1708.0,2,netflix
42,4200,0.8333333333333334,1708.0,2,netflix
43,4300,0.9,1708.0,2,netflix
44,4400,,,2,netflix
45,4500,,1708.0,2,netflix
46,4600,0.8181818181818182,1708.0,2,netflix
47,4700,0.78125,1708.0,2,netflix
48,4800,0.8076923076923077,1708.0,2,netflix
49,4900,0.9,1612.0,2,netflix
50,5000,0.75,1708.0,2,netflix
51,5100,,,2,netflix
52,5200,,1708.0,2,netflix
53,5300,0.6923076923076923,1708.0,2,netflix
54,5400,0.75,1708.0,2,netflix
55,5500,0.6923076923076923,1708.0,2,netflix
56,5600,0.9166666666666666,1708.0,2,netflix
57,5700,0.9090909090909092,1612.0,2,netflix
58,5800,,,2,netflix
59,5900,,1708.0,2,netflix
60,6000,0.75,1708.0,2,netflix
61,6100,0.8,1708.0,2,netflix
62,6200,0.8333333333333334,1708.0,2,netflix
63,6300,,,2,netflix
64,6400,,1708.0,2,netflix
65,6500,0.5625,1708.0,2,netflix
66,6600,0.75,1708.0,2,netflix
67,6700,0.9090909090909092,1708.0,2,netflix
68,6800,0.9166666666666666,1708.0,2,netflix
69,6900,0.8,1708.0,2,netflix
70,7000,0.8888888888888888,1708.0,2,netflix
71,7100,,,2,netflix
72,7200,,1708.0,2,netflix
73,7300,0.9090909090909092,1708.0,2,netflix
74,7400,0.75,1708.0,2,netflix
75,7500,0.5333333333333333,1708.0,2,netflix
76,7600,0.8181818181818182,1708.0,2,netflix
77,7700,,,2,netflix
78,7800,,1708.0,2,netflix
79,7900,0.6923076923076923,1708.0,2,netflix
0,0,,1708.0,2,netflix
1,100,0.9411764705882352,1708.0,2,netflix
2,200,0.6666666666666666,1708.0,2,netflix
3,300,0.5714285714285714,1708.0,2,netflix
4,400,0.6666666666666666,1708.0,2,netflix
5,500,0.6923076923076923,1708.0,2,netflix
6,600,0.75,1708.0,2,netflix
7,700,0.8333333333333334,1708.0,2,netflix
8,800,,,2,netflix
9,900,,,2,netflix
10,1000,,1708.0,2,netflix
11,1100,0.6842105263157895,1708.0,2,netflix
12,1200,0.4166666666666667,1708.0,2,netflix
13,1300,0.6363636363636364,1708.0,2,netflix
14,1400,,,2,netflix
15,1500,,1708.0,2,netflix
16,1600,,,2,netflix
17,1700,,1708.0,2,netflix
18,1800,,,2,netflix
19,1900,,1708.0,2,netflix
20,2000,,,2,netflix
21,2100,,1708.0,2,netflix
22,2200,0.9090909090909092,1708.0,2,netflix
23,2300,0.8181818181818182,1708.0,2,netflix
24,2400,0.7272727272727273,1708.0,2,netflix
25,2500,0.9090909090909092,1708.0,2,netflix
26,2600,,,2,netflix
27,2700,,1708.0,2,netflix
28,2800,0.8571428571428571,1708.0,2,netflix
29,2900,0.8333333333333334,1708.0,2,netflix
30,3000,,,2,netflix
31,3100,,1708.0,2,netflix
32,3200,0.5882352941176471,1708.0,2,netflix
33,3300,0.7272727272727273,1708.0,2,netflix
34,3400,0.6666666666666666,1708.0,2,netflix
35,3500,0.8181818181818182,1708.0,2,netflix
36,3600,0.8181818181818182,1708.0,2,netflix
37,3700,0.7272727272727273,1708.0,2,netflix
38,3800,0.7692307692307693,1708.0,2,netflix
39,3900,0.7272727272727273,1708.0,2,netflix
