,time[ms],cpu,sitename,Pmodel
0,0,1,netflix,
1,100,1,netflix,
2,200,1,netflix,
3,300,1,netflix,1.0753892
4,400,1,netflix,1.0754292875
5,500,1,netflix,1.075450133
6,600,1,netflix,1.0753713833333334
7,700,1,netflix,1.0754084419999999
8,800,1,netflix,1.0753806479999999
9,900,1,netflix,1.0753598025
10,1000,1,netflix,
11,1100,1,netflix,
12,1200,1,netflix,1.0754212699999999
13,1300,1,netflix,1.075394545
14,1400,1,netflix,1.075394545
15,1500,1,netflix,
16,1600,1,netflix,
17,1700,1,netflix,
18,1800,1,netflix,
19,1900,1,netflix,1.0753613130434783
20,2000,1,netflix,
21,2100,1,netflix,
22,2200,1,netflix,1.0754212699999999
23,2300,1,netflix,1.0754008618181818
24,2400,1,netflix,1.0753892
25,2500,1,netflix,1.0754084419999999
26,2600,1,netflix,
27,2700,1,netflix,
28,2800,1,netflix,
29,2900,1,netflix,
30,3000,1,netflix,
31,3100,1,netflix,1.0756203712499999
32,3200,1,netflix,
33,3300,1,netflix,
34,3400,1,netflix,1.0754441771428571
35,3500,1,netflix,1.075394545
36,3600,1,netflix,1.075394545
37,3700,1,netflix,1.0754387627272726
38,3800,1,netflix,
39,3900,1,netflix,
40,4000,1,netflix,1.0753846185714284
41,4100,1,netflix,1.075491824
42,4200,1,netflix,
43,4300,1,netflix,
44,4400,1,netflix,1.07548541
45,4500,1,netflix,1.0753892
46,4600,1,netflix,1.07546403
47,4700,1,netflix,
48,4800,1,netflix,
49,4900,1,netflix,1.0754212699999999
50,5000,1,netflix,1.0754008618181818
51,5100,1,netflix,1.0754008618181818
52,5200,1,netflix,1.075366751
53,5300,1,netflix,1.075394545
54,5400,1,netflix,1.0754766636363635
55,5500,1,netflix,1.0753892
56,5600,1,netflix,
57,5700,1,netflix,
58,5800,1,netflix,1.0754292875
59,5900,1,netflix,1.0753892
60,6000,1,netflix,1.0754084419999999
61,6100,1,netflix,
62,6200,1,netflix,
63,6300,1,netflix,1.075450133
64,6400,1,netflix,
65,6500,1,netflix,
66,6600,1,netflix,1.0753806479999999
67,6700,1,netflix,1.0754008618181818
68,6800,1,netflix,1.075362960909091
69,6900,1,netflix,1.0754084419999999
70,7000,1,netflix,1.0754084419999999
71,7100,1,netflix,
72,7200,1,netflix,
73,7300,1,netflix,1.0754871916666666
74,7400,1,netflix,1.0753713833333334
75,7500,1,netflix,1.075366751
76,7600,1,netflix,1.0754084419999999
77,7700,1,netflix,1.0753892
78,7800,1,netflix,1.0754387627272726
79,7900,1,netflix,1.075362960909091
80,8000,1,netflix,1.0753892
81,0,1,netflix,
82,100,1,netflix,1.0753548392857142
83,200,1,netflix,1.0754871916666666
84,300,1,netflix,
85,400,1,netflix,
86,500,1,netflix,1.07546403
87,600,1,netflix,1.075394545
88,700,1,netflix,1.075366751
89,800,1,netflix,1.075450133
90,900,1,netflix,
91,1000,1,netflix,
92,1100,1,netflix,1.075394545
93,1200,1,netflix,1.0753598025
94,1300,1,netflix,
95,1400,1,netflix,
96,1500,1,netflix,1.0753846185714284
97,1600,1,netflix,
98,1700,1,netflix,
99,1800,1,netflix,1.0753892
100,1900,1,netflix,1.07535713
101,2000,1,netflix,1.0754008618181818
102,2100,1,netflix,
103,2200,1,netflix,
104,2300,1,netflix,
105,2400,1,netflix,
106,2500,1,netflix,
107,2600,1,netflix,
108,2700,1,netflix,
109,2800,1,netflix,1.0754177066666666
110,2900,1,netflix,
111,3000,1,netflix,
112,3100,1,netflix,1.0754212699999999
113,3200,1,netflix,1.0754143978571429
114,3300,1,netflix,
115,3400,1,netflix,
116,3500,1,netflix,1.07546403
117,3600,1,netflix,1.0754008618181818
118,3700,1,netflix,
119,3800,1,netflix,
120,3900,1,netflix,1.0753727068571428
121,4000,1,netflix,
122,4100,1,netflix,
123,4200,1,netflix,1.075394545
124,4300,1,netflix,1.075394545
125,4400,1,netflix,
126,4500,1,netflix,
127,4600,1,netflix,1.0754143978571429
128,4700,1,netflix,1.075394545
129,4800,1,netflix,1.075362960909091
130,4900,1,netflix,1.0754387627272726
131,5000,1,netflix,1.0754084419999999
132,5100,1,netflix,1.0753598025
133,5200,1,netflix,1.07537717375
134,5300,1,netflix,1.075362960909091
135,5400,1,netflix,
136,5500,1,netflix,
137,5600,1,netflix,1.0753892
138,5700,1,netflix,1.075394545
139,5800,1,netflix,1.0754008618181818
140,5900,1,netflix,1.075366751
141,6000,1,netflix,1.0754212699999999
142,6100,1,netflix,
143,6200,1,netflix,
144,6300,1,netflix,1.0753598025
145,6400,1,netflix,1.0754008618181818
146,6500,1,netflix,1.0754387627272726
147,6600,1,netflix,
148,6700,1,netflix,
