,time[ms],time_0,csv_load_0,time_1,csv_load_1,time_2,csv_load_2,time_3,csv_load_3,time_4,csv_load_4,time_5,csv_load_5,time_6,csv_load_6,time_7,csv_load_7,time_8,csv_load_8
0,0,0,,0.0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1,100,100,0.94,100.0,0.9375,100,0.9333333333333332,100.0,1.0,100.0,0.8571428571428571,100.0,0.9230769230769232,100.0,0.9285714285714286,100.0,,100.0,1.0
2,200,200,0.9714285714285714,200.0,0.8,200,0.8333333333333334,200.0,0.8888888888888888,200.0,,200.0,,200.0,0.6666666666666666,200.0,,200.0,
3,300,300,0.8869047619047619,300.0,0.7857142857142857,300,,300.0,0.8333333333333334,300.0,,300.0,,300.0,0.9090909090909092,300.0,1.0,300.0,
4,400,400,0.7696629213483146,400.0,0.6363636363636364,400,,400.0,0.6666666666666666,400.0,0.9285714285714286,400.0,0.9230769230769232,400.0,0.6666666666666666,400.0,,400.0,0.9565217391304348
5,500,500,0.7643979057591623,500.0,0.5,500,0.8461538461538461,500.0,0.7,500.0,0.5,500.0,0.5555555555555556,500.0,0.7777777777777778,500.0,,500.0,1.0
6,600,600,0.7581699346405228,600.0,,600,0.7,600.0,,600.0,0.6666666666666666,600.0,0.7692307692307693,600.0,0.8181818181818182,600.0,1.0,600.0,0.9
7,700,700,0.708029197080292,700.0,,700,0.75,700.0,,700.0,0.8181818181818182,700.0,,700.0,0.8181818181818182,700.0,0.5833333333333334,700.0,
8,800,800,0.6137931034482759,800.0,,800,,800.0,,800.0,0.8333333333333334,800.0,,800.0,0.7272727272727273,800.0,0.5,800.0,
9,900,900,0.6158940397350994,900.0,,900,,900.0,,900.0,0.6363636363636364,900.0,0.75,900.0,,900.0,0.2727272727272727,900.0,0.09090909090909093
10,1000,1000,0.6257309941520468,1000.0,0.8529411764705882,1000,0.7692307692307693,1000.0,0.7,1000.0,0.75,1000.0,0.9,1000.0,,1000.0,0.3333333333333333,1000.0,0.1
11,1100,1100,0.6351351351351351,1100.0,,1100,,1100.0,0.8,1100.0,,1100.0,0.7272727272727273,1100.0,0.8181818181818182,1100.0,0.3076923076923077,1100.0,0.5555555555555556
12,1200,1200,0.6666666666666666,1200.0,,1200,,1200.0,0.7777777777777778,1200.0,,1200.0,0.9166666666666666,1200.0,0.8571428571428571,1200.0,0.8333333333333334,1200.0,0.5384615384615384
13,1300,1300,0.9132947976878611,1300.0,0.7692307692307693,1300,0.8333333333333334,1300.0,0.9285714285714286,1300.0,0.8181818181818182,1300.0,,1300.0,0.8181818181818182,1300.0,0.9,1300.0,
14,1400,1400,0.8503937007874016,1400.0,0.8461538461538461,1400,,1400.0,0.7,1400.0,0.7777777777777778,1400.0,,1400.0,0.7777777777777778,1400.0,,1400.0,
15,1500,1500,0.7894736842105263,1500.0,1.0,1500,,1500.0,0.9166666666666666,1500.0,,1500.0,,1500.0,0.8,1500.0,,1500.0,0.6875
16,1600,1600,0.9216589861751152,1600.0,0.8333333333333334,1600,0.7692307692307693,1600.0,0.8,1600.0,,1600.0,,1600.0,,1600.0,1.0,1600.0,
17,1700,1700,0.8379888268156425,1700.0,,1700,0.9090909090909092,1700.0,,1700.0,,1700.0,0.8,1700.0,,1700.0,1.0,1700.0,
18,1800,1800,0.8484848484848485,1800.0,,1800,,1800.0,,1800.0,,1800.0,0.8,1800.0,0.9230769230769232,1800.0,1.0,1800.0,0.7692307692307693
19,1900,1900,0.7375886524822695,1900.0,0.875,1900,,1900.0,0.5384615384615384,1900.0,0.8333333333333334,1900.0,0.75,1900.0,0.9375,1900.0,0.5,1900.0,0.2222222222222222
20,2000,2000,0.7315436241610739,2000.0,0.7,2000,,2000.0,0.8,2000.0,0.8181818181818182,2000.0,0.8888888888888888,2000.0,,2000.0,0.5833333333333334,2000.0,0.4615384615384616
21,2100,2100,0.7553191489361702,2100.0,,2100,,2100.0,0.7777777777777778,2100.0,0.7777777777777778,2100.0,,2100.0,,2100.0,,2100.0,0.2
22,2200,2200,0.6641221374045801,2200.0,,2200,0.8181818181818182,2200.0,0.7272727272727273,2200.0,0.8888888888888888,2200.0,,2200.0,0.9333333333333332,2200.0,,2200.0,0.3
23,2300,2300,0.6319018404907976,2300.0,0.8,2300,0.75,2300.0,0.7272727272727273,2300.0,0.68,2300.0,0.8461538461538461,2300.0,0.9230769230769232,2300.0,0.26666666666666666,2300.0,
24,2400,2400,0.6594594594594595,2400.0,0.9,2400,0.7142857142857143,2400.0,0.8888888888888888,2400.0,0.68,2400.0,0.75,2400.0,0.8181818181818182,2400.0,,2400.0,
25,2500,2500,0.6532258064516129,2500.0,0.8888888888888888,2500,0.9,2500.0,0.8,2500.0,0.6153846153846154,2500.0,,2500.0,0.8181818181818182,2500.0,,2500.0,0.15789473684210525
26,2600,2600,0.6329113924050633,2600.0,0.9,2600,,2600.0,,2600.0,,2600.0,,2600.0,,2600.0,0.3333333333333333,2600.0,0.25
27,2700,2700,0.6621621621621622,2700.0,0.9,2700,,2700.0,,2700.0,,2700.0,0.8,2700.0,,2700.0,0.15384615384615385,2700.0,0.3333333333333333
28,2800,2800,,2800.0,,2800,0.8333333333333334,2800.0,0.7272727272727273,2800.0,0.7741935483870968,2800.0,0.6666666666666666,2800.0,0.7857142857142857,2800.0,0.1111111111111111,2800.0,0.3333333333333333
29,2900,2900,,2900.0,,2900,0.6666666666666666,2900.0,0.5,2900.0,,2900.0,,2900.0,0.8,2900.0,0.2,2900.0,0.0
30,3000,3000,,3000.0,0.5416666666666666,3000,,3000.0,0.9,3000.0,,3000.0,,3000.0,0.8,3000.0,,3000.0,
31,3100,3100,,3100.0,0.8333333333333334,3100,,3100.0,0.7,3100.0,0.7777777777777778,3100.0,0.6153846153846154,3100.0,,3100.0,,3100.0,
32,3200,3200,,3200.0,0.8888888888888888,3200,0.5833333333333334,3200.0,0.7272727272727273,3200.0,0.8333333333333334,3200.0,0.7272727272727273,3200.0,,3200.0,0.15384615384615385,3200.0,0.25
33,3300,3300,0.14317673378076062,3300.0,0.8,3300,0.9230769230769232,3300.0,0.8181818181818182,3300.0,0.6363636363636364,3300.0,,3300.0,0.9090909090909092,3300.0,,3300.0,0.07692307692307693
34,3400,3400,0.6180555555555556,3400.0,0.9,3400,0.8333333333333334,3400.0,,3400.0,0.8,3400.0,,3400.0,0.7,3400.0,,3400.0,
35,3500,3500,0.6363636363636364,3500.0,0.9166666666666666,3500,0.6,3500.0,,3500.0,0.7777777777777778,3500.0,,3500.0,0.8181818181818182,3500.0,,3500.0,
36,3600,3600,0.6054054054054054,3600.0,0.8,3600,0.9090909090909092,3600.0,0.8181818181818182,3600.0,0.6363636363636364,3600.0,,3600.0,0.7272727272727273,3600.0,,3600.0,
37,3700,3700,0.616,3700.0,,3700,0.7692307692307693,3700.0,0.8181818181818182,3700.0,0.8,3700.0,,3700.0,0.8461538461538461,3700.0,,3700.0,0.15
38,3800,3800,0.6388888888888888,3800.0,,3800,0.7777777777777778,3800.0,0.8181818181818182,3800.0,1.0,3800.0,,3800.0,0.625,3800.0,,3800.0,0.0
39,3900,3900,0.6470588235294118,3900.0,,3900,,3900.0,,3900.0,0.7692307692307693,3900.0,,3900.0,0.8461538461538461,3900.0,,3900.0,0.09090909090909093
40,4000,4000,0.6258992805755396,4000.0,0.5454545454545454,4000,,4000.0,,4000.0,0.625,4000.0,,4000.0,,4000.0,0.028571428571428567,4000.0,0.18181818181818185
41,4100,4100,0.6119402985074627,4100.0,0.8888888888888888,4100,0.6470588235294118,4100.0,0.42857142857142855,4100.0,0.7,4100.0,,4100.0,,4100.0,0.4444444444444444,4100.0,0.1111111111111111
