,time[ms],cpu_load,cpu_scaling_freq,cpu,sitename
0,0,,,0,paypal
1,100,0.94,,0,paypal
2,200,0.9714285714285714,,0,paypal
3,300,0.8869047619047619,,0,paypal
4,400,0.7696629213483146,,0,paypal
5,500,0.7643979057591623,,0,paypal
6,600,0.7581699346405228,,0,paypal
7,700,0.708029197080292,,0,paypal
8,800,0.6137931034482759,,0,paypal
9,900,0.6158940397350994,,0,paypal
10,1000,0.6257309941520468,,0,paypal
11,1100,0.6351351351351351,,0,paypal
12,1200,0.6666666666666666,,0,paypal
13,1300,0.9132947976878611,,0,paypal
14,1400,0.8503937007874016,,0,paypal
15,1500,0.7894736842105263,,0,paypal
16,1600,0.9216589861751152,,0,paypal
17,1700,0.8379888268156425,,0,paypal
18,1800,0.8484848484848485,,0,paypal
19,1900,0.7375886524822695,,0,paypal
20,2000,0.7315436241610739,,0,paypal
21,2100,0.7553191489361702,,0,paypal
22,2200,0.6641221374045801,,0,paypal
23,2300,0.6319018404907976,,0,paypal
24,2400,0.6594594594594595,,0,paypal
25,2500,0.6532258064516129,,0,paypal
26,2600,0.6329113924050633,,0,paypal
27,2700,0.6621621621621622,,0,paypal
28,2800,,,0,paypal
29,2900,,,0,paypal
30,3000,,,0,paypal
31,3100,,,0,paypal
32,3200,,,0,paypal
33,3300,0.14317673378076062,,0,paypal
34,3400,0.6180555555555556,,0,paypal
35,3500,0.6363636363636364,,0,paypal
36,3600,0.6054054054054054,,0,paypal
37,3700,0.616,,0,paypal
38,3800,0.6388888888888888,,0,paypal
39,3900,0.6470588235294118,,0,paypal
40,4000,0.6258992805755396,,0,paypal
41,4100,0.6119402985074627,,0,paypal
42,4200,0.5915492957746479,,0,paypal
43,4300,0.362962962962963,,0,paypal
44,4400,0.6486486486486487,,0,paypal
45,4500,0.6142857142857143,,0,paypal
46,4600,0.639751552795031,,0,paypal
47,4700,0.6420454545454546,,0,paypal
48,4800,0.6074074074074074,,0,paypal
49,4900,0.6082474226804123,,0,paypal
50,5000,0.5875,,0,paypal
51,5100,0.6363636363636364,,0,paypal
52,5200,0.5900621118012422,,0,paypal
53,5300,0.7109826589595376,,0,paypal
54,5400,0.7735849056603774,,0,paypal
55,5500,0.639344262295082,,0,paypal
56,5600,0.639751552795031,,0,paypal
57,5700,0.6333333333333333,,0,paypal
58,5800,0.62,,0,paypal
59,5900,0.5487804878048781,,0,paypal
60,6000,0.5700934579439252,,0,paypal
61,6100,0.6206896551724138,,0,paypal
