,time[ms],cpu,sitename,Pmodel
0,0,1,paypal,
1,100,1,paypal,1.0753511168749998
2,200,1,paypal,1.0754084419999999
3,300,1,paypal,1.0754143978571429
4,400,1,paypal,1.0754766636363635
5,500,1,paypal,1.0755335149999998
6,600,1,paypal,
7,700,1,paypal,
8,800,1,paypal,
9,900,1,paypal,
10,1000,1,paypal,1.0753863702941175
11,1100,1,paypal,
12,1200,1,paypal,
13,1300,1,paypal,1.0754212699999999
14,1400,1,paypal,1.0753892
15,1500,1,paypal,1.07532506
16,1600,1,paypal,1.075394545
17,1700,1,paypal,
18,1800,1,paypal,
19,1900,1,paypal,1.07537717375
20,2000,1,paypal,1.075450133
21,2100,1,paypal,
22,2200,1,paypal,
23,2300,1,paypal,1.0754084419999999
24,2400,1,paypal,1.075366751
25,2500,1,paypal,1.0753713833333334
26,2600,1,paypal,1.075366751
27,2700,1,paypal,1.075366751
28,2800,1,paypal,
29,2900,1,paypal,
30,3000,1,paypal,1.07551614375
31,3100,1,paypal,1.075394545
32,3200,1,paypal,1.0753713833333334
33,3300,1,paypal,1.0754084419999999
34,3400,1,paypal,1.075366751
35,3500,1,paypal,1.0753598025
36,3600,1,paypal,1.0754084419999999
37,3700,1,paypal,
38,3800,1,paypal,
39,3900,1,paypal,
40,4000,1,paypal,1.0755145645454545
41,4100,1,paypal,1.0753713833333334
42,4200,1,paypal,1.0753713833333334
43,4300,1,paypal,1.0755335149999998
44,4400,1,paypal,1.075394545
45,4500,1,paypal,1.0754008618181818
46,4600,1,paypal,1.0754084419999999
47,4700,1,paypal,1.07546403
48,4800,1,paypal,1.075394545
49,4900,1,paypal,1.0754292875
50,5000,1,paypal,1.0754292875
51,5100,1,paypal,1.0754177066666666
52,5200,1,paypal,1.0754143978571429
53,5300,1,paypal,1.0754084419999999
54,5400,1,paypal,
55,5500,1,paypal,
56,5600,1,paypal,1.075455344375
57,5700,1,paypal,1.07535713
58,5800,1,paypal,
59,5900,1,paypal,
60,6000,1,paypal,1.0754967288235293
61,6100,1,paypal,1.0753713833333334
62,6200,1,paypal,1.075366751
63,6300,1,paypal,
64,6400,1,paypal,
65,6500,1,paypal,1.0754008618181818
66,6600,1,paypal,1.0754008618181818
67,6700,1,paypal,1.0753598025
68,6800,1,paypal,1.0754292875
69,6900,1,paypal,1.0754766636363635
70,7000,1,paypal,
71,7100,1,paypal,
72,7200,1,paypal,1.0755703011764706
73,7300,1,paypal,1.0754084419999999
74,7400,1,paypal,1.0754387627272726
75,7500,1,paypal,1.0754084419999999
76,7600,1,paypal,
