,time[ms],time_0,csv_load_0,time_1,csv_load_1,time_2,csv_load_2,time_3,csv_load_3,time_4,csv_load_4,time_5,csv_load_5,time_6,csv_load_6,time_7,csv_load_7,time_8,csv_load_8
0,0,0,,0.0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1,100,100,0.9863013698630136,100.0,0.9333333333333332,100,0.9230769230769232,100.0,0.9473684210526316,100.0,0.9375,100.0,,100.0,0.9333333333333332,100.0,0.9230769230769232,100.0,1.0
2,200,200,0.90728476818968,200.0,,200,,200.0,0.6666666666666666,200.0,0.75,200.0,,200.0,0.6363636363636364,200.0,,200.0,1.0
3,300,300,0.7803738318023924,300.0,,300,,300.0,0.8461538461538461,300.0,0.9,300.0,0.9230769230769232,300.0,,300.0,,300.0,0.9
4,400,400,0.9166666666666666,400.0,0.8571428571428571,400,,400.0,,400.0,,400.0,1.0,400.0,,400.0,1.0,400.0,
5,500,500,0.9305555555555556,500.0,0.8571428571428571,500,,500.0,,500.0,,500.0,,500.0,0.9285714285714286,500.0,,500.0,
6,600,600,,600.0,,600,0.8823529411764706,600.0,,600.0,0.9333333333333332,600.0,,600.0,0.8333333333333334,600.0,,600.0,1.0
7,700,700,,700.0,,700,,700.0,,700.0,0.8461538461538461,700.0,,700.0,0.8461538461538461,700.0,0.7857142857142857,700.0,0.8333333333333334
8,800,800,0.7816901408450704,800.0,0.6470588235294118,800,,800.0,0.6521739130434783,800.0,,800.0,,800.0,,800.0,,800.0,0.9166666666666666
9,900,900,0.9354838709677421,900.0,0.9166666666666666,900,0.9411764705882352,900.0,0.7692307692307693,900.0,,900.0,0.72,900.0,,900.0,,900.0,
10,1000,1000,0.8860759493670886,1000.0,,1000,,1000.0,,1000.0,0.9333333333333332,1000.0,,1000.0,0.7692307692307693,1000.0,0.8333333333333334,1000.0,
11,1100,1100,0.8666666666666667,1100.0,,1100,,1100.0,,1100.0,0.9090909090909092,1100.0,,1100.0,0.8181818181818182,1100.0,0.7,1100.0,0.8571428571428571
12,1200,1200,0.7192982456140351,1200.0,0.8571428571428571,1200,0.7692307692307693,1200.0,0.8333333333333334,1200.0,,1200.0,0.8333333333333334,1200.0,0.9090909090909092,1200.0,0.5384615384615384,1200.0,0.6666666666666666
13,1300,1300,0.7193877551020408,1300.0,0.9166666666666666,1300,0.9090909090909092,1300.0,0.8333333333333334,1300.0,,1300.0,0.9090909090909092,1300.0,,1300.0,0.2222222222222222,1300.0,0.3333333333333333
14,1400,1400,0.6535947712418301,1400.0,,1400,0.6363636363636364,1400.0,0.7,1400.0,0.7272727272727273,1400.0,0.6666666666666666,1400.0,,1400.0,0.2222222222222222,1400.0,0.2
15,1500,1500,0.6206896551724138,1500.0,,1500,0.9,1500.0,0.7272727272727273,1500.0,0.45,1500.0,0.8181818181818182,1500.0,0.8181818181818182,1500.0,,1500.0,
16,1600,1600,,1600.0,0.7142857142857143,1600,0.7272727272727273,1600.0,0.625,1600.0,,1600.0,0.8,1600.0,0.8181818181818182,1600.0,,1600.0,
17,1700,1700,,1700.0,,1700,,1700.0,,1700.0,,1700.0,0.8,1700.0,0.8181818181818182,1700.0,0.16666666666666666,1700.0,0.2307692307692308
18,1800,1800,0.6280487804878049,1800.0,,1800,,1800.0,,1800.0,0.75,1800.0,,1800.0,0.75,1800.0,0.16666666666666666,1800.0,0.07692307692307693
19,1900,1900,0.6299212598425197,1900.0,0.5555555555555556,1900,0.8333333333333334,1900.0,0.7,1900.0,0.6153846153846154,1900.0,,1900.0,0.9090909090909092,1900.0,,1900.0,0.2222222222222222
20,2000,2000,0.6344827586206897,2000.0,1.0,2000,,2000.0,0.8,2000.0,,2000.0,,2000.0,0.75,2000.0,,2000.0,0.2727272727272727
21,2100,2100,0.6237623762376238,2100.0,,2100,,2100.0,0.7,2100.0,,2100.0,,2100.0,0.5,2100.0,0.375,2100.0,0.2
22,2200,2200,0.630057803468208,2200.0,,2200,0.4,2200.0,0.7272727272727273,2200.0,0.75,2200.0,0.75,2200.0,0.6666666666666666,2200.0,0.2727272727272727,2200.0,0.08333333333333333
23,2300,2300,0.6410256410256411,2300.0,0.5454545454545454,2300,0.8,2300.0,1.0,2300.0,0.5555555555555556,2300.0,0.6923076923076923,2300.0,0.8571428571428571,2300.0,0.2727272727272727,2300.0,0.16666666666666666
24,2400,2400,0.6071428571428571,2400.0,0.7142857142857143,2400,0.7777777777777778,2400.0,,2400.0,0.7777777777777778,2400.0,0.7,2400.0,0.75,2400.0,0.1111111111111111,2400.0,0.2222222222222222
25,2500,2500,0.5772357723577236,2500.0,0.7857142857142857,2500,0.75,2500.0,,2500.0,0.8333333333333334,2500.0,0.6428571428571429,2500.0,0.6363636363636364,2500.0,,2500.0,0.0
26,2600,2600,0.6139240506329114,2600.0,0.8181818181818182,2600,0.6666666666666666,2600.0,0.8108108108108109,2600.0,0.7272727272727273,2600.0,,2600.0,0.8888888888888888,2600.0,,2600.0,0.09090909090909093
27,2700,2700,0.5528455284552846,2700.0,0.7777777777777778,2700,0.75,2700.0,,2700.0,0.6363636363636364,2700.0,,2700.0,0.8518518518518519,2700.0,0.3333333333333333,2700.0,0.2222222222222222
28,2800,2800,0.3861788617886179,2800.0,,2800,,2800.0,,2800.0,0.7,2800.0,,2800.0,0.7037037037037037,2800.0,0.2307692307692308,2800.0,
29,2900,2900,0.6293103448275862,2900.0,,2900,,2900.0,0.4444444444444444,2900.0,0.8,2900.0,,2900.0,0.625,2900.0,,2900.0,
30,3000,3000,0.6433566433566433,3000.0,0.6,3000,0.9090909090909092,3000.0,0.7272727272727273,3000.0,0.7272727272727273,3000.0,0.5714285714285714,3000.0,0.75,3000.0,,3000.0,0.15384615384615385
31,3100,3100,0.6421052631578947,3100.0,0.9,3100,,3100.0,0.9,3100.0,0.6666666666666666,3100.0,0.7272727272727273,3100.0,0.6666666666666666,3100.0,0.05555555555555555,3100.0,0.1
32,3200,3200,0.64,3200.0,0.9,3200,,3200.0,0.7,3200.0,0.6666666666666666,3200.0,0.8181818181818182,3200.0,0.75,3200.0,0.3076923076923077,3200.0,0.2
33,3300,3300,0.6339869281045751,3300.0,,3300,0.7857142857142857,3300.0,0.7,3300.0,0.7272727272727273,3300.0,,3300.0,0.8888888888888888,3300.0,0.4166666666666667,3300.0,0.1
34,3400,3400,0.6329787234042553,3400.0,,3400,0.8181818181818182,3400.0,,3400.0,0.6666666666666666,3400.0,,3400.0,0.8181818181818182,3400.0,0.0,3400.0,0.3636363636363637
35,3500,3500,0.6027397260273972,3500.0,0.7142857142857143,3500,,3500.0,,3500.0,0.7,3500.0,0.8,3500.0,0.75,3500.0,0.25,3500.0,0.16666666666666666
36,3600,3600,0.5769230769230769,3600.0,0.6666666666666666,3600,,3600.0,0.9166666666666666,3600.0,0.7777777777777778,3600.0,0.7857142857142857,3600.0,1.0,3600.0,,3600.0,0.1111111111111111
37,3700,3700,0.5625,3700.0,0.9166666666666666,3700,0.9090909090909092,3700.0,0.8181818181818182,3700.0,0.5555555555555556,3700.0,0.8181818181818182,3700.0,0.7272727272727273,3700.0,,3700.0,0.1111111111111111
38,3800,3800,0.3461538461538461,3800.0,0.8,3800,0.8,3800.0,,3800.0,0.75,3800.0,,3800.0,,3800.0,0.25,3800.0,
39,3900,3900,0.6608695652173913,3900.0,,3900,0.75,3900.0,,3900.0,,3900.0,,3900.0,,3900.0,0.2307692307692308,3900.0,
40,4000,4000,0.5401459854014599,4000.0,,4000,0.8571428571428571,4000.0,0.4375,4000.0,,4000.0,,4000.0,0.7307692307692307,4000.0,,4000.0,0.14285714285714285
41,4100,4100,0.609375,4100.0,0.9166666666666666,4100,,4100.0,0.8461538461538461,4100.0,0.8333333333333334,4100.0,,4100.0,0.8888888888888888,4100.0,,4100.0,0.08333333333333333
42,4200,4200,0.5806451612903226,4200.0,0.6363636363636364,4200,,4200.0,0.7,4200.0,0.7692307692307693,4200.0,0.75,4200.0,0.7777777777777778,4200.0,,4200.0,0.09090909090909093
43,4300,4300,0.6230769230769231,4300.0,0.7777777777777778,4300,0.6470588235294118,4300.0,0.8,4300.0,0.7,4300.0,0.6666666666666666,4300.0,0.75,4300.0,0.125,4300.0,0.0
44,4400,4400,0.6540540540540539,4400.0,0.9166666666666666,4400,0.7692307692307693,4400.0,0.8,4400.0,0.8181818181818182,4400.0,,4400.0,0.7777777777777778,4400.0,0.3333333333333333,4400.0,0.2
45,4500,4500,0.6344827586206897,4500.0,0.8,4500,,4500.0,0.75,4500.0,0.8,4500.0,,4500.0,0.8888888888888888,4500.0,0.25,4500.0,
46,4600,4600,0.6845637583892618,4600.0,0.8,4600,,4600.0,0.6666666666666666,4600.0,,4600.0,0.7692307692307693,4600.0,0.9230769230769232,4600.0,0.0,4600.0,
47,4700,4700,0.7943262411347518,4700.0,0.9166666666666666,4700,0.5,4700.0,0.7,4700.0,,4700.0,0.75,4700.0,0.6666666666666666,4700.0,,4700.0,
48,4800,4800,0.6891891891891891,4800.0,0.6666666666666666,4800,0.9,4800.0,0.8,4800.0,0.7272727272727273,4800.0,0.8,4800.0,0.7777777777777778,4800.0,,4800.0,
49,4900,4900,0.6287425149700598,4900.0,0.5714285714285714,4900,0.8181818181818182,4900.0,0.8,4900.0,0.8333333333333334,4900.0,0.6,4900.0,0.625,4900.0,0.3076923076923077,4900.0,
50,5000,5000,0.6226415094339622,5000.0,,5000,0.9166666666666666,5000.0,,5000.0,0.75,5000.0,0.5,5000.0,0.8333333333333334,5000.0,0.25,5000.0,
51,5100,5100,0.5945945945945946,5100.0,,5100,0.8571428571428571,5100.0,,5100.0,0.7777777777777778,5100.0,,5100.0,0.8,5100.0,0.3333333333333333,5100.0,
52,5200,5200,0.6477987421383647,5200.0,0.6,5200,,5200.0,0.7142857142857143,5200.0,0.7,5200.0,,5200.0,0.9090909090909092,5200.0,,5200.0,
53,5300,5300,0.5906735751295337,5300.0,0.6666666666666666,5300,,5300.0,,5300.0,,5300.0,0.6428571428571429,5300.0,0.75,5300.0,,5300.0,
54,5400,5400,0.6095890410958904,5400.0,0.9090909090909092,5400,0.7272727272727273,5400.0,,5400.0,,5400.0,0.8181818181818182,5400.0,0.8888888888888888,5400.0,0.26666666666666666,5400.0,
55,5500,5500,0.5460526315789473,5500.0,0.7272727272727273,5500,,5500.0,0.6363636363636364,5500.0,0.7692307692307693,5500.0,0.75,5500.0,0.7692307692307693,5500.0,0.09090909090909093,5500.0,
56,5600,5600,0.6114649681528662,5600.0,0.9090909090909092,5600,,5600.0,0.8181818181818182,5600.0,0.7272727272727273,5600.0,0.6153846153846154,5600.0,,5600.0,0.2,5600.0,0.02803738317757009
57,5700,5700,0.6486486486486487,5700.0,,5700,0.7692307692307693,5700.0,0.8181818181818182,5700.0,0.6363636363636364,5700.0,0.8888888888888888,5700.0,,5700.0,0.08333333333333333,5700.0,0.09090909090909093
58,5800,5800,0.6214285714285714,5800.0,,5800,0.7272727272727273,5800.0,0.7692307692307693,5800.0,0.7272727272727273,5800.0,0.7272727272727273,5800.0,0.7272727272727273,5800.0,0.18181818181818185,5800.0,
59,5900,5900,0.5535714285714286,5900.0,0.6153846153846154,5900,0.6363636363636364,5900.0,0.6666666666666666,5900.0,0.8181818181818182,5900.0,,5900.0,0.6666666666666666,5900.0,,5900.0,
60,6000,6000,0.5878378378378378,6000.0,0.6363636363636364,6000,0.5454545454545454,6000.0,,6000.0,,6000.0,,6000.0,0.8333333333333334,6000.0,,6000.0,0.18181818181818185
61,6100,6100,0.6474358974358975,6100.0,0.7692307692307693,6100,0.6363636363636364,6100.0,,6100.0,,6100.0,0.5,6100.0,0.9166666666666666,6100.0,0.35714285714285715,6100.0,
62,6200,6200,0.5931372549019608,6200.0,0.8333333333333334,6200,,6200.0,0.7142857142857143,6200.0,0.8461538461538461,6200.0,0.6666666666666666,6200.0,0.75,6200.0,,6200.0,
63,6300,6300,0.6268656716417911,6300.0,0.625,6300,,6300.0,0.75,6300.0,0.8181818181818182,6300.0,0.625,6300.0,0.7777777777777778,6300.0,,6300.0,0.08333333333333333
64,6400,6400,0.6620689655172414,6400.0,0.8181818181818182,6400,0.75,6400.0,0.8181818181818182,6400.0,0.8333333333333334,6400.0,,6400.0,0.625,6400.0,0.38461538461538464,6400.0,0.09090909090909093
65,6500,6500,0.6713286713286714,6500.0,0.8888888888888888,6500,0.8181818181818182,6500.0,0.8333333333333334,6500.0,0.5555555555555556,6500.0,,6500.0,0.9090909090909092,6500.0,0.3636363636363637,6500.0,
66,6600,6600,0.6567164179104478,6600.0,0.6153846153846154,6600,0.8333333333333334,6600.0,0.75,6600.0,0.7777777777777778,6600.0,0.6428571428571429,6600.0,0.8181818181818182,6600.0,0.35714285714285715,6600.0,
67,6700,6700,0.5862068965517241,6700.0,,6700,0.4545454545454545,6700.0,0.9,6700.0,0.8181818181818182,6700.0,0.8333333333333334,6700.0,0.7142857142857143,6700.0,0.3333333333333333,6700.0,0.3
68,6800,6800,0.5873015873015873,6800.0,,6800,0.9,6800.0,0.7777777777777778,6800.0,0.8888888888888888,6800.0,0.75,6800.0,0.8333333333333334,6800.0,,6800.0,0.3
69,6900,6900,0.6122448979591837,6900.0,0.8333333333333334,6900,0.8,6900.0,0.8,6900.0,0.8461538461538461,6900.0,0.8888888888888888,6900.0,0.8181818181818182,6900.0,,6900.0,0.16666666666666666
70,7000,7000,0.4122137404580153,7000.0,0.8,7000,0.7,7000.0,,7000.0,,7000.0,0.6363636363636364,7000.0,0.9,7000.0,0.2727272727272727,7000.0,0.1111111111111111
71,7100,7100,0.6027397260273972,7100.0,0.8,7100,,7100.0,,7100.0,,7100.0,0.7777777777777778,7100.0,,7100.0,0.0,7100.0,0.08333333333333333
72,7200,7200,0.6,7200.0,0.8461538461538461,7200,,7200.0,0.75,7200.0,0.9090909090909092,7200.0,0.5833333333333334,7200.0,,7200.0,0.18181818181818185,7200.0,0.08333333333333333
