,time[ms],cpu_load,cpu_scaling_freq,cpu,sitename
0,0,,1996.0,8,stackoverflow
1,100,1.0,1996.0,8,stackoverflow
2,200,1.0,1996.0,8,stackoverflow
3,300,0.9,1996.0,8,stackoverflow
4,400,,,8,stackoverflow
5,500,,1996.0,8,stackoverflow
6,600,1.0,1996.0,8,stackoverflow
7,700,0.8333333333333334,1996.0,8,stackoverflow
8,800,0.9166666666666666,1996.0,8,stackoverflow
9,900,,,8,stackoverflow
10,1000,,1996.0,8,stackoverflow
11,1100,0.8571428571428571,1996.0,8,stackoverflow
12,1200,0.6666666666666666,1996.0,8,stackoverflow
13,1300,0.3333333333333333,1536.0,8,stackoverflow
14,1400,0.2,1747.0,8,stackoverflow
15,1500,,,8,stackoverflow
16,1600,,1996.0,8,stackoverflow
17,1700,0.2307692307692308,1747.0,8,stackoverflow
18,1800,0.07692307692307693,1996.0,8,stackoverflow
19,1900,0.2222222222222222,1996.0,8,stackoverflow
20,2000,0.2727272727272727,1996.0,8,stackoverflow
21,2100,0.2,1132.0,8,stackoverflow
22,2200,0.08333333333333333,1536.0,8,stackoverflow
23,2300,0.16666666666666666,825.0,8,stackoverflow
24,2400,0.2222222222222222,1363.0,8,stackoverflow
25,2500,0.0,1996.0,8,stackoverflow
26,2600,0.09090909090909093,1536.0,8,stackoverflow
27,2700,0.2222222222222222,1536.0,8,stackoverflow
28,2800,,,8,stackoverflow
29,2900,,1747.0,8,stackoverflow
30,3000,0.15384615384615385,1996.0,8,stackoverflow
31,3100,0.1,1996.0,8,stackoverflow
32,3200,0.2,1536.0,8,stackoverflow
33,3300,0.1,1996.0,8,stackoverflow
34,3400,0.3636363636363637,1747.0,8,stackoverflow
35,3500,0.16666666666666666,1747.0,8,stackoverflow
36,3600,0.1111111111111111,1996.0,8,stackoverflow
37,3700,0.1111111111111111,979.0,8,stackoverflow
38,3800,,,8,stackoverflow
39,3900,,1996.0,8,stackoverflow
40,4000,0.14285714285714285,1747.0,8,stackoverflow
41,4100,0.08333333333333333,1536.0,8,stackoverflow
42,4200,0.09090909090909093,825.0,8,stackoverflow
43,4300,0.0,1996.0,8,stackoverflow
44,4400,0.2,1996.0,8,stackoverflow
45,4500,,,8,stackoverflow
46,4600,,,8,stackoverflow
47,4700,,,8,stackoverflow
48,4800,,,8,stackoverflow
49,4900,,,8,stackoverflow
50,5000,,,8,stackoverflow
51,5100,,,8,stackoverflow
52,5200,,,8,stackoverflow
53,5300,,,8,stackoverflow
54,5400,,,8,stackoverflow
55,5500,,1996.0,8,stackoverflow
56,5600,0.02803738317757009,825.0,8,stackoverflow
57,5700,0.09090909090909093,1363.0,8,stackoverflow
58,5800,,,8,stackoverflow
