,time[ms],cpu,sitename,Pmodel
0,0,4,stackoverflow,
1,100,4,stackoverflow,1.0753511168749998
2,200,4,stackoverflow,1.0754292875
3,300,4,stackoverflow,1.075366751
4,400,4,stackoverflow,
5,500,4,stackoverflow,
6,600,4,stackoverflow,1.075352854
7,700,4,stackoverflow,1.0753892
8,800,4,stackoverflow,
9,900,4,stackoverflow,
10,1000,4,stackoverflow,1.075352854
11,1100,4,stackoverflow,1.075362960909091
12,1200,4,stackoverflow,
13,1300,4,stackoverflow,
14,1400,4,stackoverflow,1.0754387627272726
15,1500,4,stackoverflow,1.0755543605
16,1600,4,stackoverflow,
17,1700,4,stackoverflow,
18,1800,4,stackoverflow,1.0754292875
19,1900,4,stackoverflow,1.07548541
20,2000,4,stackoverflow,
21,2100,4,stackoverflow,
22,2200,4,stackoverflow,1.0754292875
23,2300,4,stackoverflow,1.0755103533333332
24,2400,4,stackoverflow,1.0754177066666666
25,2500,4,stackoverflow,1.075394545
26,2600,4,stackoverflow,1.0754387627272726
27,2700,4,stackoverflow,1.0754766636363635
28,2800,4,stackoverflow,1.075450133
29,2900,4,stackoverflow,1.0754084419999999
30,3000,4,stackoverflow,1.0754387627272726
31,3100,4,stackoverflow,1.07546403
32,3200,4,stackoverflow,1.07546403
33,3300,4,stackoverflow,1.0754387627272726
34,3400,4,stackoverflow,1.07546403
35,3500,4,stackoverflow,1.075450133
36,3600,4,stackoverflow,1.0754177066666666
37,3700,4,stackoverflow,1.0755103533333332
38,3800,4,stackoverflow,1.0754292875
39,3900,4,stackoverflow,
40,4000,4,stackoverflow,
41,4100,4,stackoverflow,1.075394545
42,4200,4,stackoverflow,1.0754212699999999
43,4300,4,stackoverflow,1.075450133
44,4400,4,stackoverflow,1.0754008618181818
45,4500,4,stackoverflow,1.0754084419999999
46,4600,4,stackoverflow,
47,4700,4,stackoverflow,
48,4800,4,stackoverflow,1.0754387627272726
49,4900,4,stackoverflow,1.075394545
50,5000,4,stackoverflow,1.0754292875
51,5100,4,stackoverflow,1.0754177066666666
52,5200,4,stackoverflow,1.075450133
53,5300,4,stackoverflow,
54,5400,4,stackoverflow,
55,5500,4,stackoverflow,1.0754212699999999
56,5600,4,stackoverflow,1.0754387627272726
57,5700,4,stackoverflow,1.0754766636363635
58,5800,4,stackoverflow,1.0754387627272726
59,5900,4,stackoverflow,1.0754008618181818
60,6000,4,stackoverflow,
61,6100,4,stackoverflow,
62,6200,4,stackoverflow,1.0753892
63,6300,4,stackoverflow,1.0754008618181818
64,6400,4,stackoverflow,1.075394545
65,6500,4,stackoverflow,1.0755103533333332
66,6600,4,stackoverflow,1.0754177066666666
67,6700,4,stackoverflow,1.0754008618181818
68,6800,4,stackoverflow,1.0753713833333334
69,6900,4,stackoverflow,1.0753892
70,7000,4,stackoverflow,
71,7100,4,stackoverflow,
72,7200,4,stackoverflow,1.075362960909091
73,7300,4,stackoverflow,1.075366751
74,7400,4,stackoverflow,1.0754177066666666
75,7500,4,stackoverflow,1.075366751
