,time[ms],cpu,sitename,Pmodel
0,0,4,vimeo,
1,100,4,vimeo,
2,200,4,vimeo,
3,300,4,vimeo,1.0753892
4,400,4,vimeo,1.0754008618181818
5,500,4,vimeo,1.0754084419999999
6,600,4,vimeo,1.0755037357142856
7,700,4,vimeo,1.0754766636363635
8,800,4,vimeo,1.0754008618181818
9,900,4,vimeo,1.0754084419999999
10,1000,4,vimeo,1.0754387627272726
11,1100,4,vimeo,
12,1200,4,vimeo,
13,1300,4,vimeo,1.075352854
14,1400,4,vimeo,1.0754008618181818
15,1500,4,vimeo,
16,1600,4,vimeo,
17,1700,4,vimeo,1.0753548392857142
18,1800,4,vimeo,1.07546403
19,1900,4,vimeo,1.075394545
20,2000,4,vimeo,1.0753806479999999
21,2100,4,vimeo,
22,2200,4,vimeo,
23,2300,4,vimeo,1.075352854
24,2400,4,vimeo,1.0753548392857142
25,2500,4,vimeo,1.075366751
26,2600,4,vimeo,
27,2700,4,vimeo,
28,2800,4,vimeo,1.0753892
29,2900,4,vimeo,
30,3000,4,vimeo,
31,3100,4,vimeo,1.0754032306249999
32,3200,4,vimeo,
33,3300,4,vimeo,
34,3400,4,vimeo,1.0754008618181818
35,3500,4,vimeo,1.0754292875
36,3600,4,vimeo,1.0754084419999999
37,3700,4,vimeo,1.0753846185714284
38,3800,4,vimeo,1.07532506
39,3900,4,vimeo,
40,4000,4,vimeo,
41,4100,4,vimeo,1.0754441771428571
42,4200,4,vimeo,1.0754766636363635
43,4300,4,vimeo,1.07548140125
44,4400,4,vimeo,1.0754177066666666
45,4500,4,vimeo,1.07535713
46,4600,4,vimeo,1.0754084419999999
47,4700,4,vimeo,
48,4800,4,vimeo,
49,4900,4,vimeo,1.07545334
50,5000,4,vimeo,1.0754387627272726
51,5100,4,vimeo,1.07546403
52,5200,4,vimeo,1.0753598025
53,5300,4,vimeo,
54,5400,4,vimeo,
55,5500,4,vimeo,1.0753846185714284
56,5600,4,vimeo,
57,5700,4,vimeo,
58,5800,4,vimeo,1.0753892
59,5900,4,vimeo,1.07546403
60,6000,4,vimeo,1.075366751
61,6100,4,vimeo,1.0754084419999999
62,6200,4,vimeo,
63,6300,4,vimeo,
64,6400,4,vimeo,1.0754292875
65,6500,4,vimeo,1.0754292875
66,6600,4,vimeo,1.0754008618181818
67,6700,4,vimeo,1.075366751
68,6800,4,vimeo,1.0754292875
69,6900,4,vimeo,1.0754292875
70,7000,4,vimeo,1.0754387627272726
71,7100,4,vimeo,1.075366751
72,7200,4,vimeo,1.0754084419999999
73,7300,4,vimeo,1.0755335149999998
74,7400,4,vimeo,1.07548140125
75,7500,4,vimeo,1.075450133
76,7600,4,vimeo,1.0754212699999999
77,7700,4,vimeo,1.0754387627272726
78,7800,4,vimeo,1.0754387627272726
79,7900,4,vimeo,1.075366751
80,8000,4,vimeo,1.0754143978571429
81,0,4,vimeo,
82,100,4,vimeo,1.075366751
83,200,4,vimeo,1.075362960909091
84,300,4,vimeo,
85,400,4,vimeo,
86,500,4,vimeo,1.07535713
87,600,4,vimeo,1.07545334
88,700,4,vimeo,1.075394545
89,800,4,vimeo,
90,900,4,vimeo,
91,1000,4,vimeo,1.0754519456521738
92,1100,4,vimeo,1.0754177066666666
93,1200,4,vimeo,1.07532506
94,1300,4,vimeo,1.075362960909091
95,1400,4,vimeo,1.0753713833333334
96,1500,4,vimeo,1.07532506
97,1600,4,vimeo,
98,1700,4,vimeo,
99,1800,4,vimeo,1.07535713
100,1900,4,vimeo,
101,2000,4,vimeo,
102,2100,4,vimeo,1.07546403
103,2200,4,vimeo,
104,2300,4,vimeo,
105,2400,4,vimeo,1.075450133
106,2500,4,vimeo,
107,2600,4,vimeo,
108,2700,4,vimeo,1.0753846185714284
109,2800,4,vimeo,
110,2900,4,vimeo,
111,3000,4,vimeo,1.075366751
112,3100,4,vimeo,
113,3200,4,vimeo,
114,3300,4,vimeo,1.0755145645454545
115,3400,4,vimeo,1.0754084419999999
116,3500,4,vimeo,1.07546403
117,3600,4,vimeo,1.0754008618181818
118,3700,4,vimeo,1.0754008618181818
119,3800,4,vimeo,1.0754387627272726
120,3900,4,vimeo,
121,4000,4,vimeo,
122,4100,4,vimeo,1.0754212699999999
123,4200,4,vimeo,
124,4300,4,vimeo,
125,4400,4,vimeo,1.0754212699999999
126,4500,4,vimeo,1.0754387627272726
127,4600,4,vimeo,1.0754387627272726
128,4700,4,vimeo,1.07546403
129,4800,4,vimeo,
130,4900,4,vimeo,
131,5000,4,vimeo,1.0753548392857142
132,5100,4,vimeo,1.07545334
133,5200,4,vimeo,1.0754292875
134,5300,4,vimeo,1.0753598025
135,5400,4,vimeo,1.0755524654545454
136,5500,4,vimeo,
137,5600,4,vimeo,
138,5700,4,vimeo,1.0754008618181818
139,5800,4,vimeo,1.0754008618181818
140,5900,4,vimeo,1.075450133
141,6000,4,vimeo,1.0754143978571429
142,6100,4,vimeo,1.07546403
143,6200,4,vimeo,1.075366751
144,6300,4,vimeo,1.0754987725
145,6400,4,vimeo,
146,6500,4,vimeo,
147,6600,4,vimeo,1.075362960909091
148,6700,4,vimeo,1.075394545
149,6800,4,vimeo,1.07546403
150,6900,4,vimeo,1.075491824
151,7000,4,vimeo,1.0754177066666666
152,7100,4,vimeo,1.07546403
153,7200,4,vimeo,1.0754008618181818
154,7300,4,vimeo,
155,7400,4,vimeo,
156,7500,4,vimeo,1.0753806479999999
157,7600,4,vimeo,1.0754292875
158,7700,4,vimeo,1.075450133
159,7800,4,vimeo,1.0754008618181818
160,7900,4,vimeo,1.0754387627272726
161,0,4,vimeo,
162,100,4,vimeo,
163,200,4,vimeo,
164,300,4,vimeo,1.0753892
165,400,4,vimeo,1.0754008618181818
166,500,4,vimeo,1.0754292875
167,600,4,vimeo,1.07548541
168,700,4,vimeo,
169,800,4,vimeo,
170,900,4,vimeo,1.075507458125
171,1000,4,vimeo,1.07535713
172,1100,4,vimeo,
173,1200,4,vimeo,
174,1300,4,vimeo,1.0753892
175,1400,4,vimeo,1.0754441771428571
176,1500,4,vimeo,1.0753892
177,1600,4,vimeo,
178,1700,4,vimeo,
179,1800,4,vimeo,1.07532506
180,1900,4,vimeo,
181,2000,4,vimeo,
182,2100,4,vimeo,1.07532506
183,2200,4,vimeo,1.075352854
184,2300,4,vimeo,1.0753598025
185,2400,4,vimeo,
186,2500,4,vimeo,
187,2600,4,vimeo,1.0754177066666666
188,2700,4,vimeo,1.0754008618181818
189,2800,4,vimeo,1.075394545
190,2900,4,vimeo,
191,3000,4,vimeo,
192,3100,4,vimeo,1.0753908878947367
193,3200,4,vimeo,1.075450133
194,3300,4,vimeo,1.07537717375
195,3400,4,vimeo,1.0754292875
196,3500,4,vimeo,
197,3600,4,vimeo,
198,3700,4,vimeo,1.075436236
199,3800,4,vimeo,
200,3900,4,vimeo,
201,4000,4,vimeo,1.075394545
202,4100,4,vimeo,1.0755566766666667
203,4200,4,vimeo,
204,4300,4,vimeo,
205,4400,4,vimeo,1.0754212699999999
206,4500,4,vimeo,1.0754292875
207,4600,4,vimeo,1.0753713833333334
208,4700,4,vimeo,1.0754387627272726
209,4800,4,vimeo,
210,4900,4,vimeo,
211,5000,4,vimeo,1.075394545
212,5100,4,vimeo,1.0754212699999999
213,5200,4,vimeo,1.075450133
214,5300,4,vimeo,1.075450133
215,5400,4,vimeo,1.0754177066666666
216,5500,4,vimeo,1.075450133
217,5600,4,vimeo,1.075366751
218,5700,4,vimeo,1.075394545
219,5800,4,vimeo,
220,5900,4,vimeo,
221,6000,4,vimeo,1.075394545
222,6100,4,vimeo,1.07546403
223,6200,4,vimeo,
224,6300,4,vimeo,
225,6400,4,vimeo,1.0754212699999999
226,6500,4,vimeo,1.0754387627272726
227,6600,4,vimeo,1.075450133
228,6700,4,vimeo,1.07537717375
229,6800,4,vimeo,1.07545334
230,6900,4,vimeo,
231,7000,4,vimeo,
232,7100,4,vimeo,1.0753892
233,7200,4,vimeo,1.0754177066666666
234,7300,4,vimeo,1.075450133
235,7400,4,vimeo,1.075366751
236,7500,4,vimeo,1.075362960909091
237,7600,4,vimeo,1.0754177066666666
238,7700,4,vimeo,1.0754008618181818
239,7800,4,vimeo,1.0754008618181818
240,7900,4,vimeo,1.0754008618181818
241,8000,4,vimeo,1.0755524654545454
242,0,4,vimeo,
243,100,4,vimeo,1.075352854
244,200,4,vimeo,1.0754292875
245,300,4,vimeo,1.07546403
246,400,4,vimeo,1.07546403
247,500,4,vimeo,1.07546403
248,600,4,vimeo,1.0754441771428571
249,700,4,vimeo,1.075450133
250,800,4,vimeo,1.0754084419999999
251,900,4,vimeo,1.0753713833333334
252,1000,4,vimeo,
253,1100,4,vimeo,
254,1200,4,vimeo,
255,1300,4,vimeo,
256,1400,4,vimeo,
257,1500,4,vimeo,
258,1600,4,vimeo,
259,1700,4,vimeo,
260,1800,4,vimeo,
261,1900,4,vimeo,1.075366751
262,2000,4,vimeo,
263,2100,4,vimeo,
264,2200,4,vimeo,1.0753548392857142
265,2300,4,vimeo,1.0753846185714284
266,2400,4,vimeo,1.0754008618181818
