,time[ms],cpu,sitename,Pmodel
0,0,6,wellsfargo,
1,100,6,wellsfargo,1.07532506
2,200,6,wellsfargo,1.0754387627272726
3,300,6,wellsfargo,
4,400,6,wellsfargo,
5,500,6,wellsfargo,1.07545334
6,600,6,wellsfargo,1.0754387627272726
7,700,6,wellsfargo,1.0754387627272726
8,800,6,wellsfargo,1.0754177066666666
9,900,6,wellsfargo,1.0754177066666666
10,1000,6,wellsfargo,1.075450133
11,1100,6,wellsfargo,1.0754008618181818
12,1200,6,wellsfargo,1.0754008618181818
13,1300,6,wellsfargo,1.075394545
14,1400,6,wellsfargo,
15,1500,6,wellsfargo,
16,1600,6,wellsfargo,1.07546403
17,1700,6,wellsfargo,
18,1800,6,wellsfargo,
19,1900,6,wellsfargo,1.075422339
20,2000,6,wellsfargo,
21,2100,6,wellsfargo,
22,2200,6,wellsfargo,1.075394545
23,2300,6,wellsfargo,1.0754008618181818
24,2400,6,wellsfargo,1.0754008618181818
25,2500,6,wellsfargo,1.0754177066666666
26,2600,6,wellsfargo,1.0753713833333334
27,2700,6,wellsfargo,1.0754084419999999
28,2800,6,wellsfargo,1.075394545
29,2900,6,wellsfargo,1.0753713833333334
30,3000,6,wellsfargo,1.07546403
31,3100,6,wellsfargo,
32,3200,6,wellsfargo,
33,3300,6,wellsfargo,1.075362960909091
34,3400,6,wellsfargo,1.0754387627272726
35,3500,6,wellsfargo,1.075491824
36,3600,6,wellsfargo,1.075450133
37,3700,6,wellsfargo,1.0754008618181818
38,3800,6,wellsfargo,1.075394545
39,3900,6,wellsfargo,1.0754766636363635
40,4000,6,wellsfargo,1.07532506
41,4100,6,wellsfargo,
42,4200,6,wellsfargo,
43,4300,6,wellsfargo,1.0754177066666666
44,4400,6,wellsfargo,1.075394545
45,4500,6,wellsfargo,1.075436236
46,4600,6,wellsfargo,
47,4700,6,wellsfargo,
48,4800,6,wellsfargo,1.0754143978571429
49,4900,6,wellsfargo,1.07535713
50,5000,6,wellsfargo,1.075362960909091
51,5100,6,wellsfargo,1.07532506
52,5200,6,wellsfargo,1.0753892
53,5300,6,wellsfargo,
54,5400,6,wellsfargo,
55,5500,6,wellsfargo,1.0754292875
56,5600,6,wellsfargo,1.0753713833333334
57,5700,6,wellsfargo,1.07535713
58,5800,6,wellsfargo,1.0754008618181818
59,5900,6,wellsfargo,1.0754212699999999
60,6000,6,wellsfargo,1.075491824
61,6100,6,wellsfargo,1.07548140125
62,6200,6,wellsfargo,1.0754177066666666
63,6300,6,wellsfargo,1.075366751
64,6400,6,wellsfargo,1.0753713833333334
65,6500,6,wellsfargo,1.0754177066666666
66,6600,6,wellsfargo,1.0754177066666666
67,6700,6,wellsfargo,1.0754084419999999
68,6800,6,wellsfargo,1.0754008618181818
69,6900,6,wellsfargo,1.0753846185714284
70,7000,6,wellsfargo,1.075366751
71,7100,6,wellsfargo,1.0754008618181818
72,7200,6,wellsfargo,1.07546403
73,7300,6,wellsfargo,1.0753713833333334
74,7400,6,wellsfargo,1.0753713833333334
75,7500,6,wellsfargo,1.075366751
76,7600,6,wellsfargo,1.0753713833333334
77,7700,6,wellsfargo,1.0754008618181818
78,7800,6,wellsfargo,
79,7900,6,wellsfargo,
80,8000,6,wellsfargo,1.07546403
81,0,6,wellsfargo,
82,100,6,wellsfargo,
83,200,6,wellsfargo,
84,300,6,wellsfargo,1.0753598025
85,400,6,wellsfargo,1.0754008618181818
86,500,6,wellsfargo,1.0754766636363635
87,600,6,wellsfargo,1.075450133
88,700,6,wellsfargo,1.075362960909091
89,800,6,wellsfargo,1.0754387627272726
90,900,6,wellsfargo,1.0754212699999999
91,1000,6,wellsfargo,
92,1100,6,wellsfargo,
93,1200,6,wellsfargo,1.0754476805882351
94,1300,6,wellsfargo,1.07532506
95,1400,6,wellsfargo,
96,1500,6,wellsfargo,
97,1600,6,wellsfargo,1.0753598025
98,1700,6,wellsfargo,1.0753548392857142
99,1800,6,wellsfargo,
100,1900,6,wellsfargo,
101,2000,6,wellsfargo,1.07535713
102,2100,6,wellsfargo,
103,2200,6,wellsfargo,
104,2300,6,wellsfargo,1.07546403
105,2400,6,wellsfargo,1.0754177066666666
106,2500,6,wellsfargo,
107,2600,6,wellsfargo,
108,2700,6,wellsfargo,1.0753846185714284
109,2800,6,wellsfargo,1.0754084419999999
110,2900,6,wellsfargo,
111,3000,6,wellsfargo,
112,3100,6,wellsfargo,1.0753892
113,3200,6,wellsfargo,
114,3300,6,wellsfargo,
115,3400,6,wellsfargo,1.0755103533333332
116,3500,6,wellsfargo,1.075366751
117,3600,6,wellsfargo,1.075362960909091
118,3700,6,wellsfargo,1.07546403
119,3800,6,wellsfargo,1.075366751
120,3900,6,wellsfargo,1.0754143978571429
121,4000,6,wellsfargo,1.075366751
122,4100,6,wellsfargo,
123,4200,6,wellsfargo,
124,4300,6,wellsfargo,1.075394545
125,4400,6,wellsfargo,1.0755103533333332
126,4500,6,wellsfargo,1.0753713833333334
127,4600,6,wellsfargo,1.07537717375
128,4700,6,wellsfargo,1.075394545
129,4800,6,wellsfargo,1.0754084419999999
130,4900,6,wellsfargo,1.075394545
131,5000,6,wellsfargo,1.075362960909091
132,5100,6,wellsfargo,
133,5200,6,wellsfargo,
134,5300,6,wellsfargo,1.0754008618181818
135,5400,6,wellsfargo,1.075394545
136,5500,6,wellsfargo,1.0754084419999999
137,5600,6,wellsfargo,1.0754008618181818
138,5700,6,wellsfargo,1.0754292875
139,5800,6,wellsfargo,1.07546403
140,5900,6,wellsfargo,1.075366751
141,6000,6,wellsfargo,1.07532506
142,6100,6,wellsfargo,
143,6200,6,wellsfargo,
144,6300,6,wellsfargo,1.0753892
145,6400,6,wellsfargo,1.0754567157894737
146,6500,6,wellsfargo,1.0754292875
147,6600,6,wellsfargo,1.0754008618181818
148,6700,6,wellsfargo,1.075366751
149,6800,6,wellsfargo,
150,6900,6,wellsfargo,
151,7000,6,wellsfargo,1.0753598025
152,7100,6,wellsfargo,1.0754292875
153,7200,6,wellsfargo,1.07532506
154,7300,6,wellsfargo,1.0754008618181818
155,7400,6,wellsfargo,1.0754441771428571
156,7500,6,wellsfargo,
157,7600,6,wellsfargo,
158,7700,6,wellsfargo,1.07545334
159,7800,6,wellsfargo,1.0754084419999999
160,7900,6,wellsfargo,1.0754008618181818
161,0,6,wellsfargo,
162,100,6,wellsfargo,
163,200,6,wellsfargo,
164,300,6,wellsfargo,1.075394545
165,400,6,wellsfargo,1.0753892
166,500,6,wellsfargo,
167,600,6,wellsfargo,
168,700,6,wellsfargo,
169,800,6,wellsfargo,
170,900,6,wellsfargo,1.0754292875
171,1000,6,wellsfargo,1.0754008618181818
172,1100,6,wellsfargo,1.0753598025
173,1200,6,wellsfargo,1.07532506
174,1300,6,wellsfargo,
175,1400,6,wellsfargo,
176,1500,6,wellsfargo,1.075366751
177,1600,6,wellsfargo,1.0753892
178,1700,6,wellsfargo,
179,1800,6,wellsfargo,
180,1900,6,wellsfargo,1.0753986323529412
181,2000,6,wellsfargo,1.0753598025
182,2100,6,wellsfargo,1.075394545
183,2200,6,wellsfargo,
184,2300,6,wellsfargo,
185,2400,6,wellsfargo,1.07535713
186,2500,6,wellsfargo,1.0753986323529412
187,2600,6,wellsfargo,1.0753598025
188,2700,6,wellsfargo,
189,2800,6,wellsfargo,
190,2900,6,wellsfargo,1.0754709784999998
191,3000,6,wellsfargo,
192,3100,6,wellsfargo,
193,3200,6,wellsfargo,1.0754032306249999
194,3300,6,wellsfargo,1.0754177066666666
195,3400,6,wellsfargo,1.075394545
196,3500,6,wellsfargo,1.075394545
197,3600,6,wellsfargo,
198,3700,6,wellsfargo,
199,3800,6,wellsfargo,1.0754292875
200,3900,6,wellsfargo,
201,4000,6,wellsfargo,
202,4100,6,wellsfargo,
203,4200,6,wellsfargo,
204,4300,6,wellsfargo,1.075394545
205,4400,6,wellsfargo,1.0754292875
206,4500,6,wellsfargo,1.075394545
207,4600,6,wellsfargo,1.0753713833333334
208,4700,6,wellsfargo,1.0754177066666666
209,4800,6,wellsfargo,
210,4900,6,wellsfargo,
211,5000,6,wellsfargo,1.075436236
212,5100,6,wellsfargo,1.075366751
213,5200,6,wellsfargo,1.07545334
214,5300,6,wellsfargo,1.0753713833333334
215,5400,6,wellsfargo,1.075366751
216,5500,6,wellsfargo,1.0754084419999999
217,5600,6,wellsfargo,1.075362960909091
218,5700,6,wellsfargo,1.075394545
219,5800,6,wellsfargo,
220,5900,6,wellsfargo,
221,6000,6,wellsfargo,1.0754292875
222,6100,6,wellsfargo,1.0753713833333334
223,6200,6,wellsfargo,1.075450133
224,6300,6,wellsfargo,1.0754008618181818
225,6400,6,wellsfargo,1.0753713833333334
226,6500,6,wellsfargo,1.0754441771428571
227,6600,6,wellsfargo,1.075366751
228,6700,6,wellsfargo,1.0754441771428571
229,6800,6,wellsfargo,1.0753892
230,6900,6,wellsfargo,
231,7000,6,wellsfargo,
232,7100,6,wellsfargo,1.075507458125
233,7200,6,wellsfargo,1.0754143978571429
234,7300,6,wellsfargo,1.0754084419999999
235,7400,6,wellsfargo,
236,7500,6,wellsfargo,
237,7600,6,wellsfargo,1.0753846185714284
238,7700,6,wellsfargo,1.0753892
239,7800,6,wellsfargo,1.0754292875
240,7900,6,wellsfargo,1.0754084419999999
241,8000,6,wellsfargo,
242,8100,6,wellsfargo,
243,0,6,wellsfargo,
244,100,6,wellsfargo,1.07532506
245,200,6,wellsfargo,
246,300,6,wellsfargo,
247,400,6,wellsfargo,1.0753892
248,500,6,wellsfargo,1.0753548392857142
249,600,6,wellsfargo,1.07535713
250,700,6,wellsfargo,
251,800,6,wellsfargo,
252,900,6,wellsfargo,1.0754967288235293
253,1000,6,wellsfargo,
254,1100,6,wellsfargo,
255,1200,6,wellsfargo,1.0753892
256,1300,6,wellsfargo,1.0754008618181818
257,1400,6,wellsfargo,
258,1500,6,wellsfargo,
259,1600,6,wellsfargo,1.0753511168749998
