,time[ms],time_0,csv_load_0,time_1,csv_load_1,time_2,csv_load_2,time_3,csv_load_3,time_4,csv_load_4,time_5,csv_load_5,time_6,csv_load_6,time_7,csv_load_7,time_8,csv_load_8
0,0,0,,0,,0,,0.0,,0,,0.0,,0.0,,0.0,,0.0,
1,100,100,0.8078602620087336,100,,100,0.6363636363636364,100.0,0.9285714285714286,100,,100.0,0.9333333333333332,100.0,0.7142857142857143,100.0,,100.0,1.0
2,200,200,0.847953216374269,200,,200,0.8181818181818182,200.0,,200,,200.0,,200.0,1.0,200.0,,200.0,1.0
3,300,300,0.953125,300,0.9090909090909092,300,0.9090909090909092,300.0,,300,0.8571428571428571,300.0,,300.0,0.7,300.0,0.9333333333333332,300.0,1.0
4,400,400,0.9305555555555556,400,0.6470588235294118,400,0.9090909090909092,400.0,0.9090909090909092,400,1.0,400.0,0.8181818181818182,400.0,0.8888888888888888,400.0,1.0,400.0,
5,500,500,0.8781725888324873,500,0.7777777777777778,500,0.6,500.0,0.9166666666666666,500,0.9166666666666666,500.0,0.7692307692307693,500.0,0.5555555555555556,500.0,1.0,500.0,
6,600,600,0.7851239669421488,600,,600,,600.0,0.8,600,1.0,600.0,0.8333333333333334,600.0,0.8461538461538461,600.0,,600.0,1.0
7,700,700,0.8790322580645161,700,,700,,700.0,,700,0.8181818181818182,700.0,0.8,700.0,0.9090909090909092,700.0,,700.0,0.8571428571428571
8,800,800,0.8223684210526315,800,0.8333333333333334,800,0.75,800.0,,800,0.4166666666666667,800.0,0.8,800.0,0.7692307692307693,800.0,1.0,800.0,0.9285714285714286
9,900,900,0.7987012987012987,900,0.8181818181818182,900,0.9,900.0,0.75,900,0.8,900.0,0.8461538461538461,900.0,0.9,900.0,0.9333333333333332,900.0,0.8181818181818182
10,1000,1000,0.69375,1000,0.8333333333333334,1000,0.8333333333333334,1000.0,0.75,1000,,1000.0,,1000.0,,1000.0,0.5625,1000.0,0.9
11,1100,1100,0.7105263157894737,1100,0.9090909090909092,1100,,1100.0,0.9090909090909092,1100,,1100.0,,1100.0,,1100.0,,1100.0,
12,1200,1200,0.5546558704453441,1200,,1200,,1200.0,0.8,1200,0.8333333333333334,1200.0,0.7,1200.0,0.9285714285714286,1200.0,,1200.0,
13,1300,1300,0.6625766871165644,1300,,1300,0.8333333333333334,1300.0,0.8333333333333334,1300,0.8,1300.0,0.8888888888888888,1300.0,,1300.0,0.2,1300.0,0.6923076923076923
14,1400,1400,0.6608187134502924,1400,0.8571428571428571,1400,,1400.0,0.7692307692307693,1400,0.8461538461538461,1400.0,0.5454545454545454,1400.0,,1400.0,0.25,1400.0,0.08333333333333333
15,1500,1500,0.6530612244897959,1500,0.5294117647058824,1500,,1500.0,1.0,1500,0.75,1500.0,0.6666666666666666,1500.0,0.8181818181818182,1500.0,0.1,1500.0,0.21428571428571427
16,1600,1600,0.5939849624060151,1600,0.7777777777777778,1600,0.7,1600.0,,1600,0.6666666666666666,1600.0,0.6363636363636364,1600.0,0.9230769230769232,1600.0,,1600.0,
17,1700,1700,0.6847826086956522,1700,1.0,1700,0.8,1700.0,,1700,,1700.0,0.6,1700.0,0.75,1700.0,,1700.0,
18,1800,1800,0.6474358974358975,1800,0.9090909090909092,1800,0.5833333333333334,1800.0,0.5,1800,,1800.0,,1800.0,0.8181818181818182,1800.0,0.3333333333333333,1800.0,0.08333333333333333
19,1900,1900,0.6388888888888888,1900,,1900,0.6153846153846154,1900.0,0.75,1900,0.6666666666666666,1900.0,,1900.0,0.8888888888888888,1900.0,0.38461538461538464,1900.0,0.09090909090909093
20,2000,2000,0.6097560975609756,2000,,2000,0.7857142857142857,2000.0,0.875,2000,0.5555555555555556,2000.0,0.6666666666666666,2000.0,0.8,2000.0,0.2222222222222222,2000.0,
21,2100,2100,0.564935064935065,2100,0.8181818181818182,2100,,2100.0,,2100,0.9,2100.0,0.7272727272727273,2100.0,0.7272727272727273,2100.0,,2100.0,
22,2200,2200,0.4794520547945205,2200,0.6153846153846154,2200,,2200.0,,2200,0.6666666666666666,2200.0,0.7142857142857143,2200.0,,2200.0,,2200.0,
23,2300,2300,0.6627218934911243,2300,0.9090909090909092,2300,0.7272727272727273,2300.0,0.6923076923076923,2300,0.6923076923076923,2300.0,0.8571428571428571,2300.0,,2300.0,0.18181818181818185,2300.0,
24,2400,2400,0.6092715231788081,2400,0.8,2400,0.6363636363636364,2400.0,0.7,2400,0.7272727272727273,2400.0,,2400.0,0.8571428571428571,2400.0,0.2,2400.0,0.06521739130434782
25,2500,2500,0.6041666666666666,2500,0.7777777777777778,2500,0.75,2500.0,0.8181818181818182,2500,,2500.0,,2500.0,0.9090909090909092,2500.0,0.2222222222222222,2500.0,0.0
26,2600,2600,0.5730337078651685,2600,0.5,2600,0.7,2600.0,,2600,,2600.0,0.5714285714285714,2600.0,0.9166666666666666,2600.0,0.3333333333333333,2600.0,
27,2700,2700,0.6459627329192547,2700,,2700,0.8,2700.0,,2700,0.8333333333333334,2700.0,1.0,2700.0,0.7272727272727273,2700.0,0.0,2700.0,
28,2800,2800,0.6697247706422018,2800,,2800,0.9,2800.0,0.5,2800,0.75,2800.0,0.75,2800.0,0.7,2800.0,0.2727272727272727,2800.0,0.08333333333333333
29,2900,2900,0.5466666666666666,2900,0.7777777777777778,2900,0.7272727272727273,2900.0,0.8181818181818182,2900,0.42857142857142855,2900.0,0.5,2900.0,0.7272727272727273,2900.0,0.2857142857142857,2900.0,0.25806451612903225
30,3000,3000,0.6195121951219512,3000,0.8333333333333334,3000,0.75,3000.0,,3000,0.6153846153846154,3000.0,0.6666666666666666,3000.0,0.8,3000.0,,3000.0,
31,3100,3100,0.6335877862595419,3100,0.8181818181818182,3100,0.6666666666666666,3100.0,,3100,0.7,3100.0,0.8333333333333334,3100.0,0.7272727272727273,3100.0,,3100.0,
32,3200,3200,0.5535714285714286,3200,0.6363636363636364,3200,0.8181818181818182,3200.0,0.8461538461538461,3200,,3200.0,,3200.0,0.9,3200.0,0.2307692307692308,3200.0,0.16666666666666666
33,3300,3300,0.4340425531914894,3300,0.7272727272727273,3300,,3300.0,0.7272727272727273,3300,,3300.0,,3300.0,0.8,3300.0,0.25,3300.0,0.1111111111111111
34,3400,3400,0.631578947368421,3400,0.8181818181818182,3400,,3400.0,0.6666666666666666,3400,0.6666666666666666,3400.0,0.6153846153846154,3400.0,0.9,3400.0,0.2727272727272727,3400.0,
35,3500,3500,0.6388888888888888,3500,,3500,0.6666666666666666,3500.0,,3500,0.5,3500.0,0.7777777777777778,3500.0,0.75,3500.0,0.4,3500.0,
36,3600,3600,0.639344262295082,3600,,3600,0.7692307692307693,3600.0,,3600,0.6363636363636364,3600.0,0.8,3600.0,,3600.0,0.09090909090909093,3600.0,0.2727272727272727
37,3700,3700,0.6477987421383647,3700,0.6,3700,0.8461538461538461,3700.0,0.7272727272727273,3700,0.8,3700.0,0.7777777777777778,3700.0,,3700.0,0.25,3700.0,0.3076923076923077
38,3800,3800,0.625,3800,0.8181818181818182,3800,,3800.0,0.6666666666666666,3800,0.9166666666666666,3800.0,0.6153846153846154,3800.0,0.8461538461538461,3800.0,0.25,3800.0,0.2
39,3900,3900,0.6094674556213018,3900,0.7692307692307693,3900,,3900.0,0.4375,3900,0.8181818181818182,3900.0,0.9,3900.0,0.6,3900.0,0.2,3900.0,
40,4000,4000,0.5870967741935483,4000,0.875,4000,0.5,4000.0,,4000,0.8,4000.0,0.5454545454545454,4000.0,0.7,4000.0,,4000.0,
