,time[ms],cpu_load,cpu_scaling_freq,cpu,sitename
0,0,,,0,wikipedia
1,100,0.8078602620087336,,0,wikipedia
2,200,0.847953216374269,,0,wikipedia
3,300,0.953125,,0,wikipedia
4,400,0.9305555555555556,,0,wikipedia
5,500,0.8781725888324873,,0,wikipedia
6,600,0.7851239669421488,,0,wikipedia
7,700,0.8790322580645161,,0,wikipedia
8,800,0.8223684210526315,,0,wikipedia
9,900,0.7987012987012987,,0,wikipedia
10,1000,0.69375,,0,wikipedia
11,1100,0.7105263157894737,,0,wikipedia
12,1200,0.5546558704453441,,0,wikipedia
13,1300,0.6625766871165644,,0,wikipedia
14,1400,0.6608187134502924,,0,wikipedia
15,1500,0.6530612244897959,,0,wikipedia
16,1600,0.5939849624060151,,0,wikipedia
17,1700,0.6847826086956522,,0,wikipedia
18,1800,0.6474358974358975,,0,wikipedia
19,1900,0.6388888888888888,,0,wikipedia
20,2000,0.6097560975609756,,0,wikipedia
21,2100,0.564935064935065,,0,wikipedia
22,2200,0.4794520547945205,,0,wikipedia
23,2300,0.6627218934911243,,0,wikipedia
24,2400,0.6092715231788081,,0,wikipedia
25,2500,0.6041666666666666,,0,wikipedia
26,2600,0.5730337078651685,,0,wikipedia
27,2700,0.6459627329192547,,0,wikipedia
28,2800,0.6697247706422018,,0,wikipedia
29,2900,0.5466666666666666,,0,wikipedia
30,3000,0.6195121951219512,,0,wikipedia
31,3100,0.6335877862595419,,0,wikipedia
32,3200,0.5535714285714286,,0,wikipedia
33,3300,0.4340425531914894,,0,wikipedia
34,3400,0.631578947368421,,0,wikipedia
35,3500,0.6388888888888888,,0,wikipedia
36,3600,0.639344262295082,,0,wikipedia
37,3700,0.6477987421383647,,0,wikipedia
38,3800,0.625,,0,wikipedia
39,3900,0.6094674556213018,,0,wikipedia
40,4000,0.5870967741935483,,0,wikipedia
41,4100,0.6049382716049383,,0,wikipedia
42,4200,0.6444444444444445,,0,wikipedia
43,4300,,,0,wikipedia
44,4400,,,0,wikipedia
45,4500,0.6289308176100629,,0,wikipedia
46,4600,0.610738255033557,,0,wikipedia
47,4700,0.6058823529411764,,0,wikipedia
48,4800,0.6538461538461539,,0,wikipedia
49,4900,0.6413043478260869,,0,wikipedia
50,5000,0.6280487804878049,,0,wikipedia
51,5100,0.6170212765957447,,0,wikipedia
52,5200,0.6691176470588235,,0,wikipedia
53,5300,0.6126760563380281,,0,wikipedia
54,5400,0.643312101910828,,0,wikipedia
55,5500,0.6122448979591837,,0,wikipedia
56,5600,0.6413793103448275,,0,wikipedia
57,5700,0.6842105263157895,,0,wikipedia
58,5800,0.630057803468208,,0,wikipedia
59,5900,0.6352941176470588,,0,wikipedia
60,6000,0.6470588235294118,,0,wikipedia
61,6100,0.644927536231884,,0,wikipedia
62,6200,0.6554054054054054,,0,wikipedia
63,6300,0.6666666666666666,,0,wikipedia
64,6400,0.4927536231884058,,0,wikipedia
65,6500,0.53125,,0,wikipedia
66,6600,0.6715328467153284,,0,wikipedia
67,6700,0.5988700564971752,,0,wikipedia
68,6800,0.59375,,0,wikipedia
69,6900,0.5547945205479452,,0,wikipedia
70,7000,0.6092715231788081,,0,wikipedia
71,7100,0.5975609756097561,,0,wikipedia
72,7200,0.6514285714285715,,0,wikipedia
73,7300,,,0,wikipedia
74,7400,,,0,wikipedia
75,7500,0.4395604395604396,,0,wikipedia
76,7600,0.6513157894736842,,0,wikipedia
77,7700,0.6335078534031413,,0,wikipedia
78,7800,0.6524822695035462,,0,wikipedia
79,7900,0.6458333333333334,,0,wikipedia
80,8000,0.6265822784810127,,0,wikipedia
0,0,,,0,wikipedia
1,100,0.9384615384615383,,0,wikipedia
2,200,0.8523489932885906,,0,wikipedia
3,300,0.84688995215311,,0,wikipedia
4,400,0.9391891891891893,,0,wikipedia
5,500,0.9407894736842104,,0,wikipedia
6,600,0.8688524590163934,,0,wikipedia
7,700,0.766497461928934,,0,wikipedia
8,800,0.821656050955414,,0,wikipedia
9,900,0.8026315789473685,,0,wikipedia
10,1000,0.7411764705882353,,0,wikipedia
11,1100,0.7,,0,wikipedia
12,1200,0.5895953757225434,,0,wikipedia
13,1300,0.6982248520710059,,0,wikipedia
14,1400,0.6349206349206349,,0,wikipedia
15,1500,0.6033057851239669,,0,wikipedia
16,1600,0.5977011494252874,,0,wikipedia
17,1700,0.5878787878787879,,0,wikipedia
18,1800,0.6506024096381867,,0,wikipedia
19,1900,0.6419753086423612,,0,wikipedia
20,2000,0.6402877697841727,,0,wikipedia
21,2100,0.6113989637305699,,0,wikipedia
22,2200,0.6269841269841271,,0,wikipedia
23,2300,0.6304347826086957,,0,wikipedia
24,2400,0.6368421052631579,,0,wikipedia
25,2500,0.625,,0,wikipedia
26,2600,0.6439393939393939,,0,wikipedia
27,2700,0.6214285714285714,,0,wikipedia
28,2800,0.6268656716417911,,0,wikipedia
29,2900,0.6363636363636364,,0,wikipedia
30,3000,0.5906040268456376,,0,wikipedia
31,3100,0.6125654450261779,,0,wikipedia
32,3200,0.5932203389830508,,0,wikipedia
33,3300,0.6446280991735537,,0,wikipedia
34,3400,0.6538461538461539,,0,wikipedia
35,3500,0.6318407960199005,,0,wikipedia
36,3600,0.5827814569536424,,0,wikipedia
37,3700,0.5827338129496403,,0,wikipedia
38,3800,0.6271186440677966,,0,wikipedia
39,3900,0.6321243523316062,,0,wikipedia
40,4000,0.6019417475728155,,0,wikipedia
41,4100,0.6266666666666667,,0,wikipedia
42,4200,0.6482412060301508,,0,wikipedia
43,4300,0.7739130434782608,,0,wikipedia
44,4400,0.6235294117647059,,0,wikipedia
45,4500,0.5714285714285714,,0,wikipedia
46,4600,0.564625850340136,,0,wikipedia
47,4700,0.6062992125984252,,0,wikipedia
48,4800,0.6602564102564102,,0,wikipedia
49,4900,,,0,wikipedia
50,5000,,,0,wikipedia
51,5100,,,0,wikipedia
52,5200,,,0,wikipedia
53,5300,,,0,wikipedia
54,5400,,,0,wikipedia
55,5500,,,0,wikipedia
56,5600,,,0,wikipedia
57,5700,,,0,wikipedia
58,5800,,,0,wikipedia
59,5900,,,0,wikipedia
60,6000,,,0,wikipedia
61,6100,,,0,wikipedia
62,6200,,,0,wikipedia
63,6300,,,0,wikipedia
64,6400,,,0,wikipedia
65,6500,,,0,wikipedia
66,6600,,,0,wikipedia
67,6700,,,0,wikipedia
68,6800,,,0,wikipedia
69,6900,,,0,wikipedia
70,7000,,,0,wikipedia
71,7100,0.6153846153846154,,0,wikipedia
72,7200,0.5975609756097561,,0,wikipedia
73,7300,0.6080402010050251,,0,wikipedia
74,7400,0.6240601503759399,,0,wikipedia
75,7500,0.6375838926174496,,0,wikipedia
76,7600,0.6417112299465241,,0,wikipedia
