,time[ms],cpu,sitename,Pmodel
0,0,7,wikipedia,
1,100,7,wikipedia,
2,200,7,wikipedia,
3,300,7,wikipedia,1.075352854
4,400,7,wikipedia,1.07532506
5,500,7,wikipedia,1.07532506
6,600,7,wikipedia,
7,700,7,wikipedia,
8,800,7,wikipedia,1.07532506
9,900,7,wikipedia,1.075352854
10,1000,7,wikipedia,1.075507458125
11,1100,7,wikipedia,
12,1200,7,wikipedia,
13,1300,7,wikipedia,1.075658588
14,1400,7,wikipedia,1.0756377424999999
15,1500,7,wikipedia,1.0757002789999999
16,1600,7,wikipedia,
17,1700,7,wikipedia,
18,1800,7,wikipedia,1.0756029999999999
19,1900,7,wikipedia,1.07558162
20,2000,7,wikipedia,1.0756493233333333
21,2100,7,wikipedia,
22,2200,7,wikipedia,
23,2300,7,wikipedia,1.075666168181818
24,2400,7,wikipedia,1.075658588
25,2500,7,wikipedia,1.0756493233333333
26,2600,7,wikipedia,1.0756029999999999
27,2700,7,wikipedia,1.07574197
28,2800,7,wikipedia,1.0756282672727273
29,2900,7,wikipedia,1.0756228528571428
30,3000,7,wikipedia,
31,3100,7,wikipedia,
32,3200,7,wikipedia,1.07564576
33,3300,7,wikipedia,1.0756377424999999
34,3400,7,wikipedia,1.0756282672727273
35,3500,7,wikipedia,1.075575206
36,3600,7,wikipedia,1.075704069090909
37,3700,7,wikipedia,1.0756377424999999
38,3800,7,wikipedia,1.0756377424999999
39,3900,7,wikipedia,1.075658588
40,4000,7,wikipedia,
41,4100,7,wikipedia,
42,4200,7,wikipedia,1.07564576
43,4300,7,wikipedia,1.0756282672727273
44,4400,7,wikipedia,1.07568985625
45,4500,7,wikipedia,1.0757002789999999
46,4600,7,wikipedia,1.0756282672727273
47,4700,7,wikipedia,1.075658588
48,4800,7,wikipedia,
49,4900,7,wikipedia,
50,5000,7,wikipedia,1.0756413365517241
51,5100,7,wikipedia,1.07568985625
52,5200,7,wikipedia,
53,5300,7,wikipedia,
54,5400,7,wikipedia,1.0756778299999998
55,5500,7,wikipedia,1.075666168181818
56,5600,7,wikipedia,1.0756493233333333
57,5700,7,wikipedia,1.075616897
58,5800,7,wikipedia,
59,5900,7,wikipedia,
60,6000,7,wikipedia,1.0756377424999999
61,6100,7,wikipedia,1.0756282672727273
62,6200,7,wikipedia,1.075686382
63,6300,7,wikipedia,1.075616897
64,6400,7,wikipedia,1.0756029999999999
65,6500,7,wikipedia,
66,6600,7,wikipedia,
67,6700,7,wikipedia,
68,6800,7,wikipedia,
69,6900,7,wikipedia,
70,7000,7,wikipedia,
71,7100,7,wikipedia,
72,7200,7,wikipedia,
73,7300,7,wikipedia,
74,7400,7,wikipedia,
75,7500,7,wikipedia,1.075652632142857
76,7600,7,wikipedia,1.075666168181818
77,7700,7,wikipedia,1.0756956466666665
78,7800,7,wikipedia,1.0755566766666667
79,7900,7,wikipedia,1.075672485
80,8000,7,wikipedia,1.07574197
81,0,7,wikipedia,
82,100,7,wikipedia,
83,200,7,wikipedia,
84,300,7,wikipedia,1.0753598025
85,400,7,wikipedia,1.07532506
86,500,7,wikipedia,1.07532506
87,600,7,wikipedia,1.07532506
88,700,7,wikipedia,1.075366751
89,800,7,wikipedia,1.07532506
90,900,7,wikipedia,
91,1000,7,wikipedia,
92,1100,7,wikipedia,1.0755883715789474
93,1200,7,wikipedia,
94,1300,7,wikipedia,
95,1400,7,wikipedia,1.075672485
96,1500,7,wikipedia,1.0756956466666665
97,1600,7,wikipedia,1.0756377424999999
98,1700,7,wikipedia,1.0756377424999999
99,1800,7,wikipedia,1.075658588
100,1900,7,wikipedia,1.075666168181818
101,2000,7,wikipedia,
102,2100,7,wikipedia,
103,2200,7,wikipedia,1.075658588
104,2300,7,wikipedia,1.075666168181818
105,2400,7,wikipedia,1.075704069090909
106,2500,7,wikipedia,
107,2600,7,wikipedia,
108,2700,7,wikipedia,1.07561369
109,2800,7,wikipedia,1.0756029999999999
110,2900,7,wikipedia,1.075658588
111,3000,7,wikipedia,1.0757002789999999
112,3100,7,wikipedia,1.0756956466666665
113,3200,7,wikipedia,
114,3300,7,wikipedia,
115,3400,7,wikipedia,1.07564576
116,3500,7,wikipedia,1.075672485
117,3600,7,wikipedia,
118,3700,7,wikipedia,
119,3800,7,wikipedia,1.075652632142857
120,3900,7,wikipedia,1.0756377424999999
121,4000,7,wikipedia,1.0757002789999999
122,4100,7,wikipedia,1.075491824
123,4200,7,wikipedia,
124,4300,7,wikipedia,
125,4400,7,wikipedia,1.0756824114285715
126,4500,7,wikipedia,1.075666168181818
127,4600,7,wikipedia,1.0755903663636364
128,4700,7,wikipedia,
129,4800,7,wikipedia,
130,4900,7,wikipedia,1.0756778299999998
131,5000,7,wikipedia,1.075658588
132,5100,7,wikipedia,1.075672485
133,5200,7,wikipedia,1.0756029999999999
134,5300,7,wikipedia,1.07564576
135,5400,7,wikipedia,1.075658588
136,5500,7,wikipedia,1.075658588
137,5600,7,wikipedia,1.07574197
138,5700,7,wikipedia,1.0755682574999998
139,5800,7,wikipedia,
140,5900,7,wikipedia,
141,6000,7,wikipedia,1.075672485
142,6100,7,wikipedia,1.0756228528571428
143,6200,7,wikipedia,1.075616897
144,6300,7,wikipedia,
145,6400,7,wikipedia,
146,6500,7,wikipedia,1.0756029999999999
147,6600,7,wikipedia,1.075658588
148,6700,7,wikipedia,1.0755632942857143
149,6800,7,wikipedia,1.07574197
150,6900,7,wikipedia,
151,7000,7,wikipedia,
152,7100,7,wikipedia,1.0756778299999998
153,7200,7,wikipedia,1.0757002789999999
154,7300,7,wikipedia,
155,7400,7,wikipedia,
156,7500,7,wikipedia,1.0756794335
157,7600,7,wikipedia,1.0756228528571428
158,7700,7,wikipedia,1.075658588
159,7800,7,wikipedia,
160,7900,7,wikipedia,
161,8000,7,wikipedia,1.07564576
162,0,7,wikipedia,
163,100,7,wikipedia,1.0754032306249999
164,200,7,wikipedia,1.07532506
165,300,7,wikipedia,1.07532506
166,400,7,wikipedia,
167,500,7,wikipedia,
168,600,7,wikipedia,1.075366751
169,700,7,wikipedia,1.07532506
170,800,7,wikipedia,1.0754008618181818
171,900,7,wikipedia,1.07546403
172,1000,7,wikipedia,1.0755903663636364
173,1100,7,wikipedia,1.075575206
174,1200,7,wikipedia,1.0756282672727273
175,1300,7,wikipedia,
176,1400,7,wikipedia,
177,1500,7,wikipedia,1.07564576
178,1600,7,wikipedia,1.0757072275
179,1700,7,wikipedia,1.0756029999999999
180,1800,7,wikipedia,1.0756956466666665
181,1900,7,wikipedia,
182,2000,7,wikipedia,
183,2100,7,wikipedia,1.0756956466666665
184,2200,7,wikipedia,1.0755903663636364
185,2300,7,wikipedia,
186,2400,7,wikipedia,
187,2500,7,wikipedia,1.075666168181818
188,2600,7,wikipedia,1.07564576
189,2700,7,wikipedia,1.0756282672727273
190,2800,7,wikipedia,
191,2900,7,wikipedia,
192,3000,7,wikipedia,1.07561369
193,3100,7,wikipedia,1.075658588
194,3200,7,wikipedia,1.0756282672727273
195,3300,7,wikipedia,1.0756956466666665
196,3400,7,wikipedia,1.075704069090909
197,3500,7,wikipedia,
198,3600,7,wikipedia,
199,3700,7,wikipedia,1.075652632142857
200,3800,7,wikipedia,1.0755566766666667
201,3900,7,wikipedia,1.0756956466666665
202,4000,7,wikipedia,1.0755930735714285
203,4100,7,wikipedia,1.075616897
204,4200,7,wikipedia,1.07574197
205,4300,7,wikipedia,
206,4400,7,wikipedia,
207,4500,7,wikipedia,1.0756778299999998
208,4600,7,wikipedia,1.0756282672727273
209,4700,7,wikipedia,1.0755335149999998
210,4800,7,wikipedia,1.075658588
211,4900,7,wikipedia,1.07574197
212,5000,7,wikipedia,1.075704069090909
213,5100,7,wikipedia,1.0756029999999999
214,5200,7,wikipedia,1.075666168181818
215,5300,7,wikipedia,
216,5400,7,wikipedia,
217,5500,7,wikipedia,1.0756377424999999
218,5600,7,wikipedia,1.07574197
219,5700,7,wikipedia,1.0756282672727273
220,5800,7,wikipedia,1.0756377424999999
221,5900,7,wikipedia,1.075704069090909
222,6000,7,wikipedia,
223,6100,7,wikipedia,
224,6200,7,wikipedia,1.0756029999999999
225,6300,7,wikipedia,1.07564576
226,6400,7,wikipedia,1.075704069090909
227,6500,7,wikipedia,
228,6600,7,wikipedia,
229,6700,7,wikipedia,1.0756282672727273
230,6800,7,wikipedia,1.0757002789999999
231,6900,7,wikipedia,1.0756029999999999
232,7000,7,wikipedia,1.075666168181818
233,7100,7,wikipedia,1.075616897
234,7200,7,wikipedia,1.075575206
235,7300,7,wikipedia,1.07574197
236,7400,7,wikipedia,1.0756956466666665
237,7500,7,wikipedia,1.0756282672727273
238,7600,7,wikipedia,1.0757002789999999
239,7700,7,wikipedia,1.0756282672727273
240,7800,7,wikipedia,
241,7900,7,wikipedia,
242,8000,7,wikipedia,
243,8100,7,wikipedia,1.0756956466666665
244,0,7,wikipedia,
245,100,7,wikipedia,
246,200,7,wikipedia,
247,300,7,wikipedia,1.075362960909091
248,400,7,wikipedia,1.0753511168749998
249,500,7,wikipedia,
250,600,7,wikipedia,
251,700,7,wikipedia,1.07532506
252,800,7,wikipedia,1.0753713833333334
253,900,7,wikipedia,1.07532506
254,1000,7,wikipedia,1.0755335149999998
255,1100,7,wikipedia,1.075616897
256,1200,7,wikipedia,1.0755903663636364
257,1300,7,wikipedia,1.0755335149999998
258,1400,7,wikipedia,1.0755682574999998
259,1500,7,wikipedia,1.075666168181818
260,1600,7,wikipedia,
261,1700,7,wikipedia,
262,1800,7,wikipedia,
263,1900,7,wikipedia,1.0756694639130435
264,2000,7,wikipedia,1.0756282672727273
265,2100,7,wikipedia,1.075704069090909
266,2200,7,wikipedia,1.075666168181818
267,2300,7,wikipedia,1.07568985625
268,2400,7,wikipedia,1.075658588
269,2500,7,wikipedia,1.075658588
270,2600,7,wikipedia,
271,2700,7,wikipedia,
272,2800,7,wikipedia,1.0756322568421053
273,2900,7,wikipedia,1.0756282672727273
274,3000,7,wikipedia,
275,3100,7,wikipedia,
276,3200,7,wikipedia,
277,3300,7,wikipedia,
278,3400,7,wikipedia,1.075652632142857
279,3500,7,wikipedia,1.0757002789999999
280,3600,7,wikipedia,1.0756493233333333
281,3700,7,wikipedia,
282,3800,7,wikipedia,
283,3900,7,wikipedia,1.07568985625
284,4000,7,wikipedia,1.0756377424999999
285,4100,7,wikipedia,1.075616897
286,4200,7,wikipedia,1.075658588
