,time[ms],time_0,csv_load_0,time_1,csv_load_1,time_2,csv_load_2,time_3,csv_load_3,time_4,csv_load_4,time_5,csv_load_5,time_6,csv_load_6,time_7,csv_load_7,time_8,csv_load_8
0,0,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,
1,100,100,0.9305555555555556,100,0.7777777777777778,100,0.8,100,0.9375,100.0,0.9333333333333332,100.0,,100.0,0.9230769230769232,100.0,1.0,100.0,0.9333333333333332
2,200,200,0.8758169934640523,200,0.7857142857142857,200,,200,0.7142857142857143,200.0,0.875,200.0,,200.0,0.7692307692307693,200.0,1.0,200.0,0.9
3,300,300,0.8136645962732919,300,,300,,300,,300.0,,300.0,0.7777777777777778,300.0,0.9090909090909092,300.0,1.0,300.0,1.0
4,400,400,0.7642857142857142,400,,400,0.7777777777777778,400,,400.0,,400.0,0.7857142857142857,400.0,0.7777777777777778,400.0,,400.0,0.9090909090909092
5,500,500,0.75,500,0.6923076923076923,500,0.9090909090909092,500,0.5454545454545454,500.0,0.5,500.0,0.7777777777777778,500.0,0.8181818181818182,500.0,,500.0,
6,600,600,0.45934959349593496,600,0.9090909090909092,600,0.6363636363636364,600,,600.0,0.7,600.0,,600.0,0.8461538461538461,600.0,0.5384615384615384,600.0,
7,700,700,0.6692307692307692,700,0.9166666666666666,700,,700,,700.0,0.7777777777777778,700.0,,700.0,0.7777777777777778,700.0,0.9285714285714286,700.0,
8,800,800,0.85,800,0.8181818181818182,800,,800,0.8333333333333334,800.0,0.8,800.0,0.8461538461538461,800.0,0.8461538461538461,800.0,,800.0,
9,900,900,0.8353658536585366,900,,900,0.65,900,0.7272727272727273,900.0,0.8333333333333334,900.0,0.6363636363636364,900.0,0.7,900.0,,900.0,0.5
10,1000,1000,0.6853146853146853,1000,,1000,0.8333333333333334,1000,0.9,1000.0,0.75,1000.0,,1000.0,0.8,1000.0,0.26666666666666666,1000.0,
11,1100,1100,0.635,1100,0.4705882352941176,1100,0.8,1100,0.8181818181818182,1100.0,0.7142857142857143,1100.0,,1100.0,,1100.0,0.3076923076923077,1100.0,
12,1200,1200,0.6413793103448275,1200,0.7,1200,0.9090909090909092,1200,0.9090909090909092,1200.0,0.8888888888888888,1200.0,0.7,1200.0,,1200.0,0.18181818181818185,1200.0,0.2307692307692308
13,1300,1300,0.6549295774647887,1300,0.8181818181818182,1300,0.6,1300,0.9285714285714286,1300.0,,1300.0,0.75,1300.0,0.9,1300.0,,1300.0,0.3
14,1400,1400,0.69375,1400,0.9333333333333332,1400,,1400,0.9090909090909092,1400.0,,1400.0,0.625,1400.0,0.7777777777777778,1400.0,,1400.0,1.0
15,1500,1500,0.8874172185430463,1500,,1500,,1500,0.9090909090909092,1500.0,1.0,1500.0,0.6428571428571429,1500.0,,1500.0,0.5,1500.0,0.8461538461538461
16,1600,1600,0.6912442396313364,1600,,1600,0.9,1600,0.8888888888888888,1600.0,0.8181818181818182,1600.0,0.8333333333333334,1600.0,,1600.0,,1600.0,0.7777777777777778
17,1700,1700,0.8529411764705882,1700,0.8461538461538461,1700,0.8,1700,,1700.0,0.8333333333333334,1700.0,,1700.0,0.7,1700.0,,1700.0,
18,1800,1800,0.8684210526315791,1800,1.0,1800,,1800,,1800.0,0.75,1800.0,,1800.0,0.75,1800.0,0.8,1800.0,
19,1900,1900,0.9848484848484848,1900,0.8333333333333334,1900,,1900,0.9230769230769232,1900.0,,1900.0,0.7272727272727273,1900.0,0.9,1900.0,0.9285714285714286,1900.0,0.9333333333333332
20,2000,2000,0.8793103448275862,2000,,2000,,2000,0.8461538461538461,2000.0,,2000.0,,2000.0,0.6923076923076923,2000.0,,2000.0,0.7857142857142857
21,2100,2100,0.8793103448275862,2100,,2100,,2100,0.8461538461538461,2100.0,,2100.0,,2100.0,,2100.0,,2100.0,
22,2200,2200,0.7039473684210527,2200,,2200,0.9285714285714286,2200,0.9230769230769232,2200.0,,2200.0,0.8666666666666667,2200.0,,2200.0,0.9285714285714286,2200.0,
23,2300,2300,0.7785016286274117,2300,0.8181818181818182,2300,0.9,2300,,2300.0,0.8,2300.0,0.6923076923076923,2300.0,0.8333333333333334,2300.0,0.3333333333333333,2300.0,0.5
24,2400,2400,0.7510729614203826,2400,0.7692307692307693,2400,0.7,2400,,2400.0,0.8181818181818182,2400.0,0.7857142857142857,2400.0,0.7857142857142857,2400.0,0.5555555555555556,2400.0,0.18181818181818185
25,2500,2500,0.7067669172932329,2500,0.7777777777777778,2500,,2500,0.8181818181818182,2500.0,0.8333333333333334,2500.0,0.875,2500.0,0.9,2500.0,0.6923076923076923,2500.0,0.25
26,2600,2600,0.6225165562913907,2600,0.9090909090909092,2600,,2600,0.5625,2600.0,0.9166666666666666,2600.0,0.8,2600.0,0.9,2600.0,,2600.0,0.3333333333333333
27,2700,2700,,2700,0.7272727272727273,2700,0.8333333333333334,2700,0.7142857142857143,2700.0,0.8333333333333334,2700.0,0.5384615384615384,2700.0,0.7692307692307693,2700.0,,2700.0,
28,2800,2800,,2800,0.9090909090909092,2800,0.7272727272727273,2800,0.7,2800.0,,2800.0,0.8888888888888888,2800.0,,2800.0,0.16666666666666666,2800.0,
29,2900,2900,0.6804123711340206,2900,,2900,,2900,,2900.0,,2900.0,0.5555555555555556,2900.0,,2900.0,0.2307692307692308,2900.0,0.1111111111111111
30,3000,3000,0.6405228758169934,3000,,3000,,3000,,3000.0,,3000.0,,3000.0,0.7647058823529411,3000.0,0.2,3000.0,0.2307692307692308
31,3100,3100,0.6488549617952357,3100,,3100,0.5,3100,0.75,3100.0,,3100.0,,3100.0,0.9230769230769232,3100.0,0.4166666666666667,3100.0,0.25
32,3200,3200,0.6240601504108171,3200,,3200,0.9166666666666666,3200,0.8181818181818182,3200.0,0.75,3200.0,0.4545454545454545,3200.0,,3200.0,,3200.0,0.375
33,3300,3300,0.6440677966101694,3300,0.45,3300,0.7272727272727273,3300,0.8333333333333334,3300.0,0.8,3300.0,0.5454545454545454,3300.0,,3300.0,,3300.0,
34,3400,3400,0.6453488372093024,3400,0.75,3400,,3400,0.8181818181818182,3400.0,0.75,3400.0,0.7,3400.0,0.9230769230769232,3400.0,0.2727272727272727,3400.0,
35,3500,3500,0.6544117647058824,3500,0.9166666666666666,3500,,3500,0.8181818181818182,3500.0,0.8,3500.0,0.7,3500.0,0.9,3500.0,0.4545454545454545,3500.0,0.3333333333333333
36,3600,3600,0.5714285714285714,3600,0.7,3600,0.7692307692307693,3600,,3600.0,,3600.0,0.7857142857142857,3600.0,0.8571428571428571,3600.0,0.09090909090909093,3600.0,0.1
37,3700,3700,0.3706563706563705,3700,0.5555555555555556,3700,0.8181818181818182,3700,,3700.0,,3700.0,,3700.0,,3700.0,0.2,3700.0,0.125
38,3800,3800,0.6336633663366337,3800,0.6666666666666666,3800,0.75,3800,0.6363636363636364,3800.0,0.6363636363636364,3800.0,,3800.0,,3800.0,0.2222222222222222,3800.0,0.2
39,3900,3900,0.64,3900,0.9090909090909092,3900,0.8181818181818182,3900,0.9090909090909092,3900.0,0.7142857142857143,3900.0,0.5,3900.0,0.9166666666666666,3900.0,,3900.0,
40,4000,4000,0.6344827586206897,4000,0.8181818181818182,4000,,4000,0.5833333333333334,4000.0,0.8461538461538461,4000.0,,4000.0,,4000.0,,4000.0,
41,4100,4100,0.6415094339622641,4100,,4100,,4100,0.6363636363636364,4100.0,0.5454545454545454,4100.0,,4100.0,,4100.0,0.26666666666666666,4100.0,0.047619047619047616
42,4200,4200,0.6413793103448275,4200,,4200,0.7,4200,0.8181818181818182,4200.0,,4200.0,0.7692307692307693,4200.0,0.8461538461538461,4200.0,0.1111111111111111,4200.0,0.1111111111111111
43,4300,4300,0.6546762589928058,4300,,4300,0.7857142857142857,4300,,4300.0,,4300.0,0.8,4300.0,0.9,4300.0,0.08333333333333333,4300.0,0.5833333333333334
44,4400,4400,0.5755813953488372,4400,,4400,0.625,4400,,4400.0,0.8181818181818182,4400.0,0.7333333333333333,4400.0,0.5,4400.0,0.2,4400.0,0.18181818181818185
45,4500,4500,0.6014492753623188,4500,0.9090909090909092,4500,0.7272727272727273,4500,0.75,4500.0,0.75,4500.0,,4500.0,0.9,4500.0,,4500.0,0.5
46,4600,4600,0.6158536585365854,4600,0.8181818181818182,4600,0.8,4600,0.8461538461538461,4600.0,0.75,4600.0,,4600.0,0.7142857142857143,4600.0,,4600.0,
47,4700,4700,0.6397058823529411,4700,0.7857142857142857,4700,0.75,4700,,4700.0,0.7692307692307693,4700.0,0.7777777777777778,4700.0,0.7777777777777778,4700.0,0.14285714285714285,4700.0,
48,4800,4800,0.6528497409326425,4800,0.8181818181818182,4800,0.8,4800,,4800.0,0.8,4800.0,0.4444444444444444,4800.0,0.9166666666666666,4800.0,0.6923076923076923,4800.0,0.1
49,4900,4900,0.6854460093896714,4900,0.7857142857142857,4900,0.8,4900,0.6923076923076923,4900.0,,4900.0,,4900.0,0.75,4900.0,0.4444444444444444,4900.0,0.1111111111111111
50,5000,5000,0.6538461538461539,5000,,5000,,5000,0.8,5000.0,,5000.0,,5000.0,,5000.0,0.15384615384615385,5000.0,0.0
51,5100,5100,0.6518987341772152,5100,,5100,,5100,0.8181818181818182,5100.0,0.6666666666666666,5100.0,0.8,5100.0,,5100.0,0.4,5100.0,
52,5200,5200,0.5688622754491018,5200,0.875,5200,0.5384615384615384,5200,0.7777777777777778,5200.0,0.9090909090909092,5200.0,,5200.0,0.8181818181818182,5200.0,,5200.0,
53,5300,5300,0.5755395683453237,5300,0.8461538461538461,5300,0.5,5300,0.7,5300.0,0.8181818181818182,5300.0,,5300.0,0.8888888888888888,5300.0,,5300.0,0.08333333333333333
54,5400,5400,0.6466165413533834,5400,0.875,5400,0.9166666666666666,5400,0.7142857142857143,5400.0,0.75,5400.0,,5400.0,0.7777777777777778,5400.0,,5400.0,0.125
55,5500,5500,0.6467391304347826,5500,0.8888888888888888,5500,0.8333333333333334,5500,0.75,5500.0,0.75,5500.0,,5500.0,0.8461538461538461,5500.0,,5500.0,0.2222222222222222
56,5600,5600,0.6434108527131783,5600,0.8181818181818182,5600,,5600,0.9166666666666666,5600.0,0.6666666666666666,5600.0,,5600.0,0.8,5600.0,,5600.0,0.18181818181818185
57,5700,5700,0.6814516129442645,5700,0.6923076923076923,5700,,5700,,5700.0,,5700.0,,5700.0,0.75,5700.0,,5700.0,
58,5800,5800,0.8078358208505535,5800,0.9,5800,0.75,5800,,5800.0,,5800.0,,5800.0,0.7692307692307693,5800.0,,5800.0,
59,5900,5900,0.7586206896551724,5900,0.9,5900,0.6666666666666666,5900,0.375,5900.0,0.8181818181818182,5900.0,0.18571428571428567,5900.0,,5900.0,0.061538461538461535,5900.0,0.2727272727272727
60,6000,6000,0.6838235294117647,6000,0.8333333333333334,6000,,6000,0.7272727272727273,6000.0,0.6666666666666666,6000.0,0.75,6000.0,,6000.0,0.2,6000.0,0.2307692307692308
61,6100,6100,0.6554054054054054,6100,,6100,,6100,0.9,6100.0,0.6666666666666666,6100.0,0.8181818181818182,6100.0,0.7307692307692307,6100.0,0.4545454545454545,6100.0,0.07142857142857142
62,6200,6200,0.577639751552795,6200,,6200,0.5,6200,0.6666666666666666,6200.0,0.5454545454545454,6200.0,0.8181818181818182,6200.0,0.8214285714285714,6200.0,0.18181818181818185,6200.0,
63,6300,6300,0.6114649681528662,6300,0.8333333333333334,6300,0.7,6300,0.8333333333333334,6300.0,,6300.0,0.7272727272727273,6300.0,,6300.0,0.2727272727272727,6300.0,
64,6400,6400,0.6463414634146342,6400,0.625,6400,0.75,6400,0.75,6400.0,,6400.0,0.6666666666666666,6400.0,,6400.0,0.4,6400.0,0.3333333333333333
65,6500,6500,0.647887323943662,6500,0.8571428571428571,6500,0.8,6500,0.8,6500.0,0.75,6500.0,0.8461538461538461,6500.0,0.8461538461538461,6500.0,,6500.0,0.18181818181818185
66,6600,6600,0.625,6600,,6600,0.8181818181818182,6600,,6600.0,0.7,6600.0,,6600.0,0.8888888888888888,6600.0,,6600.0,0.1111111111111111
67,6700,6700,0.5849056603773585,6700,,6700,0.9090909090909092,6700,,6700.0,0.6363636363636364,6700.0,,6700.0,0.8181818181818182,6700.0,0.08333333333333333,6700.0,0.2222222222222222
68,6800,6800,0.5748031496062992,6800,1.0,6800,0.875,6800,,6800.0,0.7272727272727273,6800.0,0.8181818181818182,6800.0,0.7272727272727273,6800.0,0.3333333333333333,6800.0,0.08333333333333333
69,6900,6900,0.3695652173913043,6900,0.7272727272727273,6900,0.8888888888888888,6900,,6900.0,0.8181818181818182,6900.0,,6900.0,0.8,6900.0,,6900.0,0.15384615384615385
70,7000,7000,0.6226415094339622,7000,0.9166666666666666,7000,,7000,0.65,7000.0,0.5833333333333334,7000.0,,7000.0,0.8,7000.0,,7000.0,
