,time[ms],cpu,sitename,Pmodel
0,0,3,worldpress,
1,100,3,worldpress,1.0753511168749998
2,200,3,worldpress,1.0754441771428571
3,300,3,worldpress,
4,400,3,worldpress,
5,500,3,worldpress,1.0755145645454545
6,600,3,worldpress,
7,700,3,worldpress,
8,800,3,worldpress,1.075394545
9,900,3,worldpress,1.0754387627272726
10,1000,3,worldpress,1.075366751
11,1100,3,worldpress,1.0754008618181818
12,1200,3,worldpress,1.075362960909091
13,1300,3,worldpress,1.0753548392857142
14,1400,3,worldpress,1.075362960909091
15,1500,3,worldpress,1.075362960909091
16,1600,3,worldpress,1.0753713833333334
17,1700,3,worldpress,
18,1800,3,worldpress,
19,1900,3,worldpress,1.07535713
20,2000,3,worldpress,1.0753892
21,2100,3,worldpress,1.0753892
22,2200,3,worldpress,1.07535713
23,2300,3,worldpress,
24,2400,3,worldpress,
25,2500,3,worldpress,1.0754008618181818
26,2600,3,worldpress,1.075507458125
27,2700,3,worldpress,1.0754441771428571
28,2800,3,worldpress,1.075450133
29,2900,3,worldpress,
30,3000,3,worldpress,
31,3100,3,worldpress,1.0754292875
32,3200,3,worldpress,1.0754008618181818
33,3300,3,worldpress,1.075394545
34,3400,3,worldpress,1.0754008618181818
35,3500,3,worldpress,1.0754008618181818
36,3600,3,worldpress,
37,3700,3,worldpress,
38,3800,3,worldpress,1.0754766636363635
39,3900,3,worldpress,1.075362960909091
40,4000,3,worldpress,1.0754987725
41,4100,3,worldpress,1.0754766636363635
42,4200,3,worldpress,1.0754008618181818
43,4300,3,worldpress,
44,4400,3,worldpress,
45,4500,3,worldpress,1.0754292875
46,4600,3,worldpress,1.0753892
47,4700,3,worldpress,
48,4800,3,worldpress,
49,4900,3,worldpress,1.07545334
50,5000,3,worldpress,1.0754084419999999
51,5100,3,worldpress,1.0754008618181818
52,5200,3,worldpress,1.0754177066666666
53,5300,3,worldpress,1.075450133
54,5400,3,worldpress,1.0754441771428571
55,5500,3,worldpress,1.0754292875
56,5600,3,worldpress,1.0753598025
57,5700,3,worldpress,
58,5800,3,worldpress,
59,5900,3,worldpress,1.0755856287499999
60,6000,3,worldpress,1.0754387627272726
61,6100,3,worldpress,1.075366751
62,6200,3,worldpress,1.07546403
63,6300,3,worldpress,1.075394545
64,6400,3,worldpress,1.0754292875
65,6500,3,worldpress,1.0754084419999999
66,6600,3,worldpress,
67,6700,3,worldpress,
68,6800,3,worldpress,
69,6900,3,worldpress,
70,7000,3,worldpress,1.0754709784999998
71,7100,3,worldpress,1.0754008618181818
72,7200,3,worldpress,1.07546403
73,7300,3,worldpress,1.075394545
74,7400,3,worldpress,1.0754008618181818
75,7500,3,worldpress,1.07545334
76,7600,3,worldpress,
77,7700,3,worldpress,
78,7800,3,worldpress,1.07545334
79,7900,3,worldpress,
80,8000,3,worldpress,
